Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.116,0.0,0.116,0.0,0.0
0.127,0.0,0.116,0.0,0.0
0.138,0.0,0.112,0.0,0.0
0.15,0.0,0.116,0.0,0.0
0.161,0.0,0.116,0.0,0.0
0.173,0.0,0.116,0.0,0.0
0.184,0.0,0.116,0.054,0.006
0.196,0.0,5.076,0.01,0.051
0.207,0.0,5.076,0.0,0.0
0.218,0.0,5.076,0.01,0.051
0.229,0.0,5.076,0.0,0.0
0.239,0.0,5.076,0.0,0.0
0.295,0.0,5.076,0.011,0.056
0.306,0.0,5.072,0.0,0.0
0.317,0.0,5.076,0.0,0.0
0.329,0.0,5.076,0.01,0.051
0.341,0.0,5.076,0.01,0.051
0.354,0.0,5.076,0.011,0.056
0.367,0.0,5.076,0.01,0.051
0.379,0.0,5.072,0.01,0.051
0.392,0.0,5.072,0.0,0.0
0.403,0.0,5.076,0.01,0.051
0.42,0.0,5.076,0.011,0.056
0.431,0.0,5.076,0.011,0.056
0.442,0.0,5.072,0.0,0.0
0.453,0.0,5.076,0.0,0.0
0.464,0.0,5.076,0.0,0.0
0.475,0.0,5.076,0.01,0.051
0.485,0.0,5.076,0.01,0.051
0.496,0.0,5.076,0.0,0.0
0.508,0.0,5.076,0.011,0.056
0.519,0.0,5.076,0.0,0.0
0.527,0.0,5.076,0.01,0.051
0.536,0.0,5.076,0.0,0.0
0.544,0.0,5.072,0.01,0.051
0.552,0.0,5.076,0.0,0.0
0.56,0.0,5.072,0.0,0.0
0.569,0.0,5.076,0.01,0.051
0.576,0.0,5.076,0.01,0.051
0.584,0.0,5.076,0.01,0.051
0.592,0.0,5.072,0.011,0.056
0.6,0.0,5.072,0.011,0.056
0.609,0.0,5.076,0.01,0.051
0.617,0.0,5.072,0.0,0.0
0.625,0.0,5.076,0.0,0.0
0.633,0.0,5.072,0.0,0.0
0.641,0.0,5.076,0.0,0.0
0.649,0.0,5.072,0.0,0.0
0.657,0.0,5.072,0.011,0.056
0.665,0.0,5.076,0.0,0.0
0.673,0.0,5.076,0.0,0.0
0.682,0.0,5.076,0.0,0.0
0.69,0.0,5.076,0.011,0.056
0.698,0.0,5.076,0.0,0.0
0.706,0.0,5.076,0.01,0.051
0.714,0.0,5.076,0.0,0.0
0.722,0.0,5.076,0.0,0.0
0.73,0.0,5.072,0.0,0.0
0.738,0.0,5.076,0.01,0.051
0.747,0.0,5.076,0.0,0.0
0.755,0.0,5.072,0.0,0.0
0.764,0.0,5.076,0.0,0.0
0.772,0.0,5.072,0.0,0.0
0.781,0.0,5.072,0.0,0.0
0.789,0.0,5.076,0.011,0.056
0.797,0.0,5.076,0.0,0.0
0.806,0.0,5.072,0.01,0.051
0.815,0.0,5.076,0.0,0.0
0.823,0.0,5.072,0.01,0.051
