Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.117,0.0,0.116,0.0,0.0
0.129,0.0,0.12,0.0,0.0
0.14,0.0,0.116,0.0,0.0
0.152,0.0,0.12,0.0,0.0
0.163,0.0,0.12,0.0,0.0
0.174,0.0,0.116,0.0,0.0
0.186,0.0,0.128,0.032,0.004
0.197,0.0,5.072,0.01,0.051
0.258,0.0,5.072,0.01,0.051
0.27,0.0,5.08,0.0,0.0
0.282,0.0,5.076,0.011,0.056
0.294,0.0,5.076,0.01,0.051
0.306,0.0,5.076,0.011,0.056
0.318,0.0,5.076,0.0,0.0
0.329,0.0,5.072,0.01,0.051
0.341,0.0,5.072,0.011,0.056
0.355,0.0,5.072,0.01,0.051
0.371,0.0,5.076,0.0,0.0
0.385,0.0,5.076,0.01,0.051
0.397,0.0,5.076,0.01,0.051
0.41,0.0,5.076,0.01,0.051
0.422,0.0,5.076,0.0,0.0
0.434,0.0,5.072,0.01,0.051
0.445,0.0,5.076,0.01,0.051
0.455,0.0,5.076,0.01,0.051
0.466,0.0,5.072,0.0,0.0
0.477,0.0,5.072,0.01,0.051
0.488,0.0,5.076,0.01,0.051
0.499,0.0,5.072,0.0,0.0
0.51,0.0,5.076,0.01,0.051
0.521,0.0,5.076,0.0,0.0
0.533,0.0,5.076,0.0,0.0
0.544,0.0,5.072,0.01,0.051
0.556,0.0,5.076,0.011,0.056
0.568,0.0,5.076,0.0,0.0
0.58,0.0,5.076,0.01,0.051
0.592,0.0,5.072,0.0,0.0
0.605,0.0,5.076,0.0,0.0
0.617,0.0,5.072,0.01,0.051
0.629,0.0,5.076,0.0,0.0
0.641,0.0,5.076,0.011,0.056
0.653,0.0,5.076,0.011,0.056
0.665,0.0,5.072,0.01,0.051
0.677,0.0,5.076,0.01,0.051
0.689,0.0,5.072,0.01,0.051
0.701,0.0,5.076,0.01,0.051
0.713,0.0,5.076,0.0,0.0
0.725,0.0,5.076,0.0,0.0
0.737,0.0,5.076,0.011,0.056
0.749,0.0,5.076,0.011,0.056
0.761,0.0,5.072,0.011,0.056
0.773,0.0,5.076,0.01,0.051
0.786,0.0,5.076,0.0,0.0
0.798,0.0,5.076,0.01,0.051
0.81,0.0,5.076,0.0,0.0
0.822,0.0,5.072,0.011,0.056
0.832,0.0,5.072,0.011,0.056
0.843,0.0,5.076,0.011,0.056
0.854,0.0,5.072,0.0,0.0
0.865,0.0,5.076,0.0,0.0
0.876,0.0,5.072,0.011,0.056
0.886,0.0,5.076,0.01,0.051
0.897,0.0,5.076,0.011,0.056
0.907,0.0,5.072,0.01,0.051
0.917,0.0,5.076,0.01,0.051
0.928,0.0,5.076,0.0,0.0
0.939,0.0,5.076,0.01,0.051
0.95,0.0,5.076,0.01,0.051
0.961,0.0,5.076,0.01,0.051
0.972,0.0,5.076,0.0,0.0
0.983,0.0,5.076,0.0,0.0
0.995,0.0,5.076,0.01,0.051
1.005,0.0,5.072,0.0,0.0
1.016,0.0,5.072,0.091,0.462
1.026,0.0,5.076,0.066,0.335
1.036,0.0,5.072,0.067,0.34
1.046,0.0,5.072,0.066,0.335
1.055,0.0,5.072,0.09,0.456
1.065,0.0,5.068,0.09,0.456
1.076,0.0,5.072,0.091,0.462
1.135,0.0,5.072,0.136,0.69
1.143,0.0,5.068,0.137,0.694
1.151,0.0,5.068,0.159,0.806
1.159,0.0,5.072,0.159,0.806
1.167,0.0,5.068,0.16,0.811
1.175,0.0,5.072,0.159,0.806
1.183,0.0,5.072,0.183,0.928
1.191,0.0,5.068,0.182,0.922
1.199,0.0,5.068,0.183,0.927
1.207,0.0,5.072,0.181,0.918
1.214,0.0,5.068,0.207,1.049
1.222,0.0,5.068,0.207,1.049
1.23,0.0,5.068,0.207,1.049
1.238,0.0,5.068,0.207,1.049
1.246,0.0,5.068,0.23,1.166
1.253,0.0,5.068,0.23,1.166
1.261,0.0,5.068,0.228,1.156
1.269,0.0,5.068,0.23,1.166
1.277,0.0,5.068,0.233,1.181
1.285,0.0,5.068,0.253,1.282
1.293,19.0,5.068,0.252,1.277
1.301,16.0,5.064,0.254,1.286
1.309,14.0,5.068,0.251,1.272
1.318,11.0,5.064,0.277,1.403
1.326,8.0,5.068,0.278,1.409
1.334,5.0,5.064,0.275,1.393
1.342,2.0,5.064,0.276,1.398
1.35,0.0,5.064,0.3,1.519
1.358,0.0,5.068,0.301,1.525
1.366,0.0,5.064,0.298,1.509
1.374,0.0,5.064,0.298,1.509
1.382,0.0,5.064,0.322,1.631
1.391,0.0,5.068,0.275,1.394
1.399,0.0,5.064,0.304,1.539
1.406,0.0,5.068,0.284,1.439
1.414,0.0,5.068,0.287,1.455
1.422,0.0,5.064,0.327,1.656
1.43,0.0,5.064,0.31,1.57
1.438,0.0,5.064,0.313,1.585
1.446,0.0,5.064,0.263,1.332
1.454,0.0,5.064,0.262,1.327
1.463,0.0,5.064,0.312,1.58
1.471,0.0,5.068,0.313,1.586
1.479,0.0,5.068,0.304,1.541
1.487,0.0,5.064,0.32,1.62
1.495,0.0,5.068,0.325,1.647
1.503,0.0,5.064,0.323,1.636
1.511,0.0,5.068,0.315,1.596
1.519,0.0,5.068,0.322,1.632
1.527,0.0,5.064,0.311,1.575
1.535,0.0,5.064,0.325,1.646
1.543,0.0,5.064,0.32,1.62
1.551,0.0,5.064,0.324,1.641
1.559,0.0,5.064,0.309,1.565
1.567,0.0,5.064,0.323,1.636
1.575,0.0,5.064,0.33,1.671
1.583,0.0,5.064,0.325,1.646
1.591,0.0,5.068,0.254,1.287
1.599,0.0,5.064,0.245,1.241
1.607,0.0,5.072,0.183,0.928
1.615,0.0,5.068,0.17,0.862
1.624,0.0,5.068,0.224,1.135
1.632,0.0,5.068,0.19,0.963
1.64,0.0,5.068,0.171,0.867
1.648,0.0,5.064,0.325,1.646
1.656,0.0,5.064,0.322,1.631
1.665,0.0,5.064,0.324,1.641
1.673,0.0,5.06,0.323,1.634
1.683,0.0,5.064,0.348,1.762
1.691,0.0,5.064,0.345,1.747
1.699,0.0,5.064,0.347,1.757
1.707,0.0,5.064,0.348,1.762
1.715,0.0,5.064,0.371,1.879
1.723,0.0,5.064,0.371,1.879
1.731,0.0,5.06,0.37,1.872
1.739,0.0,5.06,0.369,1.867
1.747,0.0,5.06,0.396,2.004
1.755,0.0,5.064,0.392,1.985
1.763,0.0,5.06,0.396,2.004
1.772,0.0,5.06,0.394,1.994
1.78,0.0,5.06,0.417,2.11
1.788,0.0,5.064,0.417,2.112
1.797,0.0,5.06,0.416,2.105
1.805,0.0,5.064,0.418,2.117
1.813,0.0,5.06,0.438,2.216
1.821,0.0,5.06,0.441,2.231
1.829,0.0,5.06,0.439,2.221
1.84,0.0,5.064,0.44,2.228
