Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.013,0.0,0.112,0.0,0.0
0.026,0.0,0.112,0.0,0.0
0.038,0.0,0.112,0.0,0.0
0.05,0.0,0.112,0.0,0.0
0.062,0.0,0.116,0.0,0.0
0.075,0.0,0.112,0.0,0.0
0.086,0.0,0.116,0.0,0.0
0.098,0.0,0.112,0.0,0.0
0.111,0.0,0.112,0.0,0.0
0.122,0.0,0.112,0.0,0.0
0.134,0.0,0.112,0.0,0.0
0.146,0.0,0.112,0.0,0.0
0.155,0.0,0.112,0.0,0.0
0.165,0.0,0.112,0.0,0.0
0.175,0.0,0.116,0.0,0.0
0.184,0.0,0.108,0.0,0.0
0.194,0.0,0.108,0.0,0.0
0.205,0.0,0.112,0.0,0.0
0.214,0.0,0.112,0.0,0.0
0.23,0.0,0.112,0.0,0.0
0.24,0.0,0.112,0.0,0.0
0.251,0.0,0.112,0.0,0.0
0.262,0.0,0.112,0.0,0.0
0.273,0.0,0.112,0.0,0.0
0.284,0.0,0.108,0.0,0.0
0.295,0.0,0.108,0.0,0.0
0.307,0.0,0.108,0.0,0.0
0.317,0.0,0.108,0.0,0.0
0.328,0.0,0.112,0.0,0.0
0.339,0.0,0.112,0.0,0.0
0.349,0.0,0.108,0.0,0.0
0.36,0.0,0.108,0.0,0.0
0.37,0.0,0.112,0.0,0.0
0.381,0.0,0.112,0.0,0.0
0.392,0.0,0.112,0.0,0.0
0.402,0.0,0.112,0.0,0.0
0.414,0.0,0.112,0.0,0.0
0.425,0.0,0.112,0.0,0.0
0.435,0.0,0.112,0.0,0.0
0.446,0.0,0.108,0.0,0.0
0.457,0.0,0.112,0.0,0.0
0.467,0.0,0.108,0.0,0.0
0.478,0.0,0.112,0.0,0.0
0.489,0.0,0.112,0.0,0.0
0.5,0.0,0.112,0.0,0.0
0.51,0.0,0.112,0.0,0.0
0.522,0.0,0.112,0.0,0.0
0.532,0.0,0.112,0.0,0.0
0.543,0.0,0.112,0.0,0.0
0.553,0.0,0.112,0.0,0.0
0.563,0.0,0.112,0.0,0.0
0.573,0.0,0.112,0.0,0.0
0.583,0.0,0.112,0.0,0.0
0.594,0.0,0.112,0.0,0.0
0.603,0.0,0.112,0.0,0.0
0.613,0.0,0.112,0.0,0.0
0.624,0.0,0.108,0.0,0.0
0.633,0.0,0.108,0.0,0.0
0.643,0.0,0.112,0.0,0.0
0.653,0.0,0.108,0.0,0.0
0.663,0.0,0.112,0.0,0.0
0.673,0.0,0.112,0.0,0.0
0.683,0.0,0.112,0.0,0.0
0.693,0.0,0.112,0.0,0.0
0.703,0.0,0.112,0.0,0.0
0.713,0.0,0.112,0.0,0.0
0.723,0.0,0.112,0.0,0.0
0.733,0.0,0.112,0.0,0.0
0.743,0.0,0.112,0.0,0.0
0.755,0.0,0.112,0.0,0.0
0.766,0.0,0.112,0.0,0.0
0.776,0.0,0.112,0.0,0.0
0.787,0.0,0.116,0.0,0.0
0.798,0.0,0.112,0.0,0.0
0.809,0.0,0.112,0.0,0.0
0.82,0.0,0.112,0.0,0.0
0.831,0.0,0.112,0.0,0.0
0.841,0.0,0.112,0.0,0.0
0.851,0.0,0.112,0.0,0.0
0.862,0.0,0.112,0.0,0.0
0.872,0.0,0.112,0.0,0.0
0.882,0.0,0.112,0.0,0.0
0.893,0.0,0.112,0.0,0.0
0.903,0.0,0.112,0.0,0.0
0.913,0.0,0.112,0.0,0.0
0.923,0.0,0.112,0.0,0.0
0.934,0.0,0.112,0.0,0.0
0.944,0.0,0.112,0.0,0.0
0.955,0.0,0.112,0.0,0.0
0.967,0.0,0.112,0.0,0.0
1.024,0.0,5.072,0.031,0.157
1.036,0.0,5.076,0.03,0.152
1.046,0.0,5.076,0.017,0.086
1.057,0.0,5.076,0.017,0.086
1.068,0.0,5.072,0.017,0.086
1.078,0.0,5.072,0.018,0.091
1.088,0.0,5.076,0.016,0.081
1.099,0.0,5.072,0.016,0.081
1.11,0.0,5.072,0.017,0.086
1.12,0.0,5.072,0.019,0.096
1.13,26.0,5.076,0.017,0.086
1.142,29.0,5.076,0.018,0.091
1.153,31.0,5.076,0.017,0.086
1.164,33.0,5.072,0.017,0.086
