Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.08,0.0,3.5,0.0,0.0
0.088,0.0,3.416,0.0,0.0
0.096,0.0,3.34,0.0,0.0
0.104,0.0,3.316,0.0,0.0
0.112,0.0,3.32,0.0,0.0
0.12,0.0,3.316,0.0,0.0
0.128,0.0,3.316,0.0,0.0
0.135,0.0,3.316,0.0,0.0
0.143,0.0,3.316,0.0,0.0
0.151,0.0,3.316,0.0,0.0
0.159,0.0,3.312,0.0,0.0
0.167,0.0,3.316,0.0,0.0
0.176,0.0,3.316,0.0,0.0
0.184,0.0,3.32,0.0,0.0
0.192,0.0,3.312,0.0,0.0
0.2,0.0,3.316,0.0,0.0
0.208,0.0,3.316,0.0,0.0
0.216,0.0,0.128,0.0,0.0
0.225,0.0,0.12,0.0,0.0
0.233,0.0,0.12,0.0,0.0
0.241,0.0,0.124,0.0,0.0
0.249,0.0,0.124,0.0,0.0
0.257,0.0,0.12,0.0,0.0
0.265,0.0,0.12,0.0,0.0
0.273,0.0,0.12,0.0,0.0
0.281,0.0,0.124,0.0,0.0
0.289,0.0,0.124,0.0,0.0
0.297,0.0,0.12,0.0,0.0
0.305,0.0,0.12,0.0,0.0
0.313,0.0,0.116,0.0,0.0
0.321,0.0,0.124,0.0,0.0
0.329,0.0,0.12,0.0,0.0
0.337,0.0,0.12,0.0,0.0
0.345,0.0,0.12,0.0,0.0
0.353,0.0,0.12,0.0,0.0
0.361,0.0,0.124,0.0,0.0
0.369,0.0,5.076,0.011,0.056
0.413,0.0,5.072,0.0,0.0
0.42,0.0,5.076,0.01,0.051
0.428,0.0,5.076,0.01,0.051
0.436,0.0,5.076,0.0,0.0
0.444,0.0,5.076,0.01,0.051
0.452,0.0,5.076,0.01,0.051
0.46,0.0,5.076,0.0,0.0
0.468,0.0,3.212,0.0,0.0
0.511,0.0,0.12,0.0,0.0
0.519,0.0,0.12,0.0,0.0
0.527,0.0,0.12,0.0,0.0
0.535,0.0,0.124,0.0,0.0
0.543,0.0,0.124,0.0,0.0
0.55,0.0,0.12,0.0,0.0
0.558,0.0,0.12,0.0,0.0
0.567,0.0,0.12,0.0,0.0
0.575,0.0,0.12,0.0,0.0
0.582,0.0,0.12,0.0,0.0
0.59,0.0,0.124,0.0,0.0
0.598,0.0,0.12,0.0,0.0
0.606,0.0,0.12,0.0,0.0
0.613,0.0,0.124,0.0,0.0
0.621,0.0,0.12,0.0,0.0
0.629,0.0,0.124,0.0,0.0
0.637,0.0,0.12,0.0,0.0
0.645,0.0,0.12,0.0,0.0
0.653,0.0,0.12,0.0,0.0
0.661,0.0,0.12,0.0,0.0
