Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.013,0.0,0.116,0.0,0.0
0.025,0.0,0.116,0.0,0.0
0.038,0.0,0.116,0.0,0.0
0.05,0.0,0.116,0.0,0.0
0.064,0.0,0.12,0.0,0.0
0.078,0.0,0.116,0.0,0.0
0.091,0.0,0.12,0.0,0.0
0.105,0.0,0.116,0.0,0.0
0.117,0.0,0.116,0.0,0.0
0.127,0.0,0.116,0.0,0.0
0.137,0.0,0.116,0.0,0.0
0.149,0.0,0.12,0.0,0.0
0.159,0.0,0.116,0.0,0.0
0.169,0.0,0.116,0.0,0.0
0.181,0.0,0.116,0.0,0.0
0.191,0.0,0.12,0.0,0.0
0.202,0.0,0.12,0.0,0.0
0.213,0.0,0.116,0.0,0.0
0.224,0.0,0.116,0.0,0.0
0.234,0.0,0.112,0.0,0.0
0.245,0.0,0.116,0.0,0.0
0.256,0.0,0.12,0.0,0.0
0.266,0.0,0.112,0.0,0.0
0.277,0.0,0.116,0.0,0.0
0.288,0.0,0.116,0.0,0.0
0.298,0.0,0.116,0.0,0.0
0.309,0.0,0.116,0.0,0.0
0.32,0.0,0.116,0.0,0.0
0.33,0.0,0.116,0.0,0.0
0.341,0.0,0.116,0.0,0.0
0.353,0.0,5.076,0.0,0.0
0.411,0.0,5.076,0.0,0.0
0.422,0.0,5.08,0.0,0.0
0.433,0.0,5.072,0.0,0.0
0.444,0.0,5.072,0.013,0.066
0.456,0.0,5.072,0.015,0.076
0.467,0.0,5.076,0.011,0.056
0.477,0.0,5.072,0.0,0.0
0.49,0.0,5.076,0.01,0.051
0.5,0.0,5.076,0.01,0.051
0.511,0.0,5.076,0.011,0.056
0.522,0.0,5.076,0.01,0.051
0.532,0.0,5.072,0.076,0.385
0.542,0.0,5.076,0.0,0.0
0.553,0.0,5.072,0.0,0.0
0.564,0.0,5.076,0.0,0.0
0.669,0.0,5.076,0.012,0.061
0.678,0.0,5.076,0.01,0.051
0.688,0.0,5.076,0.011,0.056
0.698,0.0,5.076,0.011,0.056
0.715,0.0,5.072,0.01,0.051
0.727,0.0,5.076,0.011,0.056
0.741,0.0,5.076,0.01,0.051
0.753,0.0,5.076,0.011,0.056
0.766,0.0,5.072,0.0,0.0
0.778,0.0,5.076,0.0,0.0
0.791,0.0,15.168,0.028,0.425
0.857,0.0,15.16,0.325,4.927
0.868,0.0,15.16,0.421,6.382
0.877,0.0,15.156,0.527,7.987
0.887,0.0,15.172,0.029,0.44
0.898,0.0,15.168,0.028,0.425
0.908,0.0,15.164,0.226,3.427
0.919,0.0,15.156,0.422,6.396
0.931,0.0,15.156,0.526,7.972
0.943,0.0,15.152,0.642,9.728
0.955,0.0,15.148,0.743,11.255
0.966,0.0,15.148,0.84,12.724
0.98,0.0,15.144,0.935,14.16
0.998,0.0,15.14,0.902,13.656
1.01,0.0,15.144,0.913,13.826
1.021,0.0,15.14,0.99,14.989
1.032,0.0,15.144,0.913,13.826
1.044,0.0,15.148,0.911,13.8
1.055,0.0,15.14,0.975,14.762
1.066,0.0,15.144,0.943,14.281
1.078,0.0,15.148,0.91,13.785
