Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.016,0.0,0.112,0.0,0.0
0.028,0.0,0.112,0.0,0.0
0.039,0.0,0.108,0.0,0.0
0.051,0.0,0.108,0.0,0.0
0.063,0.0,0.108,0.0,0.0
0.075,0.0,0.108,0.0,0.0
0.087,0.0,0.112,0.0,0.0
0.099,0.0,0.108,0.0,0.0
0.112,0.0,0.112,0.0,0.0
0.123,0.0,0.108,0.0,0.0
0.133,0.0,0.112,0.0,0.0
0.144,0.0,0.108,0.0,0.0
0.155,0.0,0.112,0.0,0.0
0.165,0.0,0.108,0.0,0.0
0.176,0.0,0.108,0.0,0.0
0.187,0.0,0.108,0.0,0.0
0.197,0.0,0.112,0.0,0.0
0.209,0.0,0.112,0.0,0.0
0.219,0.0,0.112,0.0,0.0
0.23,0.0,0.112,0.0,0.0
0.242,0.0,0.112,0.0,0.0
0.253,0.0,0.108,0.0,0.0
0.263,0.0,0.112,0.0,0.0
0.275,0.0,0.112,0.0,0.0
0.286,0.0,0.112,0.0,0.0
0.297,0.0,0.112,0.0,0.0
0.308,0.0,0.112,0.0,0.0
0.319,0.0,0.112,0.0,0.0
0.33,0.0,0.112,0.0,0.0
0.341,0.0,0.112,0.0,0.0
0.355,0.0,0.112,0.0,0.0
0.366,0.0,0.112,0.0,0.0
0.378,0.0,0.112,0.0,0.0
0.389,0.0,0.112,0.0,0.0
0.4,0.0,0.112,0.0,0.0
0.411,0.0,0.112,0.0,0.0
0.423,0.0,0.112,0.0,0.0
0.433,0.0,5.076,0.0,0.0
0.492,0.0,5.076,0.0,0.0
0.503,0.0,5.072,0.0,0.0
0.515,0.0,5.076,0.0,0.0
0.526,0.0,5.076,0.015,0.076
0.537,0.0,5.072,0.01,0.051
0.549,0.0,5.072,0.01,0.051
0.56,0.0,5.076,0.011,0.056
0.571,0.0,5.076,0.0,0.0
0.582,0.0,5.072,0.01,0.051
0.593,0.0,5.076,0.01,0.051
0.604,0.0,5.076,0.01,0.051
0.615,0.0,5.068,0.11,0.557
0.626,0.0,5.072,0.0,0.0
0.637,0.0,5.076,0.01,0.051
0.647,0.0,5.076,0.0,0.0
0.735,0.0,5.072,0.012,0.061
0.746,0.0,5.076,0.01,0.051
0.771,0.0,5.072,0.0,0.0
0.783,0.0,5.076,0.0,0.0
0.795,0.0,5.072,0.011,0.056
0.807,0.0,5.076,0.01,0.051
0.818,0.0,5.072,0.01,0.051
0.829,0.0,5.072,0.011,0.056
0.84,0.0,5.076,0.011,0.056
0.851,0.0,15.168,0.028,0.425
0.862,0.0,15.168,0.028,0.425
0.873,0.0,15.168,0.028,0.425
0.888,0.0,15.172,0.028,0.425
0.954,0.0,15.16,0.227,3.441
0.965,0.0,15.16,0.324,4.912
0.975,0.0,15.16,0.421,6.382
0.987,0.0,15.152,0.53,8.031
0.998,0.0,15.152,0.639,9.682
1.01,0.0,15.168,0.027,0.41
1.02,0.0,15.168,0.03,0.455
1.031,0.0,15.16,0.316,4.791
1.042,0.0,15.156,0.421,6.381
1.053,0.0,15.152,0.529,8.015
1.064,0.0,15.152,0.649,9.834
1.075,0.0,15.148,0.74,11.21
1.086,0.0,15.144,0.839,12.706
1.097,0.0,15.14,0.946,14.322
1.108,0.0,15.14,0.927,14.035
1.12,0.0,15.144,0.917,13.887
1.13,0.0,15.136,0.898,13.592
1.143,0.0,15.148,0.887,13.436
1.155,0.0,15.144,0.894,13.539
1.165,0.0,15.14,0.893,13.52
1.176,0.0,15.144,0.902,13.66
1.188,0.0,15.14,0.879,13.308
1.199,0.0,15.14,0.898,13.596
1.21,0.0,15.14,0.934,14.141
1.222,0.0,15.144,0.914,13.842
1.233,0.0,15.14,0.923,13.974
1.244,0.0,15.14,0.944,14.292
1.255,0.0,15.14,0.916,13.868
1.267,0.0,15.14,0.911,13.793
1.277,0.0,15.14,0.889,13.459
1.288,0.0,15.14,0.881,13.338
1.3,0.0,15.14,0.933,14.126
1.311,0.0,15.14,0.881,13.338
1.322,0.0,15.14,0.881,13.338
1.333,211.0,15.14,0.919,13.914
1.344,212.0,15.144,0.882,13.357
1.355,212.0,15.144,0.88,13.327
1.367,213.0,15.144,0.909,13.766
1.378,213.0,15.144,0.88,13.327
1.389,212.0,15.168,0.026,0.394
1.4,212.0,15.168,0.027,0.41
1.411,212.0,15.16,0.228,3.456
1.423,211.0,15.156,0.421,6.381
1.433,210.0,15.156,0.529,8.018
1.444,209.0,15.148,0.645,9.77
1.453,208.0,15.148,0.742,11.24
1.463,206.0,15.144,0.833,12.615
