Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.087,0.0,0.12,0.0,0.0
0.095,0.0,0.12,0.0,0.0
0.103,0.0,0.12,0.0,0.0
0.11,0.0,0.12,0.0,0.0
0.119,0.0,0.12,0.0,0.0
0.127,0.0,0.12,0.0,0.0
0.134,0.0,0.12,0.0,0.0
0.142,0.0,0.12,0.0,0.0
0.15,0.0,0.116,0.0,0.0
0.158,0.0,0.12,0.0,0.0
0.166,0.0,0.12,0.0,0.0
0.174,0.0,0.116,0.0,0.0
0.182,0.0,5.072,0.0,0.0
0.19,0.0,5.076,0.0,0.0
0.233,0.0,5.072,0.0,0.0
0.241,0.0,5.072,0.0,0.0
0.249,0.0,5.076,0.0,0.0
0.257,0.0,5.072,0.0,0.0
0.265,0.0,5.072,0.013,0.066
0.273,0.0,5.076,0.014,0.071
0.281,0.0,5.072,0.011,0.056
0.29,0.0,5.076,0.0,0.0
0.298,0.0,5.072,0.0,0.0
0.306,0.0,5.076,0.0,0.0
0.314,0.0,5.076,0.01,0.051
0.323,0.0,5.072,0.0,0.0
0.333,0.0,5.072,0.0,0.0
0.345,0.0,5.076,0.01,0.051
0.357,0.0,5.072,0.09,0.456
0.368,0.0,5.072,0.0,0.0
0.38,0.0,5.076,0.01,0.051
0.393,0.0,5.076,0.0,0.0
0.498,0.0,5.076,0.011,0.056
0.509,0.0,5.076,0.0,0.0
0.52,0.0,5.076,0.01,0.051
0.532,0.0,5.076,0.0,0.0
0.544,0.0,5.076,0.01,0.051
0.556,0.0,5.072,0.01,0.051
0.568,0.0,5.072,0.011,0.056
0.58,0.0,5.076,0.01,0.051
0.593,0.0,5.072,0.01,0.051
0.605,0.0,5.076,0.011,0.056
0.617,0.0,5.076,0.01,0.051
0.628,0.0,15.168,0.026,0.394
0.639,0.0,15.172,0.028,0.425
0.692,0.0,15.172,0.028,0.425
0.708,0.0,15.168,0.031,0.47
0.729,0.0,15.16,0.421,6.382
0.74,0.0,15.172,0.029,0.44
0.751,0.0,15.168,0.028,0.425
0.762,0.0,15.16,0.228,3.456
0.772,0.0,15.156,0.421,6.381
0.784,0.0,15.156,0.527,7.987
0.794,0.0,15.156,0.643,9.745
0.805,0.0,15.152,0.743,11.258
0.816,0.0,15.148,0.827,12.527
0.827,0.0,15.144,0.841,12.736
0.837,0.0,15.14,0.941,14.247
0.849,0.0,15.144,0.927,14.038
0.861,0.0,15.144,0.925,14.008
0.873,0.0,15.144,0.892,13.508
0.884,0.0,15.144,0.856,12.963
0.895,0.0,15.144,0.891,13.493
0.907,0.0,15.144,0.891,13.493
0.921,0.0,15.144,0.889,13.463
0.936,0.0,15.144,0.89,13.478
0.947,0.0,15.144,0.887,13.433
0.958,0.0,15.148,0.887,13.436
0.969,0.0,15.148,0.927,14.042
0.979,0.0,15.144,0.888,13.448
0.99,0.0,15.148,0.887,13.436
1.001,0.0,15.144,0.861,13.039
1.012,0.0,15.148,0.887,13.436
1.023,0.0,15.144,0.888,13.448
1.034,0.0,15.144,0.861,13.039
1.045,0.0,15.144,0.887,13.433
1.057,0.0,15.144,0.894,13.539
1.068,0.0,15.148,0.895,13.557
1.08,0.0,15.148,0.893,13.527
1.091,0.0,15.144,0.888,13.448
1.103,0.0,15.144,0.926,14.023
1.114,0.0,15.144,0.929,14.069
1.127,0.0,15.172,0.028,0.425
1.138,0.0,15.172,0.029,0.44
1.149,0.0,15.164,0.225,3.412
1.16,0.0,15.16,0.423,6.413
1.172,0.0,15.16,0.527,7.989
1.183,0.0,15.152,0.644,9.758
1.194,0.0,15.152,0.745,11.288
1.206,0.0,15.148,0.847,12.83
1.219,0.0,15.144,0.877,13.281
1.23,0.0,15.148,0.888,13.451
1.239,0.0,15.144,0.896,13.569
1.247,0.0,15.144,0.9,13.63
1.256,0.0,15.148,0.893,13.527
1.265,0.0,15.148,0.888,13.451
1.273,0.0,15.148,0.889,13.467
1.282,0.0,15.144,0.913,13.826
1.291,0.0,15.144,0.912,13.811
1.299,0.0,15.144,0.86,13.024
1.308,179.0,15.144,0.898,13.599
1.317,176.0,15.144,0.883,13.372
1.326,172.0,15.144,0.905,13.705
1.335,169.0,15.144,0.886,13.418
1.343,165.0,15.148,0.886,13.421
1.352,161.0,15.148,0.897,13.588
1.361,157.0,15.148,0.887,13.436
1.369,153.0,15.148,0.893,13.527
1.378,148.0,15.144,0.885,13.402
1.388,144.0,15.152,0.886,13.425
1.397,139.0,15.148,0.89,13.482
1.405,134.0,15.144,0.889,13.463
1.414,129.0,15.148,0.892,13.512
1.423,126.0,15.148,0.889,13.467
1.432,124.0,15.148,0.888,13.451
1.44,121.0,15.148,0.891,13.497
1.448,119.0,15.148,0.905,13.709
1.457,116.0,15.148,0.913,13.83
1.465,113.0,15.144,0.927,14.038
1.474,110.0,15.148,0.92,13.936
1.482,107.0,15.144,0.87,13.175
1.491,103.0,15.148,0.9,13.633
1.499,100.0,15.144,0.918,13.902
1.507,96.0,15.144,0.927,14.038
1.516,92.0,15.152,0.691,10.47
1.524,89.0,15.152,0.699,10.591
1.533,85.0,15.152,0.67,10.152
1.541,81.0,15.152,0.706,10.697
1.55,77.0,15.152,0.706,10.697
1.558,72.0,15.156,0.712,10.791
1.567,68.0,15.148,0.669,10.134
1.576,63.0,15.152,0.691,10.47
1.584,59.0,15.152,0.687,10.409
1.593,54.0,15.156,0.69,10.458
1.601,49.0,15.152,0.69,10.455
1.61,44.0,15.152,0.69,10.455
1.618,39.0,15.152,0.69,10.455
1.627,34.0,15.152,0.692,10.485
1.636,28.0,15.152,0.691,10.47
1.645,23.0,15.152,0.689,10.44
1.653,17.0,15.152,0.699,10.591
1.662,11.0,15.156,0.688,10.427
1.67,5.0,15.152,0.69,10.455
1.679,0.0,15.156,0.69,10.458
1.688,0.0,15.152,0.691,10.47
1.697,0.0,15.152,0.692,10.485
1.706,0.0,15.152,0.692,10.485
1.715,0.0,15.152,0.694,10.515
1.724,0.0,15.152,0.719,10.894
1.733,0.0,15.156,0.722,10.943
1.742,0.0,15.152,0.693,10.5
1.751,0.0,15.152,0.691,10.47
1.76,0.0,15.152,0.702,10.637
1.769,0.0,15.152,0.705,10.682
1.778,0.0,15.152,0.702,10.637
1.787,0.0,15.152,0.702,10.637
1.796,0.0,15.152,0.7,10.606
1.806,0.0,15.152,0.702,10.637
1.815,0.0,15.152,0.704,10.667
1.824,0.0,15.152,0.708,10.728
1.833,0.0,15.152,0.715,10.834
1.842,0.0,15.152,0.708,10.728
1.851,0.0,15.152,0.7,10.606
1.86,0.0,15.148,0.703,10.649
1.869,0.0,15.152,0.704,10.667
1.878,0.0,15.152,0.7,10.606
1.886,0.0,15.152,0.699,10.591
1.895,0.0,15.152,0.7,10.606
1.908,0.0,15.152,0.712,10.788
1.918,0.0,15.156,0.699,10.594
1.927,0.0,15.152,0.698,10.576
1.936,0.0,15.152,0.698,10.576
1.945,0.0,15.152,0.698,10.576
1.953,0.0,15.152,0.699,10.591
1.962,0.0,15.152,0.699,10.591
1.971,0.0,15.156,0.69,10.458
1.98,0.0,15.152,0.69,10.455
1.988,0.0,15.152,0.693,10.5
1.997,0.0,15.152,0.694,10.515
2.006,0.0,15.152,0.692,10.485
2.014,0.0,15.152,0.696,10.546
2.022,0.0,15.152,0.694,10.515
2.031,0.0,15.152,0.69,10.455
2.039,0.0,15.152,0.691,10.47
2.048,0.0,15.156,0.698,10.579
2.056,0.0,15.152,0.691,10.47
2.064,0.0,15.152,0.693,10.5
2.073,0.0,15.152,0.693,10.5
2.081,0.0,15.152,0.69,10.455
2.089,0.0,15.152,0.691,10.47
2.098,0.0,15.152,0.691,10.47
2.106,0.0,15.152,0.692,10.485
2.114,0.0,15.152,0.692,10.485
2.123,0.0,15.152,0.691,10.47
2.131,0.0,15.152,0.69,10.455
2.14,0.0,15.152,0.691,10.47
2.148,0.0,15.152,0.691,10.47
2.156,0.0,15.148,0.691,10.467
2.164,0.0,15.152,0.691,10.47
2.173,0.0,15.156,0.69,10.458
2.181,0.0,15.152,0.691,10.47
2.189,0.0,15.156,0.691,10.473
2.198,0.0,15.152,0.697,10.561
2.206,0.0,15.156,0.69,10.458
2.214,0.0,15.152,0.691,10.47
2.223,0.0,15.148,0.691,10.467
2.232,0.0,15.152,0.693,10.5
2.24,0.0,15.152,0.695,10.531
2.248,0.0,15.152,0.705,10.682
2.256,0.0,15.152,0.691,10.47
2.265,0.0,15.152,0.69,10.455
2.273,0.0,15.156,0.709,10.746
2.281,0.0,15.152,0.691,10.47
2.289,0.0,15.156,0.69,10.458
2.297,0.0,15.152,0.707,10.712
2.306,0.0,15.156,0.693,10.503
2.314,0.0,15.152,0.693,10.5
2.323,0.0,15.152,0.692,10.485
2.331,0.0,15.152,0.692,10.485
2.34,0.0,15.152,0.695,10.531
2.348,0.0,15.156,0.696,10.549
2.356,0.0,15.152,0.696,10.546
2.364,0.0,15.152,0.691,10.47
2.373,0.0,15.152,0.69,10.455
2.382,0.0,15.152,0.693,10.5
2.39,0.0,15.152,0.694,10.515
2.398,0.0,15.152,0.702,10.637
2.406,0.0,15.152,0.717,10.864
2.415,0.0,15.152,0.691,10.47
2.423,0.0,15.152,0.694,10.515
2.432,0.0,15.152,0.696,10.546
2.44,0.0,15.152,0.71,10.758
2.448,0.0,15.152,0.691,10.47
2.456,0.0,15.152,0.69,10.455
2.465,0.0,15.152,0.694,10.515
2.473,0.0,15.152,0.707,10.712
2.481,0.0,15.152,0.69,10.455
2.49,0.0,15.152,0.691,10.47
2.498,0.0,15.152,0.695,10.531
2.506,0.0,15.152,0.697,10.561
2.515,0.0,15.152,0.69,10.455
2.523,0.0,15.152,0.689,10.44
2.532,0.0,15.152,0.691,10.47
2.541,0.0,15.152,0.707,10.712
2.55,0.0,15.152,0.665,10.076
2.558,0.0,15.152,0.697,10.561
2.567,0.0,15.152,0.688,10.425
2.576,0.0,15.152,0.7,10.606
2.584,0.0,15.152,0.69,10.455
2.593,0.0,15.152,0.692,10.485
2.601,0.0,15.152,0.692,10.485
2.61,0.0,15.156,0.694,10.518
2.618,0.0,15.152,0.694,10.515
2.626,0.0,15.152,0.69,10.455
2.635,0.0,15.152,0.691,10.47
2.644,0.0,15.152,0.692,10.485
2.656,0.0,15.156,0.69,10.458
2.667,0.0,15.152,0.669,10.137
2.679,0.0,15.152,0.7,10.606
2.69,0.0,15.152,0.692,10.485
2.701,0.0,15.152,0.69,10.455
2.714,0.0,15.152,0.691,10.47
2.725,0.0,15.152,0.715,10.834
2.736,0.0,15.152,0.69,10.455
2.747,0.0,15.152,0.69,10.455
2.758,0.0,15.152,0.69,10.455
2.768,0.0,15.152,0.697,10.561
2.779,0.0,15.152,0.69,10.455
2.789,0.0,15.152,0.692,10.485
2.799,0.0,15.152,0.695,10.531
2.809,0.0,15.152,0.691,10.47
2.82,0.0,15.156,0.69,10.458
2.83,0.0,15.152,0.691,10.47
2.84,0.0,15.152,0.691,10.47
2.852,0.0,15.152,0.691,10.47
2.863,0.0,15.152,0.69,10.455
2.875,0.0,15.152,0.693,10.5
2.886,0.0,15.152,0.705,10.682
2.897,0.0,15.152,0.693,10.5
2.908,0.0,15.152,0.693,10.5
2.919,0.0,15.152,0.693,10.5
2.93,0.0,15.148,0.692,10.482
2.941,0.0,15.152,0.69,10.455
2.952,0.0,15.156,0.692,10.488
2.963,0.0,15.152,0.692,10.485
2.975,0.0,15.152,0.716,10.849
2.986,0.0,15.148,0.698,10.573
2.997,0.0,15.152,0.69,10.455
3.008,0.0,15.152,0.706,10.697
3.02,0.0,15.152,0.688,10.425
3.033,0.0,15.152,0.693,10.5
3.044,0.0,15.152,0.69,10.455
3.054,0.0,15.152,0.69,10.455
3.065,0.0,15.152,0.691,10.47
3.075,0.0,15.152,0.708,10.728
3.085,0.0,15.152,0.701,10.622
3.096,0.0,15.156,0.702,10.64
3.107,0.0,15.156,0.698,10.579
3.117,0.0,15.152,0.692,10.485
3.128,0.0,15.148,0.746,11.3
3.139,0.0,15.152,0.728,11.031
3.148,0.0,15.152,0.726,11.0
3.156,0.0,15.148,0.751,11.376
3.165,0.0,15.156,0.72,10.912
3.174,0.0,15.152,0.73,11.061
3.182,0.0,15.152,0.694,10.515
3.19,0.0,15.152,0.707,10.712
3.199,0.0,15.152,0.716,10.849
3.207,0.0,15.152,0.729,11.046
3.216,0.0,15.152,0.711,10.773
3.224,0.0,15.152,0.711,10.773
3.232,0.0,15.152,0.676,10.243
3.241,0.0,15.156,0.72,10.912
3.249,0.0,15.156,0.731,11.079
3.258,0.0,15.152,0.715,10.834
3.266,0.0,15.152,0.68,10.303
3.274,0.0,15.152,0.701,10.622
3.283,0.0,15.152,0.692,10.485
3.291,0.0,15.152,0.723,10.955
3.3,0.0,15.148,0.695,10.528
3.308,0.0,15.152,0.701,10.622
3.316,0.0,15.152,0.684,10.364
3.325,0.0,15.152,0.698,10.576
3.333,0.0,15.152,0.706,10.697
3.342,0.0,15.152,0.694,10.515
3.35,0.0,15.152,0.707,10.712
3.359,0.0,15.152,0.7,10.606
3.367,0.0,15.152,0.699,10.591
3.376,0.0,15.156,0.7,10.609
3.384,0.0,15.152,0.695,10.531
3.394,0.0,15.152,0.693,10.5
3.402,0.0,15.148,0.694,10.513
3.411,0.0,15.152,0.693,10.5
3.42,0.0,15.152,0.692,10.485
3.428,0.0,15.152,0.693,10.5
3.436,0.0,15.152,0.694,10.515
3.445,0.0,15.152,0.695,10.531
3.454,0.0,15.152,0.69,10.455
3.462,0.0,15.156,0.691,10.473
3.471,0.0,15.152,0.69,10.455
3.479,0.0,15.152,0.69,10.455
3.487,0.0,15.152,0.69,10.455
3.496,0.0,15.148,0.697,10.558
3.504,0.0,15.152,0.691,10.47
3.512,0.0,15.132,1.317,19.929
3.52,0.0,15.136,1.32,19.98
3.528,0.0,15.132,1.315,19.899
3.537,0.0,15.132,1.316,19.914
3.545,0.0,15.132,1.314,19.883
3.553,0.0,15.132,1.317,19.929
3.561,0.0,15.132,1.317,19.929
3.57,0.0,15.132,1.321,19.989
3.578,0.0,15.136,1.315,19.904
3.586,0.0,15.136,1.316,19.919
3.594,0.0,15.132,1.316,19.914
3.603,0.0,15.128,1.314,19.878
3.611,0.0,15.132,1.317,19.929
3.619,0.0,15.132,1.321,19.989
3.628,0.0,15.132,1.314,19.883
3.636,0.0,15.132,1.315,19.899
3.644,0.0,15.132,1.314,19.883
3.653,0.0,15.132,1.315,19.899
3.661,0.0,15.136,1.315,19.904
3.67,0.0,15.132,1.318,19.944
3.678,0.0,15.132,1.316,19.914
3.687,0.0,15.136,1.316,19.919
3.695,0.0,15.136,1.315,19.904
