Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.815,0.0,5.076,0.0,0.0
0.825,0.0,5.076,0.0,0.0
0.834,0.0,5.076,0.0,0.0
0.842,0.0,5.076,0.0,0.0
0.851,0.0,5.076,0.0,0.0
0.86,0.0,5.076,0.0,0.0
0.869,0.0,5.076,0.0,0.0
0.877,0.0,5.076,0.0,0.0
0.887,0.0,5.076,0.0,0.0
0.897,0.0,5.076,0.0,0.0
0.906,0.0,5.076,0.0,0.0
0.914,0.0,5.076,0.0,0.0
0.923,0.0,5.076,0.0,0.0
0.932,0.0,5.072,0.01,0.051
0.941,0.0,5.076,0.0,0.0
0.95,0.0,5.076,0.01,0.051
0.959,0.0,5.076,0.0,0.0
0.968,0.0,5.076,0.0,0.0
0.977,0.0,5.076,0.0,0.0
0.986,0.0,5.076,0.0,0.0
0.994,0.0,9.108,0.019,0.173
1.005,0.0,9.104,0.018,0.164
1.014,0.0,9.104,0.017,0.155
1.071,0.0,9.104,0.014,0.127
1.127,63.0,9.104,0.016,0.146
1.136,67.0,9.108,0.015,0.137
1.146,70.0,9.104,0.016,0.146
1.154,74.0,9.104,0.015,0.137
1.163,77.0,9.104,0.015,0.137
1.172,80.0,9.104,0.015,0.137
1.181,83.0,9.104,0.016,0.146
1.191,86.0,9.108,0.015,0.137
1.2,89.0,9.1,0.016,0.146
1.209,92.0,9.104,0.017,0.155
1.218,94.0,9.108,0.015,0.137
1.226,97.0,9.104,0.016,0.146
1.234,99.0,9.104,0.016,0.146
1.245,102.0,9.104,0.015,0.137
1.255,104.0,9.104,0.016,0.146
1.263,106.0,9.1,0.015,0.136
1.272,108.0,9.104,0.017,0.155
1.281,110.0,9.104,0.015,0.137
1.29,112.0,9.104,0.016,0.146
1.299,113.0,9.104,0.015,0.137
1.309,115.0,9.104,0.016,0.146
1.318,116.0,9.104,0.016,0.146
1.327,118.0,9.104,0.015,0.137
1.335,119.0,9.104,0.014,0.127
1.344,120.0,9.108,0.017,0.155
1.352,121.0,9.104,0.014,0.127
1.362,122.0,20.24,0.074,1.498
1.371,129.0,20.24,0.066,1.336
1.38,137.0,20.24,0.074,1.498
1.388,144.0,20.24,0.063,1.275
1.397,150.0,20.24,0.073,1.478
1.491,159.0,20.24,0.065,1.316
1.5,165.0,20.236,0.064,1.295
1.509,171.0,20.24,0.066,1.336
1.517,177.0,20.236,0.059,1.194
1.526,183.0,20.236,0.068,1.376
1.536,188.0,20.236,0.061,1.234
1.546,193.0,20.24,0.069,1.397
1.555,198.0,20.236,0.067,1.356
1.563,203.0,20.24,0.068,1.376
1.571,207.0,20.24,0.065,1.316
1.58,211.0,20.24,0.073,1.478
1.588,215.0,20.24,0.065,1.316
1.599,218.0,20.236,0.062,1.255
1.608,222.0,20.24,0.065,1.316
1.616,225.0,20.236,0.059,1.194
1.625,228.0,20.236,0.067,1.356
1.633,230.0,20.236,0.062,1.255
1.641,233.0,20.236,0.067,1.356
1.651,235.0,20.24,0.062,1.255
1.66,237.0,20.236,0.069,1.396
1.67,239.0,20.236,0.063,1.275
1.678,240.0,20.24,0.071,1.437
1.687,241.0,20.24,0.066,1.336
1.695,242.0,20.24,0.069,1.397
1.704,243.0,20.24,0.065,1.316
1.714,243.0,20.236,0.062,1.255
1.723,244.0,20.24,0.066,1.336
1.732,244.0,20.236,0.063,1.275
1.741,243.0,20.24,0.071,1.437
1.75,243.0,20.24,0.058,1.174
1.758,242.0,20.236,0.069,1.396
1.768,241.0,20.24,0.061,1.235
1.777,240.0,20.236,0.069,1.396
1.786,238.0,20.236,0.067,1.356
1.795,237.0,20.24,0.059,1.194
1.803,235.0,20.24,0.066,1.336
1.812,233.0,20.24,0.061,1.235
1.82,230.0,20.24,0.066,1.336
1.83,228.0,20.236,0.062,1.255
1.839,225.0,20.24,0.068,1.376
1.847,222.0,20.24,0.062,1.255
1.856,218.0,20.24,0.065,1.316
1.864,215.0,20.236,0.062,1.255
1.872,211.0,20.24,0.068,1.376
1.883,207.0,20.24,0.062,1.255
1.892,205.0,20.24,0.065,1.316
1.901,204.0,20.24,0.063,1.275
1.909,202.0,20.24,0.059,1.194
1.917,200.0,20.24,0.066,1.336
1.926,198.0,20.236,0.062,1.255
1.936,196.0,20.24,0.066,1.336
1.946,193.0,20.236,0.059,1.194
1.955,191.0,20.24,0.064,1.295
1.963,188.0,20.24,0.06,1.214
1.972,185.0,20.236,0.067,1.356
1.98,182.0,20.24,0.06,1.214
1.989,178.0,20.24,0.066,1.336
2.0,175.0,20.24,0.065,1.316
2.009,171.0,20.24,0.059,1.194
2.018,167.0,20.24,0.064,1.295
2.026,163.0,20.24,0.063,1.275
2.035,159.0,20.24,0.065,1.316
2.043,154.0,20.24,0.062,1.255
2.053,150.0,20.24,0.065,1.316
2.062,145.0,20.24,0.062,1.255
2.071,140.0,20.24,0.069,1.397
2.08,137.0,20.24,0.065,1.316
2.088,134.0,20.24,0.066,1.336
2.097,131.0,20.24,0.064,1.295
2.105,128.0,20.24,0.068,1.376
2.116,125.0,20.236,0.067,1.356
2.125,121.0,20.24,0.063,1.275
2.134,118.0,20.24,0.064,1.295
