Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.81,0.0,5.076,0.0,0.0
0.819,0.0,5.076,0.01,0.051
0.827,0.0,5.076,0.0,0.0
0.835,0.0,5.08,0.0,0.0
0.844,0.0,5.076,0.01,0.051
0.853,0.0,5.08,0.01,0.051
0.862,0.0,5.076,0.0,0.0
0.871,0.0,5.076,0.0,0.0
0.879,0.0,5.08,0.0,0.0
0.887,0.0,5.076,0.0,0.0
0.896,0.0,5.076,0.0,0.0
0.907,0.0,5.076,0.0,0.0
0.915,0.0,5.08,0.0,0.0
0.924,0.0,5.076,0.0,0.0
0.932,0.0,5.076,0.0,0.0
0.941,0.0,5.076,0.0,0.0
0.949,0.0,5.076,0.01,0.051
0.959,0.0,5.076,0.0,0.0
0.968,0.0,5.076,0.0,0.0
0.977,0.0,5.076,0.0,0.0
0.985,0.0,5.076,0.0,0.0
0.993,0.0,9.108,0.017,0.155
1.001,0.0,9.112,0.017,0.155
1.057,0.0,9.108,0.016,0.146
1.067,0.0,9.108,0.017,0.155
1.077,0.0,9.108,0.015,0.137
1.085,0.0,9.108,0.016,0.146
1.094,73.0,9.108,0.017,0.155
1.102,76.0,9.108,0.015,0.137
1.16,79.0,9.108,0.016,0.146
1.17,82.0,9.112,0.015,0.137
1.18,85.0,9.108,0.016,0.146
1.189,88.0,9.108,0.016,0.146
1.197,91.0,9.112,0.015,0.137
1.206,94.0,9.108,0.015,0.137
1.214,97.0,9.108,0.015,0.137
1.222,99.0,9.104,0.017,0.155
1.232,101.0,9.108,0.016,0.146
1.241,104.0,9.108,0.016,0.146
1.249,106.0,9.108,0.015,0.137
1.258,108.0,9.112,0.016,0.146
1.266,110.0,9.108,0.015,0.137
1.274,112.0,9.108,0.017,0.155
1.284,114.0,9.108,0.016,0.146
1.293,115.0,9.108,0.014,0.128
1.302,117.0,9.108,0.015,0.137
1.311,118.0,9.104,0.016,0.146
1.319,120.0,9.108,0.014,0.128
1.328,121.0,9.108,0.016,0.146
1.338,122.0,9.108,0.016,0.146
1.349,123.0,9.104,0.016,0.146
1.357,124.0,20.248,0.083,1.681
1.366,131.0,20.24,0.068,1.376
1.375,138.0,20.24,0.073,1.478
1.384,145.0,20.244,0.066,1.336
1.393,152.0,20.244,0.069,1.397
1.487,159.0,20.244,0.068,1.377
1.496,165.0,20.244,0.066,1.336
1.505,171.0,20.244,0.065,1.316
1.515,176.0,20.244,0.061,1.235
1.525,182.0,20.244,0.064,1.296
1.533,187.0,20.248,0.063,1.276
1.542,192.0,20.244,0.067,1.356
1.551,197.0,20.244,0.06,1.215
1.56,201.0,20.244,0.066,1.336
1.571,206.0,20.244,0.065,1.316
1.58,210.0,20.24,0.06,1.214
1.589,214.0,20.244,0.066,1.336
1.597,217.0,20.24,0.061,1.235
1.606,220.0,20.244,0.067,1.356
1.615,223.0,20.244,0.062,1.255
1.625,226.0,20.244,0.062,1.255
1.634,229.0,20.244,0.065,1.316
1.643,231.0,20.244,0.067,1.356
1.651,233.0,20.244,0.066,1.336
1.66,235.0,20.244,0.067,1.356
1.669,237.0,20.244,0.066,1.336
1.679,238.0,20.244,0.059,1.194
1.688,239.0,20.24,0.067,1.356
