Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.263,0.0,5.076,0.0,0.0
0.273,0.0,5.076,0.0,0.0
0.285,0.0,5.072,0.01,0.051
0.296,0.0,5.076,0.0,0.0
0.306,0.0,5.072,0.0,0.0
0.318,0.0,5.072,0.0,0.0
0.329,0.0,5.076,0.0,0.0
0.34,0.0,5.076,0.0,0.0
0.352,0.0,5.08,0.01,0.051
0.363,0.0,5.072,0.0,0.0
0.373,0.0,5.076,0.0,0.0
0.392,0.0,5.072,0.0,0.0
0.401,0.0,5.076,0.0,0.0
0.411,0.0,5.072,0.0,0.0
0.421,0.0,5.076,0.0,0.0
0.431,0.0,5.076,0.0,0.0
0.44,0.0,5.076,0.0,0.0
0.451,0.0,5.072,0.0,0.0
0.461,0.0,5.076,0.0,0.0
0.47,0.0,5.076,0.0,0.0
0.48,0.0,5.072,0.0,0.0
0.491,0.0,5.072,0.0,0.0
0.502,0.0,5.076,0.0,0.0
0.513,0.0,5.076,0.0,0.0
0.525,0.0,5.076,0.0,0.0
0.536,0.0,5.072,0.0,0.0
0.547,0.0,5.076,0.0,0.0
0.558,0.0,5.076,0.0,0.0
0.569,0.0,5.076,0.0,0.0
0.58,0.0,5.076,0.0,0.0
0.592,0.0,5.076,0.0,0.0
0.602,0.0,5.076,0.01,0.051
0.614,0.0,5.076,0.0,0.0
0.625,0.0,5.076,0.0,0.0
0.636,0.0,5.076,0.0,0.0
0.647,0.0,5.076,0.0,0.0
0.659,0.0,5.072,0.0,0.0
0.669,0.0,5.076,0.0,0.0
0.681,0.0,5.076,0.0,0.0
0.692,0.0,5.076,0.0,0.0
0.701,0.0,5.076,0.0,0.0
0.712,0.0,5.076,0.0,0.0
0.723,0.0,5.076,0.01,0.051
0.732,0.0,5.076,0.0,0.0
0.743,0.0,5.072,0.0,0.0
0.753,0.0,5.076,0.0,0.0
0.763,0.0,5.076,0.0,0.0
0.773,0.0,5.076,0.0,0.0
0.784,0.0,5.072,0.0,0.0
0.795,0.0,5.072,0.0,0.0
0.805,0.0,5.076,0.0,0.0
0.817,0.0,5.076,0.0,0.0
0.828,0.0,5.076,0.0,0.0
0.842,0.0,5.072,0.0,0.0
0.852,0.0,5.076,0.0,0.0
0.863,0.0,5.072,0.0,0.0
0.874,0.0,5.072,0.0,0.0
0.885,0.0,5.076,0.0,0.0
0.895,0.0,5.072,0.0,0.0
0.906,0.0,5.076,0.0,0.0
0.918,0.0,5.076,0.0,0.0
0.929,0.0,5.072,0.0,0.0
0.94,0.0,5.076,0.0,0.0
0.952,0.0,5.076,0.0,0.0
0.962,0.0,5.076,0.0,0.0
0.974,0.0,5.076,0.0,0.0
0.985,0.0,5.076,0.0,0.0
0.994,0.0,5.076,0.0,0.0
1.004,0.0,5.072,0.098,0.497
1.015,0.0,5.072,0.1,0.507
1.024,0.0,5.072,0.099,0.502
1.033,0.0,5.072,0.098,0.497
1.044,0.0,5.072,0.099,0.502
1.054,0.0,5.072,0.099,0.502
1.064,0.0,5.072,0.097,0.492
1.075,0.0,5.072,0.099,0.502
1.085,0.0,5.072,0.099,0.502
1.096,0.0,5.072,0.098,0.497
1.107,0.0,5.072,0.098,0.497
1.118,0.0,5.072,0.099,0.502
1.129,0.0,5.072,0.101,0.512
1.14,0.0,5.072,0.1,0.507
1.152,0.0,5.072,0.097,0.492
1.163,0.0,5.072,0.051,0.259
1.174,0.0,5.072,0.075,0.38
1.185,0.0,5.068,0.099,0.502
1.195,0.0,5.072,0.1,0.507
1.206,0.0,5.072,0.102,0.517
1.216,0.0,5.072,0.099,0.502
1.226,0.0,5.072,0.1,0.507
1.237,0.0,5.076,0.1,0.508
1.247,21.0,5.072,0.099,0.502
1.257,19.0,5.072,0.099,0.502
1.267,16.0,5.072,0.099,0.502
1.278,14.0,5.072,0.098,0.497
1.288,11.0,5.072,0.099,0.502
1.299,8.0,5.072,0.098,0.497
1.31,5.0,5.076,0.099,0.503
1.321,2.0,5.076,0.098,0.497
1.332,0.0,5.072,0.095,0.482
1.344,0.0,5.072,0.052,0.264
1.354,0.0,5.076,0.075,0.381
1.365,0.0,9.1,0.11,1.001
1.377,2.0,9.1,0.134,1.219
1.447,4.0,9.096,0.249,2.265
1.457,6.0,9.096,0.23,2.092
1.469,9.0,9.1,0.215,1.956
1.48,11.0,9.1,0.246,2.239
1.49,13.0,9.1,0.232,2.111
1.502,15.0,9.096,0.223,2.028
1.513,17.0,9.096,0.217,1.974
1.523,19.0,9.096,0.252,2.292
1.535,21.0,9.096,0.272,2.474
1.546,23.0,9.096,0.265,2.41
1.557,25.0,9.096,0.274,2.492
1.568,27.0,9.1,0.228,2.075
1.579,29.0,9.096,0.233,2.119
1.59,30.0,9.1,0.253,2.302
1.601,32.0,9.1,0.217,1.975
1.612,34.0,9.096,0.226,2.056
1.623,35.0,9.096,0.275,2.501
1.634,37.0,9.1,0.272,2.475
1.645,38.0,9.096,0.225,2.047
1.656,40.0,9.1,0.203,1.847
1.667,41.0,9.096,0.22,2.001
1.678,42.0,9.096,0.264,2.401
1.689,44.0,9.096,0.233,2.119
1.7,45.0,9.096,0.218,1.983
