Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.401,0.0,5.076,0.011,0.056
0.412,0.0,5.076,0.01,0.051
0.423,0.0,5.072,0.01,0.051
0.434,0.0,5.076,0.01,0.051
0.445,0.0,5.076,0.0,0.0
0.457,0.0,5.076,0.0,0.0
0.467,0.0,5.072,0.01,0.051
0.479,0.0,5.072,0.0,0.0
0.49,0.0,5.076,0.01,0.051
0.501,0.0,5.072,0.0,0.0
0.513,0.0,5.076,0.01,0.051
0.524,0.0,5.076,0.01,0.051
0.535,0.0,5.076,0.0,0.0
0.546,0.0,5.072,0.0,0.0
0.558,0.0,5.076,0.0,0.0
0.569,0.0,5.072,0.01,0.051
0.58,0.0,5.076,0.0,0.0
0.591,0.0,5.076,0.011,0.056
0.602,0.0,5.076,0.011,0.056
0.612,0.0,5.076,0.011,0.056
0.624,0.0,5.072,0.01,0.051
0.635,0.0,5.072,0.011,0.056
0.646,0.0,5.076,0.011,0.056
0.657,0.0,5.076,0.0,0.0
0.668,0.0,5.072,0.01,0.051
0.677,0.0,5.072,0.011,0.056
0.688,0.0,5.072,0.0,0.0
0.699,0.0,5.076,0.01,0.051
0.709,0.0,5.076,0.011,0.056
0.719,0.0,5.076,0.0,0.0
0.73,0.0,5.076,0.01,0.051
0.742,0.0,5.076,0.0,0.0
0.754,0.0,5.076,0.01,0.051
0.765,0.0,5.076,0.01,0.051
0.776,0.0,5.076,0.0,0.0
0.798,0.0,5.076,0.01,0.051
0.809,0.0,5.076,0.011,0.056
0.819,0.0,5.076,0.01,0.051
0.83,0.0,5.076,0.0,0.0
0.842,0.0,5.076,0.0,0.0
0.852,0.0,5.072,0.0,0.0
0.863,0.0,5.076,0.0,0.0
0.874,0.0,5.076,0.01,0.051
0.885,0.0,5.076,0.01,0.051
0.896,0.0,5.072,0.01,0.051
0.908,0.0,5.076,0.01,0.051
0.919,0.0,5.076,0.0,0.0
0.929,0.0,5.072,0.01,0.051
0.94,0.0,5.072,0.011,0.056
0.952,0.0,5.072,0.0,0.0
0.962,0.0,5.076,0.011,0.056
0.973,0.0,5.076,0.0,0.0
0.988,0.0,5.076,0.01,0.051
0.998,0.0,5.076,0.0,0.0
1.009,0.0,5.072,0.011,0.056
1.02,0.0,5.072,0.014,0.071
1.032,0.0,5.072,0.014,0.071
1.042,0.0,5.076,0.013,0.066
1.053,0.0,5.076,0.0,0.0
1.064,0.0,5.076,0.01,0.051
1.071,0.0,5.076,0.0,0.0
1.079,0.0,5.076,0.01,0.051
1.088,0.0,5.072,0.011,0.056
1.097,0.0,5.076,0.01,0.051
1.104,0.0,5.072,0.01,0.051
1.112,0.0,5.072,0.0,0.0
1.121,0.0,5.076,0.01,0.051
1.129,0.0,5.076,0.0,0.0
1.137,0.0,5.072,0.01,0.051
1.145,0.0,5.072,0.01,0.051
1.153,61.0,5.072,0.101,0.512
1.162,60.0,5.072,0.101,0.512
1.17,58.0,5.072,0.1,0.507
1.178,57.0,5.072,0.101,0.512
1.186,55.0,5.072,0.101,0.512
1.195,54.0,5.076,0.101,0.513
1.205,52.0,5.072,0.102,0.517
1.213,51.0,5.072,0.101,0.512
1.221,49.0,5.072,0.103,0.522
1.229,47.0,5.072,0.1,0.507
1.238,45.0,5.072,0.102,0.517
1.246,43.0,5.072,0.101,0.512
1.254,41.0,5.068,0.101,0.512
1.262,39.0,5.072,0.101,0.512
1.271,37.0,5.072,0.101,0.512
1.279,35.0,5.072,0.101,0.512
1.287,33.0,5.068,0.103,0.522
1.296,31.0,5.072,0.103,0.522
1.305,29.0,5.072,0.103,0.522
1.312,26.0,5.072,0.055,0.279
1.32,24.0,5.068,0.078,0.395
1.328,21.0,5.072,0.08,0.406
1.337,19.0,5.072,0.103,0.522
1.346,16.0,5.072,0.102,0.517
1.353,14.0,5.072,0.103,0.522
1.365,11.0,5.068,0.101,0.512
1.374,8.0,5.072,0.103,0.522
1.382,5.0,5.068,0.102,0.517
1.39,2.0,5.072,0.102,0.517
1.398,0.0,5.072,0.102,0.517
1.407,0.0,5.072,0.101,0.512
1.416,0.0,5.072,0.103,0.522
1.425,0.0,5.072,0.103,0.522
1.433,0.0,5.072,0.102,0.517
1.442,0.0,5.068,0.102,0.517
1.45,0.0,5.068,0.102,0.517
1.459,0.0,5.072,0.101,0.512
1.467,0.0,5.068,0.103,0.522
1.476,0.0,5.072,0.103,0.522
1.485,0.0,5.068,0.081,0.411
1.493,0.0,5.072,0.054,0.274
1.501,0.0,5.072,0.079,0.401
1.51,0.0,5.072,0.1,0.507
1.519,0.0,9.1,0.111,1.01
1.527,2.0,9.096,0.135,1.228
1.535,4.0,9.1,0.037,0.337
1.592,6.0,9.096,0.183,1.665
1.6,9.0,9.1,0.182,1.656
1.608,11.0,9.096,0.185,1.683
1.619,13.0,9.1,0.181,1.647
1.629,15.0,9.1,0.195,1.774
1.639,17.0,9.1,0.175,1.592
1.647,19.0,9.1,0.181,1.647
1.656,21.0,9.096,0.207,1.883
1.664,23.0,9.1,0.171,1.556
1.672,25.0,9.1,0.207,1.884
1.681,27.0,9.1,0.179,1.629
1.69,29.0,9.096,0.204,1.856
1.698,30.0,9.096,0.207,1.883
1.708,32.0,9.096,0.207,1.883
1.718,34.0,9.096,0.198,1.801
1.726,35.0,9.096,0.207,1.883
1.735,37.0,9.096,0.195,1.774
1.743,38.0,9.096,0.206,1.874
1.751,40.0,9.096,0.189,1.719
1.761,41.0,9.096,0.207,1.883
1.77,42.0,9.1,0.208,1.893
1.782,44.0,9.096,0.204,1.856
1.794,45.0,9.096,0.227,2.065
1.806,46.0,9.096,0.211,1.919
1.823,47.0,9.1,0.195,1.774
1.834,48.0,9.1,0.218,1.984
1.845,49.0,9.096,0.23,2.092
1.856,50.0,9.096,0.205,1.865
1.868,51.0,9.096,0.196,1.783
1.879,52.0,9.1,0.222,2.02
1.89,53.0,9.096,0.223,2.028
1.901,54.0,9.1,0.188,1.711
1.911,54.0,9.1,0.229,2.084
1.923,55.0,9.096,0.205,1.865
1.934,56.0,9.096,0.22,2.001
1.945,56.0,9.1,0.229,2.084
1.956,57.0,9.096,0.217,1.974
1.968,57.0,9.096,0.231,2.101
1.977,58.0,9.096,0.252,2.292
1.987,58.0,9.096,0.249,2.265
1.998,59.0,9.1,0.209,1.902
2.008,59.0,9.096,0.25,2.274
2.018,59.0,9.096,0.25,2.274
2.029,59.0,9.096,0.176,1.601
2.039,60.0,9.096,0.248,2.256
2.049,60.0,9.096,0.217,1.974
2.059,60.0,9.096,0.253,2.301
2.075,60.0,9.096,0.25,2.274
2.086,60.0,9.096,0.237,2.156
2.097,60.0,9.096,0.17,1.546
2.109,60.0,9.096,0.25,2.274
2.12,59.0,9.096,0.249,2.265
2.131,59.0,9.1,0.175,1.592
2.144,59.0,9.096,0.263,2.392
2.155,59.0,9.096,0.245,2.229
2.166,58.0,9.096,0.227,2.065
2.178,58.0,9.096,0.259,2.356
2.19,57.0,9.092,0.275,2.5
2.201,57.0,9.096,0.298,2.711
2.213,56.0,9.096,0.321,2.92
2.225,56.0,9.096,0.371,3.375
2.236,55.0,9.092,0.393,3.573
2.247,54.0,9.092,0.415,3.773
2.26,54.0,9.088,0.436,3.962
2.271,53.0,9.088,0.462,4.199
2.281,52.0,9.088,0.49,4.453
2.297,51.0,9.088,0.512,4.653
2.307,50.0,9.088,0.537,4.88
2.318,49.0,9.092,0.56,5.092
2.329,48.0,9.084,0.583,5.296
2.339,47.0,9.084,0.608,5.523
2.349,46.0,9.084,0.633,5.75
2.36,45.0,9.084,0.658,5.977
2.374,43.0,9.088,0.682,6.198
2.389,42.0,9.088,0.731,6.643
2.401,41.0,9.08,0.754,6.846
2.412,39.0,9.084,0.78,7.086
2.423,38.0,9.08,0.806,7.318
2.435,37.0,9.08,0.829,7.527
2.447,35.0,9.076,0.855,7.76
2.458,33.0,9.076,0.879,7.978
2.47,32.0,9.076,0.904,8.205
2.482,30.0,9.076,0.929,8.432
2.492,28.0,9.076,0.954,8.659
