Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.488,0.0,5.072,0.0,0.0
0.546,0.0,5.076,0.011,0.056
0.557,0.0,5.072,0.01,0.051
0.568,0.0,5.072,0.01,0.051
0.58,0.0,5.076,0.01,0.051
0.591,0.0,5.072,0.011,0.056
0.602,0.0,5.076,0.011,0.056
0.614,0.0,5.072,0.011,0.056
0.625,0.0,5.072,0.01,0.051
0.636,0.0,5.076,0.011,0.056
0.651,0.0,5.072,0.0,0.0
0.662,0.0,5.072,0.01,0.051
0.672,0.0,5.076,0.01,0.051
0.684,0.0,5.076,0.011,0.056
0.694,0.0,5.076,0.01,0.051
0.705,0.0,5.076,0.011,0.056
0.716,0.0,5.076,0.011,0.056
0.728,0.0,5.076,0.01,0.051
0.739,0.0,5.072,0.0,0.0
0.75,0.0,5.076,0.01,0.051
0.761,0.0,5.072,0.01,0.051
0.772,0.0,5.076,0.01,0.051
0.784,0.0,5.076,0.011,0.056
0.796,0.0,5.076,0.0,0.0
0.807,0.0,5.076,0.011,0.056
0.818,0.0,5.072,0.0,0.0
0.83,0.0,5.076,0.011,0.056
0.841,0.0,5.072,0.012,0.061
0.852,0.0,5.076,0.01,0.051
0.864,0.0,5.072,0.01,0.051
0.875,0.0,5.076,0.01,0.051
0.887,0.0,5.076,0.011,0.056
0.899,0.0,5.072,0.012,0.061
0.91,0.0,5.076,0.011,0.056
0.921,0.0,5.076,0.011,0.056
0.933,0.0,5.076,0.01,0.051
0.944,0.0,5.076,0.011,0.056
0.955,0.0,5.076,0.0,0.0
0.967,0.0,5.076,0.01,0.051
0.978,0.0,5.072,0.01,0.051
0.99,0.0,5.076,0.011,0.056
1.002,0.0,5.076,0.0,0.0
1.012,0.0,5.076,0.011,0.056
1.023,0.0,5.072,0.011,0.056
1.035,0.0,5.072,0.0,0.0
1.047,0.0,5.076,0.01,0.051
1.058,0.0,5.076,0.01,0.051
1.069,0.0,5.076,0.01,0.051
1.081,0.0,5.076,0.011,0.056
1.092,0.0,5.076,0.011,0.056
1.104,0.0,5.076,0.011,0.056
1.116,0.0,5.076,0.01,0.051
1.127,0.0,5.072,0.011,0.056
