Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.541,0.0,5.072,0.012,0.061
0.553,0.0,5.076,0.013,0.066
0.563,0.0,5.072,0.011,0.056
0.574,0.0,5.076,0.011,0.056
0.587,0.0,5.076,0.013,0.066
0.598,0.0,5.076,0.012,0.061
0.608,0.0,5.076,0.012,0.061
0.619,0.0,5.072,0.012,0.061
0.629,0.0,5.076,0.012,0.061
0.639,0.0,5.072,0.011,0.056
0.65,0.0,5.076,0.011,0.056
0.66,0.0,5.076,0.012,0.061
0.67,0.0,5.076,0.012,0.061
0.687,0.0,5.072,0.012,0.061
0.697,0.0,5.072,0.011,0.056
0.708,0.0,5.076,0.01,0.051
0.719,0.0,5.072,0.011,0.056
0.73,0.0,5.072,0.011,0.056
0.741,0.0,5.076,0.012,0.061
0.752,0.0,5.076,0.011,0.056
0.763,0.0,5.072,0.012,0.061
0.774,0.0,5.072,0.014,0.071
0.785,0.0,5.076,0.011,0.056
0.797,0.0,5.076,0.011,0.056
0.807,0.0,5.076,0.011,0.056
0.819,0.0,5.072,0.011,0.056
0.831,0.0,5.076,0.012,0.061
0.842,0.0,5.072,0.011,0.056
0.855,0.0,5.076,0.011,0.056
0.866,0.0,5.072,0.01,0.051
0.877,0.0,5.076,0.013,0.066
0.888,0.0,5.072,0.012,0.061
0.899,0.0,5.076,0.011,0.056
0.91,0.0,5.072,0.013,0.066
0.921,0.0,5.076,0.012,0.061
0.932,0.0,5.076,0.011,0.056
0.943,0.0,5.072,0.012,0.061
0.954,0.0,5.076,0.011,0.056
0.965,0.0,5.072,0.011,0.056
0.977,0.0,5.072,0.011,0.056
0.987,0.0,5.076,0.011,0.056
0.998,0.0,5.076,0.01,0.051
1.01,0.0,5.076,0.011,0.056
1.021,0.0,5.076,0.011,0.056
1.033,0.0,5.076,0.012,0.061
1.045,0.0,5.076,0.012,0.061
1.056,0.0,5.072,0.012,0.061
1.067,0.0,5.072,0.011,0.056
1.079,0.0,5.076,0.011,0.056
1.091,0.0,5.076,0.011,0.056
1.102,0.0,5.072,0.012,0.061
1.114,0.0,5.072,0.011,0.056
1.125,0.0,5.072,0.012,0.061
1.137,0.0,5.076,0.011,0.056
1.149,0.0,5.072,0.014,0.071
1.16,0.0,5.076,0.014,0.071
1.171,0.0,5.076,0.014,0.071
1.183,0.0,5.072,0.016,0.081
1.195,72.0,5.076,0.012,0.061
1.207,71.0,5.076,0.011,0.056
1.217,70.0,5.076,0.011,0.056
1.228,70.0,5.072,0.012,0.061
1.238,69.0,5.076,0.011,0.056
1.248,68.0,5.072,0.012,0.061
1.259,67.0,5.076,0.013,0.066
1.269,66.0,5.072,0.012,0.061
1.279,65.0,5.072,0.101,0.512
1.29,64.0,5.072,0.102,0.517
1.3,63.0,5.072,0.103,0.522
1.31,62.0,5.072,0.102,0.517
1.318,61.0,5.072,0.102,0.517
1.326,60.0,5.072,0.103,0.522
1.334,58.0,5.068,0.102,0.517
1.343,57.0,5.068,0.103,0.522
1.352,55.0,5.072,0.103,0.522
1.36,54.0,5.072,0.101,0.512
1.368,52.0,5.072,0.103,0.522
1.377,51.0,5.072,0.103,0.522
1.386,49.0,5.068,0.104,0.527
1.394,47.0,5.072,0.103,0.522
1.402,45.0,5.072,0.103,0.522
1.411,43.0,5.072,0.103,0.522
1.42,42.0,5.072,0.105,0.533
1.428,40.0,5.072,0.103,0.522
1.436,37.0,5.076,0.057,0.289
1.445,35.0,5.072,0.081,0.411
1.454,33.0,5.068,0.104,0.527
1.462,31.0,5.072,0.103,0.522
1.47,29.0,5.072,0.104,0.527
1.479,26.0,5.072,0.105,0.533
1.488,24.0,5.072,0.103,0.522
1.496,21.0,5.072,0.103,0.522
1.504,19.0,5.068,0.104,0.527
1.512,16.0,5.072,0.104,0.527
1.522,14.0,5.068,0.105,0.532
1.53,11.0,5.072,0.102,0.517
1.538,8.0,5.072,0.104,0.527
1.547,5.0,5.072,0.103,0.522
1.556,2.0,5.072,0.103,0.522
1.565,0.0,5.072,0.104,0.527
1.573,0.0,5.068,0.103,0.522
1.581,0.0,5.072,0.105,0.533
1.59,0.0,5.072,0.103,0.522
1.599,0.0,5.072,0.103,0.522
1.607,0.0,5.072,0.103,0.522
1.615,0.0,5.072,0.102,0.517
1.624,0.0,5.072,0.079,0.401
1.634,0.0,5.076,0.057,0.289
1.642,0.0,5.072,0.078,0.396
1.65,0.0,5.072,0.103,0.522
1.659,0.0,9.1,0.134,1.219
1.668,2.0,9.1,0.135,1.228
1.724,4.0,9.096,0.254,2.31
1.733,6.0,9.096,0.277,2.52
1.741,9.0,9.096,0.298,2.711
1.749,11.0,9.096,0.298,2.711
1.757,13.0,9.096,0.289,2.629
1.766,15.0,9.092,0.297,2.7
1.774,17.0,9.096,0.318,2.893
1.782,19.0,9.092,0.322,2.928
