Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.695,0.0,5.076,0.034,0.173
0.704,0.0,5.076,0.034,0.173
0.712,0.0,5.076,0.035,0.178
0.72,0.0,5.076,0.035,0.178
0.729,0.0,5.076,0.034,0.173
0.736,0.0,5.076,0.034,0.173
0.744,0.0,5.076,0.033,0.168
0.752,0.0,5.076,0.035,0.178
0.761,0.0,5.076,0.034,0.173
0.77,0.0,5.072,0.034,0.172
0.779,0.0,5.076,0.034,0.173
0.788,0.0,5.08,0.035,0.178
0.799,0.0,5.072,0.033,0.167
0.808,0.0,5.076,0.033,0.168
0.817,0.0,5.076,0.034,0.173
0.826,0.0,5.08,0.034,0.173
0.834,0.0,20.248,0.149,3.017
0.843,0.0,20.252,0.15,3.038
0.852,0.0,20.252,0.149,3.018
0.862,0.0,20.256,0.149,3.018
0.919,0.0,20.252,0.147,2.977
0.927,0.0,20.256,0.146,2.957
0.936,0.0,20.252,0.146,2.957
0.946,0.0,20.256,0.144,2.917
0.954,0.0,20.256,0.145,2.937
0.963,0.0,20.256,0.145,2.937
0.971,0.0,20.252,0.145,2.937
0.98,0.0,20.252,0.145,2.937
0.988,0.0,20.252,0.143,2.896
0.997,0.0,20.256,0.146,2.957
1.006,0.0,20.252,0.144,2.916
1.016,0.0,20.252,0.142,2.876
1.025,0.0,20.252,0.144,2.916
1.034,0.0,20.252,0.142,2.876
1.043,0.0,20.252,0.143,2.896
1.052,0.0,20.256,0.144,2.917
1.061,0.0,20.252,0.142,2.876
1.069,0.0,20.252,0.143,2.896
1.078,0.0,20.256,0.144,2.917
1.089,232.0,20.252,0.141,2.856
1.098,237.0,20.256,0.142,2.876
1.107,242.0,20.256,0.142,2.876
1.115,247.0,20.252,0.142,2.876
1.126,252.0,20.252,0.142,2.876
1.135,256.0,20.252,0.142,2.876
1.143,260.0,20.256,0.141,2.856
1.154,264.0,20.252,0.143,2.896
1.164,268.0,20.252,0.141,2.856
1.173,271.0,20.256,0.142,2.876
1.182,275.0,20.256,0.141,2.856
1.191,278.0,20.252,0.14,2.835
1.2,280.0,20.252,0.14,2.835
1.208,283.0,20.252,0.14,2.835
1.216,285.0,20.252,0.139,2.815
1.227,287.0,20.252,0.14,2.835
1.235,289.0,20.252,0.14,2.835
1.244,290.0,20.252,0.14,2.835
1.253,292.0,20.252,0.14,2.835
1.262,293.0,20.252,0.139,2.815
1.271,294.0,20.252,0.138,2.795
1.279,294.0,20.252,0.14,2.835
1.289,295.0,20.244,0.072,1.458
1.299,295.0,20.244,0.059,1.194
1.308,294.0,20.244,0.06,1.215
1.316,294.0,20.244,0.059,1.194
1.325,293.0,20.248,0.055,1.114
1.333,292.0,20.244,0.058,1.174
1.342,291.0,20.248,0.056,1.134
1.35,290.0,20.244,0.057,1.154
1.36,288.0,20.244,0.057,1.154
1.369,287.0,20.244,0.055,1.113
1.378,284.0,20.248,0.055,1.114
1.386,282.0,20.244,0.056,1.134
1.395,280.0,20.248,0.055,1.114
1.403,277.0,20.248,0.057,1.154
1.412,274.0,20.248,0.057,1.154
1.421,270.0,20.244,0.055,1.113
1.43,267.0,20.244,0.055,1.113
1.439,263.0,20.244,0.058,1.174
1.448,259.0,20.248,0.055,1.114
1.456,255.0,20.244,0.057,1.154
1.464,250.0,20.244,0.059,1.194
1.473,245.0,20.244,0.055,1.113
1.481,240.0,20.244,0.056,1.134
1.491,235.0,20.244,0.057,1.154
1.5,230.0,20.244,0.057,1.154
1.509,224.0,20.244,0.054,1.093
1.517,218.0,20.244,0.057,1.154
1.526,212.0,20.244,0.057,1.154
1.534,205.0,20.248,0.056,1.134
1.542,199.0,20.244,0.057,1.154
1.552,192.0,20.244,0.055,1.113
1.561,185.0,20.244,0.055,1.113
1.57,177.0,20.248,0.056,1.134
1.579,170.0,20.244,0.054,1.093
1.587,162.0,20.244,0.057,1.154
1.595,154.0,20.244,0.057,1.154
1.604,145.0,20.244,0.055,1.113
1.612,137.0,20.248,0.056,1.134
1.622,128.0,20.244,0.055,1.113
1.631,122.0,20.248,0.054,1.093
1.639,115.0,20.244,0.057,1.154
1.648,109.0,20.244,0.055,1.113
1.656,102.0,20.244,0.056,1.134
1.664,96.0,20.248,0.055,1.114
1.673,89.0,20.248,0.055,1.114
1.681,81.0,20.244,0.056,1.134
1.69,74.0,20.244,0.057,1.154
1.7,66.0,20.244,0.058,1.174
1.708,59.0,20.18,2.257,45.546
1.717,51.0,20.18,2.256,45.526
1.725,43.0,20.18,2.258,45.566
1.734,34.0,20.184,2.255,45.515
1.742,26.0,20.184,2.258,45.575
1.751,17.0,20.18,2.259,45.587
1.759,8.0,20.184,2.258,45.575
