Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.2,0.0,5.076,0.01,0.051
0.211,0.0,5.076,0.0,0.0
0.222,0.0,5.076,0.0,0.0
0.234,0.0,5.076,0.01,0.051
0.245,0.0,5.072,0.0,0.0
0.306,0.0,5.076,0.011,0.056
0.318,0.0,5.076,0.01,0.051
0.329,0.0,5.076,0.01,0.051
0.34,0.0,5.076,0.011,0.056
0.352,0.0,5.076,0.01,0.051
0.363,0.0,5.072,0.01,0.051
0.375,0.0,5.076,0.01,0.051
0.386,0.0,5.076,0.01,0.051
0.398,0.0,5.072,0.0,0.0
0.41,0.0,5.072,0.01,0.051
0.421,0.0,5.076,0.01,0.051
0.432,0.0,5.072,0.01,0.051
0.443,0.0,5.076,0.0,0.0
0.453,0.0,5.072,0.0,0.0
0.464,0.0,5.076,0.01,0.051
0.474,0.0,5.076,0.011,0.056
0.485,0.0,5.076,0.01,0.051
0.495,0.0,5.072,0.0,0.0
0.506,0.0,5.072,0.0,0.0
0.517,0.0,5.076,0.0,0.0
0.528,0.0,5.076,0.01,0.051
0.539,0.0,5.076,0.01,0.051
0.551,0.0,5.076,0.01,0.051
0.562,0.0,5.076,0.01,0.051
0.574,0.0,5.072,0.01,0.051
0.586,0.0,5.076,0.01,0.051
0.597,0.0,5.072,0.01,0.051
0.609,0.0,5.076,0.0,0.0
0.622,0.0,5.076,0.0,0.0
0.633,0.0,5.076,0.0,0.0
0.645,0.0,5.076,0.0,0.0
0.657,0.0,5.076,0.011,0.056
0.668,0.0,5.076,0.0,0.0
0.679,0.0,5.076,0.011,0.056
0.691,0.0,5.072,0.0,0.0
0.702,0.0,5.076,0.0,0.0
0.714,0.0,5.076,0.0,0.0
0.726,0.0,5.076,0.01,0.051
0.736,0.0,5.072,0.01,0.051
0.747,0.0,5.076,0.01,0.051
0.758,0.0,5.076,0.0,0.0
0.769,0.0,5.072,0.011,0.056
0.779,0.0,5.072,0.01,0.051
0.79,0.0,5.076,0.01,0.051
0.8,0.0,5.076,0.011,0.056
0.811,0.0,5.072,0.0,0.0
0.821,0.0,5.072,0.01,0.051
0.832,0.0,5.072,0.011,0.056
0.841,0.0,5.076,0.01,0.051
0.851,0.0,5.076,0.011,0.056
0.861,0.0,5.076,0.0,0.0
0.871,0.0,5.072,0.01,0.051
0.88,0.0,5.076,0.0,0.0
0.89,0.0,5.072,0.0,0.0
0.9,0.0,5.072,0.011,0.056
0.91,0.0,5.076,0.01,0.051
0.919,0.0,5.072,0.0,0.0
0.929,0.0,5.072,0.01,0.051
0.939,0.0,5.072,0.0,0.0
0.95,0.0,5.072,0.0,0.0
0.96,0.0,5.076,0.0,0.0
0.971,0.0,5.076,0.01,0.051
0.981,0.0,5.072,0.01,0.051
0.992,0.0,5.072,0.0,0.0
1.002,0.0,5.072,0.0,0.0
1.013,0.0,5.072,0.084,0.426
1.023,0.0,5.076,0.066,0.335
1.034,0.0,5.072,0.067,0.34
1.044,0.0,5.072,0.078,0.396
1.055,0.0,5.072,0.089,0.451
1.066,0.0,5.072,0.089,0.451
1.126,0.0,5.068,0.137,0.694
1.137,0.0,5.072,0.136,0.69
1.147,0.0,5.068,0.159,0.806
1.169,0.0,5.068,0.161,0.816
1.179,0.0,5.068,0.185,0.938
1.189,0.0,5.068,0.184,0.933
1.2,0.0,5.068,0.184,0.933
1.211,0.0,5.068,0.205,1.039
1.221,0.0,5.068,0.206,1.044
1.232,0.0,5.064,0.205,1.038
1.242,0.0,5.068,0.204,1.034
1.253,0.0,5.068,0.228,1.156
1.263,0.0,5.068,0.229,1.161
1.274,0.0,5.068,0.23,1.166
1.284,0.0,5.064,0.252,1.276
1.295,0.0,5.068,0.252,1.277
1.306,0.0,5.068,0.252,1.277
1.317,16.0,5.064,0.276,1.398
1.328,14.0,5.064,0.274,1.388
1.34,11.0,5.064,0.276,1.398
1.352,8.0,5.064,0.299,1.514
1.364,5.0,5.064,0.299,1.514
1.376,2.0,5.064,0.32,1.62
