Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
1.035,0.0,5.076,0.011,0.056
1.044,0.0,5.076,0.0,0.0
1.055,0.0,5.076,0.01,0.051
1.066,0.0,5.072,0.0,0.0
1.076,0.0,5.072,0.0,0.0
1.086,0.0,5.072,0.01,0.051
1.098,0.0,5.072,0.0,0.0
1.108,0.0,5.072,0.0,0.0
1.119,0.0,5.072,0.01,0.051
1.13,0.0,5.072,0.01,0.051
1.141,0.0,5.072,0.01,0.051
1.152,0.0,5.072,0.01,0.051
1.163,0.0,5.076,0.0,0.0
1.175,0.0,5.076,0.01,0.051
1.185,37.0,5.076,0.0,0.0
1.196,39.0,5.076,0.01,0.051
1.208,41.0,5.076,0.01,0.051
1.219,43.0,5.072,0.0,0.0
1.23,45.0,5.068,0.0,0.0
1.242,47.0,5.072,0.0,0.0
1.253,49.0,5.072,0.011,0.056
1.264,51.0,5.076,0.01,0.051
1.278,52.0,5.076,0.01,0.051
1.291,54.0,5.072,0.0,0.0
1.31,55.0,5.072,0.01,0.051
1.322,57.0,5.072,0.0,0.0
1.332,58.0,5.076,0.01,0.051
1.344,59.0,5.072,0.0,0.0
1.357,61.0,5.076,0.01,0.051
1.369,62.0,5.072,0.01,0.051
1.38,63.0,5.076,0.0,0.0
1.392,64.0,5.076,0.0,0.0
1.403,65.0,5.072,0.01,0.051
1.414,66.0,5.076,0.01,0.051
1.426,67.0,5.072,0.011,0.056
1.437,68.0,5.072,0.01,0.051
1.448,69.0,5.072,0.011,0.056
1.46,70.0,5.072,0.01,0.051
1.471,70.0,5.072,0.0,0.0
1.481,71.0,5.072,0.01,0.051
1.493,71.0,5.076,0.011,0.056
1.506,72.0,5.072,0.01,0.051
1.522,72.0,5.072,0.01,0.051
1.534,73.0,5.072,0.01,0.051
1.545,73.0,5.072,0.0,0.0
1.555,73.0,5.076,0.0,0.0
1.567,74.0,5.076,0.011,0.056
1.578,74.0,5.072,0.01,0.051
1.589,74.0,5.076,0.0,0.0
1.6,74.0,5.076,0.0,0.0
1.611,74.0,5.076,0.01,0.051
1.622,74.0,5.076,0.011,0.056
1.633,74.0,5.072,0.0,0.0
1.643,73.0,5.076,0.01,0.051
1.653,73.0,5.072,0.01,0.051
1.663,73.0,5.076,0.0,0.0
1.674,72.0,5.076,0.01,0.051
1.683,72.0,5.076,0.011,0.056
1.693,71.0,5.072,0.01,0.051
