Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.249,0.0,5.072,0.0,0.0
0.261,0.0,5.076,0.01,0.051
0.273,0.0,5.076,0.01,0.051
0.285,0.0,5.072,0.01,0.051
0.297,0.0,5.076,0.0,0.0
0.309,0.0,5.076,0.01,0.051
0.321,0.0,5.072,0.01,0.051
0.334,0.0,5.076,0.0,0.0
0.346,0.0,5.076,0.01,0.051
0.358,0.0,5.076,0.01,0.051
0.37,0.0,5.076,0.01,0.051
0.382,0.0,5.072,0.01,0.051
0.394,0.0,5.076,0.01,0.051
0.406,0.0,5.072,0.01,0.051
0.419,0.0,5.076,0.011,0.056
0.431,0.0,5.072,0.01,0.051
0.443,0.0,5.072,0.0,0.0
0.455,0.0,5.076,0.01,0.051
0.467,0.0,5.076,0.0,0.0
0.479,0.0,5.072,0.0,0.0
0.492,0.0,5.076,0.0,0.0
0.504,0.0,5.072,0.01,0.051
0.516,0.0,5.076,0.0,0.0
0.528,0.0,5.076,0.0,0.0
0.541,0.0,5.076,0.01,0.051
0.553,0.0,5.076,0.0,0.0
0.565,0.0,5.076,0.01,0.051
0.579,0.0,5.072,0.01,0.051
0.595,0.0,5.076,0.011,0.056
0.612,0.0,5.076,0.01,0.051
0.625,0.0,5.072,0.0,0.0
0.637,0.0,5.076,0.01,0.051
0.648,0.0,5.076,0.01,0.051
0.66,0.0,5.072,0.01,0.051
0.671,0.0,5.072,0.0,0.0
0.682,0.0,5.076,0.0,0.0
0.694,0.0,5.072,0.01,0.051
0.705,0.0,5.076,0.011,0.056
0.716,0.0,5.076,0.0,0.0
0.727,0.0,5.076,0.01,0.051
0.738,0.0,5.076,0.01,0.051
0.749,0.0,5.076,0.01,0.051
0.76,0.0,5.076,0.011,0.056
0.771,0.0,5.076,0.01,0.051
0.782,0.0,5.076,0.0,0.0
0.794,0.0,5.072,0.011,0.056
0.805,0.0,5.076,0.011,0.056
0.815,0.0,5.072,0.01,0.051
0.827,0.0,5.076,0.011,0.056
0.838,0.0,5.072,0.012,0.061
0.85,0.0,5.072,0.01,0.051
0.862,0.0,5.072,0.0,0.0
0.874,0.0,5.072,0.01,0.051
0.886,0.0,5.076,0.0,0.0
0.897,0.0,5.076,0.0,0.0
0.908,0.0,5.076,0.01,0.051
0.92,0.0,5.076,0.01,0.051
0.931,0.0,5.076,0.0,0.0
0.942,0.0,5.076,0.01,0.051
0.954,0.0,5.076,0.01,0.051
0.966,0.0,5.076,0.01,0.051
0.976,0.0,5.076,0.01,0.051
0.987,0.0,5.076,0.01,0.051
0.999,0.0,5.076,0.01,0.051
1.01,0.0,5.072,0.0,0.0
1.022,0.0,5.072,0.066,0.335
1.033,0.0,5.072,0.066,0.335
1.044,0.0,5.072,0.066,0.335
1.056,0.0,5.072,0.089,0.451
1.068,0.0,5.072,0.09,0.456
1.137,0.0,5.072,0.136,0.69
1.148,0.0,5.068,0.16,0.811
1.16,0.0,5.072,0.159,0.806
1.172,0.0,5.072,0.159,0.806
1.184,0.0,5.068,0.184,0.933
1.196,0.0,5.072,0.183,0.928
1.209,0.0,5.068,0.185,0.938
1.221,0.0,5.068,0.205,1.039
1.233,0.0,5.068,0.205,1.039
1.245,0.0,5.068,0.206,1.044
1.257,0.0,5.068,0.23,1.166
1.269,0.0,5.068,0.23,1.166
1.282,0.0,5.068,0.254,1.287
1.294,0.0,5.068,0.253,1.282
1.306,0.0,5.068,0.254,1.287
1.318,0.0,5.068,0.275,1.394
1.329,0.0,5.068,0.276,1.399
1.339,0.0,5.068,0.275,1.394
1.349,0.0,5.064,0.299,1.514
1.359,0.0,5.068,0.299,1.515
1.37,0.0,5.068,0.289,1.465
1.381,0.0,5.068,0.299,1.515
1.391,0.0,5.064,0.301,1.524
1.402,16.0,5.064,0.299,1.514
1.413,14.0,5.068,0.3,1.52
1.423,11.0,5.064,0.303,1.534
1.434,8.0,5.064,0.324,1.641
1.446,5.0,5.064,0.289,1.463
1.457,2.0,5.064,0.325,1.646
