Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.205,0.0,5.076,0.0,0.0
0.213,0.0,5.072,0.01,0.051
0.22,0.0,5.076,0.01,0.051
0.265,0.0,5.076,0.01,0.051
0.272,0.0,5.076,0.01,0.051
0.28,0.0,5.072,0.01,0.051
0.288,0.0,5.072,0.0,0.0
0.296,0.0,5.076,0.011,0.056
0.303,0.0,5.076,0.011,0.056
0.311,0.0,5.076,0.01,0.051
0.319,0.0,5.072,0.01,0.051
0.327,0.0,5.072,0.011,0.056
0.335,0.0,5.076,0.012,0.061
0.344,0.0,5.072,0.01,0.051
0.351,0.0,5.076,0.01,0.051
0.359,0.0,5.072,0.01,0.051
0.367,0.0,5.072,0.01,0.051
0.376,0.0,5.076,0.01,0.051
0.383,0.0,5.076,0.01,0.051
0.391,0.0,5.076,0.0,0.0
0.399,0.0,5.076,0.0,0.0
0.407,0.0,5.076,0.011,0.056
0.415,0.0,5.076,0.01,0.051
0.422,0.0,5.076,0.0,0.0
0.43,0.0,5.076,0.01,0.051
0.439,0.0,5.076,0.0,0.0
0.446,0.0,5.072,0.01,0.051
0.455,0.0,5.072,0.01,0.051
0.463,0.0,5.076,0.0,0.0
0.471,0.0,5.076,0.01,0.051
0.479,0.0,5.076,0.01,0.051
0.487,0.0,5.076,0.0,0.0
0.495,0.0,5.076,0.01,0.051
0.503,0.0,5.076,0.0,0.0
0.511,0.0,5.076,0.01,0.051
0.519,0.0,5.076,0.0,0.0
0.527,0.0,5.072,0.011,0.056
0.536,0.0,5.072,0.011,0.056
0.544,0.0,5.072,0.0,0.0
0.552,0.0,5.072,0.0,0.0
0.559,0.0,5.076,0.011,0.056
0.567,0.0,5.072,0.0,0.0
0.575,0.0,5.076,0.0,0.0
0.583,0.0,5.076,0.011,0.056
0.59,0.0,5.076,0.0,0.0
0.598,0.0,5.072,0.01,0.051
0.606,0.0,5.076,0.0,0.0
0.614,0.0,5.076,0.0,0.0
0.623,0.0,5.076,0.011,0.056
0.631,0.0,5.076,0.01,0.051
0.639,0.0,5.076,0.0,0.0
0.646,0.0,5.076,0.01,0.051
0.658,0.0,5.076,0.0,0.0
0.669,0.0,5.076,0.0,0.0
0.681,0.0,5.076,0.01,0.051
0.693,0.0,5.072,0.0,0.0
0.704,0.0,5.076,0.01,0.051
0.715,0.0,5.076,0.01,0.051
0.727,0.0,5.076,0.0,0.0
0.738,0.0,5.072,0.0,0.0
0.749,0.0,5.072,0.0,0.0
0.76,0.0,5.076,0.01,0.051
0.77,0.0,5.076,0.01,0.051
0.781,0.0,5.076,0.01,0.051
0.791,0.0,5.076,0.01,0.051
0.802,0.0,5.072,0.01,0.051
0.812,0.0,5.076,0.0,0.0
0.823,0.0,5.076,0.01,0.051
0.833,0.0,5.072,0.0,0.0
0.844,0.0,5.076,0.011,0.056
0.856,0.0,5.076,0.01,0.051
0.867,0.0,5.072,0.01,0.051
0.879,0.0,5.072,0.0,0.0
0.89,0.0,5.072,0.011,0.056
0.902,0.0,5.076,0.01,0.051
0.913,0.0,5.076,0.01,0.051
0.925,0.0,5.076,0.01,0.051
0.937,0.0,5.076,0.0,0.0
0.949,0.0,5.076,0.0,0.0
0.959,0.0,5.076,0.0,0.0
0.969,0.0,5.072,0.01,0.051
0.98,0.0,5.076,0.01,0.051
0.99,0.0,5.072,0.01,0.051
1.001,0.0,5.072,0.01,0.051
1.012,0.0,5.076,0.0,0.0
1.023,35.0,5.072,0.087,0.441
1.034,33.0,5.072,0.066,0.335
1.045,31.0,5.072,0.068,0.345
1.055,29.0,5.072,0.089,0.451
1.066,26.0,5.072,0.09,0.456
1.076,24.0,5.072,0.089,0.451
1.144,21.0,5.072,0.137,0.695
1.155,19.0,5.072,0.159,0.806
1.167,16.0,5.068,0.16,0.811
1.179,14.0,5.068,0.158,0.801
1.191,11.0,5.068,0.182,0.922
1.203,8.0,5.068,0.181,0.917
1.214,5.0,5.068,0.184,0.933
1.225,2.0,5.068,0.204,1.034
