Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.221,0.0,5.076,0.0,0.0
0.23,0.0,5.08,0.01,0.051
0.237,0.0,5.08,0.0,0.0
0.245,0.0,5.08,0.01,0.051
0.253,0.0,5.076,0.0,0.0
0.262,0.0,5.076,0.0,0.0
0.269,0.0,5.08,0.0,0.0
0.277,0.0,5.076,0.0,0.0
0.285,0.0,5.08,0.0,0.0
0.295,0.0,5.076,0.0,0.0
0.303,0.0,5.076,0.0,0.0
0.31,0.0,5.08,0.01,0.051
0.318,0.0,5.076,0.0,0.0
0.327,0.0,5.076,0.0,0.0
0.335,0.0,5.08,0.0,0.0
0.342,0.0,5.076,0.0,0.0
0.35,0.0,5.076,0.0,0.0
0.359,0.0,5.084,0.0,0.0
0.367,0.0,5.076,0.0,0.0
0.375,0.0,5.08,0.0,0.0
0.383,0.0,5.076,0.0,0.0
0.391,0.0,5.076,0.0,0.0
0.399,0.0,20.216,1.099,22.217
0.407,0.0,20.216,1.091,22.056
0.415,0.0,20.216,1.087,21.975
0.424,0.0,20.216,1.09,22.035
0.482,0.0,20.216,1.088,21.995
0.494,0.0,20.212,1.085,21.93
0.506,0.0,20.22,1.089,22.02
0.518,0.0,20.216,1.087,21.975
0.531,0.0,20.216,1.089,22.015
0.542,0.0,20.216,1.087,21.975
0.555,0.0,20.216,1.09,22.035
0.567,0.0,20.216,1.086,21.955
0.578,0.0,20.216,1.112,22.48
0.589,0.0,20.216,1.113,22.5
0.599,0.0,20.216,1.11,22.44
0.609,0.0,20.216,1.111,22.46
0.62,0.0,20.216,1.113,22.5
0.63,0.0,20.216,1.111,22.46
0.639,0.0,20.216,1.111,22.46
0.65,0.0,20.216,1.111,22.46
0.66,0.0,20.216,1.109,22.42
0.67,0.0,20.216,1.112,22.48
0.682,0.0,20.216,1.112,22.48
0.693,0.0,20.216,1.112,22.48
0.704,0.0,20.216,1.111,22.46
0.715,0.0,20.216,1.112,22.48
0.727,0.0,20.216,1.113,22.5
0.737,0.0,20.216,1.11,22.44
0.749,0.0,20.216,1.112,22.48
0.76,0.0,20.216,1.113,22.5
0.771,0.0,20.216,1.135,22.945
0.781,0.0,20.216,1.137,22.986
0.792,0.0,20.212,1.137,22.981
0.802,0.0,20.216,1.135,22.945
0.812,0.0,20.216,1.132,22.885
0.823,0.0,20.216,1.135,22.945
0.832,0.0,20.216,1.136,22.965
0.843,0.0,20.216,1.135,22.945
0.854,0.0,20.216,1.135,22.945
0.863,0.0,20.216,1.132,22.885
0.874,0.0,20.216,1.135,22.945
0.885,0.0,20.216,1.135,22.945
0.894,0.0,20.216,1.134,22.925
0.904,0.0,20.216,1.132,22.885
0.914,0.0,20.216,1.134,22.925
0.924,0.0,20.22,1.135,22.95
0.933,0.0,20.216,1.135,22.945
0.944,0.0,20.216,1.135,22.945
0.954,0.0,20.216,1.133,22.905
0.963,0.0,20.216,1.158,23.41
0.974,0.0,20.216,1.159,23.43
0.985,0.0,20.216,1.16,23.451
0.995,0.0,20.216,1.156,23.37
1.005,0.0,20.216,1.158,23.41
1.016,0.0,20.22,1.159,23.435
1.026,0.0,20.216,1.158,23.41
1.036,0.0,20.216,1.158,23.41
1.047,0.0,20.216,1.157,23.39
1.057,0.0,20.216,1.159,23.43
1.067,0.0,20.216,1.156,23.37
1.078,0.0,20.216,1.159,23.43
1.088,0.0,20.216,1.157,23.39
1.098,0.0,20.212,1.158,23.405
1.109,0.0,20.216,1.159,23.43
1.119,0.0,20.216,1.157,23.39
1.129,237.0,20.216,1.159,23.43
1.139,232.0,20.216,1.159,23.43
1.15,227.0,20.216,1.156,23.37
1.16,221.0,20.216,1.182,23.895
1.17,216.0,20.216,1.179,23.835
1.183,210.0,20.216,1.181,23.875
1.196,203.0,20.22,1.18,23.86
1.206,197.0,20.216,1.181,23.875
1.217,190.0,20.216,1.181,23.875
1.226,183.0,20.216,1.182,23.895
1.236,176.0,20.216,1.182,23.895
1.248,168.0,20.216,1.182,23.895
1.257,160.0,20.216,1.181,23.875
1.267,155.0,20.216,1.183,23.916
1.278,150.0,20.216,1.179,23.835
1.288,145.0,20.212,1.183,23.911
1.298,139.0,20.216,1.179,23.835
1.309,134.0,20.22,1.182,23.9
1.319,128.0,20.216,1.182,23.895
1.328,122.0,20.216,1.179,23.835
1.338,115.0,20.216,1.183,23.916
1.348,109.0,20.216,1.196,24.178
1.358,102.0,20.216,1.204,24.34
1.367,95.0,20.216,1.205,24.36
1.378,88.0,20.212,1.205,24.355
1.389,81.0,20.216,1.207,24.401
1.399,74.0,20.216,1.204,24.34
1.411,66.0,20.216,1.203,24.32
1.421,59.0,20.216,1.205,24.36
1.432,51.0,20.216,1.202,24.3
1.443,43.0,20.216,1.207,24.401
1.454,34.0,20.216,1.204,24.34
1.464,26.0,20.212,1.205,24.355
1.475,17.0,20.216,1.204,24.34
1.485,8.0,20.216,1.203,24.32
