Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.702,0.0,5.072,0.01,0.051
0.711,0.0,5.076,0.017,0.086
0.719,0.0,5.076,0.016,0.081
0.727,0.0,5.072,0.017,0.086
0.737,0.0,5.072,0.016,0.081
0.745,0.0,5.076,0.015,0.076
0.753,0.0,5.076,0.016,0.081
0.761,0.0,5.076,0.016,0.081
0.77,0.0,5.072,0.016,0.081
0.779,0.0,5.072,0.017,0.086
0.787,0.0,5.072,0.017,0.086
0.795,0.0,5.072,0.016,0.081
0.804,0.0,5.072,0.017,0.086
0.813,0.0,5.076,0.018,0.091
0.821,0.0,5.076,0.016,0.081
0.829,0.0,5.072,0.018,0.091
0.838,0.0,5.076,0.017,0.086
0.847,0.0,5.076,0.016,0.081
0.857,0.0,5.072,0.015,0.076
0.867,0.0,5.076,0.018,0.091
0.879,0.0,5.072,0.016,0.081
0.891,0.0,9.104,0.032,0.291
0.901,0.0,9.104,0.032,0.291
0.972,0.0,9.104,0.032,0.291
0.983,0.0,9.104,0.033,0.3
0.994,0.0,9.104,0.034,0.31
1.007,0.0,9.104,0.03,0.273
1.02,73.0,9.104,0.034,0.31
1.031,77.0,9.072,0.984,8.927
1.043,80.0,9.072,0.984,8.927
1.055,83.0,9.076,0.985,8.94
1.067,86.0,9.076,0.986,8.949
1.078,89.0,9.076,0.985,8.94
1.09,92.0,9.076,0.984,8.931
1.103,94.0,9.076,0.962,8.731
1.114,97.0,9.08,0.963,8.744
1.125,100.0,9.076,0.963,8.74
1.137,102.0,9.072,0.963,8.736
1.147,104.0,9.076,0.962,8.731
1.159,106.0,9.076,0.964,8.749
1.171,109.0,9.076,0.962,8.731
1.181,111.0,9.076,0.963,8.74
1.193,112.0,9.072,0.944,8.564
1.205,114.0,9.076,0.943,8.559
1.216,116.0,9.076,0.944,8.568
1.227,117.0,9.076,0.94,8.531
1.239,119.0,9.076,0.941,8.541
1.25,120.0,9.076,0.941,8.541
1.261,121.0,9.076,0.941,8.541
1.273,122.0,9.076,0.944,8.568
1.284,123.0,9.076,0.939,8.522
1.294,124.0,9.08,0.92,8.354
1.306,125.0,9.076,0.921,8.359
1.317,126.0,9.076,0.919,8.341
1.328,126.0,9.076,0.921,8.359
1.339,127.0,9.076,0.922,8.368
1.351,127.0,9.076,0.918,8.332
1.361,127.0,9.08,0.92,8.354
1.373,128.0,9.08,0.917,8.326
1.384,128.0,9.08,0.896,8.136
1.395,128.0,9.08,0.897,8.145
1.406,127.0,9.076,0.898,8.15
1.418,127.0,9.076,0.899,8.159
1.429,127.0,9.076,0.897,8.141
1.44,126.0,9.076,0.898,8.15
1.452,126.0,9.076,0.897,8.141
1.463,125.0,9.08,0.897,8.145
1.474,124.0,9.076,0.895,8.123
1.485,123.0,9.08,0.876,7.954
1.497,122.0,9.08,0.879,7.981
1.507,121.0,9.08,0.877,7.963
1.519,120.0,9.076,0.877,7.96
1.53,118.0,9.08,0.877,7.963
1.541,117.0,9.08,0.875,7.945
1.552,115.0,9.076,0.877,7.96
1.564,113.0,9.076,0.874,7.932
1.575,112.0,9.076,0.852,7.733
1.585,110.0,9.08,0.853,7.745
1.597,108.0,9.08,0.853,7.745
1.608,106.0,9.08,0.854,7.754
1.619,103.0,9.08,0.852,7.736
1.631,101.0,9.08,0.852,7.736
1.642,99.0,9.08,0.853,7.745
1.653,96.0,9.08,0.851,7.727
1.664,93.0,9.076,0.852,7.733
1.675,91.0,9.08,0.831,7.545
1.688,88.0,9.084,0.831,7.549
1.7,85.0,9.08,0.83,7.536
1.711,82.0,9.08,0.829,7.527
1.722,79.0,9.08,0.831,7.545
1.733,75.0,9.08,0.83,7.536
1.744,72.0,9.08,0.83,7.536
1.756,68.0,9.08,0.831,7.545
1.773,65.0,9.084,0.809,7.349
1.785,61.0,9.08,0.81,7.355
1.796,57.0,9.08,0.81,7.355
1.807,53.0,9.08,0.81,7.355
1.819,49.0,9.084,0.809,7.349
1.83,45.0,9.08,0.808,7.337
1.842,41.0,9.08,0.807,7.328
1.854,39.0,9.08,0.81,7.355
1.864,38.0,9.08,0.787,7.146
1.875,36.0,9.084,0.785,7.131
1.886,35.0,9.08,0.786,7.137
1.896,33.0,9.08,0.788,7.155
1.907,32.0,9.08,0.785,7.128
1.918,30.0,9.08,0.786,7.137
1.928,28.0,9.084,0.787,7.149
1.938,27.0,9.08,0.788,7.155
1.949,25.0,9.084,0.786,7.14
1.961,23.0,9.08,0.785,7.128
1.972,21.0,9.08,0.787,7.146
1.983,19.0,9.084,0.787,7.149
1.995,17.0,9.08,0.786,7.137
2.006,15.0,9.084,0.788,7.158
2.02,13.0,9.08,0.786,7.137
2.031,11.0,9.084,0.788,7.158
2.042,9.0,9.08,0.787,7.146
2.054,6.0,9.084,0.787,7.149
2.066,4.0,9.08,0.787,7.146
2.077,2.0,9.084,0.786,7.14
