Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.412,0.0,5.072,0.0,0.0
0.419,0.0,5.072,0.01,0.051
0.427,0.0,5.076,0.01,0.051
0.435,0.0,5.076,0.0,0.0
0.443,0.0,5.076,0.0,0.0
0.451,0.0,5.076,0.01,0.051
0.459,0.0,5.076,0.011,0.056
0.468,0.0,4.92,0.018,0.089
0.476,0.0,0.1,0.0,0.0
0.484,0.0,0.1,0.0,0.0
0.492,0.0,0.104,0.0,0.0
0.5,0.0,0.1,0.0,0.0
0.535,0.0,0.104,0.0,0.0
0.543,0.0,0.1,0.0,0.0
0.551,0.0,0.104,0.0,0.0
0.567,0.0,0.104,0.0,0.0
0.574,0.0,0.104,0.0,0.0
0.582,0.0,0.1,0.0,0.0
0.59,0.0,0.1,0.0,0.0
0.599,0.0,0.104,0.0,0.0
0.609,0.0,0.1,0.0,0.0
0.619,0.0,0.1,0.0,0.0
0.629,0.0,0.1,0.0,0.0
0.639,0.0,0.104,0.0,0.0
0.649,0.0,0.1,0.0,0.0
0.657,0.0,0.1,0.0,0.0
0.665,0.0,0.104,0.0,0.0
0.673,0.0,0.1,0.0,0.0
0.681,0.0,0.1,0.0,0.0
0.689,0.0,0.1,0.0,0.0
0.697,0.0,0.104,0.0,0.0
0.704,0.0,0.1,0.0,0.0
0.712,0.0,0.104,0.0,0.0
0.72,0.0,0.104,0.0,0.0
0.728,0.0,0.1,0.0,0.0
0.736,0.0,0.1,0.0,0.0
0.743,0.0,0.104,0.0,0.0
0.751,0.0,0.1,0.0,0.0
0.759,0.0,0.1,0.0,0.0
0.767,0.0,0.104,0.0,0.0
0.775,0.0,0.104,0.0,0.0
0.783,0.0,0.1,0.0,0.0
0.791,0.0,0.1,0.0,0.0
0.799,0.0,0.1,0.0,0.0
0.807,0.0,0.1,0.0,0.0
0.815,0.0,0.1,0.0,0.0
0.823,0.0,0.1,0.0,0.0
0.831,0.0,0.1,0.0,0.0
0.84,0.0,0.104,0.0,0.0
0.847,0.0,0.1,0.0,0.0
0.855,0.0,0.104,0.0,0.0
0.863,0.0,0.1,0.0,0.0
0.871,0.0,0.1,0.0,0.0
0.88,0.0,0.1,0.0,0.0
0.888,0.0,5.076,0.01,0.051
0.933,0.0,5.072,0.0,0.0
0.941,0.0,5.076,0.01,0.051
0.952,0.0,5.076,0.011,0.056
0.963,0.0,5.072,0.01,0.051
0.975,0.0,5.04,1.021,5.146
0.986,0.0,5.04,1.023,5.156
0.998,0.0,5.04,1.023,5.156
1.009,0.0,5.04,1.022,5.151
1.021,0.0,5.044,1.022,5.155
1.032,-4.0,5.04,1.021,5.146
1.044,-1.0,5.076,0.017,0.086
1.055,1.0,5.072,0.016,0.081
1.065,4.0,5.076,0.017,0.086
1.076,7.0,5.072,0.015,0.076
1.086,11.0,5.076,0.015,0.076
1.097,14.0,5.076,0.017,0.086
1.108,17.0,5.072,0.015,0.076
1.119,20.0,9.104,0.032,0.291
1.129,25.0,9.104,0.031,0.282
1.139,30.0,9.104,0.031,0.282
1.15,35.0,9.104,0.03,0.273
1.217,41.0,9.104,0.031,0.282
1.228,46.0,9.104,0.031,0.282
1.239,51.0,9.104,0.03,0.273
1.249,56.0,9.104,0.029,0.264
1.261,60.0,9.1,0.03,0.273
1.273,63.0,9.104,0.031,0.282
1.285,66.0,9.104,0.03,0.273
1.297,69.0,9.076,0.978,8.876
1.309,71.0,9.076,0.977,8.867
1.321,74.0,9.076,0.976,8.858
1.333,76.0,9.076,0.978,8.876
1.345,78.0,9.076,0.977,8.867
1.354,80.0,9.076,0.956,8.677
1.361,82.0,9.076,0.955,8.668
1.369,84.0,9.076,0.956,8.677
1.377,86.0,9.076,0.957,8.686
1.385,88.0,9.076,0.955,8.668
1.393,89.0,9.076,0.956,8.677
1.401,91.0,9.08,0.956,8.68
1.408,92.0,9.076,0.954,8.659
1.416,93.0,9.076,0.954,8.659
1.424,94.0,9.08,0.957,8.69
1.432,95.0,9.076,0.956,8.677
1.44,96.0,9.076,0.956,8.677
1.448,100.0,9.076,0.934,8.477
1.456,104.0,9.08,0.934,8.481
1.464,108.0,9.076,0.934,8.477
1.472,111.0,9.08,0.934,8.481
1.48,115.0,9.08,0.932,8.463
1.488,119.0,9.08,0.934,8.481
1.496,122.0,9.076,0.933,8.468
1.504,126.0,9.08,0.934,8.481
1.512,129.0,9.076,0.933,8.468
1.52,129.0,9.076,0.933,8.468
1.528,130.0,9.076,0.936,8.495
1.536,130.0,9.076,0.934,8.477
1.544,130.0,9.08,0.914,8.299
1.552,130.0,9.08,0.917,8.326
1.56,130.0,9.076,0.916,8.314
1.568,129.0,9.076,0.916,8.314
1.576,129.0,9.076,0.915,8.305
1.584,129.0,9.08,0.915,8.308
1.592,128.0,9.076,0.914,8.295
1.6,127.0,9.076,0.916,8.314
1.607,126.0,9.08,0.916,8.317
1.615,126.0,9.076,0.915,8.305
1.623,125.0,9.076,0.917,8.323
1.631,123.0,9.076,0.913,8.286
1.639,122.0,9.08,0.894,8.118
1.647,121.0,9.08,0.894,8.118
1.654,119.0,9.08,0.894,8.118
1.662,118.0,9.08,0.893,8.108
1.67,116.0,9.08,0.894,8.118
1.679,114.0,9.08,0.893,8.108
1.686,112.0,9.076,0.895,8.123
1.694,110.0,9.08,0.893,8.108
1.703,108.0,9.076,0.893,8.105
1.711,106.0,9.076,0.89,8.078
1.719,104.0,9.076,0.892,8.096
1.726,101.0,9.08,0.891,8.09
1.734,99.0,9.076,0.87,7.896
1.742,96.0,9.08,0.87,7.9
1.75,94.0,9.076,0.871,7.905
1.758,91.0,9.08,0.87,7.9
1.766,88.0,9.076,0.869,7.887
1.774,85.0,9.08,0.871,7.909
1.781,81.0,9.076,0.872,7.914
1.789,78.0,9.08,0.872,7.918
1.797,75.0,9.08,0.872,7.918
1.805,71.0,9.08,0.871,7.909
1.813,68.0,9.08,0.871,7.909
1.821,64.0,9.08,0.873,7.927
1.829,60.0,9.08,0.871,7.909
1.837,56.0,9.08,0.851,7.727
1.845,52.0,9.08,0.847,7.691
1.853,48.0,9.08,0.851,7.727
1.861,44.0,9.076,0.847,7.687
1.869,39.0,9.084,0.848,7.703
1.877,35.0,9.08,0.848,7.7
1.885,33.0,9.08,0.85,7.718
1.893,32.0,9.08,0.852,7.736
1.9,30.0,9.084,0.849,7.712
1.908,28.0,9.08,0.848,7.7
1.916,27.0,9.08,0.849,7.709
1.924,25.0,9.08,0.849,7.709
1.932,23.0,9.08,0.829,7.527
1.94,21.0,9.08,0.83,7.536
1.948,19.0,9.08,0.829,7.527
1.955,17.0,9.08,0.827,7.509
1.963,15.0,9.084,0.827,7.512
1.971,13.0,9.08,0.828,7.518
1.979,11.0,9.08,0.829,7.527
1.987,9.0,9.08,0.828,7.518
1.995,6.0,9.08,0.828,7.518
2.003,4.0,9.08,0.829,7.527
2.011,2.0,9.08,0.828,7.518
