Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.49,0.0,5.072,0.0,0.0
0.5,0.0,5.072,0.0,0.0
0.511,0.0,5.072,0.0,0.0
0.523,0.0,5.072,0.017,0.086
0.533,0.0,5.076,0.014,0.071
0.544,0.0,5.08,0.01,0.051
0.557,0.0,5.076,0.01,0.051
0.568,0.0,5.072,0.011,0.056
0.579,0.0,5.076,0.0,0.0
0.59,0.0,5.076,0.01,0.051
0.599,0.0,5.072,0.0,0.0
0.609,0.0,5.076,0.11,0.558
0.62,0.0,5.072,0.0,0.0
0.63,0.0,5.072,0.01,0.051
0.641,0.0,5.072,0.0,0.0
0.752,0.0,5.072,0.011,0.056
0.762,0.0,5.072,0.01,0.051
0.773,0.0,5.072,0.0,0.0
0.784,0.0,5.072,0.01,0.051
0.803,0.0,5.072,0.01,0.051
0.814,0.0,5.076,0.0,0.0
0.825,0.0,5.072,0.0,0.0
0.836,0.0,5.072,0.0,0.0
0.847,0.0,15.168,0.028,0.425
0.858,0.0,15.168,0.028,0.425
0.868,0.0,15.164,0.027,0.409
0.88,0.0,15.164,0.027,0.409
0.943,0.0,15.156,0.49,7.426
0.953,0.0,15.168,0.028,0.425
0.963,0.0,15.16,0.226,3.426
0.973,0.0,15.16,0.322,4.882
0.984,0.0,15.16,0.421,6.382
0.995,0.0,15.156,0.526,7.972
1.006,0.0,15.168,0.028,0.425
1.018,0.0,15.168,0.028,0.425
1.029,0.0,15.16,0.226,3.426
1.039,0.0,15.156,0.422,6.396
1.05,0.0,15.152,0.529,8.015
1.062,0.0,15.152,0.645,9.773
1.072,0.0,15.148,0.744,11.27
1.084,0.0,15.144,0.841,12.736
1.096,0.0,15.144,0.938,14.205
1.107,0.0,15.14,0.917,13.883
1.118,0.0,15.14,0.954,14.444
1.13,0.0,15.144,0.906,13.72
1.141,0.0,15.14,0.956,14.474
1.152,0.0,15.14,0.937,14.186
1.165,0.0,15.144,0.914,13.842
1.176,0.0,15.144,0.911,13.796
1.187,0.0,15.144,0.987,14.947
1.199,0.0,15.14,0.938,14.201
1.211,0.0,15.148,0.915,13.86
1.222,0.0,15.144,0.902,13.66
1.234,0.0,15.144,0.891,13.493
1.246,0.0,15.14,0.95,14.383
1.257,0.0,15.144,0.927,14.038
1.269,0.0,15.144,0.897,13.584
1.281,0.0,15.14,0.943,14.277
1.292,0.0,15.14,0.892,13.505
1.303,0.0,15.144,0.891,13.493
1.314,211.0,15.144,0.947,14.341
1.324,212.0,15.14,0.975,14.762
1.335,213.0,15.144,0.886,13.418
1.346,213.0,15.14,1.015,15.367
1.356,213.0,15.144,0.888,13.448
1.367,213.0,15.14,0.888,13.444
1.377,213.0,15.144,0.897,13.584
1.388,213.0,15.144,0.931,14.099
1.398,213.0,15.168,0.028,0.425
1.408,212.0,15.164,0.177,2.684
1.418,211.0,15.16,0.323,4.897
1.429,210.0,15.16,0.419,6.352
1.439,209.0,15.152,0.528,8.0
1.451,208.0,15.152,0.645,9.773
1.462,206.0,15.148,0.746,11.3
1.473,205.0,15.144,0.846,12.812
1.483,203.0,15.144,0.943,14.281
1.495,201.0,15.14,0.897,13.581
1.507,198.0,15.144,0.905,13.705
1.518,196.0,15.144,0.919,13.917
1.53,193.0,15.148,0.889,13.467
1.541,191.0,15.144,0.904,13.69
1.553,188.0,15.144,0.947,14.341
1.565,185.0,15.14,0.884,13.384
1.577,181.0,15.144,0.905,13.705
1.588,178.0,15.14,0.934,14.141
1.6,174.0,15.14,0.883,13.369
1.612,170.0,15.144,0.987,14.947
1.623,166.0,15.14,0.931,14.095
1.635,162.0,15.144,0.902,13.66
1.647,157.0,15.14,0.982,14.867
1.659,153.0,15.144,0.913,13.826
1.671,148.0,15.144,0.899,13.614
1.683,143.0,15.14,0.97,14.686
1.693,138.0,15.14,0.912,13.808
1.705,133.0,15.14,0.903,13.671
1.717,127.0,15.14,0.923,13.974
1.733,122.0,15.14,0.909,13.762
1.743,116.0,15.144,0.912,13.811
1.753,110.0,15.14,0.994,15.049
1.763,106.0,15.14,0.91,13.777
1.773,103.0,15.14,0.969,14.671
1.783,100.0,15.144,0.947,14.341
1.794,96.0,15.144,0.903,13.675
1.804,92.0,15.144,0.9,13.63
1.814,89.0,15.136,1.357,20.54
1.824,85.0,15.128,1.361,20.589
1.834,81.0,15.128,1.313,19.863
1.844,76.0,15.128,1.35,20.423
1.854,72.0,15.132,1.34,20.277
1.865,68.0,15.128,1.323,20.014
1.875,63.0,15.132,1.327,20.08
1.891,59.0,15.128,1.364,20.635
1.906,54.0,15.132,1.321,19.989
1.916,49.0,15.124,1.381,20.886
1.926,44.0,15.128,1.315,19.893
1.937,39.0,15.128,1.315,19.893
1.948,33.0,15.128,1.412,21.361
1.958,28.0,15.128,1.341,20.287
1.968,22.0,15.132,1.333,20.171
1.979,17.0,15.128,1.345,20.347
1.989,11.0,15.132,1.385,20.958
1.999,5.0,15.132,1.35,20.428
