Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.266,0.0,5.076,0.0,0.0
0.275,0.0,5.076,0.0,0.0
0.283,0.0,5.076,0.0,0.0
0.291,0.0,5.076,0.0,0.0
0.299,0.0,5.072,0.0,0.0
0.308,0.0,5.076,0.012,0.061
0.316,0.0,5.076,0.014,0.071
0.325,0.0,5.076,0.01,0.051
0.334,0.0,5.076,0.0,0.0
0.342,0.0,5.072,0.01,0.051
0.351,0.0,5.076,0.0,0.0
0.36,0.0,5.076,0.0,0.0
0.368,0.0,5.076,0.011,0.056
0.376,0.0,5.076,0.011,0.056
0.384,0.0,5.076,0.0,0.0
0.393,0.0,5.076,0.01,0.051
0.401,0.0,5.072,0.11,0.558
0.41,0.0,5.072,0.0,0.0
0.419,0.0,5.076,0.0,0.0
0.427,0.0,5.076,0.0,0.0
0.509,0.0,5.076,0.0,0.0
0.518,0.0,5.072,0.01,0.051
0.539,0.0,5.076,0.0,0.0
0.547,0.0,5.076,0.01,0.051
0.556,0.0,5.072,0.01,0.051
0.565,0.0,5.076,0.01,0.051
0.574,0.0,5.076,0.01,0.051
0.583,0.0,5.076,0.0,0.0
0.593,0.0,5.076,0.01,0.051
0.602,0.0,5.072,0.011,0.056
0.611,0.0,5.076,0.01,0.051
0.62,0.0,5.072,0.011,0.056
0.629,0.0,5.076,0.01,0.051
0.639,0.0,5.072,0.0,0.0
0.648,0.0,15.172,0.027,0.41
0.658,0.0,15.168,0.027,0.41
0.715,0.0,15.164,0.225,3.412
0.724,0.0,15.16,0.419,6.352
0.733,0.0,15.16,0.42,6.367
0.742,0.0,15.156,0.526,7.972
0.751,0.0,15.152,0.645,9.773
0.761,0.0,15.172,0.027,0.41
0.77,0.0,15.168,0.027,0.41
0.779,0.0,15.164,0.228,3.457
0.789,0.0,15.16,0.421,6.382
0.798,0.0,15.16,0.53,8.035
0.807,0.0,15.156,0.529,8.018
0.815,0.0,15.156,0.64,9.7
0.824,0.0,15.152,0.743,11.258
0.833,0.0,15.148,0.84,12.724
0.842,0.0,15.148,0.938,14.209
0.852,0.0,15.144,0.896,13.569
0.861,0.0,15.148,0.892,13.512
0.87,0.0,15.144,0.896,13.569
0.879,0.0,15.144,0.907,13.736
0.889,0.0,15.144,0.939,14.22
0.898,0.0,15.144,0.934,14.144
0.908,0.0,15.148,0.895,13.557
0.917,0.0,15.148,0.901,13.648
0.925,0.0,15.144,0.893,13.524
0.935,0.0,15.144,0.896,13.569
0.945,0.0,15.148,0.894,13.542
0.954,0.0,15.144,0.91,13.781
0.963,0.0,15.148,0.925,14.012
0.972,0.0,15.144,0.938,14.205
0.981,0.0,15.144,0.899,13.614
0.991,0.0,15.148,0.902,13.663
1.0,0.0,15.148,0.897,13.588
1.009,0.0,15.144,0.893,13.524
1.018,0.0,15.144,0.898,13.599
1.027,0.0,15.148,0.892,13.512
1.037,0.0,15.148,0.895,13.557
1.046,0.0,15.144,0.926,14.023
1.055,0.0,15.144,0.917,13.887
1.065,0.0,15.144,0.913,13.826
1.074,0.0,15.148,0.891,13.497
1.083,0.0,15.144,0.896,13.569
1.093,0.0,15.148,0.901,13.648
1.102,0.0,15.144,0.894,13.539
1.111,0.0,15.148,0.898,13.603
1.12,0.0,15.144,0.895,13.554
1.129,0.0,15.164,0.029,0.44
1.138,0.0,15.172,0.027,0.41
1.147,0.0,15.164,0.224,3.397
1.157,187.0,15.164,0.322,4.883
1.166,184.0,15.16,0.421,6.382
1.175,182.0,15.156,0.528,8.002
1.184,179.0,15.156,0.641,9.715
1.194,177.0,15.152,0.746,11.303
1.203,174.0,15.152,0.844,12.788
1.213,171.0,15.152,0.842,12.758
1.222,167.0,15.144,0.92,13.932
1.231,164.0,15.148,0.953,14.436
1.241,160.0,15.148,0.899,13.618
1.25,156.0,15.148,0.903,13.679
1.26,152.0,15.148,0.894,13.542
1.269,148.0,15.144,0.898,13.599
1.28,144.0,15.148,0.902,13.663
1.29,139.0,15.148,0.911,13.8
1.3,137.0,15.148,0.898,13.603
1.309,135.0,15.144,0.893,13.524
1.318,133.0,15.148,0.896,13.573
1.328,131.0,15.148,0.894,13.542
1.337,129.0,15.144,0.906,13.72
1.346,126.0,15.144,0.928,14.054
1.355,124.0,15.144,0.923,13.978
1.364,121.0,15.144,0.873,13.221
1.373,119.0,15.148,0.886,13.421
1.382,116.0,15.144,0.888,13.448
1.391,113.0,15.148,0.884,13.391
1.4,110.0,15.144,0.902,13.66
1.409,107.0,15.148,0.885,13.406
1.418,103.0,15.148,0.887,13.436
1.426,100.0,15.144,0.884,13.387
1.434,96.0,15.144,0.886,13.418
1.443,92.0,15.148,0.886,13.421
1.452,89.0,15.144,0.886,13.418
1.46,85.0,15.148,0.884,13.391
1.469,81.0,15.148,0.887,13.436
1.477,77.0,15.144,0.887,13.433
1.488,72.0,15.144,0.887,13.433
1.497,68.0,15.148,0.88,13.33
1.505,63.0,15.148,0.891,13.497
1.513,59.0,15.148,0.899,13.618
1.525,54.0,15.148,0.884,13.391
1.534,49.0,15.148,0.888,13.451
1.543,44.0,15.148,0.887,13.436
1.553,39.0,15.144,0.887,13.433
1.562,34.0,15.144,0.909,13.766
1.572,28.0,15.144,0.924,13.993
1.581,23.0,15.144,0.888,13.448
1.59,17.0,15.144,0.886,13.418
1.599,11.0,15.144,0.893,13.524
1.608,5.0,15.148,0.886,13.421
