Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.236,0.0,5.076,0.0,0.0
0.245,0.0,5.076,0.0,0.0
0.253,0.0,5.076,0.0,0.0
0.261,0.0,5.072,0.013,0.066
0.269,0.0,5.076,0.014,0.071
0.278,0.0,5.076,0.01,0.051
0.286,0.0,5.076,0.01,0.051
0.294,0.0,5.076,0.0,0.0
0.302,0.0,5.076,0.01,0.051
0.31,0.0,5.076,0.0,0.0
0.319,0.0,5.076,0.01,0.051
0.327,0.0,5.076,0.01,0.051
0.335,0.0,5.076,0.083,0.421
0.343,0.0,5.072,0.0,0.0
0.352,0.0,5.076,0.0,0.0
0.36,0.0,5.072,0.01,0.051
0.368,0.0,5.076,0.01,0.051
0.376,0.0,5.072,0.112,0.568
0.385,0.0,5.072,0.11,0.558
0.393,0.0,5.076,0.0,0.0
0.401,0.0,5.072,0.0,0.0
0.492,0.0,5.076,0.012,0.061
0.501,0.0,5.072,0.0,0.0
0.509,0.0,5.076,0.01,0.051
0.517,0.0,5.076,0.01,0.051
0.526,0.0,5.072,0.0,0.0
0.534,0.0,5.072,0.01,0.051
0.543,0.0,5.076,0.0,0.0
0.551,0.0,5.076,0.0,0.0
0.559,0.0,5.08,0.0,0.0
0.567,0.0,5.076,0.0,0.0
0.576,0.0,5.076,0.0,0.0
0.584,0.0,5.076,0.0,0.0
0.592,0.0,5.072,0.0,0.0
0.6,0.0,15.168,0.027,0.41
0.609,0.0,15.172,0.028,0.425
0.617,0.0,15.172,0.027,0.41
0.673,0.0,15.156,0.413,6.259
0.681,0.0,15.16,0.518,7.853
0.689,0.0,15.156,0.509,7.714
0.697,0.0,15.152,0.624,9.455
0.705,0.0,15.176,0.027,0.41
0.714,0.0,15.172,0.027,0.41
0.722,0.0,15.168,0.028,0.425
0.73,0.0,15.16,0.227,3.441
0.738,0.0,15.16,0.42,6.367
0.747,0.0,15.16,0.439,6.655
0.755,0.0,15.156,0.527,7.987
0.763,0.0,15.148,0.644,9.755
0.771,0.0,15.152,0.74,11.212
0.78,0.0,15.152,0.746,11.303
0.788,0.0,15.148,0.825,12.497
0.796,0.0,15.144,0.921,13.948
0.805,0.0,15.144,0.908,13.751
0.813,0.0,15.148,0.95,14.391
0.821,0.0,15.144,0.933,14.129
0.829,0.0,15.144,0.92,13.932
0.838,0.0,15.144,0.896,13.569
0.846,0.0,15.144,0.918,13.902
0.854,0.0,15.148,0.895,13.557
0.861,0.0,15.144,0.899,13.614
0.87,0.0,15.144,0.912,13.811
0.878,0.0,15.144,0.892,13.508
0.886,0.0,15.144,0.896,13.569
0.894,0.0,15.148,0.891,13.497
0.904,0.0,15.144,0.903,13.675
0.915,0.0,15.144,0.894,13.539
0.925,0.0,15.148,0.906,13.724
0.937,0.0,15.144,0.845,12.797
0.948,0.0,15.144,0.893,13.524
0.959,0.0,15.14,0.875,13.248
0.97,0.0,15.144,0.846,12.812
0.981,0.0,15.144,0.885,13.402
0.992,0.0,15.148,0.857,12.982
1.003,0.0,15.144,0.845,12.797
1.015,0.0,15.144,0.881,13.342
1.025,0.0,15.148,0.86,13.027
1.037,0.0,15.148,0.849,12.861
1.048,0.0,15.144,0.91,13.781
1.059,0.0,15.144,0.892,13.508
1.07,0.0,15.148,0.845,12.8
1.081,0.0,15.144,0.855,12.948
1.092,0.0,15.172,0.026,0.394
1.103,0.0,15.164,0.218,3.306
1.115,0.0,15.16,0.414,6.276
1.125,0.0,15.16,0.518,7.853
1.137,0.0,15.152,0.535,8.106
1.148,0.0,15.148,0.719,10.891
1.159,0.0,15.148,0.733,11.103
1.17,0.0,15.148,0.826,12.512
1.181,0.0,15.144,0.944,14.296
1.191,0.0,15.14,0.907,13.732
1.203,166.0,15.144,0.876,13.266
1.214,163.0,15.148,0.872,13.209
1.225,159.0,15.148,0.883,13.376
1.236,155.0,15.144,0.888,13.448
1.247,151.0,15.144,0.875,13.251
1.258,146.0,15.144,0.872,13.206
1.269,142.0,15.144,0.881,13.342
1.28,137.0,15.144,0.88,13.327
1.291,135.0,15.144,0.898,13.599
1.302,133.0,15.148,0.868,13.148
1.313,131.0,15.144,0.871,13.19
1.324,129.0,15.148,0.853,12.921
1.336,126.0,15.144,0.883,13.372
1.347,124.0,15.144,0.872,13.206
1.357,121.0,15.144,0.862,13.054
1.369,119.0,15.144,0.874,13.236
1.38,116.0,15.148,0.88,13.33
1.39,113.0,15.14,0.87,13.172
1.402,110.0,15.144,0.872,13.206
1.413,106.0,15.14,0.922,13.959
1.423,103.0,15.144,0.876,13.266
1.435,100.0,15.148,0.872,13.209
1.446,96.0,15.148,0.868,13.148
1.456,92.0,15.144,0.909,13.766
1.468,89.0,15.148,0.865,13.103
1.479,85.0,15.144,0.867,13.13
1.489,81.0,15.144,0.905,13.705
1.501,76.0,15.144,0.867,13.13
1.512,72.0,15.144,0.868,13.145
1.522,68.0,15.14,0.918,13.899
1.534,63.0,15.144,0.862,13.054
1.545,59.0,15.144,0.872,13.206
1.556,54.0,15.144,0.881,13.342
1.567,49.0,15.144,0.873,13.221
1.578,44.0,15.144,0.873,13.221
1.589,39.0,15.14,0.87,13.172
1.6,33.0,15.144,0.878,13.296
1.611,28.0,15.14,0.889,13.459
1.622,23.0,15.144,0.886,13.418
1.634,17.0,15.144,0.887,13.433
1.644,11.0,15.144,0.912,13.811
1.655,5.0,15.148,0.889,13.467
