time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV]
0.007764,0.000000,0,5152,0,128,0,104,-153,19928,0,132,0,100,0,108
0.015658,0.010000,0,5152,0,128,0,104,-147,19924,0,128,0,100,0,104
0.023530,0.020000,0,5152,0,124,0,104,-148,19932,0,132,0,96,0,104
0.031404,0.030000,0,5152,0,128,0,104,-149,19928,0,128,0,100,0,108
0.039281,0.040000,0,5152,0,128,0,104,-145,19928,0,128,0,100,0,108
0.047149,0.050000,0,5152,0,128,0,104,-146,19924,0,132,0,100,0,108
0.055019,0.060000,0,5152,0,128,0,104,-146,19928,0,132,0,96,0,108
0.062961,0.070000,0,5152,0,128,0,104,-143,19928,0,128,0,100,0,108
0.070856,0.080000,0,5152,0,124,0,104,-149,19928,0,132,0,100,0,108
0.078994,0.090000,0,5148,0,124,0,100,-155,19928,0,132,0,100,0,108
0.087028,0.100000,0,5152,0,128,0,104,-145,19932,0,132,0,96,0,108
0.094911,0.110000,0,5152,0,128,0,104,-146,19928,0,132,0,100,0,108
0.102798,0.120000,0,5152,0,128,0,104,-145,19932,0,132,0,100,0,108
0.110737,0.130000,0,5156,0,124,0,104,-147,19932,0,128,0,100,0,108
0.118640,0.140000,0,5152,0,124,0,104,-161,19928,0,132,0,100,0,108
0.126398,0.150000,0,5152,0,124,0,104,-144,19924,0,132,0,96,0,104
0.134171,0.160000,0,5152,0,124,0,108,-145,19936,0,132,0,96,0,108
0.141848,0.170000,0,5152,0,124,0,104,-147,19928,0,128,0,96,0,108
0.149514,0.180000,0,5156,0,128,0,104,-146,19928,0,132,0,96,0,108
0.157319,0.190000,0,5152,0,128,0,104,-152,19924,0,132,0,100,0,108
0.165098,0.200000,0,5152,0,128,0,104,-164,19928,0,132,0,96,0,104
0.172911,0.210000,0,5152,0,128,0,104,-175,19932,0,128,0,100,0,104
0.180716,0.220000,0,5152,0,124,0,104,-143,19928,0,132,0,96,0,108
0.188684,0.230000,0,5152,0,124,0,104,-154,19928,0,128,0,100,0,108
0.196659,0.240000,0,5152,0,128,0,100,-161,19924,0,132,0,96,0,108
0.204445,0.250000,0,5152,0,128,0,104,-145,19924,0,132,0,100,0,108
0.212256,0.260000,0,5152,0,128,0,104,-148,19924,0,132,0,96,0,104
0.219994,0.270000,0,5152,0,124,0,104,-146,19928,0,132,0,100,0,108
0.227665,0.280000,0,5152,0,128,0,104,-148,19924,0,128,0,100,0,108
0.235352,0.290000,0,5152,0,128,0,108,-145,19928,0,128,0,96,0,104
0.243023,0.300000,0,5152,0,124,0,104,-143,19920,0,128,0,100,0,108
0.250639,0.310000,0,5152,0,128,0,104,-145,19928,0,132,0,100,0,108
0.258371,0.320000,0,5152,0,128,0,104,-144,19932,0,128,0,96,0,104
0.266147,0.330000,0,5152,0,128,0,108,-195,19928,0,132,0,96,0,108
0.273777,0.340000,0,5152,0,124,0,104,-146,19928,0,132,0,100,0,108
0.281474,0.350000,0,5152,0,128,0,104,-147,19928,0,132,0,100,0,104
0.289094,0.360000,0,5152,0,128,0,104,-148,19928,0,128,0,96,0,104
0.296855,0.370000,0,5152,0,128,0,104,-151,19932,0,132,0,96,0,108
0.304460,0.380000,0,5152,0,124,0,104,-144,19936,0,132,0,100,0,104
0.312147,0.390000,0,5156,0,128,0,104,-159,19928,0,128,0,96,0,108
0.319822,0.400000,0,5156,0,124,0,104,-200,19924,0,128,0,96,0,108
0.327488,0.410000,0,5152,0,128,0,104,-144,19932,0,128,0,100,0,108
0.335099,0.420000,0,5156,0,128,0,104,-145,19932,0,128,0,96,0,108
0.342774,0.430000,0,5152,0,124,0,104,-147,19932,0,128,0,100,0,108
0.350450,0.440000,0,5152,0,128,0,104,-148,19928,0,128,0,96,0,108
0.358208,0.450000,0,5148,0,128,0,104,-165,19928,0,132,0,100,0,108
0.365832,0.460000,0,5148,0,124,0,104,-147,19932,0,132,0,100,0,108
0.373507,0.470000,0,5152,0,124,0,104,-145,19928,0,132,0,96,0,108
0.381118,0.480000,0,5152,0,128,0,104,-145,19932,0,132,0,96,0,108
0.388811,0.490000,0,5156,0,128,0,104,-153,19928,0,128,0,96,0,104
0.396504,0.500000,0,5152,0,128,0,104,-142,19920,0,132,0,100,0,108
0.404195,0.510000,0,5148,0,128,0,104,-146,19928,0,132,0,96,0,108
0.411875,0.520000,0,5148,0,128,0,104,-146,19932,0,132,0,100,0,108
0.419496,0.530000,0,5152,0,124,0,104,-147,19932,0,132,0,100,0,108
0.427214,0.540000,0,5152,0,128,0,104,-146,19932,0,128,0,100,0,108
0.435882,0.550000,0,5148,0,128,0,104,-176,19928,0,128,0,96,0,108
0.443626,0.560000,0,5152,0,124,0,104,-177,19924,0,136,0,96,0,108
0.451232,0.570000,0,5156,0,124,0,104,-146,19932,0,132,0,96,0,108
0.458857,0.580000,0,5152,0,128,0,104,-144,19932,0,132,0,96,0,108
0.466562,0.590000,0,5152,0,128,0,104,-158,19932,0,132,0,96,0,108
0.474534,0.600000,0,5152,0,128,0,104,-152,19928,0,128,0,96,0,104
0.482110,0.610000,0,5152,0,124,0,104,-155,19928,0,128,0,100,0,108
0.489716,0.620000,0,5152,0,124,0,104,-154,19928,0,128,0,96,0,104
0.497299,0.630000,0,5152,0,124,0,104,-153,19928,0,132,0,96,0,108
0.504876,0.640000,0,5148,0,128,0,104,-154,19928,0,132,0,96,0,108
0.512445,0.650000,0,5152,0,128,0,104,-156,19932,0,132,0,96,0,108
0.520154,0.660000,0,5148,0,128,0,104,-154,19932,0,132,0,100,0,108
0.527758,0.670000,0,5152,0,124,0,104,-155,19932,0,132,0,100,0,108
0.535472,0.680000,0,5152,0,128,0,104,-155,19932,0,132,0,100,0,108
0.543132,0.690000,0,5152,0,124,0,104,-202,19920,0,128,0,96,0,108
0.550734,0.700000,0,5152,0,128,0,104,-196,19924,0,132,0,96,0,104
0.558361,0.710000,0,5152,0,124,0,104,-201,19924,0,132,0,96,0,108
0.566387,0.720000,0,5156,0,128,0,104,-173,19924,0,132,0,96,0,108
0.574302,0.730000,0,5152,0,124,0,100,-194,19920,0,132,0,96,0,104
0.582250,0.740000,0,5156,0,128,0,104,-199,19924,0,132,0,96,0,108
0.590077,0.750000,0,5152,0,128,0,104,-151,19932,0,132,0,96,0,108
0.597958,0.760000,0,5148,0,124,0,100,-153,19928,0,128,0,100,0,108
0.605814,0.770000,0,5152,0,124,0,104,-158,19920,0,128,0,96,0,104
0.613635,0.780000,0,5152,0,128,0,104,-152,19928,0,128,0,100,0,108
0.621555,0.790000,0,5152,0,128,0,104,-176,19920,0,128,0,96,0,108
0.629407,0.800000,0,5152,0,124,0,104,-198,19924,0,132,0,100,0,108
0.637226,0.810000,0,5152,0,128,0,108,-153,19932,0,132,0,100,0,108
0.645087,0.820000,0,5152,0,128,0,104,-150,19928,0,128,0,96,0,108
0.652931,0.830000,0,5152,0,128,0,104,-152,19928,0,132,0,100,0,104
0.660954,0.839999,0,5152,0,124,0,104,-152,19928,0,128,0,100,0,108
0.668941,0.849999,0,5152,0,128,0,104,-165,19924,0,132,0,96,0,104
0.677251,0.859999,0,5152,0,124,0,104,-153,19928,0,128,0,96,0,104
0.685336,0.869999,0,5152,0,124,0,104,-198,19924,0,132,0,96,0,104
0.693467,0.879999,0,5152,0,128,0,108,-154,19932,0,132,0,100,0,108
0.701491,0.889999,0,5152,0,124,0,104,-176,19932,0,128,0,100,0,108
0.709531,0.899999,0,5152,0,132,0,104,-167,19920,0,132,0,96,0,108
0.717546,0.909999,0,5152,0,128,0,104,-156,19924,0,132,0,100,0,108
0.725621,0.919999,0,5152,0,128,0,104,-185,19928,0,132,0,96,0,108
0.733623,0.929999,0,5152,0,128,0,104,-151,19924,0,132,0,100,0,108
0.741630,0.939999,0,5152,0,128,0,104,-150,19932,0,132,0,100,0,108
0.749746,0.949999,0,5152,0,124,0,104,-153,19928,0,132,0,96,0,104
0.758052,0.959999,0,5152,0,128,0,104,-192,19924,0,132,0,96,0,108
0.766328,0.969999,0,5152,0,124,0,100,-175,19924,0,128,0,96,0,108
0.774695,0.979999,0,5152,0,128,0,104,-228,19916,0,132,0,96,0,104
0.782671,0.989999,0,5152,0,124,0,104,-175,19924,0,128,0,100,0,108
0.790898,0.999999,0,5156,0,128,0,104,-196,19920,0,132,0,100,0,108
0.798904,1.009999,0,5152,0,128,0,104,-175,19924,0,132,0,100,0,104
0.806968,1.019999,0,5156,0,128,0,104,-171,19924,0,132,0,100,0,108
0.815027,1.029999,0,5152,0,128,0,104,-202,19916,0,132,0,96,0,108
0.823104,1.039999,0,5152,0,128,0,104,-205,19924,0,128,0,100,0,104
0.831166,1.049999,0,5152,0,128,0,104,-202,19924,0,132,0,100,0,108
0.839325,1.059999,0,5152,0,124,0,104,-204,19920,0,132,0,96,0,108
0.847581,1.069999,0,5152,0,124,0,104,-215,19916,0,132,0,100,0,108
0.855481,1.079999,0,5152,0,128,0,104,-174,19928,0,132,0,96,0,108
0.863368,1.089999,0,5152,0,128,0,104,-171,19924,0,132,0,100,0,108
0.871686,1.099999,0,5152,0,124,0,104,-210,19920,0,128,0,100,0,108
0.879862,1.109999,0,5152,0,124,0,104,-235,19920,0,132,0,96,0,108
0.888055,1.119999,0,5152,0,128,0,104,-242,19920,0,132,0,96,0,112
0.896650,1.129999,0,5152,0,128,0,104,-263,19916,0,132,0,100,0,108
0.904624,1.139999,0,5152,0,128,0,104,-179,19924,0,132,0,96,0,108
0.912441,1.149999,0,5152,0,128,0,104,-185,19928,0,132,0,96,0,104
0.920077,1.159999,0,5152,0,128,0,104,-154,19932,0,132,0,100,0,108
0.927748,1.169999,0,5152,0,128,0,108,-156,19932,0,132,0,96,0,108
0.935372,1.179999,0,5152,0,128,0,104,-155,19928,0,128,0,96,0,108
0.943043,1.189999,0,5152,0,128,0,104,-152,19928,0,132,0,100,0,104
0.950678,1.199999,0,5152,0,128,0,104,-153,19928,0,132,0,100,0,104
