Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.014,0.0,19.432,-0.227,-4.411
0.028,0.0,19.428,-0.222,-4.313
0.04,0.0,19.44,-0.201,-3.907
0.053,0.0,19.44,-0.198,-3.849
0.067,0.0,19.432,-0.238,-4.625
0.08,0.0,19.444,-0.205,-3.986
0.094,0.0,19.428,-0.219,-4.255
0.106,0.0,19.428,-0.224,-4.352
0.116,0.0,19.416,-0.262,-5.087
0.124,0.0,19.42,-0.237,-4.603
0.132,0.0,19.428,-0.235,-4.566
0.141,0.0,19.428,-0.251,-4.876
0.149,0.0,19.42,-0.256,-4.972
0.157,0.0,19.428,-0.203,-3.944
0.165,0.0,19.44,-0.236,-4.588
0.174,0.0,19.428,-0.231,-4.488
0.183,0.0,19.428,-0.284,-5.518
0.19,0.0,19.44,-0.236,-4.588
0.198,0.0,19.428,-0.193,-3.75
0.208,0.0,19.432,-0.253,-4.916
0.216,0.0,19.42,-0.253,-4.913
0.224,0.0,19.432,-0.197,-3.828
0.232,0.0,19.436,-0.24,-4.665
0.241,0.0,19.428,-0.224,-4.352
0.249,0.0,19.432,-0.27,-5.247
0.257,0.0,19.444,-0.244,-4.744
0.265,0.0,19.432,-0.191,-3.712
0.274,0.0,19.432,-0.251,-4.877
0.282,0.0,19.42,-0.245,-4.758
0.29,0.0,19.428,-0.194,-3.769
0.298,0.0,19.436,-0.241,-4.684
0.307,0.0,19.428,-0.226,-4.391
0.315,0.0,19.428,-0.237,-4.604
0.323,0.0,19.44,-0.238,-4.627
0.331,0.0,19.432,-0.206,-4.003
0.34,0.0,19.436,-0.241,-4.684
0.349,0.0,19.424,-0.247,-4.798
0.357,0.0,19.44,-0.226,-4.393
0.364,0.0,19.436,-0.191,-3.712
0.373,0.0,19.436,-0.237,-4.606
0.382,0.0,19.424,-0.232,-4.506
0.428,0.0,19.44,-0.19,-3.694
0.436,0.0,19.44,-0.243,-4.724
0.445,0.0,19.428,-0.252,-4.896
0.454,0.0,19.42,-0.275,-5.341
0.462,0.0,19.424,-0.197,-3.827
0.47,0.0,19.444,-0.24,-4.667
0.479,0.0,19.436,-0.253,-4.917
0.487,0.0,19.428,-0.279,-5.42
0.495,0.0,19.424,-0.194,-3.768
0.503,0.0,19.44,-0.254,-4.938
0.513,0.0,19.428,-0.257,-4.993
0.521,0.0,19.424,-0.263,-5.109
0.531,0.0,19.436,-0.265,-5.151
0.539,0.0,19.424,-0.237,-4.603
0.548,0.0,19.424,-0.281,-5.458
0.556,0.0,19.424,-0.198,-3.846
0.564,0.0,19.44,-0.248,-4.821
0.573,0.0,19.428,-0.237,-4.604
0.582,0.0,19.424,-0.295,-5.73
0.59,0.0,19.432,-0.199,-3.867
0.6,0.0,19.44,-0.246,-4.782
0.61,0.0,19.424,-0.259,-5.031
0.619,0.0,19.428,-0.251,-4.876
0.627,0.0,19.424,-0.244,-4.739
0.635,0.0,19.44,-0.21,-4.082
0.644,0.0,19.424,-0.259,-5.031
0.653,0.0,19.416,-0.257,-4.99
0.661,0.0,19.432,-0.229,-4.45
0.669,0.0,19.44,-0.218,-4.238
0.677,0.0,19.428,-0.248,-4.818
0.686,0.0,19.424,-0.246,-4.778
0.694,0.0,19.424,-0.234,-4.545
0.702,0.0,19.428,-0.202,-3.924
0.711,0.0,19.432,-0.252,-4.897
0.721,0.0,19.424,-0.272,-5.283
0.729,0.0,19.44,-0.243,-4.724
0.737,0.0,19.428,-0.229,-4.449
0.745,0.0,19.424,-0.233,-4.526
0.755,0.0,19.42,-0.245,-4.758
0.763,0.0,19.424,-0.222,-4.312
0.771,0.0,19.436,-0.235,-4.567
0.779,0.0,19.428,-0.253,-4.915
