time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV], slope
0.012236,0.010000,-199,19564,0,124,0,108,0,120,0,116,0,116,0,112,0.000000
0.025106,0.020000,-199,19564,0,128,0,112,0,120,0,112,0,116,0,112,0.000000
0.037481,0.030000,-208,19568,0,124,0,112,0,124,0,112,0,116,0,112,0.000000
0.050466,0.040000,-185,19572,0,128,0,112,0,120,0,116,0,112,0,112,0.000000
0.063899,0.050000,-218,19560,0,128,0,108,0,124,0,112,0,116,0,112,0.000000
0.076138,0.060000,-203,19568,0,128,0,112,0,124,0,116,0,116,0,112,0.000000
0.087796,0.070000,-239,19552,0,124,0,112,0,120,0,116,0,116,0,112,0.000000
0.099579,0.080000,-184,19568,0,128,0,112,0,120,0,116,0,116,0,112,0.000000
0.111877,0.090000,-203,19564,0,124,0,108,0,124,0,116,0,116,0,108,0.000000
0.123436,0.100000,-233,19556,0,128,0,112,0,124,0,116,0,116,0,112,0.000000
0.134861,0.110000,-185,19568,0,128,0,108,0,120,0,112,0,120,0,112,0.000000
0.147153,0.120000,-214,19564,0,128,0,112,0,120,0,112,0,116,0,112,0.000000
0.158078,0.130000,-201,19564,0,124,0,108,0,124,0,112,0,116,0,112,0.000000
0.168603,0.140000,-196,19564,0,128,0,112,0,120,0,112,0,116,0,112,0.000000
0.179976,0.150000,-219,19564,0,124,0,108,0,124,0,116,0,116,0,112,0.000000
0.190144,0.160000,-206,19568,0,128,0,112,0,120,0,112,0,116,0,112,0.000000
0.200599,0.170000,-189,19560,0,128,0,112,0,120,0,112,0,120,0,116,0.000000
0.211992,0.180000,-207,19560,0,128,0,112,0,124,0,116,0,112,0,112,0.000000
0.222312,0.190000,-211,19556,0,128,0,108,0,124,0,112,0,116,0,116,0.000000
0.232657,0.200000,-205,19556,0,128,0,112,0,120,0,112,0,116,0,112,0.000000
