time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV], slope
0.435996,0.430000,-243,19440,0,116,0,104,0,5076,0,108,0,108,0,108,0.000000
0.445152,0.440000,-252,19428,0,120,0,104,0,5076,0,108,0,108,0,104,0.000000
0.453646,0.450000,-275,19420,0,120,0,104,10,5076,0,108,0,108,0,108,0.000000
0.461614,0.460000,-197,19424,0,120,0,100,11,5072,0,104,0,108,0,108,0.000000
0.469824,0.470000,-240,19444,0,116,0,108,10,5076,0,108,0,108,0,104,0.000000
0.478976,0.480000,-253,19436,0,120,0,100,10,5072,0,108,0,108,0,104,0.000000
0.487272,0.490000,-279,19428,0,120,0,104,11,5072,0,108,0,108,0,108,0.000000
0.495213,0.500000,-194,19424,0,120,0,100,10,5076,0,108,0,108,0,108,0.000000
0.503270,0.510000,-254,19440,0,116,0,104,0,5072,0,104,0,108,0,108,0.000000
0.512515,0.520000,-257,19428,0,120,0,100,0,5080,0,108,0,108,0,104,0.000000
0.520897,0.530000,-263,19424,0,120,0,104,10,5076,0,108,0,112,0,104,0.000000
0.530522,0.540000,-265,19436,0,120,0,104,10,5076,0,108,0,108,0,104,0.000000
0.539116,0.550000,-237,19424,0,120,0,100,0,5072,0,104,0,112,0,104,0.000000
0.548252,0.560000,-281,19424,0,116,0,104,10,5076,0,108,0,108,0,108,0.000000
0.556247,0.570000,-198,19424,0,120,0,104,0,5076,0,104,0,108,0,108,0.000000
0.564248,0.580000,-248,19440,0,120,0,104,0,5072,0,104,0,112,0,104,0.000000
0.572788,0.590000,-237,19428,0,120,0,104,0,5076,0,108,0,108,0,108,0.000000
0.581866,0.600000,-295,19424,0,120,0,100,0,5076,0,104,0,108,0,104,0.000000
0.589918,0.610000,-199,19432,0,120,0,104,0,5076,0,104,0,112,0,108,0.000000
0.600451,0.620000,-246,19440,0,120,0,104,0,5076,0,108,0,112,0,108,0.000000
0.609679,0.630000,-259,19424,0,120,0,104,10,5076,0,104,0,108,0,104,0.000000
0.618942,0.640000,-251,19428,0,116,0,104,11,5072,0,104,0,108,0,108,0.000000
