Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.12,0.0,0.0
0.029,0.0,0.124,0.0,0.0
0.042,0.0,0.124,0.0,0.0
0.056,0.0,0.124,0.0,0.0
0.069,0.0,0.124,0.0,0.0
0.083,0.0,0.124,0.0,0.0
0.094,0.0,0.124,0.0,0.0
0.105,0.0,0.124,0.0,0.0
0.116,0.0,0.124,0.0,0.0
0.127,0.0,0.124,0.0,0.0
0.139,0.0,0.124,0.0,0.0
0.15,0.0,0.124,0.0,0.0
0.161,0.0,0.124,0.0,0.0
0.172,0.0,0.124,0.0,0.0
0.184,0.0,0.124,0.0,0.0
0.194,0.0,0.124,0.0,0.0
0.206,0.0,0.12,0.0,0.0
0.217,0.0,0.124,0.0,0.0
0.228,0.0,0.124,0.0,0.0
0.239,0.0,0.124,0.0,0.0
0.25,0.0,0.124,0.0,0.0
0.261,0.0,0.128,0.0,0.0
0.272,0.0,0.12,0.0,0.0
0.284,0.0,0.12,0.0,0.0
0.294,0.0,0.124,0.0,0.0
0.305,0.0,0.124,0.0,0.0
0.317,0.0,0.124,0.0,0.0
0.328,0.0,0.12,0.0,0.0
0.339,0.0,0.124,0.0,0.0
0.351,0.0,0.124,0.0,0.0
0.361,0.0,0.124,0.0,0.0
0.373,0.0,0.124,0.0,0.0
0.384,0.0,0.124,0.0,0.0
0.395,0.0,0.124,0.0,0.0
0.406,0.0,0.124,0.0,0.0
0.418,0.0,0.124,0.0,0.0
0.428,0.0,0.128,0.0,0.0
0.44,0.0,0.124,0.0,0.0
0.452,0.0,0.12,0.0,0.0
0.463,0.0,0.124,0.0,0.0
0.474,0.0,0.124,0.0,0.0
0.486,0.0,0.124,0.0,0.0
0.496,0.0,0.124,0.0,0.0
0.508,0.0,0.124,0.0,0.0
0.52,0.0,0.124,0.0,0.0
0.53,0.0,0.124,0.0,0.0
0.542,0.0,0.124,0.0,0.0
0.554,0.0,0.124,0.0,0.0
0.564,0.0,0.124,0.0,0.0
0.576,0.0,0.124,0.0,0.0
0.588,0.0,0.124,0.0,0.0
0.598,0.0,0.12,0.0,0.0
0.609,0.0,0.124,0.0,0.0
0.62,0.0,0.124,0.0,0.0
0.631,0.0,0.124,0.0,0.0
0.641,0.0,4.028,0.0,0.0
0.653,0.0,5.076,0.011,0.056
0.664,0.0,5.072,0.01,0.051
0.721,0.0,5.072,0.018,0.091
0.732,0.0,5.076,0.017,0.086
0.743,0.0,5.072,0.018,0.091
0.755,0.0,5.072,0.016,0.081
0.767,0.0,5.076,0.016,0.081
0.777,0.0,5.076,0.017,0.086
0.79,0.0,5.076,0.017,0.086
0.802,0.0,5.072,0.017,0.086
0.813,0.0,5.072,0.017,0.086
0.825,0.0,5.072,0.017,0.086
0.836,0.0,5.072,0.017,0.086
0.847,0.0,5.076,0.017,0.086
0.859,0.0,5.072,0.016,0.081
0.872,0.0,9.104,0.032,0.291
0.883,0.0,9.104,0.032,0.291
0.898,0.0,9.104,0.033,0.3
0.963,0.0,9.104,0.031,0.282
0.975,0.0,9.104,0.033,0.3
0.985,0.0,9.108,0.031,0.282
0.996,0.0,9.104,0.031,0.282
1.008,0.0,9.104,0.032,0.291
1.018,0.0,9.104,0.032,0.291
1.028,0.0,9.1,0.031,0.282
1.039,0.0,9.076,0.984,8.931
1.05,0.0,9.076,0.985,8.94
1.06,0.0,9.076,0.986,8.949
1.072,0.0,9.076,0.987,8.958
1.082,0.0,9.076,0.986,8.949
1.093,0.0,9.08,0.984,8.935
1.105,0.0,9.076,0.966,8.767
1.117,0.0,9.08,0.963,8.744
1.128,0.0,9.076,0.964,8.749
1.139,0.0,9.076,0.962,8.731
1.151,0.0,9.076,0.963,8.74
1.162,0.0,9.076,0.963,8.74
1.174,0.0,9.076,0.962,8.731
1.186,0.0,9.08,0.962,8.735
1.197,0.0,9.08,0.941,8.544
1.208,0.0,9.076,0.941,8.541
1.22,0.0,9.076,0.942,8.55
