Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.014,0.0,0.112,0.0,0.0
0.026,0.0,0.112,0.0,0.0
0.039,0.0,0.112,0.0,0.0
0.051,0.0,0.112,0.0,0.0
0.064,0.0,0.112,0.0,0.0
0.076,0.0,0.112,0.0,0.0
0.09,0.0,0.112,0.0,0.0
0.102,0.0,0.112,0.0,0.0
0.114,0.0,0.108,0.0,0.0
0.126,0.0,0.112,0.0,0.0
0.137,0.0,0.112,0.0,0.0
0.149,0.0,0.112,0.0,0.0
0.161,0.0,0.112,0.0,0.0
0.173,0.0,0.112,0.0,0.0
0.185,0.0,0.112,0.0,0.0
0.195,0.0,0.112,0.0,0.0
0.203,0.0,0.112,0.0,0.0
0.21,0.0,0.112,0.0,0.0
0.218,0.0,0.112,0.0,0.0
0.226,0.0,0.112,0.0,0.0
0.234,0.0,0.108,0.0,0.0
0.242,0.0,0.112,0.0,0.0
0.25,0.0,0.112,0.0,0.0
0.257,0.0,0.112,0.0,0.0
0.265,0.0,0.108,0.0,0.0
0.273,0.0,0.112,0.0,0.0
0.281,0.0,0.112,0.0,0.0
0.289,0.0,0.108,0.0,0.0
0.297,0.0,0.112,0.0,0.0
0.304,0.0,0.112,0.0,0.0
0.312,0.0,0.112,0.0,0.0
0.32,0.0,0.112,0.0,0.0
0.328,0.0,0.112,0.0,0.0
0.336,0.0,0.112,0.0,0.0
0.345,0.0,0.112,0.0,0.0
0.353,0.0,0.112,0.0,0.0
0.363,0.0,0.112,0.0,0.0
0.371,0.0,0.112,0.0,0.0
0.38,0.0,0.116,0.0,0.0
0.388,0.0,0.112,0.0,0.0
0.396,0.0,0.112,0.0,0.0
0.404,0.0,0.112,0.0,0.0
0.412,0.0,0.112,0.0,0.0
0.42,0.0,0.112,0.0,0.0
0.428,0.0,0.108,0.0,0.0
0.436,0.0,0.112,0.0,0.0
0.444,0.0,0.112,0.0,0.0
0.489,0.0,5.072,0.01,0.051
0.497,0.0,5.072,0.01,0.051
0.505,0.0,5.076,0.01,0.051
0.513,0.0,5.072,0.011,0.056
0.521,0.0,5.072,0.01,0.051
0.529,0.0,5.076,0.0,0.0
0.537,0.0,5.072,0.01,0.051
0.545,0.0,5.076,0.01,0.051
0.553,0.0,5.076,0.01,0.051
0.561,0.0,5.072,0.0,0.0
0.569,0.0,5.072,0.01,0.051
0.578,0.0,5.076,0.01,0.051
0.586,0.0,5.076,0.011,0.056
0.594,0.0,5.072,0.01,0.051
0.602,0.0,5.072,0.0,0.0
0.61,0.0,5.072,0.0,0.0
0.618,0.0,5.076,0.01,0.051
0.627,0.0,5.072,0.01,0.051
0.635,0.0,5.072,0.0,0.0
0.644,0.0,5.076,0.0,0.0
0.652,0.0,5.076,0.01,0.051
0.66,0.0,5.076,0.01,0.051
0.668,0.0,5.076,0.01,0.051
0.676,0.0,5.076,0.0,0.0
0.684,0.0,5.072,0.01,0.051
0.692,0.0,5.072,0.01,0.051
0.7,0.0,5.076,0.011,0.056
0.709,0.0,5.072,0.0,0.0
0.717,0.0,5.076,0.01,0.051
0.725,0.0,5.072,0.01,0.051
0.733,0.0,5.072,0.01,0.051
0.741,0.0,5.076,0.01,0.051
0.749,0.0,5.076,0.01,0.051
0.758,0.0,5.076,0.01,0.051
0.767,0.0,5.076,0.01,0.051
0.775,0.0,5.072,0.01,0.051
0.784,0.0,5.072,0.011,0.056
0.792,0.0,5.072,0.012,0.061
0.8,0.0,5.076,0.01,0.051
0.808,0.0,5.072,0.01,0.051
0.816,0.0,5.072,0.01,0.051
0.825,0.0,5.072,0.01,0.051
0.833,0.0,5.076,0.01,0.051
0.841,0.0,5.072,0.011,0.056
0.85,0.0,5.076,0.01,0.051
0.858,0.0,5.076,0.0,0.0
0.866,0.0,5.076,0.01,0.051
0.874,0.0,5.076,0.01,0.051
0.883,0.0,5.076,0.011,0.056
0.891,0.0,5.072,0.01,0.051
0.9,0.0,5.076,0.0,0.0
0.911,0.0,5.076,0.012,0.061
0.923,0.0,5.076,0.01,0.051
0.934,74.0,5.072,0.0,0.0
0.945,73.0,5.076,0.0,0.0
0.956,73.0,5.076,0.01,0.051
0.967,73.0,5.076,0.011,0.056
0.978,72.0,5.076,0.0,0.0
0.989,72.0,5.076,0.0,0.0
1.0,72.0,5.072,0.0,0.0
1.011,71.0,5.076,0.011,0.056
1.022,70.0,5.076,0.011,0.056
1.033,70.0,5.076,0.01,0.051
1.044,69.0,5.072,0.0,0.0
1.055,68.0,5.076,0.0,0.0
1.066,67.0,5.076,0.01,0.051
1.077,66.0,5.076,0.0,0.0
1.088,65.0,5.072,0.011,0.056
1.099,64.0,5.072,0.01,0.051
1.11,63.0,5.072,0.012,0.061
1.121,62.0,5.076,0.013,0.066
1.133,61.0,5.076,0.014,0.071
1.144,60.0,5.076,0.013,0.066
1.155,58.0,5.076,0.0,0.0
1.166,57.0,5.072,0.01,0.051
1.177,55.0,5.076,0.01,0.051
1.188,54.0,5.072,0.01,0.051
1.199,52.0,5.076,0.011,0.056
1.21,51.0,5.076,0.0,0.0
1.221,49.0,5.076,0.01,0.051
1.232,47.0,5.076,0.0,0.0
1.243,45.0,5.076,0.067,0.34
1.254,43.0,5.072,0.101,0.512
1.265,42.0,5.072,0.1,0.507
1.276,40.0,5.072,0.1,0.507
1.287,37.0,5.072,0.1,0.507
1.298,35.0,5.076,0.101,0.513
1.31,33.0,5.072,0.102,0.517
1.321,31.0,5.072,0.1,0.507
1.332,29.0,5.068,0.101,0.512
1.343,26.0,5.068,0.099,0.502
1.354,24.0,5.072,0.1,0.507
1.365,21.0,5.072,0.101,0.512
1.376,19.0,5.072,0.099,0.502
1.387,16.0,5.072,0.1,0.507
1.398,14.0,5.072,0.101,0.512
1.409,11.0,5.072,0.057,0.289
1.421,8.0,5.072,0.077,0.391
1.432,5.0,5.072,0.1,0.507
1.443,2.0,5.068,0.102,0.517
1.454,0.0,5.072,0.102,0.517
1.465,0.0,5.072,0.102,0.517
1.477,0.0,5.072,0.103,0.522
1.489,0.0,5.072,0.102,0.517
1.5,0.0,5.072,0.102,0.517
1.511,0.0,5.072,0.103,0.522
1.522,0.0,5.072,0.101,0.512
1.532,0.0,5.072,0.102,0.517
1.542,0.0,5.072,0.102,0.517
1.553,0.0,5.072,0.103,0.522
1.563,0.0,5.072,0.102,0.517
1.573,0.0,5.068,0.101,0.512
1.583,0.0,5.072,0.103,0.522
1.594,0.0,5.072,0.078,0.396
1.604,0.0,5.076,0.055,0.279
1.615,0.0,5.072,0.08,0.406
1.626,0.0,9.104,0.111,1.011
1.637,2.0,9.1,0.134,1.219
1.706,4.0,9.1,0.223,2.029
1.717,6.0,9.096,0.193,1.756
1.728,9.0,9.1,0.216,1.966
1.739,11.0,9.096,0.195,1.774
1.75,13.0,9.1,0.197,1.793
1.761,15.0,9.1,0.218,1.984
1.772,17.0,9.096,0.198,1.801
1.784,19.0,9.096,0.186,1.692
1.795,21.0,9.096,0.231,2.101
1.806,23.0,9.096,0.229,2.083
1.818,25.0,9.096,0.25,2.274
1.829,27.0,9.1,0.225,2.047
1.84,29.0,9.1,0.225,2.047
1.851,30.0,9.1,0.218,1.984
1.862,32.0,9.096,0.216,1.965
1.873,34.0,9.096,0.229,2.083
1.884,35.0,9.096,0.243,2.21
1.895,37.0,9.096,0.184,1.674
1.906,38.0,9.096,0.244,2.219
1.917,40.0,9.096,0.245,2.229
1.928,41.0,9.1,0.196,1.784
1.942,42.0,9.1,0.251,2.284
1.955,44.0,9.096,0.25,2.274
1.966,45.0,9.096,0.252,2.292
1.977,46.0,9.096,0.202,1.837
1.988,47.0,9.1,0.252,2.293
1.999,48.0,9.096,0.23,2.092
2.011,49.0,9.096,0.205,1.865
2.023,50.0,9.096,0.252,2.292
2.035,51.0,9.096,0.249,2.265
2.047,52.0,9.1,0.178,1.62
2.058,53.0,9.096,0.252,2.292
2.07,54.0,9.1,0.265,2.412
2.081,54.0,9.096,0.173,1.574
2.092,55.0,9.096,0.268,2.438
2.103,56.0,9.096,0.269,2.447
2.114,56.0,9.1,0.161,1.465
2.125,57.0,9.096,0.276,2.51
2.136,57.0,9.1,0.272,2.475
2.147,58.0,9.096,0.185,1.683
2.158,58.0,9.096,0.259,2.356
2.169,59.0,9.096,0.259,2.356
2.18,59.0,9.1,0.173,1.574
2.192,59.0,9.096,0.265,2.41
2.202,59.0,9.092,0.276,2.509
2.213,60.0,9.1,0.156,1.42
2.224,60.0,9.096,0.262,2.383
2.236,60.0,9.096,0.267,2.429
2.247,60.0,9.1,0.175,1.592
2.259,60.0,9.096,0.265,2.41
2.272,60.0,9.096,0.253,2.301
2.283,60.0,9.096,0.196,1.783
2.294,59.0,9.096,0.298,2.711
