Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.116,0.0,0.0
0.025,0.0,0.116,0.0,0.0
0.037,0.0,0.116,0.0,0.0
0.05,0.0,0.112,0.0,0.0
0.064,0.0,0.116,0.0,0.0
0.076,0.0,0.116,0.0,0.0
0.088,0.0,0.116,0.0,0.0
0.1,0.0,0.116,0.0,0.0
0.112,0.0,0.116,0.0,0.0
0.123,0.0,0.116,0.0,0.0
0.135,0.0,0.12,0.0,0.0
0.147,0.0,0.116,0.0,0.0
0.158,0.0,0.116,0.0,0.0
0.169,0.0,0.116,0.0,0.0
0.18,0.0,0.116,0.0,0.0
0.19,0.0,0.116,0.0,0.0
0.201,0.0,0.12,0.0,0.0
0.212,0.0,0.112,0.0,0.0
0.222,0.0,0.116,0.0,0.0
0.233,0.0,0.116,0.0,0.0
0.244,0.0,0.116,0.0,0.0
0.255,0.0,0.116,0.0,0.0
0.265,0.0,0.116,0.0,0.0
0.276,0.0,0.116,0.0,0.0
0.287,0.0,0.116,0.0,0.0
0.297,0.0,0.12,0.0,0.0
0.308,0.0,0.116,0.0,0.0
0.319,0.0,0.116,0.0,0.0
0.329,0.0,0.116,0.0,0.0
0.34,0.0,0.116,0.0,0.0
0.351,0.0,0.116,0.0,0.0
0.362,0.0,0.116,0.0,0.0
0.371,0.0,0.116,0.0,0.0
0.381,0.0,0.12,0.0,0.0
0.391,0.0,0.116,0.0,0.0
0.401,0.0,0.12,0.0,0.0
0.41,0.0,0.116,0.0,0.0
0.421,0.0,0.116,0.0,0.0
0.431,0.0,0.116,0.0,0.0
0.44,0.0,0.116,0.0,0.0
0.45,0.0,0.116,0.0,0.0
0.461,0.0,0.116,0.0,0.0
0.471,0.0,0.116,0.0,0.0
0.482,0.0,0.116,0.0,0.0
0.493,0.0,0.116,0.0,0.0
0.504,0.0,0.116,0.0,0.0
0.515,0.0,0.116,0.0,0.0
0.532,0.0,0.116,0.0,0.0
0.542,0.0,0.116,0.0,0.0
0.553,0.0,0.116,0.0,0.0
0.564,0.0,0.116,0.0,0.0
0.575,0.0,0.116,0.0,0.0
0.585,0.0,0.116,0.0,0.0
0.597,0.0,0.116,0.0,0.0
0.608,0.0,0.116,0.0,0.0
0.618,0.0,0.116,0.0,0.0
0.63,0.0,0.116,0.0,0.0
0.679,0.0,0.116,0.0,0.0
0.69,0.0,0.116,0.0,0.0
0.701,0.0,0.116,0.0,0.0
0.72,0.0,0.116,0.0,0.0
0.732,0.0,0.112,0.0,0.0
0.743,0.0,0.116,0.0,0.0
0.753,0.0,0.116,0.0,0.0
0.764,0.0,0.116,0.0,0.0
0.776,0.0,0.112,0.0,0.0
0.787,0.0,0.116,0.0,0.0
0.797,0.0,0.116,0.0,0.0
0.809,0.0,0.116,0.0,0.0
0.819,0.0,0.12,0.0,0.0
0.83,0.0,0.116,0.0,0.0
0.842,0.0,0.116,0.0,0.0
0.911,0.0,0.116,0.0,0.0
0.921,0.0,0.116,0.0,0.0
0.932,0.0,0.116,0.0,0.0
0.944,0.0,0.116,0.0,0.0
0.955,0.0,0.116,0.0,0.0
0.966,0.0,0.116,0.0,0.0
0.978,0.0,0.116,0.0,0.0
0.991,0.0,0.116,0.0,0.0
1.001,0.0,0.116,0.0,0.0
1.014,0.0,0.116,0.0,0.0
1.025,0.0,0.116,0.0,0.0
1.035,0.0,0.116,0.0,0.0
1.048,0.0,0.116,0.0,0.0
1.059,0.0,0.116,0.0,0.0
1.07,0.0,0.116,0.0,0.0
1.082,0.0,0.116,0.0,0.0
1.094,0.0,0.116,0.0,0.0
1.105,0.0,0.116,0.0,0.0
1.116,0.0,0.12,0.0,0.0
1.127,0.0,0.116,0.0,0.0
1.138,0.0,0.116,0.0,0.0
1.149,0.0,0.116,0.0,0.0
1.16,0.0,0.116,0.0,0.0
1.171,0.0,0.116,0.0,0.0
1.181,0.0,0.116,0.0,0.0
1.191,0.0,0.116,0.0,0.0
1.202,0.0,0.116,0.0,0.0
1.212,0.0,0.116,0.0,0.0
1.222,124.0,0.116,0.0,0.0
1.232,125.0,0.116,0.0,0.0
1.243,126.0,0.116,0.0,0.0
1.253,127.0,0.116,0.0,0.0
1.263,128.0,0.116,0.0,0.0
1.274,128.0,0.116,0.0,0.0
1.284,129.0,0.116,0.0,0.0
1.294,130.0,0.116,0.0,0.0
1.306,130.0,0.116,0.0,0.0
1.316,130.0,0.116,0.0,0.0
1.326,130.0,0.116,0.0,0.0
1.337,130.0,0.116,0.0,0.0
1.348,130.0,0.116,0.0,0.0
1.359,130.0,0.116,0.0,0.0
1.37,130.0,0.116,0.0,0.0
1.382,130.0,0.116,0.0,0.0
1.394,129.0,0.116,0.0,0.0
1.405,129.0,0.116,0.0,0.0
1.417,128.0,0.12,0.0,0.0
1.429,127.0,0.112,0.0,0.0
1.44,126.0,0.116,0.0,0.0
1.451,125.0,0.116,0.0,0.0
1.464,124.0,0.116,0.0,0.0
1.474,123.0,0.116,0.0,0.0
1.484,121.0,0.112,0.0,0.0
1.495,120.0,0.116,0.0,0.0
1.506,118.0,0.116,0.0,0.0
1.517,117.0,0.116,0.0,0.0
1.527,115.0,0.116,0.0,0.0
1.538,113.0,0.116,0.0,0.0
1.548,111.0,0.116,0.0,0.0
1.558,109.0,0.116,0.0,0.0
1.571,107.0,0.112,0.0,0.0
1.582,105.0,0.116,0.0,0.0
1.596,102.0,0.116,0.0,0.0
1.607,100.0,0.116,0.0,0.0
1.618,97.0,0.116,0.0,0.0
1.629,94.0,0.116,0.0,0.0
1.64,91.0,0.116,0.0,0.0
1.652,88.0,0.116,0.0,0.0
1.663,85.0,0.116,0.0,0.0
1.674,82.0,0.116,0.0,0.0
1.686,79.0,0.116,0.0,0.0
1.696,76.0,0.116,0.0,0.0
1.707,72.0,0.116,0.0,0.0
1.719,69.0,0.112,0.0,0.0
1.73,65.0,0.116,0.0,0.0
1.741,61.0,0.112,0.0,0.0
1.753,57.0,0.116,0.0,0.0
1.764,53.0,0.116,0.0,0.0
1.775,49.0,0.116,0.0,0.0
1.786,45.0,0.116,0.0,0.0
1.797,40.0,0.116,0.0,0.0
1.808,36.0,0.116,0.0,0.0
1.819,32.0,0.116,0.0,0.0
1.831,30.0,0.116,0.0,0.0
1.841,28.0,0.116,0.0,0.0
1.852,27.0,0.116,0.0,0.0
1.864,25.0,0.116,0.0,0.0
1.876,23.0,0.116,0.0,0.0
1.887,21.0,0.116,0.0,0.0
1.899,19.0,0.116,0.0,0.0
1.911,17.0,0.116,0.0,0.0
1.922,15.0,0.112,0.0,0.0
1.934,13.0,0.116,0.0,0.0
1.946,11.0,0.116,0.0,0.0
1.957,9.0,0.112,0.0,0.0
1.969,6.0,0.116,0.0,0.0
1.981,4.0,0.116,0.0,0.0
1.993,2.0,0.116,0.0,0.0
2.005,0.0,0.116,0.0,0.0
2.017,0.0,0.116,0.0,0.0
2.028,0.0,0.116,0.0,0.0
2.04,0.0,0.116,0.0,0.0
2.052,0.0,0.116,0.0,0.0
2.063,0.0,0.116,0.0,0.0
2.074,0.0,0.116,0.0,0.0
2.085,0.0,0.12,0.0,0.0
2.095,0.0,0.116,0.0,0.0
2.106,0.0,0.116,0.0,0.0
2.117,0.0,0.116,0.0,0.0
2.127,0.0,0.116,0.0,0.0
2.137,0.0,0.116,0.0,0.0
2.149,0.0,0.116,0.0,0.0
2.159,0.0,0.116,0.0,0.0
2.17,0.0,0.116,0.0,0.0
2.181,0.0,0.116,0.0,0.0
2.193,0.0,0.116,0.0,0.0
2.204,0.0,0.116,0.0,0.0
2.215,0.0,0.116,0.0,0.0
2.226,0.0,0.116,0.0,0.0
2.237,0.0,0.116,0.0,0.0
2.248,0.0,0.112,0.0,0.0
2.259,0.0,0.116,0.0,0.0
2.271,0.0,0.116,0.0,0.0
2.282,0.0,0.116,0.0,0.0
2.293,0.0,0.116,0.0,0.0
2.304,0.0,0.116,0.0,0.0
2.315,0.0,0.116,0.0,0.0
2.326,0.0,0.112,0.0,0.0
2.338,0.0,0.116,0.0,0.0
2.349,0.0,0.116,0.0,0.0
2.359,0.0,0.116,0.0,0.0
2.371,0.0,0.116,0.0,0.0
2.382,0.0,0.116,0.0,0.0
2.393,0.0,0.116,0.0,0.0
2.404,0.0,0.116,0.0,0.0
2.416,0.0,0.116,0.0,0.0
2.426,0.0,0.116,0.0,0.0
2.437,0.0,0.116,0.0,0.0
2.449,0.0,0.116,0.0,0.0
2.459,0.0,0.116,0.0,0.0
2.471,0.0,0.116,0.0,0.0
2.482,0.0,0.12,0.0,0.0
2.493,0.0,0.12,0.0,0.0
2.504,0.0,0.116,0.0,0.0
2.515,0.0,0.116,0.0,0.0
2.527,0.0,0.112,0.0,0.0
2.538,0.0,0.116,0.0,0.0
2.549,0.0,0.116,0.0,0.0
2.56,0.0,0.116,0.0,0.0
2.571,0.0,0.116,0.0,0.0
2.581,0.0,0.116,0.0,0.0
2.592,0.0,0.116,0.0,0.0
2.602,0.0,0.112,0.0,0.0
2.612,0.0,0.116,0.0,0.0
2.622,0.0,0.12,0.0,0.0
2.634,0.0,0.116,0.0,0.0
2.644,0.0,0.116,0.0,0.0
2.654,0.0,0.116,0.0,0.0
2.666,0.0,0.116,0.0,0.0
2.677,0.0,0.116,0.0,0.0
2.688,0.0,0.116,0.0,0.0
2.7,0.0,0.116,0.0,0.0
2.712,0.0,0.116,0.0,0.0
2.723,0.0,0.116,0.0,0.0
2.736,0.0,0.116,0.0,0.0
2.747,0.0,0.116,0.0,0.0
2.759,0.0,0.12,0.0,0.0
2.771,0.0,0.116,0.0,0.0
2.783,0.0,0.112,0.0,0.0
2.795,0.0,0.116,0.0,0.0
2.806,0.0,0.116,0.0,0.0
2.818,0.0,0.116,0.0,0.0
2.829,0.0,0.116,0.0,0.0
2.841,0.0,0.116,0.0,0.0
2.853,0.0,0.116,0.0,0.0
2.865,0.0,0.116,0.0,0.0
2.876,0.0,0.116,0.0,0.0
2.887,0.0,0.116,0.0,0.0
2.897,0.0,0.116,0.0,0.0
2.907,0.0,0.116,0.0,0.0
2.918,0.0,0.116,0.0,0.0
2.929,0.0,0.116,0.0,0.0
2.939,0.0,0.116,0.0,0.0
2.95,0.0,0.112,0.0,0.0
2.961,0.0,0.116,0.0,0.0
2.972,0.0,0.116,0.0,0.0
2.983,0.0,0.116,0.0,0.0
2.995,0.0,0.116,0.0,0.0
3.006,0.0,0.116,0.0,0.0
3.017,0.0,0.116,0.0,0.0
3.027,0.0,0.116,0.0,0.0
3.039,0.0,0.116,0.0,0.0
3.05,0.0,0.116,0.0,0.0
3.061,0.0,0.116,0.0,0.0
3.072,0.0,0.116,0.0,0.0
3.084,0.0,0.116,0.0,0.0
3.095,0.0,0.116,0.0,0.0
3.106,0.0,0.116,0.0,0.0
3.119,0.0,0.112,0.0,0.0
3.13,0.0,0.116,0.0,0.0
3.141,0.0,0.116,0.0,0.0
3.156,0.0,0.116,0.0,0.0
3.167,0.0,0.116,0.0,0.0
3.178,0.0,0.116,0.0,0.0
