Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.484,0.0,19.56,-0.227,-4.44
0.492,0.0,19.556,-0.233,-4.557
0.5,0.0,19.552,-0.242,-4.732
0.508,0.0,19.56,-0.233,-4.557
0.516,0.0,19.564,-0.234,-4.578
0.525,0.0,19.56,-0.245,-4.792
0.534,0.0,19.552,-0.215,-4.204
0.542,0.0,19.544,-0.215,-4.202
0.55,0.0,19.564,-0.275,-5.38
0.558,0.0,19.548,-0.214,-4.183
0.566,0.0,19.564,-0.272,-5.321
0.573,0.0,19.56,-0.231,-4.518
0.582,0.0,19.568,-0.228,-4.462
0.59,0.0,19.552,-0.286,-5.592
0.599,0.0,19.552,-0.279,-5.455
0.607,0.0,19.56,-0.206,-4.029
0.615,0.0,19.56,-0.26,-5.086
0.624,0.0,19.556,-0.271,-5.3
0.633,0.0,19.552,-0.255,-4.986
0.641,0.0,19.552,-0.238,-4.653
0.649,0.0,19.548,-0.251,-4.907
0.658,0.0,19.548,-0.259,-5.063
0.667,0.0,19.544,-0.237,-4.632
0.676,0.0,19.552,-0.248,-4.849
0.684,0.0,19.552,-0.227,-4.438
0.693,0.0,19.548,-0.245,-4.789
0.701,0.0,19.556,-0.227,-4.439
0.71,0.0,19.552,-0.243,-4.751
0.718,0.0,19.552,-0.215,-4.204
0.726,0.0,19.552,-0.221,-4.321
0.734,0.0,19.556,-0.266,-5.202
0.743,0.0,19.552,-0.278,-5.435
0.751,0.0,19.556,-0.258,-5.045
0.759,0.0,19.548,-0.248,-4.848
0.767,0.0,19.568,-0.258,-5.049
0.775,0.0,19.572,-0.268,-5.245
0.783,0.0,19.552,-0.248,-4.849
0.792,0.0,19.548,-0.265,-5.18
0.8,0.0,19.556,-0.257,-5.026
0.808,0.0,19.544,-0.264,-5.16
0.816,0.0,19.552,-0.253,-4.947
0.825,0.0,19.556,-0.259,-5.065
0.833,0.0,19.548,-0.252,-4.926
0.841,0.0,19.56,-0.251,-4.91
0.849,0.0,19.564,-0.236,-4.617
0.857,0.0,19.556,-0.271,-5.3
0.865,0.0,19.552,-0.253,-4.947
0.873,0.0,19.56,-0.244,-4.773
0.881,0.0,19.552,-0.262,-5.123
0.89,0.0,19.552,-0.222,-4.341
0.898,0.0,19.552,-0.219,-4.282
0.906,0.0,19.552,-0.261,-5.103
0.914,0.0,19.556,-0.205,-4.009
0.922,0.0,19.552,-0.266,-5.201
0.931,0.0,19.552,-0.239,-4.673
0.94,0.0,19.548,-0.26,-5.082
0.948,0.0,19.56,-0.263,-5.144
0.956,0.0,19.556,-0.283,-5.534
0.964,0.0,19.552,-0.274,-5.357
0.972,0.0,19.556,-0.213,-4.165
0.981,0.0,19.556,-0.254,-4.967
0.989,70.0,19.564,-0.245,-4.793
0.997,69.0,19.56,-0.289,-5.653
1.005,68.0,19.556,-0.264,-5.163
1.014,67.0,19.556,-0.222,-4.341
1.023,66.0,19.552,-0.251,-4.908
1.031,65.0,19.544,-0.282,-5.511
1.04,64.0,19.56,-0.213,-4.166
1.048,63.0,19.548,-0.228,-4.457
1.057,62.0,19.556,-0.227,-4.439
1.065,61.0,19.552,-0.216,-4.223
1.074,59.0,19.552,-0.259,-5.064
1.082,58.0,19.564,-0.265,-5.184
1.091,57.0,19.564,-0.232,-4.539
1.099,55.0,19.556,-0.27,-5.28
1.108,54.0,19.556,-0.215,-4.205
1.118,52.0,19.552,-0.243,-4.751
1.129,51.0,19.556,-0.238,-4.654
1.14,49.0,19.564,-0.205,-4.011
1.151,47.0,19.556,-0.227,-4.439
1.162,45.0,19.56,-0.198,-3.873
