Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.838,0.0,5.076,0.017,0.086
0.849,0.0,5.076,0.016,0.081
0.864,0.0,5.076,0.017,0.086
0.875,0.0,5.076,0.016,0.081
0.886,0.0,5.072,0.017,0.086
0.897,0.0,5.076,0.016,0.081
0.907,0.0,5.072,0.017,0.086
0.917,0.0,5.076,0.017,0.086
0.927,0.0,5.076,0.018,0.091
0.937,0.0,5.072,0.017,0.086
0.947,0.0,5.076,0.015,0.076
0.958,0.0,5.076,0.017,0.086
0.968,0.0,5.072,0.016,0.081
0.977,0.0,5.076,0.017,0.086
0.988,0.0,5.072,0.017,0.086
0.999,0.0,5.08,0.017,0.086
1.01,0.0,9.104,0.034,0.31
1.021,0.0,9.1,0.032,0.291
1.032,0.0,9.1,0.031,0.282
1.1,0.0,9.108,0.031,0.282
1.111,0.0,9.1,0.031,0.282
1.122,0.0,9.104,0.031,0.282
1.133,0.0,9.104,0.034,0.31
1.144,0.0,9.104,0.032,0.291
1.155,0.0,9.104,0.031,0.282
1.167,0.0,9.076,0.988,8.967
1.178,0.0,9.08,0.985,8.944
1.188,0.0,9.076,0.986,8.949
1.199,86.0,9.076,0.987,8.958
1.211,89.0,9.076,0.987,8.958
1.222,92.0,9.076,0.966,8.767
1.233,95.0,9.076,0.965,8.758
1.244,98.0,9.076,0.962,8.731
1.255,100.0,9.076,0.964,8.749
1.266,103.0,9.076,0.963,8.74
1.278,105.0,9.076,0.965,8.758
1.289,107.0,9.076,0.965,8.758
1.3,109.0,9.076,0.964,8.749
1.31,111.0,9.076,0.965,8.758
1.321,113.0,9.08,0.941,8.544
1.33,115.0,9.076,0.941,8.541
1.34,117.0,9.076,0.944,8.568
1.351,119.0,9.08,0.939,8.526
1.361,120.0,9.08,0.94,8.535
1.371,122.0,9.072,0.942,8.546
1.381,123.0,9.08,0.941,8.544
1.392,124.0,9.08,0.942,8.553
1.403,125.0,9.08,0.942,8.553
1.413,126.0,9.08,0.919,8.345
1.425,127.0,9.076,0.921,8.359
1.436,128.0,9.076,0.924,8.386
1.447,128.0,9.08,0.919,8.345
1.458,129.0,9.08,0.921,8.363
1.47,129.0,9.076,0.92,8.35
1.48,130.0,9.08,0.92,8.354
1.491,130.0,9.076,0.919,8.341
1.503,130.0,9.076,0.922,8.368
1.514,130.0,9.08,0.901,8.181
1.525,130.0,9.08,0.899,8.163
1.536,130.0,9.08,0.899,8.163
1.547,129.0,9.08,0.897,8.145
1.558,129.0,9.076,0.896,8.132
1.569,128.0,9.08,0.899,8.163
1.581,128.0,9.08,0.9,8.172
1.592,127.0,9.08,0.898,8.154
1.603,126.0,9.08,0.901,8.181
1.615,125.0,9.08,0.877,7.963
1.625,124.0,9.08,0.877,7.963
1.636,123.0,9.08,0.877,7.963
1.648,122.0,9.08,0.878,7.972
1.659,120.0,9.08,0.876,7.954
1.67,119.0,9.08,0.877,7.963
1.681,117.0,9.076,0.877,7.96
1.693,116.0,9.08,0.876,7.954
1.703,114.0,9.08,0.854,7.754
1.713,112.0,9.084,0.853,7.749
1.724,110.0,9.08,0.854,7.754
1.734,108.0,9.08,0.854,7.754
1.744,105.0,9.084,0.855,7.767
1.754,103.0,9.08,0.853,7.745
1.765,101.0,9.08,0.853,7.745
1.775,98.0,9.08,0.853,7.745
1.785,95.0,9.08,0.852,7.736
1.795,93.0,9.08,0.853,7.745
1.806,90.0,9.08,0.831,7.545
1.817,87.0,9.08,0.833,7.564
1.828,84.0,9.08,0.833,7.564
1.84,80.0,9.084,0.833,7.567
1.851,77.0,9.08,0.833,7.564
1.862,74.0,9.084,0.832,7.558
1.874,70.0,9.08,0.833,7.564
1.884,66.0,9.08,0.832,7.555
1.895,63.0,9.084,0.808,7.34
1.907,59.0,9.08,0.809,7.346
1.918,55.0,9.08,0.809,7.346
1.929,51.0,9.08,0.809,7.346
1.94,47.0,9.08,0.812,7.373
1.952,42.0,9.084,0.81,7.358
1.962,38.0,9.08,0.808,7.337
1.974,33.0,9.08,0.809,7.346
1.985,32.0,9.084,0.81,7.358
1.996,30.0,9.084,0.789,7.167
2.007,28.0,9.084,0.79,7.176
2.019,27.0,9.084,0.79,7.176
2.03,25.0,9.084,0.789,7.167
2.04,23.0,9.08,0.789,7.164
2.053,21.0,9.08,0.788,7.155
2.064,19.0,9.08,0.786,7.137
2.076,17.0,9.08,0.787,7.146
2.088,15.0,9.084,0.788,7.158
2.1,13.0,9.084,0.787,7.149
2.11,11.0,9.084,0.788,7.158
2.121,9.0,9.08,0.789,7.164
2.132,6.0,9.08,0.788,7.155
2.142,4.0,9.08,0.789,7.164
2.153,2.0,9.084,0.79,7.176
