Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.56,0.0,5.072,0.011,0.056
0.572,0.0,5.072,0.0,0.0
0.583,0.0,5.076,0.01,0.051
0.594,0.0,5.076,0.011,0.056
0.605,0.0,5.076,0.011,0.056
0.616,0.0,5.076,0.011,0.056
0.627,0.0,5.072,0.01,0.051
0.638,0.0,5.076,0.01,0.051
0.649,0.0,5.072,0.01,0.051
0.66,0.0,5.076,0.01,0.051
0.672,0.0,5.072,0.01,0.051
0.683,0.0,5.076,0.011,0.056
0.694,0.0,5.076,0.01,0.051
0.705,0.0,5.072,0.01,0.051
0.717,0.0,5.076,0.01,0.051
0.73,0.0,5.072,0.01,0.051
0.745,0.0,5.076,0.011,0.056
0.757,0.0,5.072,0.012,0.061
0.768,0.0,5.072,0.011,0.056
0.78,0.0,5.076,0.01,0.051
0.791,0.0,5.076,0.0,0.0
0.802,0.0,5.076,0.01,0.051
0.813,0.0,5.076,0.01,0.051
0.824,0.0,5.072,0.011,0.056
0.836,0.0,5.072,0.0,0.0
0.848,0.0,5.072,0.012,0.061
0.861,0.0,5.076,0.01,0.051
0.873,0.0,5.072,0.01,0.051
0.886,0.0,5.072,0.011,0.056
0.898,0.0,5.072,0.01,0.051
0.91,0.0,5.076,0.012,0.061
0.923,0.0,5.072,0.011,0.056
0.936,0.0,5.072,0.01,0.051
0.947,0.0,5.072,0.01,0.051
0.96,0.0,5.076,0.01,0.051
0.976,0.0,5.072,0.01,0.051
0.987,0.0,5.072,0.011,0.056
0.998,0.0,5.076,0.01,0.051
1.009,0.0,5.076,0.01,0.051
1.02,0.0,5.076,0.01,0.051
1.031,0.0,5.076,0.0,0.0
1.042,0.0,5.072,0.011,0.056
1.054,0.0,5.072,0.011,0.056
1.065,0.0,5.072,0.011,0.056
1.077,0.0,5.072,0.01,0.051
1.088,0.0,5.072,0.0,0.0
1.099,0.0,5.076,0.01,0.051
1.111,0.0,5.072,0.012,0.061
1.122,0.0,5.072,0.01,0.051
1.134,0.0,5.076,0.01,0.051
1.146,0.0,5.076,0.01,0.051
1.159,0.0,5.076,0.01,0.051
1.172,0.0,5.076,0.013,0.066
