Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.581,0.0,5.072,0.0,0.0
0.642,0.0,5.076,0.011,0.056
0.654,0.0,5.076,0.011,0.056
0.665,0.0,5.076,0.011,0.056
0.678,0.0,5.076,0.011,0.056
0.69,0.0,5.072,0.01,0.051
0.701,0.0,5.072,0.0,0.0
0.714,0.0,5.076,0.0,0.0
0.727,0.0,5.076,0.01,0.051
0.738,0.0,5.076,0.0,0.0
0.749,0.0,5.076,0.01,0.051
0.76,0.0,5.076,0.011,0.056
0.772,0.0,5.072,0.01,0.051
0.783,0.0,5.072,0.011,0.056
0.794,0.0,5.076,0.01,0.051
0.805,0.0,5.076,0.0,0.0
0.816,0.0,5.076,0.0,0.0
0.827,0.0,5.076,0.0,0.0
0.838,0.0,5.076,0.01,0.051
0.848,0.0,5.076,0.011,0.056
0.858,0.0,5.072,0.0,0.0
0.868,0.0,5.072,0.011,0.056
0.878,0.0,5.072,0.01,0.051
0.888,0.0,5.072,0.011,0.056
0.898,0.0,5.072,0.011,0.056
0.909,0.0,5.076,0.0,0.0
0.918,0.0,5.076,0.01,0.051
0.928,0.0,5.072,0.011,0.056
0.939,0.0,5.072,0.01,0.051
0.95,0.0,5.072,0.01,0.051
0.961,0.0,5.076,0.01,0.051
0.972,0.0,5.072,0.01,0.051
0.983,0.0,5.076,0.011,0.056
0.994,0.0,5.076,0.01,0.051
1.005,0.0,5.076,0.01,0.051
1.016,0.0,5.076,0.0,0.0
1.027,0.0,5.076,0.01,0.051
1.038,0.0,5.072,0.01,0.051
1.049,0.0,5.072,0.01,0.051
1.06,0.0,5.072,0.01,0.051
1.071,0.0,5.072,0.011,0.056
1.082,0.0,5.076,0.0,0.0
1.093,0.0,5.072,0.01,0.051
1.104,0.0,5.076,0.0,0.0
1.115,0.0,5.076,0.0,0.0
1.126,0.0,5.072,0.01,0.051
1.137,0.0,5.072,0.01,0.051
1.148,0.0,5.072,0.011,0.056
1.159,0.0,5.072,0.01,0.051
1.17,0.0,5.076,0.011,0.056
1.181,74.0,5.072,0.01,0.051
1.192,74.0,5.076,0.011,0.056
1.203,74.0,5.076,0.0,0.0
1.214,74.0,5.072,0.0,0.0
1.225,73.0,5.072,0.01,0.051
1.236,73.0,5.076,0.013,0.066
1.247,73.0,5.076,0.013,0.066
1.258,72.0,5.076,0.014,0.071
1.27,72.0,5.076,0.013,0.066
1.282,71.0,5.072,0.0,0.0
1.293,70.0,5.072,0.01,0.051
1.304,70.0,5.076,0.0,0.0
1.315,69.0,5.076,0.01,0.051
1.326,68.0,5.076,0.01,0.051
