Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.108,0.0,0.0
0.025,0.0,0.108,0.0,0.0
0.037,0.0,0.108,0.0,0.0
0.05,0.0,0.108,0.0,0.0
0.063,0.0,0.112,0.0,0.0
0.078,0.0,0.112,0.0,0.0
0.089,0.0,0.108,0.0,0.0
0.1,0.0,0.112,0.0,0.0
0.113,0.0,0.112,0.0,0.0
0.124,0.0,0.108,0.0,0.0
0.136,0.0,0.108,0.0,0.0
0.148,0.0,0.112,0.0,0.0
0.159,0.0,0.112,0.0,0.0
0.171,0.0,0.108,0.0,0.0
0.182,0.0,0.112,0.0,0.0
0.192,0.0,0.112,0.0,0.0
0.21,0.0,0.112,0.0,0.0
0.22,0.0,0.108,0.0,0.0
0.229,0.0,0.108,0.0,0.0
0.24,0.0,0.112,0.0,0.0
0.249,0.0,0.108,0.0,0.0
0.259,0.0,0.108,0.0,0.0
0.269,0.0,0.108,0.0,0.0
0.28,0.0,0.108,0.0,0.0
0.29,0.0,0.108,0.0,0.0
0.301,0.0,0.108,0.0,0.0
0.312,0.0,0.112,0.0,0.0
0.322,0.0,0.108,0.0,0.0
0.332,0.0,0.112,0.0,0.0
0.344,0.0,0.112,0.0,0.0
0.354,0.0,0.108,0.0,0.0
0.365,0.0,5.076,0.0,0.0
0.422,0.0,5.072,0.0,0.0
0.432,0.0,5.076,0.01,0.051
0.443,0.0,5.072,0.01,0.051
0.454,0.0,5.072,0.01,0.051
0.465,0.0,5.076,0.011,0.056
0.476,0.0,5.076,0.01,0.051
0.486,0.0,5.076,0.01,0.051
0.496,0.0,5.076,0.01,0.051
0.506,0.0,5.076,0.011,0.056
0.517,0.0,5.072,0.01,0.051
0.526,0.0,5.076,0.01,0.051
0.536,0.0,5.076,0.0,0.0
0.547,0.0,5.076,0.0,0.0
0.557,0.0,5.072,0.01,0.051
0.566,0.0,5.076,0.01,0.051
0.577,0.0,5.076,0.011,0.056
0.588,0.0,5.076,0.01,0.051
0.598,0.0,5.072,0.01,0.051
0.609,0.0,5.076,0.01,0.051
0.62,0.0,5.072,0.011,0.056
0.631,0.0,5.076,0.01,0.051
0.642,0.0,5.076,0.01,0.051
0.653,0.0,5.076,0.01,0.051
0.664,0.0,5.076,0.01,0.051
0.674,0.0,5.076,0.01,0.051
0.686,0.0,5.076,0.01,0.051
0.697,0.0,5.076,0.01,0.051
0.707,0.0,5.072,0.0,0.0
0.719,0.0,5.072,0.01,0.051
0.729,0.0,5.072,0.01,0.051
0.74,0.0,5.076,0.0,0.0
0.751,0.0,5.072,0.01,0.051
0.763,0.0,5.072,0.0,0.0
0.773,0.0,5.072,0.01,0.051
0.784,0.0,5.076,0.011,0.056
0.795,0.0,5.076,0.01,0.051
0.804,0.0,5.076,0.011,0.056
0.814,0.0,5.076,0.0,0.0
0.825,0.0,5.072,0.01,0.051
0.835,0.0,5.072,0.01,0.051
0.844,0.0,5.076,0.01,0.051
0.855,0.0,5.076,0.01,0.051
0.865,0.0,5.076,0.01,0.051
0.875,0.0,5.076,0.0,0.0
