Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.12,0.0,0.0
0.025,0.0,0.12,0.0,0.0
0.038,0.0,0.12,0.0,0.0
0.051,0.0,0.124,0.0,0.0
0.065,0.0,0.12,0.0,0.0
0.079,0.0,0.12,0.0,0.0
0.092,0.0,0.12,0.0,0.0
0.104,0.0,0.12,0.0,0.0
0.115,0.0,0.12,0.0,0.0
0.126,0.0,0.12,0.0,0.0
0.137,0.0,0.116,0.0,0.0
0.148,0.0,0.12,0.0,0.0
0.159,0.0,0.12,0.0,0.0
0.17,0.0,0.12,0.0,0.0
0.181,0.0,0.116,0.0,0.0
0.192,0.0,0.12,0.0,0.0
0.203,0.0,0.12,0.0,0.0
0.214,0.0,0.116,0.0,0.0
0.225,0.0,0.12,0.0,0.0
0.237,0.0,0.12,0.0,0.0
0.248,0.0,0.12,0.0,0.0
0.258,0.0,0.116,0.0,0.0
0.269,0.0,0.12,0.0,0.0
0.281,0.0,0.12,0.0,0.0
0.292,0.0,0.12,0.0,0.0
0.302,0.0,0.12,0.0,0.0
0.314,0.0,0.116,0.0,0.0
0.325,0.0,0.12,0.0,0.0
0.335,0.0,0.12,0.0,0.0
0.347,0.0,0.12,0.0,0.0
0.358,0.0,0.12,0.0,0.0
0.369,0.0,0.12,0.0,0.0
0.38,0.0,0.12,0.0,0.0
0.391,0.0,0.12,0.0,0.0
0.402,0.0,0.12,0.0,0.0
0.413,0.0,0.12,0.0,0.0
0.425,0.0,0.12,0.0,0.0
0.482,0.0,5.076,0.011,0.056
0.493,0.0,5.076,0.01,0.051
0.504,0.0,5.072,0.011,0.056
0.515,0.0,5.076,0.011,0.056
0.527,0.0,5.076,0.012,0.061
0.538,0.0,5.076,0.012,0.061
0.55,0.0,5.076,0.011,0.056
0.561,0.0,5.076,0.01,0.051
0.572,0.0,5.076,0.01,0.051
0.584,0.0,5.076,0.0,0.0
0.595,0.0,5.08,0.011,0.056
0.606,0.0,5.076,0.011,0.056
0.617,0.0,5.076,0.011,0.056
0.629,0.0,5.076,0.012,0.061
0.64,0.0,5.076,0.01,0.051
0.651,0.0,5.072,0.0,0.0
0.663,0.0,5.072,0.01,0.051
0.674,0.0,5.076,0.01,0.051
0.686,0.0,5.076,0.01,0.051
0.697,0.0,5.076,0.011,0.056
0.708,0.0,5.076,0.012,0.061
0.72,0.0,5.072,0.0,0.0
0.732,0.0,5.076,0.011,0.056
0.743,0.0,5.076,0.011,0.056
0.754,0.0,5.076,0.012,0.061
0.766,0.0,5.076,0.011,0.056
0.777,0.0,5.076,0.011,0.056
0.788,0.0,5.076,0.011,0.056
0.8,0.0,5.072,0.01,0.051
0.812,0.0,5.076,0.01,0.051
0.822,0.0,5.076,0.01,0.051
0.835,0.0,5.076,0.0,0.0
0.849,0.0,5.076,0.011,0.056
0.867,0.0,5.076,0.0,0.0
0.878,0.0,5.076,0.011,0.056
0.889,0.0,5.076,0.01,0.051
0.901,0.0,5.076,0.01,0.051
0.911,0.0,5.076,0.01,0.051
0.921,0.0,5.076,0.011,0.056
0.931,0.0,5.076,0.01,0.051
0.942,0.0,5.072,0.011,0.056
0.953,0.0,5.072,0.01,0.051
0.963,0.0,5.072,0.01,0.051
0.974,0.0,5.072,0.01,0.051
0.984,0.0,5.072,0.01,0.051
0.994,0.0,5.076,0.0,0.0
1.007,0.0,5.076,0.01,0.051
1.019,0.0,5.076,0.012,0.061
1.03,0.0,5.076,0.01,0.051
1.04,0.0,5.072,0.01,0.051
1.052,0.0,5.076,0.011,0.056
1.063,0.0,5.08,0.01,0.051
1.074,0.0,5.076,0.01,0.051
1.085,0.0,5.08,0.013,0.066
1.096,0.0,5.072,0.014,0.071
1.107,0.0,5.076,0.015,0.076
1.118,0.0,5.076,0.014,0.071
1.13,0.0,5.072,0.0,0.0
1.14,0.0,5.072,0.0,0.0
