Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.08,0.0,0.156,0.0,0.0
0.088,0.0,0.156,0.0,0.0
0.095,0.0,0.16,0.0,0.0
0.103,0.0,0.156,0.0,0.0
0.112,0.0,0.156,0.0,0.0
0.12,0.0,0.16,0.0,0.0
0.129,0.0,0.156,0.0,0.0
0.136,0.0,0.16,0.0,0.0
0.144,0.0,0.156,0.0,0.0
0.155,0.0,0.16,0.0,0.0
0.164,0.0,0.156,0.0,0.0
0.171,0.0,0.156,0.0,0.0
0.179,0.0,0.156,0.0,0.0
0.19,0.0,0.156,0.0,0.0
0.198,0.0,0.16,0.0,0.0
0.206,0.0,0.156,0.0,0.0
0.213,0.0,0.156,0.0,0.0
0.222,0.0,0.156,0.0,0.0
0.23,0.0,0.156,0.0,0.0
0.237,0.0,0.16,0.0,0.0
0.245,0.0,0.156,0.0,0.0
0.253,0.0,0.156,0.0,0.0
0.261,0.0,0.156,0.0,0.0
0.268,0.0,0.156,0.0,0.0
0.276,0.0,0.156,0.0,0.0
0.284,0.0,0.16,0.0,0.0
0.292,0.0,0.156,0.0,0.0
0.3,0.0,0.156,0.0,0.0
0.307,0.0,0.156,0.0,0.0
0.315,0.0,0.156,0.0,0.0
0.323,0.0,0.16,0.0,0.0
0.331,0.0,0.156,0.0,0.0
0.338,0.0,0.16,0.0,0.0
0.346,0.0,5.076,0.035,0.178
0.355,0.0,5.08,0.034,0.173
0.399,0.0,5.08,0.034,0.173
0.407,0.0,5.076,0.035,0.178
0.415,0.0,5.072,0.033,0.167
0.423,0.0,5.076,0.034,0.173
0.43,0.0,5.08,0.035,0.178
0.438,0.0,5.076,0.034,0.173
0.446,0.0,5.076,0.034,0.173
0.454,0.0,5.076,0.033,0.168
0.462,0.0,5.076,0.033,0.168
0.47,0.0,5.076,0.034,0.173
0.478,0.0,5.08,0.033,0.168
0.486,0.0,5.08,0.034,0.173
0.493,0.0,5.076,0.034,0.173
0.501,0.0,5.08,0.033,0.168
0.509,0.0,5.076,0.033,0.168
0.517,0.0,5.08,0.034,0.173
0.525,0.0,8.972,0.103,0.924
0.533,0.0,20.256,0.15,3.038
0.541,0.0,20.256,0.151,3.059
0.549,0.0,20.252,0.149,3.018
0.557,0.0,20.252,0.148,2.997
0.564,0.0,20.252,0.148,2.997
0.572,0.0,20.256,0.148,2.998
0.581,0.0,20.252,0.148,2.997
0.588,0.0,20.252,0.148,2.997
0.596,0.0,20.256,0.148,2.998
0.604,0.0,20.256,0.147,2.978
0.613,0.0,20.252,0.146,2.957
0.669,0.0,20.256,0.145,2.937
0.68,0.0,20.252,0.145,2.937
0.691,0.0,20.252,0.144,2.916
0.701,0.0,20.252,0.144,2.916
0.712,0.0,20.256,0.143,2.897
0.723,0.0,20.252,0.143,2.896
0.733,0.0,20.256,0.145,2.937
0.744,0.0,20.256,0.143,2.897
0.755,0.0,20.256,0.142,2.876
0.765,0.0,20.252,0.146,2.957
0.776,0.0,20.252,0.141,2.856
0.787,0.0,20.252,0.144,2.916
0.797,0.0,20.252,0.142,2.876
0.808,0.0,20.256,0.143,2.897
0.819,0.0,20.252,0.143,2.896
0.829,0.0,20.256,0.141,2.856
0.841,0.0,20.256,0.14,2.836
0.851,0.0,20.252,0.14,2.835
0.861,0.0,20.256,0.142,2.876
0.873,0.0,20.256,0.142,2.876
0.883,0.0,20.256,0.141,2.856
0.894,0.0,20.252,0.14,2.835
0.905,0.0,20.256,0.141,2.856
0.916,0.0,20.252,0.14,2.835
0.926,0.0,20.256,0.141,2.856
0.937,0.0,20.252,0.141,2.856
0.948,0.0,20.252,0.14,2.835
0.958,0.0,20.252,0.141,2.856
0.969,0.0,20.252,0.137,2.775
0.98,0.0,20.244,0.071,1.437
0.99,0.0,20.248,0.06,1.215
1.001,0.0,20.244,0.058,1.174
1.012,0.0,20.244,0.058,1.174
1.022,0.0,20.244,0.057,1.154
1.033,0.0,20.244,0.058,1.174
1.044,0.0,20.244,0.057,1.154
1.055,0.0,20.244,0.059,1.194
1.065,292.0,20.248,0.056,1.134
1.076,291.0,20.248,0.059,1.195
1.086,290.0,20.248,0.056,1.134
1.097,289.0,20.248,0.056,1.134
1.108,287.0,20.244,0.057,1.154
1.118,286.0,20.244,0.056,1.134
1.129,284.0,20.244,0.056,1.134
1.14,281.0,20.248,0.056,1.134
1.15,279.0,20.248,0.055,1.114
1.161,276.0,20.244,0.056,1.134
1.172,273.0,20.244,0.057,1.154
1.182,270.0,20.248,0.055,1.114
1.193,266.0,20.248,0.055,1.114
1.204,263.0,20.248,0.054,1.093
1.214,259.0,20.244,0.057,1.154
1.225,255.0,20.244,0.057,1.154
1.236,250.0,20.24,0.056,1.133
1.246,246.0,20.248,0.054,1.093
1.257,241.0,20.244,0.056,1.134
1.268,235.0,20.248,0.056,1.134
1.278,230.0,20.244,0.056,1.134
1.288,224.0,20.244,0.056,1.134
1.299,219.0,20.248,0.056,1.134
1.31,212.0,20.248,0.055,1.114
1.32,206.0,20.248,0.057,1.154
1.331,200.0,20.244,0.055,1.113
1.342,193.0,20.248,0.055,1.114
1.352,186.0,20.244,0.055,1.113
1.364,178.0,20.244,0.057,1.154
1.374,171.0,20.248,0.056,1.134
1.385,163.0,20.244,0.054,1.093
1.396,155.0,20.248,0.055,1.114
1.407,147.0,20.18,2.255,45.506
1.418,138.0,20.18,2.259,45.587
1.429,132.0,20.18,2.258,45.566
1.44,126.0,20.18,2.256,45.526
1.451,120.0,20.18,2.261,45.627
1.462,114.0,20.18,2.259,45.587
1.473,107.0,20.184,2.261,45.636
1.483,100.0,20.18,2.259,45.587
1.494,93.0,20.184,2.259,45.596
1.505,86.0,20.184,2.258,45.575
1.516,79.0,20.184,2.257,45.555
1.527,72.0,20.184,2.26,45.616
1.538,64.0,20.184,2.258,45.575
1.549,56.0,20.184,2.259,45.596
1.56,48.0,20.184,2.261,45.636
1.571,40.0,20.184,2.261,45.636
1.582,32.0,20.184,2.259,45.596
1.593,23.0,20.184,2.259,45.596
1.604,14.0,20.184,2.262,45.656
1.614,6.0,20.18,2.259,45.587
1.626,0.0,20.184,2.259,45.596
1.637,0.0,20.184,2.261,45.636
1.647,0.0,20.18,2.26,45.607
1.659,0.0,20.184,2.259,45.596
1.67,0.0,20.184,2.259,45.596
1.68,0.0,20.18,2.26,45.607
1.692,0.0,20.184,2.261,45.636
1.703,0.0,20.18,2.261,45.627
1.713,0.0,20.184,2.261,45.636
1.725,0.0,20.184,2.263,45.676
1.736,0.0,20.184,2.261,45.636
1.746,0.0,20.184,2.261,45.636
1.758,0.0,20.184,2.261,45.636
1.768,0.0,20.184,2.259,45.596
1.779,0.0,20.184,2.261,45.636
1.79,0.0,20.184,2.26,45.616
1.801,0.0,20.184,2.26,45.616
1.811,0.0,20.184,2.259,45.596
1.823,0.0,20.184,2.261,45.636
1.834,0.0,20.184,2.261,45.636
1.844,0.0,20.184,2.26,45.616
1.856,0.0,20.184,2.262,45.656
1.866,0.0,20.184,2.263,45.676
1.877,0.0,20.184,2.261,45.636
1.888,0.0,20.184,2.259,45.596
1.899,0.0,20.184,2.26,45.616
1.91,0.0,20.184,2.263,45.676
1.921,0.0,20.184,2.258,45.575
1.932,0.0,20.184,2.261,45.636
1.943,0.0,20.184,2.261,45.636
1.954,0.0,20.18,2.259,45.587
1.965,0.0,20.184,2.263,45.676
1.975,0.0,20.18,2.26,45.607
