Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.12,0.0,0.0
0.025,0.0,0.124,0.0,0.0
0.037,0.0,0.124,0.0,0.0
0.05,0.0,0.124,0.0,0.0
0.064,0.0,0.124,0.0,0.0
0.078,0.0,0.12,0.0,0.0
0.089,0.0,0.12,0.0,0.0
0.099,0.0,0.124,0.0,0.0
0.111,0.0,0.12,0.0,0.0
0.122,0.0,0.124,0.0,0.0
0.133,0.0,0.124,0.0,0.0
0.144,0.0,0.124,0.0,0.0
0.155,0.0,0.124,0.0,0.0
0.166,0.0,0.124,0.0,0.0
0.177,0.0,0.124,0.0,0.0
0.188,0.0,0.12,0.0,0.0
0.199,0.0,0.124,0.0,0.0
0.211,0.0,0.124,0.0,0.0
0.222,0.0,0.124,0.0,0.0
0.232,0.0,0.124,0.0,0.0
0.244,0.0,0.124,0.0,0.0
0.255,0.0,0.124,0.0,0.0
0.266,0.0,0.124,0.0,0.0
0.278,0.0,0.124,0.0,0.0
0.288,0.0,0.124,0.0,0.0
0.299,0.0,0.124,0.0,0.0
0.311,0.0,0.124,0.0,0.0
0.322,0.0,0.124,0.0,0.0
0.332,0.0,0.124,0.0,0.0
0.344,0.0,0.124,0.0,0.0
0.355,0.0,0.124,0.0,0.0
0.366,0.0,0.124,0.0,0.0
0.378,0.0,0.12,0.0,0.0
0.389,0.0,0.12,0.0,0.0
0.4,0.0,0.128,0.0,0.0
0.412,0.0,5.036,0.0,0.0
0.47,0.0,5.076,0.011,0.056
0.481,0.0,5.076,0.01,0.051
0.493,0.0,5.076,0.01,0.051
0.504,0.0,5.072,0.0,0.0
0.515,0.0,5.076,0.01,0.051
0.527,0.0,5.072,0.0,0.0
0.538,0.0,5.076,0.01,0.051
0.549,0.0,5.072,0.01,0.051
0.561,0.0,5.076,0.01,0.051
0.573,0.0,5.072,0.0,0.0
0.583,0.0,5.076,0.0,0.0
0.595,0.0,5.076,0.01,0.051
0.606,0.0,5.072,0.0,0.0
0.617,0.0,5.076,0.0,0.0
0.629,0.0,5.072,0.0,0.0
0.641,0.0,5.072,0.01,0.051
0.652,0.0,5.076,0.011,0.056
0.663,0.0,5.076,0.01,0.051
0.675,0.0,5.076,0.01,0.051
0.686,0.0,5.076,0.0,0.0
0.697,0.0,5.076,0.011,0.056
0.708,0.0,5.076,0.011,0.056
0.718,0.0,5.076,0.0,0.0
0.729,0.0,5.076,0.0,0.0
0.74,0.0,5.076,0.01,0.051
0.75,0.0,5.072,0.0,0.0
0.76,0.0,5.076,0.0,0.0
0.771,0.0,5.076,0.0,0.0
0.782,0.0,5.072,0.0,0.0
0.793,0.0,5.076,0.0,0.0
0.804,0.0,5.076,0.01,0.051
0.815,0.0,5.076,0.0,0.0
0.826,0.0,5.076,0.01,0.051
0.837,0.0,5.072,0.0,0.0
0.848,0.0,5.076,0.0,0.0
0.859,0.0,5.072,0.0,0.0
0.869,0.0,5.076,0.01,0.051
0.881,0.0,5.076,0.0,0.0
0.892,0.0,5.076,0.0,0.0
0.903,0.0,5.076,0.0,0.0
0.914,0.0,5.076,0.0,0.0
0.925,0.0,5.076,0.0,0.0
0.936,0.0,5.076,0.0,0.0
0.947,0.0,5.076,0.0,0.0
0.959,0.0,5.076,0.01,0.051
0.97,0.0,5.08,0.0,0.0
0.981,0.0,5.076,0.0,0.0
0.993,0.0,5.076,0.0,0.0
1.003,0.0,5.076,0.01,0.051
1.014,0.0,5.076,0.01,0.051
1.026,0.0,5.076,0.01,0.051
1.037,0.0,5.072,0.01,0.051
1.047,0.0,5.072,0.01,0.051
1.059,0.0,5.076,0.011,0.056
1.07,0.0,5.076,0.01,0.051
1.081,0.0,5.076,0.011,0.056
1.093,0.0,5.072,0.01,0.051
1.104,0.0,5.076,0.01,0.051
1.115,0.0,5.076,0.0,0.0
1.126,0.0,5.076,0.011,0.056
1.138,0.0,5.076,0.0,0.0
1.149,0.0,5.076,0.0,0.0
1.16,0.0,5.076,0.01,0.051
1.171,0.0,5.076,0.0,0.0
1.183,67.0,5.076,0.0,0.0
1.192,66.0,5.072,0.0,0.0
1.203,65.0,5.072,0.0,0.0
1.214,64.0,5.072,0.01,0.051
1.224,63.0,5.076,0.0,0.0
1.235,62.0,5.076,0.0,0.0
1.246,61.0,5.072,0.066,0.335
1.257,59.0,5.072,0.065,0.33
1.267,58.0,5.072,0.066,0.335
1.278,57.0,5.076,0.089,0.452
1.289,55.0,5.072,0.089,0.451
1.3,54.0,5.072,0.089,0.451
1.369,52.0,5.072,0.137,0.695
1.381,50.0,5.068,0.158,0.801
1.393,49.0,5.072,0.159,0.806
1.404,47.0,5.072,0.18,0.913
1.416,45.0,5.072,0.181,0.918
1.428,43.0,5.072,0.182,0.923
1.439,41.0,5.068,0.206,1.044
1.45,39.0,5.068,0.206,1.044
1.462,37.0,5.064,0.206,1.043
1.474,35.0,5.064,0.229,1.16
1.485,33.0,5.068,0.229,1.161
1.497,31.0,5.068,0.229,1.161
1.509,29.0,5.068,0.251,1.272
1.52,26.0,5.068,0.252,1.277
1.533,24.0,5.064,0.253,1.281
1.544,21.0,5.064,0.276,1.398
1.556,19.0,5.068,0.277,1.404
1.568,16.0,5.068,0.275,1.394
1.58,14.0,5.068,0.298,1.51
1.59,11.0,5.064,0.298,1.509
1.601,8.0,5.064,0.3,1.519
1.612,5.0,5.068,0.324,1.642
1.622,2.0,5.064,0.288,1.458
1.632,0.0,5.068,0.286,1.449
1.644,0.0,5.068,0.325,1.647
1.654,0.0,5.064,0.318,1.61
1.664,0.0,5.064,0.323,1.636
1.675,0.0,5.064,0.304,1.539
1.686,0.0,5.068,0.268,1.358
1.698,0.0,5.06,0.324,1.639
1.709,0.0,5.064,0.328,1.661
1.722,0.0,5.068,0.27,1.368
1.733,0.0,5.064,0.272,1.377
1.745,0.0,5.068,0.322,1.632
1.757,0.0,5.068,0.315,1.596
