Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.124,0.0,0.0
0.026,0.0,0.124,0.0,0.0
0.039,0.0,0.124,0.0,0.0
0.052,0.0,0.124,0.0,0.0
0.066,0.0,0.12,0.0,0.0
0.08,0.0,0.12,0.0,0.0
0.093,0.0,0.12,0.0,0.0
0.105,0.0,0.12,0.0,0.0
0.117,0.0,0.12,0.0,0.0
0.128,0.0,0.12,0.0,0.0
0.139,0.0,0.12,0.0,0.0
0.15,0.0,0.12,0.0,0.0
0.161,0.0,0.12,0.0,0.0
0.172,0.0,0.12,0.0,0.0
0.183,0.0,0.12,0.0,0.0
0.194,0.0,0.124,0.0,0.0
0.206,0.0,0.124,0.0,0.0
0.217,0.0,0.124,0.0,0.0
0.227,0.0,0.124,0.0,0.0
0.239,0.0,0.124,0.0,0.0
0.25,0.0,0.12,0.0,0.0
0.261,0.0,0.124,0.0,0.0
0.272,0.0,0.12,0.0,0.0
0.284,0.0,0.12,0.0,0.0
0.294,0.0,0.124,0.0,0.0
0.306,0.0,0.124,0.0,0.0
0.317,0.0,0.12,0.0,0.0
0.327,0.0,0.12,0.0,0.0
0.338,0.0,0.12,0.0,0.0
0.349,0.0,0.124,0.0,0.0
0.359,0.0,0.12,0.0,0.0
0.37,0.0,0.12,0.0,0.0
0.38,0.0,0.12,0.0,0.0
0.391,0.0,0.12,0.0,0.0
0.402,0.0,0.12,0.0,0.0
0.409,0.0,5.076,0.01,0.051
0.418,0.0,5.072,0.0,0.0
0.462,0.0,5.076,0.0,0.0
0.47,0.0,5.076,0.0,0.0
0.478,0.0,5.076,0.0,0.0
0.486,0.0,5.076,0.0,0.0
0.495,0.0,5.076,0.011,0.056
0.502,0.0,5.072,0.01,0.051
0.51,0.0,5.076,0.01,0.051
0.518,0.0,5.076,0.0,0.0
0.527,0.0,5.072,0.0,0.0
0.535,0.0,5.076,0.01,0.051
0.542,0.0,5.076,0.01,0.051
0.551,0.0,5.076,0.01,0.051
0.56,0.0,5.072,0.0,0.0
0.567,0.0,5.072,0.01,0.051
0.575,0.0,5.076,0.0,0.0
0.584,0.0,5.076,0.01,0.051
0.593,0.0,5.076,0.0,0.0
0.602,0.0,5.072,0.0,0.0
0.61,0.0,5.076,0.01,0.051
0.618,0.0,5.072,0.0,0.0
0.628,0.0,5.076,0.0,0.0
0.636,0.0,5.076,0.0,0.0
0.644,0.0,5.072,0.0,0.0
0.652,0.0,5.076,0.01,0.051
0.662,0.0,5.076,0.01,0.051
0.67,0.0,5.072,0.0,0.0
0.678,0.0,5.072,0.011,0.056
0.687,0.0,5.076,0.0,0.0
0.696,0.0,5.072,0.0,0.0
0.704,0.0,5.076,0.0,0.0
0.712,0.0,5.076,0.01,0.051
0.721,0.0,5.072,0.01,0.051
0.73,0.0,5.076,0.0,0.0
0.738,0.0,5.072,0.01,0.051
0.746,0.0,5.076,0.01,0.051
0.754,0.0,5.072,0.011,0.056
0.763,0.0,5.072,0.01,0.051
0.771,0.0,5.076,0.0,0.0
0.779,0.0,5.076,0.01,0.051
0.788,0.0,5.076,0.0,0.0
0.797,0.0,5.072,0.01,0.051
0.805,0.0,5.076,0.0,0.0
0.813,0.0,5.072,0.01,0.051
0.821,0.0,5.072,0.011,0.056
0.829,0.0,5.076,0.0,0.0
0.838,0.0,5.072,0.0,0.0
0.846,0.0,5.072,0.01,0.051
0.854,0.0,5.076,0.0,0.0
0.862,0.0,5.076,0.01,0.051
0.871,0.0,5.076,0.0,0.0
0.879,0.0,5.076,0.01,0.051
0.887,0.0,5.072,0.01,0.051
0.895,0.0,5.072,0.01,0.051
0.904,0.0,5.072,0.01,0.051
0.912,0.0,5.076,0.0,0.0
0.92,0.0,5.072,0.0,0.0
0.928,0.0,5.076,0.01,0.051
0.937,0.0,5.072,0.01,0.051
0.945,0.0,5.076,0.01,0.051
0.953,0.0,5.076,0.01,0.051
0.961,0.0,5.076,0.01,0.051
0.969,0.0,5.072,0.0,0.0
0.978,0.0,5.072,0.01,0.051
0.986,67.0,5.076,0.0,0.0
0.994,66.0,5.076,0.0,0.0
1.002,65.0,5.076,0.01,0.051
1.011,64.0,5.076,0.0,0.0
1.019,63.0,5.076,0.0,0.0
1.027,62.0,5.076,0.01,0.051
1.035,61.0,5.076,0.0,0.0
1.044,59.0,5.072,0.01,0.051
1.053,58.0,5.072,0.0,0.0
1.06,57.0,5.076,0.01,0.051
1.068,55.0,5.076,0.01,0.051
1.077,54.0,5.072,0.011,0.056
1.086,52.0,5.072,0.01,0.051
1.094,50.0,5.076,0.0,0.0
1.101,49.0,5.076,0.01,0.051
1.111,47.0,5.072,0.01,0.051
1.121,45.0,5.076,0.01,0.051
1.131,43.0,5.072,0.0,0.0
1.141,41.0,5.076,0.01,0.051
1.152,39.0,5.076,0.0,0.0
1.162,37.0,5.072,0.0,0.0
1.172,35.0,5.08,0.01,0.051
1.183,33.0,5.076,0.01,0.051
1.194,31.0,5.08,0.0,0.0
1.203,29.0,5.072,0.01,0.051
1.214,26.0,5.076,0.01,0.051
1.226,24.0,5.076,0.01,0.051
1.237,21.0,5.076,0.068,0.345
1.248,19.0,5.072,0.068,0.345
1.259,16.0,5.072,0.069,0.35
1.271,14.0,5.068,0.092,0.466
1.282,11.0,5.072,0.092,0.467
1.348,8.0,5.068,0.139,0.704
1.358,5.0,5.068,0.14,0.71
1.37,2.0,5.068,0.162,0.821
1.38,0.0,5.068,0.161,0.816
1.39,0.0,5.072,0.163,0.827
1.402,0.0,5.068,0.185,0.938
1.413,0.0,5.068,0.185,0.938
1.424,0.0,5.068,0.185,0.938
1.436,0.0,5.068,0.209,1.059
1.45,0.0,5.068,0.207,1.049
1.471,0.0,5.068,0.23,1.166
1.484,0.0,5.068,0.23,1.166
1.495,0.0,5.064,0.231,1.17
1.507,0.0,5.068,0.254,1.287
1.522,0.0,5.068,0.254,1.287
1.53,0.0,5.068,0.256,1.297
1.538,0.0,5.064,0.277,1.403
1.547,0.0,5.064,0.278,1.408
1.555,0.0,5.068,0.278,1.409
1.563,0.0,5.064,0.279,1.413
1.571,0.0,5.064,0.301,1.524
1.579,0.0,5.064,0.303,1.534
1.588,0.0,5.068,0.301,1.525
1.596,0.0,5.068,0.304,1.541
1.604,0.0,5.068,0.324,1.642
1.612,0.0,5.064,0.324,1.641
1.621,0.0,5.064,0.325,1.646
1.629,0.0,5.064,0.329,1.666
1.637,0.0,5.06,0.346,1.751
1.645,0.0,5.064,0.347,1.757
1.654,0.0,5.064,0.347,1.757
1.663,0.0,5.068,0.355,1.799
1.67,0.0,5.064,0.37,1.874
1.678,0.0,5.064,0.384,1.945
1.687,0.0,5.064,0.324,1.641
1.696,0.0,5.064,0.338,1.712
1.704,0.0,5.064,0.369,1.869
1.712,0.0,5.064,0.37,1.874
1.72,0.0,5.064,0.369,1.869
1.729,0.0,5.06,0.369,1.867
1.737,0.0,5.06,0.395,1.999
1.744,0.0,5.064,0.345,1.747
1.752,0.0,5.064,0.394,1.995
1.761,0.0,5.06,0.395,1.999
1.77,0.0,5.06,0.392,1.984
1.778,0.0,5.064,0.36,1.823
1.786,0.0,5.064,0.394,1.995
1.795,0.0,5.06,0.374,1.892
1.803,0.0,5.06,0.393,1.989
1.811,0.0,5.064,0.394,1.995
1.819,0.0,5.064,0.396,2.005
1.828,0.0,5.06,0.391,1.978
1.836,0.0,5.064,0.393,1.99
1.844,0.0,5.064,0.393,1.99
1.852,0.0,5.064,0.42,2.127
1.861,0.0,5.064,0.379,1.919
1.869,0.0,5.06,0.36,1.822
