Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.008,0.0,0.108,0.0,0.0
0.016,0.0,0.108,0.0,0.0
0.023,0.0,0.112,0.0,0.0
0.031,0.0,0.108,0.0,0.0
0.041,0.0,0.108,0.0,0.0
0.054,0.0,0.108,0.0,0.0
0.067,0.0,0.112,0.0,0.0
0.081,0.0,0.108,0.0,0.0
0.094,0.0,0.112,0.0,0.0
0.108,0.0,0.108,0.0,0.0
0.122,0.0,0.108,0.0,0.0
0.136,0.0,0.108,0.0,0.0
0.148,0.0,0.108,0.0,0.0
0.159,0.0,0.108,0.0,0.0
0.17,0.0,0.108,0.0,0.0
0.181,0.0,0.108,0.0,0.0
0.192,0.0,0.108,0.0,0.0
0.203,0.0,0.108,0.0,0.0
0.214,0.0,0.108,0.0,0.0
0.224,0.0,0.108,0.0,0.0
0.235,0.0,0.108,0.0,0.0
0.245,0.0,0.112,0.0,0.0
0.256,0.0,0.108,0.0,0.0
0.266,0.0,0.108,0.0,0.0
0.277,0.0,0.108,0.0,0.0
0.288,0.0,0.108,0.0,0.0
0.298,0.0,0.108,0.0,0.0
0.309,0.0,0.108,0.0,0.0
0.319,0.0,0.108,0.0,0.0
0.33,0.0,0.108,0.0,0.0
0.341,0.0,0.112,0.0,0.0
0.353,0.0,0.112,0.0,0.0
0.366,0.0,0.108,0.0,0.0
0.38,0.0,0.108,0.0,0.0
0.392,0.0,0.108,0.0,0.0
0.404,0.0,0.108,0.0,0.0
0.415,0.0,0.108,0.0,0.0
0.427,0.0,0.108,0.0,0.0
0.439,0.0,0.108,0.0,0.0
0.448,0.0,0.112,0.0,0.0
0.458,0.0,0.108,0.0,0.0
0.468,0.0,0.112,0.0,0.0
0.478,0.0,0.108,0.0,0.0
0.488,0.0,0.108,0.0,0.0
0.497,0.0,0.108,0.0,0.0
0.507,0.0,0.108,0.0,0.0
0.517,0.0,0.112,0.0,0.0
0.527,0.0,0.108,0.0,0.0
0.537,0.0,0.108,0.0,0.0
0.548,0.0,0.108,0.0,0.0
0.559,0.0,0.108,0.0,0.0
0.569,0.0,0.108,0.0,0.0
0.58,0.0,0.112,0.0,0.0
0.592,0.0,0.108,0.0,0.0
0.603,0.0,0.108,0.0,0.0
0.614,0.0,0.108,0.0,0.0
0.625,0.0,0.112,0.0,0.0
0.636,0.0,0.108,0.0,0.0
0.647,0.0,0.108,0.0,0.0
0.658,0.0,0.108,0.0,0.0
0.668,0.0,0.108,0.0,0.0
0.68,0.0,0.108,0.0,0.0
0.69,0.0,0.108,0.0,0.0
0.701,0.0,0.112,0.0,0.0
0.711,0.0,0.112,0.0,0.0
0.722,0.0,0.108,0.0,0.0
0.733,0.0,0.108,0.0,0.0
0.744,0.0,0.108,0.0,0.0
0.755,0.0,0.108,0.0,0.0
0.766,0.0,0.108,0.0,0.0
0.822,0.0,5.076,0.0,0.0
0.833,0.0,5.072,0.01,0.051
0.845,0.0,5.076,0.012,0.061
0.858,0.0,5.076,0.011,0.056
0.87,0.0,5.076,0.0,0.0
0.883,0.0,5.076,0.0,0.0
0.895,0.0,5.072,0.0,0.0
0.908,0.0,5.072,0.0,0.0
0.921,0.0,5.072,0.011,0.056
0.933,0.0,5.072,0.0,0.0
0.944,0.0,5.076,0.0,0.0
0.955,0.0,5.072,0.0,0.0
0.966,0.0,5.072,0.01,0.051
0.977,0.0,5.072,0.01,0.051
0.988,0.0,5.072,0.01,0.051
0.999,0.0,5.076,0.012,0.061
1.01,0.0,5.072,0.01,0.051
1.021,0.0,5.076,0.01,0.051
1.032,0.0,5.072,0.011,0.056
1.043,0.0,5.076,0.011,0.056
1.054,0.0,5.072,0.0,0.0
1.065,0.0,5.072,0.0,0.0
1.075,0.0,5.076,0.01,0.051
1.087,0.0,5.072,0.0,0.0
1.098,0.0,5.076,0.01,0.051
1.109,0.0,5.072,0.01,0.051
1.12,0.0,5.076,0.0,0.0
1.131,0.0,5.076,0.0,0.0
1.141,0.0,5.072,0.01,0.051
1.152,0.0,5.072,0.0,0.0
1.167,62.0,5.076,0.0,0.0
1.179,63.0,5.072,0.01,0.051
1.189,64.0,5.076,0.0,0.0
1.2,65.0,5.076,0.0,0.0
1.211,66.0,5.072,0.0,0.0
1.222,67.0,5.072,0.01,0.051
1.233,68.0,5.076,0.011,0.056
1.244,69.0,5.076,0.0,0.0
1.256,70.0,5.076,0.0,0.0
1.267,70.0,5.072,0.01,0.051
1.278,71.0,5.076,0.0,0.0
1.289,72.0,5.072,0.011,0.056
1.3,72.0,5.072,0.0,0.0
1.311,73.0,5.072,0.0,0.0
1.322,73.0,5.076,0.0,0.0
1.334,73.0,5.072,0.0,0.0
1.345,74.0,5.076,0.0,0.0
1.355,74.0,5.072,0.0,0.0
1.365,74.0,5.072,0.0,0.0
1.375,74.0,5.072,0.0,0.0
1.385,74.0,5.072,0.01,0.051
1.396,74.0,5.076,0.01,0.051
1.406,74.0,5.072,0.01,0.051
1.416,74.0,5.072,0.01,0.051
1.426,74.0,5.072,0.01,0.051
1.436,73.0,5.072,0.01,0.051
1.447,73.0,5.072,0.01,0.051
1.458,73.0,5.072,0.01,0.051
1.47,72.0,5.072,0.01,0.051
1.481,72.0,5.076,0.0,0.0
1.492,71.0,5.072,0.0,0.0
1.503,70.0,5.076,0.0,0.0
1.514,70.0,5.072,0.0,0.0
1.525,69.0,5.076,0.0,0.0
1.536,68.0,5.076,0.0,0.0
1.547,67.0,5.076,0.01,0.051
1.558,66.0,5.076,0.0,0.0
1.569,65.0,5.076,0.0,0.0
1.58,64.0,5.076,0.0,0.0
1.591,63.0,5.072,0.0,0.0
1.602,62.0,5.072,0.091,0.462
1.613,61.0,5.072,0.068,0.345
1.624,60.0,5.072,0.069,0.35
1.635,58.0,5.072,0.091,0.462
1.647,57.0,5.072,0.092,0.467
1.715,55.0,5.072,0.139,0.705
1.726,54.0,5.068,0.138,0.699
1.737,52.0,5.068,0.161,0.816
1.749,51.0,5.068,0.16,0.811
1.761,49.0,5.068,0.16,0.811
1.773,47.0,5.068,0.183,0.927
1.785,45.0,5.068,0.185,0.938
1.797,43.0,5.064,0.185,0.937
1.809,42.0,5.068,0.207,1.049
1.821,40.0,5.068,0.209,1.059
1.833,37.0,5.068,0.23,1.166
1.845,35.0,5.064,0.231,1.17
1.855,33.0,5.068,0.231,1.171
1.866,31.0,5.064,0.253,1.281
1.877,29.0,5.064,0.256,1.296
1.889,26.0,5.068,0.255,1.292
1.9,24.0,5.064,0.276,1.398
1.911,21.0,5.064,0.277,1.403
1.922,19.0,5.068,0.278,1.409
1.933,16.0,5.064,0.302,1.529
1.945,14.0,5.064,0.3,1.519
1.956,11.0,5.064,0.301,1.524
1.967,8.0,5.064,0.323,1.636
1.979,5.0,5.064,0.326,1.651
1.99,2.0,5.064,0.323,1.636
2.001,0.0,5.06,0.346,1.751
