Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.109,0.0,0.12,0.0,0.0
0.119,0.0,0.12,0.0,0.0
0.128,0.0,0.124,0.0,0.0
0.138,0.0,0.12,0.0,0.0
0.149,0.0,0.12,0.0,0.0
0.161,0.0,0.12,0.0,0.0
0.172,0.0,0.12,0.0,0.0
0.184,0.0,0.12,0.0,0.0
0.196,0.0,0.12,0.0,0.0
0.207,0.0,0.12,0.0,0.0
0.219,0.0,0.12,0.0,0.0
0.231,0.0,0.12,0.0,0.0
0.243,0.0,0.12,0.0,0.0
0.254,0.0,0.12,0.0,0.0
0.265,0.0,0.12,0.0,0.0
0.275,0.0,0.12,0.0,0.0
0.285,0.0,0.116,0.0,0.0
0.297,0.0,0.12,0.0,0.0
0.307,0.0,0.12,0.0,0.0
0.317,0.0,0.12,0.0,0.0
0.329,0.0,0.116,0.0,0.0
0.339,0.0,0.116,0.0,0.0
0.35,0.0,0.12,0.0,0.0
0.361,0.0,0.12,0.0,0.0
0.371,0.0,0.12,0.0,0.0
0.382,0.0,0.12,0.0,0.0
0.393,0.0,0.116,0.0,0.0
0.403,0.0,0.12,0.0,0.0
0.414,0.0,0.12,0.0,0.0
0.424,0.0,0.12,0.0,0.0
0.435,0.0,0.12,0.0,0.0
0.445,0.0,0.12,0.0,0.0
0.456,0.0,0.12,0.0,0.0
0.466,0.0,0.116,0.0,0.0
0.475,0.0,5.076,0.01,0.051
0.529,0.0,5.076,0.0,0.0
0.538,0.0,5.076,0.0,0.0
0.547,0.0,5.072,0.0,0.0
0.558,0.0,5.076,0.0,0.0
0.567,0.0,5.076,0.0,0.0
0.577,0.0,5.076,0.0,0.0
0.587,0.0,5.072,0.0,0.0
0.597,0.0,5.076,0.0,0.0
0.606,0.0,5.076,0.0,0.0
0.616,0.0,5.08,0.0,0.0
0.626,0.0,5.076,0.0,0.0
0.636,0.0,5.08,0.01,0.051
0.645,0.0,5.076,0.0,0.0
0.656,0.0,5.08,0.0,0.0
0.665,0.0,5.076,0.0,0.0
0.675,0.0,5.076,0.0,0.0
0.685,0.0,5.076,0.0,0.0
0.695,0.0,5.076,1.278,6.487
0.705,0.0,20.208,1.117,22.572
0.715,0.0,20.212,1.114,22.516
0.78,0.0,20.208,1.114,22.512
0.791,0.0,20.208,1.116,22.552
0.802,0.0,20.208,1.115,22.532
0.813,0.0,20.212,1.113,22.496
0.825,0.0,20.208,1.136,22.956
0.835,0.0,20.208,1.137,22.976
0.846,0.0,20.212,1.138,23.001
0.857,0.0,20.216,1.137,22.986
0.867,0.0,20.208,1.137,22.976
0.877,0.0,20.212,1.138,23.001
0.888,0.0,20.212,1.137,22.981
0.897,0.0,20.212,1.139,23.021
0.907,0.0,20.212,1.137,22.981
0.918,0.0,20.212,1.138,23.001
0.928,0.0,20.212,1.139,23.021
0.938,0.0,20.216,1.138,23.006
0.949,0.0,20.208,1.14,23.037
0.959,0.0,20.208,1.137,22.976
0.969,0.0,20.216,1.139,23.026
0.979,0.0,20.208,1.138,22.997
0.989,0.0,20.208,1.138,22.997
0.999,0.0,20.212,1.138,23.001
1.009,0.0,20.208,1.137,22.976
1.02,0.0,20.212,1.165,23.547
1.03,0.0,20.208,1.161,23.461
1.04,0.0,20.212,1.162,23.486
1.051,0.0,20.208,1.162,23.482
1.06,0.0,20.212,1.161,23.466
1.07,0.0,20.212,1.162,23.486
1.081,0.0,20.212,1.164,23.527
1.091,0.0,20.212,1.162,23.486
1.1,0.0,20.208,1.164,23.522
1.111,0.0,20.212,1.162,23.486
1.121,0.0,20.208,1.163,23.502
1.131,0.0,20.212,1.162,23.486
1.142,0.0,20.208,1.163,23.502
1.152,0.0,20.208,1.165,23.542
1.162,0.0,20.212,1.164,23.527
1.172,0.0,20.208,1.163,23.502
1.182,0.0,20.212,1.163,23.507
1.192,0.0,20.208,1.162,23.482
1.202,0.0,20.208,1.163,23.502
1.212,0.0,20.212,1.184,23.931
1.222,0.0,20.212,1.187,23.992
1.232,0.0,20.212,1.188,24.012
1.243,292.0,20.212,1.184,23.931
1.253,292.0,20.208,1.187,23.987
1.264,291.0,20.208,1.187,23.987
1.275,290.0,20.212,1.187,23.992
1.286,289.0,20.208,1.185,23.946
1.297,287.0,20.208,1.187,23.987
1.309,286.0,20.212,1.188,24.012
1.32,284.0,20.212,1.186,23.971
1.33,281.0,20.208,1.187,23.987
1.341,279.0,20.212,1.188,24.012
1.352,276.0,20.212,1.187,23.992
1.363,273.0,20.208,1.19,24.048
1.374,270.0,20.208,1.189,24.027
1.385,267.0,20.208,1.19,24.048
1.396,263.0,20.208,1.186,23.967
1.407,259.0,20.212,1.213,24.517
1.418,255.0,20.212,1.213,24.517
1.429,251.0,20.212,1.213,24.517
1.44,246.0,20.208,1.214,24.533
1.451,241.0,20.204,1.212,24.487
1.462,236.0,20.208,1.21,24.452
1.473,231.0,20.212,1.21,24.457
1.484,225.0,20.212,1.213,24.517
1.495,219.0,20.208,1.213,24.512
1.506,213.0,20.208,1.213,24.512
1.517,207.0,20.208,1.212,24.492
1.528,200.0,20.208,1.213,24.512
1.539,194.0,20.208,1.212,24.492
1.55,187.0,20.208,1.209,24.431
1.561,179.0,20.208,1.215,24.553
1.573,172.0,20.212,1.213,24.517
1.584,164.0,20.212,1.212,24.497
1.594,156.0,20.204,1.214,24.528
1.606,148.0,20.208,1.235,24.957
1.617,139.0,20.208,1.235,24.957
1.627,134.0,20.204,1.233,24.912
1.639,128.0,20.212,1.237,25.002
1.65,122.0,20.208,1.235,24.957
1.66,115.0,20.212,1.236,24.982
1.671,109.0,20.208,1.235,24.957
1.682,102.0,20.208,1.236,24.977
1.693,95.0,20.208,1.233,24.916
1.704,88.0,20.208,1.233,24.916
1.715,81.0,20.208,1.234,24.937
1.726,74.0,20.208,1.234,24.937
1.737,66.0,20.208,1.234,24.937
1.748,59.0,20.208,1.234,24.937
1.759,51.0,20.208,1.235,24.957
1.77,43.0,20.208,1.235,24.957
1.781,34.0,20.212,1.236,24.982
1.792,26.0,20.208,1.233,24.916
1.803,17.0,20.208,1.258,25.422
1.814,8.0,20.208,1.257,25.401
1.825,0.0,20.208,1.259,25.442
1.836,0.0,20.204,1.261,25.477
1.847,0.0,20.208,1.257,25.401
1.858,0.0,20.208,1.26,25.462
1.87,0.0,20.208,1.259,25.442
1.88,0.0,20.208,1.26,25.462
1.891,0.0,20.208,1.259,25.442
1.902,0.0,20.208,1.259,25.442
1.913,0.0,20.208,1.261,25.482
1.924,0.0,20.204,1.259,25.437
1.935,0.0,20.208,1.259,25.442
1.946,0.0,20.208,1.259,25.442
1.957,0.0,20.204,1.256,25.376
1.968,0.0,20.208,1.259,25.442
1.979,0.0,20.208,1.261,25.482
1.989,0.0,20.204,1.282,25.902
2.001,0.0,20.208,1.28,25.866
2.012,0.0,20.204,1.284,25.942
2.022,0.0,20.204,1.279,25.841
2.034,0.0,20.208,1.28,25.866
2.044,0.0,20.204,1.278,25.821
2.055,0.0,20.208,1.279,25.846
2.067,0.0,20.208,1.28,25.866
2.077,0.0,20.208,1.279,25.846
2.088,0.0,20.208,1.28,25.866
2.1,0.0,20.204,1.279,25.841
2.111,0.0,20.204,1.281,25.881
2.121,0.0,20.208,1.28,25.866
2.133,0.0,20.208,1.281,25.886
2.144,0.0,20.208,1.279,25.846
2.154,0.0,20.208,1.279,25.846
2.165,0.0,20.208,1.281,25.886
