Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.12,0.0,0.0
0.025,0.0,0.12,0.0,0.0
0.037,0.0,0.116,0.0,0.0
0.05,0.0,0.12,0.0,0.0
0.064,0.0,0.12,0.0,0.0
0.077,0.0,0.116,0.0,0.0
0.088,0.0,0.12,0.0,0.0
0.099,0.0,0.12,0.0,0.0
0.11,0.0,0.12,0.0,0.0
0.12,0.0,0.116,0.0,0.0
0.13,0.0,0.12,0.0,0.0
0.141,0.0,0.116,0.0,0.0
0.152,0.0,0.116,0.0,0.0
0.162,0.0,0.12,0.0,0.0
0.173,0.0,0.116,0.0,0.0
0.183,0.0,0.116,0.0,0.0
0.192,0.0,0.116,0.0,0.0
0.203,0.0,0.116,0.0,0.0
0.212,0.0,0.12,0.0,0.0
0.222,0.0,0.116,0.0,0.0
0.232,0.0,0.12,0.0,0.0
0.242,0.0,0.12,0.0,0.0
0.251,0.0,0.116,0.0,0.0
0.261,0.0,0.116,0.0,0.0
0.271,0.0,0.12,0.0,0.0
0.281,0.0,0.116,0.0,0.0
0.29,0.0,0.116,0.0,0.0
0.301,0.0,0.116,0.0,0.0
0.311,0.0,0.116,0.0,0.0
0.321,0.0,0.116,0.0,0.0
0.33,0.0,0.12,0.0,0.0
0.341,0.0,0.116,0.0,0.0
0.351,0.0,0.12,0.0,0.0
0.36,0.0,0.12,0.0,0.0
0.37,0.0,0.12,0.0,0.0
0.381,0.0,5.072,0.0,0.0
0.391,0.0,0.12,0.0,0.0
0.449,0.0,0.12,0.0,0.0
0.46,0.0,0.116,0.0,0.0
0.47,0.0,0.116,0.0,0.0
0.482,0.0,0.12,0.0,0.0
0.492,0.0,0.116,0.0,0.0
0.503,0.0,0.116,0.0,0.0
0.514,0.0,0.12,0.0,0.0
0.525,0.0,0.12,0.0,0.0
0.536,0.0,0.12,0.0,0.0
0.547,0.0,0.116,0.0,0.0
0.559,0.0,0.116,0.0,0.0
0.57,0.0,0.116,0.0,0.0
0.581,0.0,0.116,0.0,0.0
0.593,0.0,0.116,0.0,0.0
0.604,0.0,0.116,0.0,0.0
0.615,0.0,0.116,0.0,0.0
0.631,0.0,0.116,0.0,0.0
0.641,0.0,0.116,0.0,0.0
0.659,0.0,0.116,0.0,0.0
0.669,0.0,0.12,0.0,0.0
0.68,0.0,0.12,0.0,0.0
0.691,0.0,0.116,0.0,0.0
0.703,0.0,0.12,0.0,0.0
0.718,0.0,0.116,0.0,0.0
0.729,0.0,0.116,0.0,0.0
0.74,0.0,0.116,0.0,0.0
0.75,0.0,0.12,0.0,0.0
0.762,0.0,0.12,0.0,0.0
0.773,0.0,0.12,0.0,0.0
0.783,0.0,0.12,0.0,0.0
0.794,0.0,0.12,0.0,0.0
0.805,0.0,0.12,0.0,0.0
0.816,0.0,0.12,0.0,0.0
0.827,0.0,0.12,0.0,0.0
0.838,0.0,0.12,0.0,0.0
0.849,0.0,0.116,0.0,0.0
0.86,0.0,0.12,0.0,0.0
0.871,0.0,0.116,0.0,0.0
0.881,0.0,0.12,0.0,0.0
0.891,0.0,0.12,0.0,0.0
0.901,0.0,0.12,0.0,0.0
0.912,0.0,0.116,0.0,0.0
0.921,0.0,0.12,0.0,0.0
0.931,0.0,0.116,0.0,0.0
0.942,0.0,0.12,0.0,0.0
0.952,0.0,0.12,0.0,0.0
0.962,0.0,0.12,0.0,0.0
0.973,0.0,0.116,0.0,0.0
0.984,0.0,0.116,0.0,0.0
0.994,0.0,0.116,0.0,0.0
1.006,0.0,4.608,0.0,0.0
1.017,0.0,4.28,0.0,0.0
1.028,0.0,3.992,0.0,0.0
1.039,0.0,3.728,0.0,0.0
1.05,0.0,3.448,0.0,0.0
1.061,0.0,3.324,0.0,0.0
1.071,0.0,3.22,0.0,0.0
1.083,0.0,3.192,0.0,0.0
1.094,0.0,3.172,0.0,0.0
