Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.116,0.0,0.0
0.024,0.0,0.116,0.0,0.0
0.035,0.0,0.116,0.0,0.0
0.046,0.0,0.116,0.0,0.0
0.058,0.0,0.116,0.0,0.0
0.07,0.0,0.116,0.0,0.0
0.083,0.0,0.116,0.0,0.0
0.094,0.0,0.116,0.0,0.0
0.109,0.0,0.116,0.0,0.0
0.12,0.0,0.116,0.0,0.0
0.131,0.0,0.112,0.0,0.0
0.142,0.0,0.116,0.0,0.0
0.153,0.0,0.112,0.0,0.0
0.164,0.0,0.116,0.0,0.0
0.175,0.0,0.12,0.0,0.0
0.186,0.0,0.116,0.0,0.0
0.197,0.0,0.112,0.0,0.0
0.209,0.0,0.112,0.0,0.0
0.219,0.0,0.112,0.0,0.0
0.23,0.0,0.116,0.0,0.0
0.242,0.0,0.112,0.0,0.0
0.252,0.0,0.116,0.0,0.0
0.263,0.0,0.116,0.0,0.0
0.274,0.0,0.116,0.0,0.0
0.285,0.0,0.116,0.0,0.0
0.296,0.0,0.112,0.0,0.0
0.306,0.0,0.112,0.0,0.0
0.317,0.0,0.116,0.0,0.0
0.327,0.0,0.112,0.0,0.0
0.337,0.0,0.116,0.0,0.0
0.349,0.0,0.112,0.0,0.0
0.36,0.0,0.116,0.0,0.0
0.369,0.0,0.116,0.0,0.0
0.382,0.0,5.076,0.0,0.0
0.393,0.0,5.076,0.0,0.0
0.403,0.0,5.072,0.0,0.0
0.414,0.0,5.076,0.0,0.0
0.472,0.0,5.076,0.014,0.071
0.483,0.0,5.076,0.016,0.081
0.495,0.0,5.072,0.0,0.0
0.506,0.0,5.072,0.0,0.0
0.517,0.0,5.076,0.01,0.051
0.529,0.0,5.072,0.01,0.051
0.54,0.0,5.076,0.01,0.051
0.551,0.0,5.072,0.01,0.051
0.563,0.0,5.076,0.01,0.051
0.574,0.0,5.076,0.0,0.0
0.584,0.0,5.076,0.011,0.056
0.596,0.0,5.072,0.0,0.0
0.699,0.0,5.076,0.0,0.0
0.71,0.0,5.076,0.01,0.051
0.721,0.0,5.072,0.01,0.051
0.733,0.0,5.072,0.01,0.051
0.748,0.0,5.072,0.0,0.0
0.759,0.0,5.072,0.01,0.051
0.77,0.0,5.076,0.01,0.051
0.782,0.0,5.076,0.01,0.051
0.793,0.0,5.7,0.146,0.832
0.805,0.0,15.172,0.027,0.41
0.878,0.0,15.168,0.028,0.425
0.89,0.0,15.16,0.321,4.866
0.901,0.0,15.156,0.419,6.35
0.912,0.0,15.152,0.529,8.015
0.924,0.0,15.148,0.639,9.68
0.936,0.0,15.148,0.739,11.194
0.947,0.0,15.148,0.742,11.24
0.959,0.0,15.168,0.028,0.425
0.97,0.0,15.16,0.226,3.426
0.981,0.0,15.156,0.422,6.396
0.993,0.0,15.152,0.527,7.985
1.005,0.0,15.152,0.646,9.788
1.016,0.0,15.152,0.737,11.167
1.028,0.0,15.14,0.834,12.627
1.04,0.0,15.144,0.942,14.266
1.051,0.0,15.14,0.944,14.292
1.062,0.0,15.14,0.926,14.02
1.074,0.0,15.14,0.922,13.959
1.085,0.0,15.14,0.965,14.61
1.097,0.0,15.14,0.9,13.626
1.108,0.0,15.14,0.951,14.398
1.12,0.0,15.144,0.953,14.432
1.131,0.0,15.144,0.895,13.554
1.143,0.0,15.144,0.925,14.008
1.155,0.0,15.14,0.962,14.565
1.166,0.0,15.144,0.903,13.675
1.178,0.0,15.14,0.913,13.823
1.189,0.0,15.14,0.931,14.095
1.2,0.0,15.14,0.897,13.581
1.212,0.0,15.144,0.911,13.796
1.224,0.0,15.144,0.924,13.993
1.235,0.0,15.144,0.901,13.645
1.247,0.0,15.14,0.979,14.822
1.259,0.0,15.144,0.929,14.069
1.27,0.0,15.14,0.941,14.247
1.282,0.0,15.144,0.967,14.644
1.293,0.0,15.14,0.947,14.338
1.304,0.0,15.14,0.94,14.232
1.316,0.0,15.168,0.028,0.425
1.328,0.0,15.16,0.225,3.411
1.339,0.0,15.156,0.42,6.366
1.351,213.0,15.156,0.512,7.76
1.363,212.0,15.152,0.643,9.743
1.374,212.0,15.148,0.76,11.512
1.385,212.0,15.148,0.835,12.649
1.397,211.0,15.144,0.898,13.599
1.41,210.0,15.144,0.916,13.872
1.424,209.0,15.14,0.954,14.444
1.436,208.0,15.14,0.911,13.793
1.447,206.0,15.14,0.939,14.216
1.461,205.0,15.148,0.899,13.618
1.473,203.0,15.144,0.898,13.599
1.485,201.0,15.14,0.972,14.716
1.497,199.0,15.14,0.901,13.641
1.508,197.0,15.14,0.963,14.58
1.519,194.0,15.144,0.978,14.811
1.531,191.0,15.144,0.895,13.554
1.543,189.0,15.14,0.912,13.808
1.555,186.0,15.144,0.906,13.72
1.566,182.0,15.144,0.92,13.932
1.579,179.0,15.144,0.9,13.63
1.59,175.0,15.144,0.94,14.235
1.602,172.0,15.144,0.885,13.402
1.614,168.0,15.14,0.934,14.141
1.625,164.0,15.14,0.896,13.565
1.637,159.0,15.14,0.887,13.429
1.649,155.0,15.144,0.962,14.569
1.661,150.0,15.14,0.88,13.323
1.672,145.0,15.14,0.893,13.52
1.685,140.0,15.136,1.009,15.272
1.696,135.0,15.144,0.882,13.357
1.707,130.0,15.144,0.885,13.402
1.721,124.0,15.14,0.94,14.232
1.732,118.0,15.144,0.891,13.493
1.744,113.0,15.144,0.9,13.63
1.755,109.0,15.144,0.923,13.978
1.767,106.0,15.144,0.895,13.554
1.778,103.0,15.144,0.894,13.539
1.789,99.0,15.14,0.905,13.702
1.801,96.0,15.14,0.883,13.369
1.812,92.0,15.14,0.911,13.793
1.823,88.0,15.14,0.909,13.762
1.835,84.0,15.144,0.911,13.796
1.847,80.0,15.144,0.932,14.114
1.858,76.0,15.14,0.907,13.732
1.87,72.0,15.14,0.885,13.399
1.882,67.0,15.14,0.944,14.292
1.893,63.0,15.14,0.905,13.702
1.905,58.0,15.144,0.88,13.327
1.917,53.0,15.136,0.941,14.243
1.928,49.0,15.14,0.907,13.732
1.94,44.0,15.144,0.881,13.342
1.953,38.0,15.144,0.933,14.129
1.964,33.0,15.144,0.862,13.054
1.975,28.0,15.148,0.701,10.619
1.988,22.0,15.148,0.716,10.846
1.999,17.0,15.152,0.687,10.409
2.01,11.0,15.148,0.7,10.604
2.023,5.0,15.148,0.782,11.846
2.034,0.0,15.144,0.699,10.586
2.045,0.0,15.148,0.707,10.71
2.057,0.0,15.152,0.722,10.94
2.069,0.0,15.144,0.693,10.495
2.08,0.0,15.148,0.713,10.801
2.095,0.0,15.152,0.725,10.985
2.107,0.0,15.148,0.711,10.77
2.118,0.0,15.14,0.839,12.702
2.13,0.0,15.148,0.706,10.694
2.141,0.0,15.148,0.756,11.452
2.153,0.0,15.148,0.757,11.467
2.165,0.0,15.148,0.702,10.634
2.176,0.0,15.148,0.718,10.876
2.188,0.0,15.144,0.759,11.494
2.199,0.0,15.152,0.721,10.925
2.211,0.0,15.148,0.717,10.861
2.222,0.0,15.148,0.757,11.467
2.234,0.0,15.148,0.687,10.407
2.246,0.0,15.148,0.716,10.846
2.257,0.0,15.148,0.713,10.801
2.269,0.0,15.152,0.72,10.909
2.281,0.0,15.152,0.759,11.5
2.292,0.0,15.148,0.707,10.71
2.303,0.0,15.148,0.696,10.543
2.314,0.0,15.148,0.707,10.71
2.325,0.0,15.148,0.758,11.482
2.337,0.0,15.148,0.687,10.407
2.349,0.0,15.148,0.728,11.028
2.359,0.0,15.148,0.718,10.876
2.369,0.0,15.148,0.685,10.376
2.38,0.0,15.148,0.696,10.543
2.39,0.0,15.148,0.733,11.103
2.401,0.0,15.152,0.681,10.319
2.412,0.0,15.148,0.703,10.649
2.425,0.0,15.148,0.702,10.634
2.436,0.0,15.148,0.694,10.513
2.447,0.0,15.148,0.708,10.725
2.459,0.0,15.148,0.728,11.028
2.471,0.0,15.148,0.685,10.376
2.482,0.0,15.148,0.766,11.603
2.494,0.0,15.148,0.683,10.346
2.506,0.0,15.152,0.683,10.349
2.517,0.0,15.148,0.759,11.497
2.529,0.0,15.152,0.683,10.349
2.541,0.0,15.148,0.702,10.634
2.552,0.0,15.148,0.735,11.134
2.563,0.0,15.148,0.7,10.604
2.575,0.0,15.144,0.711,10.767
2.587,0.0,15.148,0.73,11.058
2.598,0.0,15.152,0.683,10.349
2.61,0.0,15.148,0.691,10.467
2.622,0.0,15.148,0.726,10.997
2.633,0.0,15.148,0.716,10.846
2.644,0.0,15.152,0.701,10.622
2.655,0.0,15.148,0.727,11.013
2.666,0.0,15.148,0.709,10.74
2.677,0.0,15.148,0.702,10.634
2.69,0.0,15.148,0.769,11.649
2.705,0.0,15.152,0.688,10.425
2.717,0.0,15.148,0.772,11.694
2.728,0.0,15.148,0.688,10.422
2.738,0.0,15.152,0.682,10.334
2.749,0.0,15.144,0.812,12.297
2.76,0.0,15.148,0.687,10.407
2.77,0.0,15.148,0.684,10.361
2.78,0.0,15.148,0.717,10.861
2.791,0.0,15.148,0.758,11.482
2.802,0.0,15.152,0.702,10.637
2.812,0.0,15.148,0.696,10.543
2.823,0.0,15.148,0.725,10.982
2.834,0.0,15.152,0.684,10.364
2.844,0.0,15.148,0.698,10.573
2.854,0.0,15.148,0.739,11.194
2.865,0.0,15.152,0.694,10.515
2.876,0.0,15.148,0.703,10.649
2.886,0.0,15.144,0.796,12.055
2.897,0.0,15.152,0.702,10.637
2.909,0.0,15.148,0.712,10.785
2.92,0.0,15.144,0.808,12.236
2.931,0.0,15.152,0.704,10.667
2.943,0.0,15.148,0.714,10.816
2.954,0.0,15.144,0.741,11.222
2.966,0.0,15.152,0.737,11.167
2.979,0.0,15.148,0.703,10.649
2.99,0.0,15.148,0.723,10.952
3.002,0.0,15.152,0.693,10.5
3.014,0.0,15.148,0.715,10.831
3.026,0.0,15.148,0.734,11.119
3.037,0.0,15.148,0.699,10.588
3.049,0.0,15.148,0.739,11.194
3.061,0.0,15.148,0.729,11.043
3.072,0.0,15.152,0.704,10.667
3.084,0.0,15.144,0.72,10.904
3.097,0.0,15.148,0.704,10.664
3.108,0.0,15.152,0.699,10.591
3.12,0.0,15.148,0.76,11.512
3.131,0.0,15.148,0.693,10.498
3.143,0.0,15.148,0.715,10.831
3.155,0.0,15.148,0.758,11.482
3.167,0.0,15.152,0.724,10.97
3.178,0.0,15.148,0.703,10.649
3.189,0.0,15.148,0.716,10.846
3.202,0.0,15.148,0.682,10.331
3.213,0.0,15.148,0.696,10.543
3.225,0.0,15.152,0.707,10.712
3.237,0.0,15.148,0.693,10.498
3.248,0.0,15.148,0.708,10.725
3.259,0.0,15.148,0.722,10.937
3.271,0.0,15.152,0.699,10.591
3.284,0.0,15.148,0.772,11.694
3.297,0.0,15.144,0.734,11.116
3.309,0.0,15.152,0.742,11.243
3.32,0.0,15.144,0.838,12.691
3.332,0.0,15.148,0.686,10.392
3.344,0.0,15.148,0.697,10.558
3.355,0.0,15.144,0.755,11.434
3.366,0.0,15.148,0.714,10.816
3.378,0.0,15.148,0.693,10.498
3.39,0.0,15.148,0.732,11.088
3.401,0.0,15.148,0.681,10.316
3.413,0.0,15.148,0.705,10.679
3.425,0.0,15.148,0.737,11.164
3.436,0.0,15.152,0.696,10.546
3.448,0.0,15.152,0.711,10.773
3.46,0.0,15.148,0.699,10.588
3.471,0.0,15.148,0.694,10.513
3.483,0.0,15.148,0.838,12.694
3.495,0.0,15.152,0.68,10.303
3.507,0.0,15.152,0.685,10.379
3.518,0.0,15.148,0.722,10.937
3.529,0.0,15.152,0.685,10.379
3.541,0.0,15.144,0.683,10.343
3.554,0.0,15.148,0.785,11.891
3.571,0.0,15.148,0.679,10.285
3.583,0.0,15.148,0.794,12.028
3.594,0.0,15.152,0.687,10.409
3.605,0.0,15.152,0.688,10.425
3.617,0.0,15.148,0.725,10.982
3.629,0.0,15.148,0.717,10.861
3.64,0.0,15.148,0.687,10.407
3.652,0.0,15.144,0.89,13.478
3.664,0.0,15.152,0.684,10.364
3.675,0.0,15.148,0.716,10.846
3.687,0.0,15.148,0.733,11.103
3.699,0.0,15.148,0.694,10.513
3.71,0.0,15.148,0.694,10.513
3.721,0.0,15.152,0.737,11.167
3.734,0.0,15.152,0.672,10.182
3.745,0.0,15.148,0.698,10.573
3.756,0.0,15.148,0.717,10.861
3.768,0.0,15.148,0.681,10.316
3.78,0.0,15.152,0.691,10.47
3.791,0.0,15.152,0.705,10.682
3.803,0.0,15.148,0.686,10.392
3.815,0.0,15.148,0.712,10.785
3.826,0.0,15.148,0.71,10.755
3.838,0.0,15.152,0.686,10.394
3.85,0.0,15.148,0.749,11.346
3.861,0.0,15.148,0.723,10.952
3.873,0.0,15.148,0.686,10.392
3.885,0.0,15.148,0.741,11.225
3.896,0.0,15.152,0.715,10.834
3.908,0.0,15.156,0.691,10.473
3.924,0.0,15.148,0.777,11.77
3.935,0.0,15.148,0.736,11.149
3.947,0.0,15.152,0.692,10.485
3.96,0.0,15.152,0.705,10.682
3.971,0.0,15.152,0.688,10.425
3.983,0.0,15.148,0.741,11.225
3.994,0.0,15.148,0.682,10.331
4.005,0.0,15.148,0.685,10.376
4.017,0.0,15.144,0.799,12.1
4.029,0.0,15.152,0.685,10.379
4.04,0.0,15.152,0.684,10.364
4.052,0.0,15.148,0.785,11.891
4.064,0.0,15.152,0.683,10.349
4.075,0.0,15.152,0.692,10.485
