Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.013,0.0,0.124,0.0,0.0
0.024,0.0,0.124,0.0,0.0
0.035,0.0,0.12,0.0,0.0
0.047,0.0,0.12,0.0,0.0
0.058,0.0,0.12,0.0,0.0
0.07,0.0,0.12,0.0,0.0
0.081,0.0,0.12,0.0,0.0
0.093,0.0,0.12,0.0,0.0
0.105,0.0,0.124,0.0,0.0
0.116,0.0,0.12,0.0,0.0
0.127,0.0,0.12,0.0,0.0
0.137,0.0,0.12,0.0,0.0
0.148,0.0,0.12,0.0,0.0
0.158,0.0,0.12,0.0,0.0
0.169,0.0,0.12,0.0,0.0
0.179,0.0,0.12,0.0,0.0
0.19,0.0,0.12,0.0,0.0
0.2,0.0,0.12,0.0,0.0
0.211,0.0,0.12,0.0,0.0
0.221,0.0,0.12,0.0,0.0
0.232,0.0,0.12,0.0,0.0
0.242,0.0,0.12,0.0,0.0
0.253,0.0,0.12,0.0,0.0
0.264,0.0,0.12,0.0,0.0
0.274,0.0,0.12,0.0,0.0
0.285,0.0,0.12,0.0,0.0
0.295,0.0,0.12,0.0,0.0
0.306,0.0,0.12,0.0,0.0
0.316,0.0,0.12,0.0,0.0
0.327,0.0,0.12,0.0,0.0
0.337,0.0,0.12,0.0,0.0
0.348,0.0,0.12,0.0,0.0
0.359,0.0,0.124,0.0,0.0
0.369,0.0,0.124,0.0,0.0
0.38,0.0,0.12,0.0,0.0
0.391,0.0,0.12,0.0,0.0
0.447,0.0,5.072,0.0,0.0
0.458,0.0,5.076,0.0,0.0
0.469,0.0,5.076,0.0,0.0
0.48,0.0,5.076,0.012,0.061
0.491,0.0,5.072,0.015,0.076
0.502,0.0,5.076,0.01,0.051
0.514,0.0,5.076,0.01,0.051
0.526,0.0,5.072,0.011,0.056
0.539,0.0,5.076,0.0,0.0
0.551,0.0,5.076,0.01,0.051
0.563,0.0,5.072,0.01,0.051
0.575,0.0,5.072,0.011,0.056
0.587,0.0,5.076,0.0,0.0
0.6,0.0,5.068,0.108,0.547
0.722,0.0,5.076,0.0,0.0
0.735,0.0,5.072,0.01,0.051
0.749,0.0,5.072,0.0,0.0
0.764,0.0,5.076,0.01,0.051
0.778,0.0,5.076,0.0,0.0
0.791,0.0,5.076,0.01,0.051
0.805,0.0,15.168,0.027,0.41
0.818,0.0,15.168,0.029,0.44
0.892,0.0,15.156,0.528,8.002
0.904,0.0,15.168,0.028,0.425
0.917,0.0,15.16,0.228,3.456
0.929,0.0,15.156,0.419,6.35
0.942,0.0,15.156,0.525,7.957
0.954,0.0,15.152,0.638,9.667
0.967,0.0,15.168,0.028,0.425
0.978,0.0,15.168,0.079,1.198
0.99,0.0,15.16,0.326,4.942
1.002,0.0,15.156,0.427,6.472
1.015,0.0,15.152,0.637,9.652
1.026,0.0,15.152,0.736,11.152
1.037,0.0,15.148,0.841,12.739
1.048,0.0,15.144,0.94,14.235
1.059,0.0,15.144,0.93,14.084
1.07,0.0,15.14,0.923,13.974
1.081,0.0,15.14,0.942,14.262
1.092,0.0,15.144,0.925,14.008
1.103,0.0,15.14,0.895,13.55
1.114,0.0,15.144,0.918,13.902
1.125,0.0,15.144,0.896,13.569
1.136,0.0,15.148,0.731,11.073
1.147,0.0,15.148,0.846,12.815
1.158,0.0,15.152,0.717,10.864
1.169,0.0,15.152,0.705,10.682
1.179,0.0,15.148,0.758,11.482
1.19,0.0,15.148,0.694,10.513
1.201,0.0,15.148,0.717,10.861
1.212,0.0,15.152,0.711,10.773
1.223,0.0,15.148,0.693,10.498
1.234,0.0,15.152,0.693,10.5
1.245,0.0,15.152,0.692,10.485
1.256,0.0,15.152,0.694,10.515
1.267,0.0,15.152,0.696,10.546
1.278,0.0,15.148,0.695,10.528
1.289,0.0,15.152,0.682,10.334
1.3,0.0,15.156,0.691,10.473
1.311,0.0,15.152,0.7,10.606
1.323,0.0,15.148,0.683,10.346
1.337,0.0,15.152,0.686,10.394
1.35,0.0,15.168,0.027,0.41
1.362,0.0,15.168,0.031,0.47
1.373,217.0,15.16,0.323,4.897
1.386,217.0,15.156,0.421,6.381
1.398,216.0,15.156,0.525,7.957
1.411,216.0,15.152,0.749,11.349
1.423,215.0,15.148,0.838,12.694
1.434,214.0,15.14,0.942,14.262
1.445,213.0,15.144,0.936,14.175
1.456,212.0,15.14,0.888,13.444
1.467,210.0,15.144,0.927,14.038
1.479,209.0,15.144,0.911,13.796
1.49,207.0,15.148,0.884,13.391
1.501,205.0,15.144,0.915,13.857
1.512,203.0,15.144,0.896,13.569
1.524,200.0,15.144,0.888,13.448
1.535,198.0,15.144,0.894,13.539
1.546,195.0,15.148,0.893,13.527
1.557,192.0,15.14,0.904,13.687
1.568,189.0,15.14,0.897,13.581
1.579,186.0,15.144,0.878,13.296
1.59,182.0,15.144,0.878,13.296
1.601,179.0,15.144,0.899,13.614
1.613,175.0,15.144,0.884,13.387
1.624,171.0,15.148,0.872,13.209
1.635,167.0,15.144,0.874,13.236
1.646,162.0,15.144,0.87,13.175
1.657,158.0,15.144,0.872,13.206
1.668,153.0,15.144,0.912,13.811
1.68,148.0,15.144,0.872,13.206
1.692,143.0,15.144,0.905,13.705
1.703,138.0,15.148,0.871,13.194
1.715,133.0,15.148,0.885,13.406
1.726,127.0,15.148,0.882,13.361
1.737,121.0,15.14,0.869,13.157
1.749,115.0,15.144,0.873,13.221
1.76,109.0,15.148,0.847,12.83
1.771,103.0,15.148,0.876,13.27
1.782,96.0,15.144,0.87,13.175
1.794,92.0,15.144,0.873,13.221
1.805,89.0,15.148,0.873,13.224
1.816,85.0,15.144,0.872,13.206
1.826,81.0,15.144,0.878,13.296
1.836,76.0,15.144,0.873,13.221
1.846,72.0,15.148,0.875,13.254
1.857,68.0,15.144,0.883,13.372
1.867,63.0,15.144,0.901,13.645
1.877,59.0,15.144,0.878,13.296
1.887,54.0,15.144,0.876,13.266
1.898,49.0,15.148,0.872,13.209
1.908,44.0,15.148,0.882,13.361
1.919,39.0,15.144,0.886,13.418
1.93,33.0,15.144,0.877,13.281
1.941,28.0,15.144,0.878,13.296
1.952,23.0,15.148,0.874,13.239
1.963,17.0,15.148,0.87,13.179
1.974,11.0,15.144,0.873,13.221
1.985,5.0,15.144,0.871,13.19
1.997,0.0,15.144,0.871,13.19
2.008,0.0,15.148,0.871,13.194
2.019,0.0,15.144,0.875,13.251
2.03,0.0,15.148,0.884,13.391
2.041,0.0,15.144,0.886,13.418
2.052,0.0,15.148,0.887,13.436
2.063,0.0,15.144,0.886,13.418
2.075,0.0,15.144,0.886,13.418
2.087,0.0,15.144,0.886,13.418
2.098,0.0,15.144,0.886,13.418
2.109,0.0,15.144,0.91,13.781
2.12,0.0,15.148,0.886,13.421
2.131,0.0,15.144,0.887,13.433
2.142,0.0,15.144,0.905,13.705
2.154,0.0,15.152,0.693,10.5
2.165,0.0,15.152,0.69,10.455
2.176,0.0,15.152,0.667,10.106
2.187,0.0,15.148,0.706,10.694
2.198,0.0,15.152,0.69,10.455
2.209,0.0,15.152,0.694,10.515
2.22,0.0,15.148,0.688,10.422
2.231,0.0,15.152,0.696,10.546
2.242,0.0,15.152,0.683,10.349
2.253,0.0,15.152,0.681,10.319
2.265,0.0,15.152,0.68,10.303
2.276,0.0,15.148,0.7,10.604
2.287,0.0,15.152,0.681,10.319
2.298,0.0,15.148,0.681,10.316
2.309,0.0,15.148,0.713,10.801
2.32,0.0,15.152,0.681,10.319
2.332,0.0,15.152,0.683,10.349
2.343,0.0,15.156,0.675,10.23
2.354,0.0,15.152,0.68,10.303
2.366,0.0,15.152,0.679,10.288
2.377,0.0,15.152,0.671,10.167
2.388,0.0,15.152,0.68,10.303
2.399,0.0,15.152,0.682,10.334
2.41,0.0,15.152,0.667,10.106
2.421,0.0,15.152,0.68,10.303
2.433,0.0,15.152,0.683,10.349
2.444,0.0,15.148,0.699,10.588
2.455,0.0,15.148,0.683,10.346
2.466,0.0,15.152,0.682,10.334
2.477,0.0,15.152,0.685,10.379
2.489,0.0,15.152,0.681,10.319
2.5,0.0,15.152,0.681,10.319
2.511,0.0,15.152,0.683,10.349
2.522,0.0,15.152,0.682,10.334
2.534,0.0,15.152,0.679,10.288
2.545,0.0,15.152,0.676,10.243
2.556,0.0,15.148,0.677,10.255
2.567,0.0,15.148,0.704,10.664
2.578,0.0,15.152,0.677,10.258
2.591,0.0,15.152,0.677,10.258
2.602,0.0,15.152,0.68,10.303
2.613,0.0,15.152,0.677,10.258
2.624,0.0,15.152,0.676,10.243
2.635,0.0,15.148,0.677,10.255
2.647,0.0,15.152,0.679,10.288
2.658,0.0,15.152,0.678,10.273
2.67,0.0,15.152,0.699,10.591
2.683,0.0,15.152,0.722,10.94
2.694,0.0,15.152,0.706,10.697
2.705,0.0,15.152,0.707,10.712
2.716,0.0,15.148,0.722,10.937
2.727,0.0,15.152,0.676,10.243
2.738,0.0,15.152,0.679,10.288
2.749,0.0,15.148,0.681,10.316
2.761,0.0,15.152,0.67,10.152
2.773,0.0,15.148,0.678,10.27
2.784,0.0,15.152,0.683,10.349
2.795,0.0,15.152,0.677,10.258
2.806,0.0,15.152,0.679,10.288
2.818,0.0,15.148,0.689,10.437
2.829,0.0,15.156,0.677,10.261
2.84,0.0,15.156,0.678,10.276
2.851,0.0,15.152,0.696,10.546
2.862,0.0,15.152,0.676,10.243
2.873,0.0,15.152,0.676,10.243
2.885,0.0,15.148,0.7,10.604
2.896,0.0,15.152,0.675,10.228
2.908,0.0,15.152,0.676,10.243
2.919,0.0,15.152,0.676,10.243
2.931,0.0,15.148,0.678,10.27
2.943,0.0,15.148,0.7,10.604
2.954,0.0,15.156,0.68,10.306
2.966,0.0,15.152,0.677,10.258
2.977,0.0,15.152,0.685,10.379
2.989,0.0,15.152,0.684,10.364
3.0,0.0,15.152,0.687,10.409
3.012,0.0,15.148,0.683,10.346
3.024,0.0,15.152,0.682,10.334
3.035,0.0,15.152,0.687,10.409
3.047,0.0,15.152,0.679,10.288
3.058,0.0,15.152,0.68,10.303
3.07,0.0,15.152,0.693,10.5
3.081,0.0,15.152,0.68,10.303
3.093,0.0,15.152,0.659,9.985
3.105,0.0,15.152,0.678,10.273
3.116,0.0,15.152,0.679,10.288
3.127,0.0,15.152,0.677,10.258
3.139,0.0,15.152,0.678,10.273
3.15,0.0,15.152,0.697,10.561
3.162,0.0,15.148,0.684,10.361
3.173,0.0,15.152,0.678,10.273
3.184,0.0,15.148,0.707,10.71
3.195,0.0,15.152,0.676,10.243
3.207,0.0,15.152,0.686,10.394
3.218,0.0,15.148,0.713,10.801
3.227,0.0,15.152,0.677,10.258
3.236,0.0,15.152,0.676,10.243
3.245,0.0,15.152,0.675,10.228
3.254,0.0,15.152,0.677,10.258
3.262,0.0,15.152,0.678,10.273
3.27,0.0,15.152,0.677,10.258
3.279,0.0,15.152,0.677,10.258
3.287,0.0,15.152,0.675,10.228
3.295,0.0,15.156,0.677,10.261
3.303,0.0,15.156,0.676,10.245
3.312,0.0,15.152,0.676,10.243
3.321,0.0,15.152,0.677,10.258
3.329,0.0,15.152,0.677,10.258
3.338,0.0,15.152,0.68,10.303
3.347,0.0,15.152,0.68,10.303
3.355,0.0,15.152,0.681,10.319
3.364,0.0,15.152,0.688,10.425
3.372,0.0,15.152,0.68,10.303
3.381,0.0,15.148,0.679,10.285
3.389,0.0,15.152,0.678,10.273
3.399,0.0,15.152,0.677,10.258
3.409,0.0,15.152,0.679,10.288
3.418,0.0,15.152,0.677,10.258
3.427,0.0,15.152,0.678,10.273
3.436,0.0,15.152,0.678,10.273
3.445,0.0,15.152,0.678,10.273
3.454,0.0,15.156,0.677,10.261
3.463,0.0,15.152,0.682,10.334
3.471,0.0,15.152,0.678,10.273
3.48,0.0,15.148,0.677,10.255
3.488,0.0,15.152,0.676,10.243
3.497,0.0,15.152,0.678,10.273
3.505,0.0,15.152,0.677,10.258
3.514,0.0,15.152,0.678,10.273
3.523,0.0,15.152,0.677,10.258
3.531,0.0,15.152,0.678,10.273
3.54,0.0,15.152,0.678,10.273
3.549,0.0,15.152,0.677,10.258
3.557,0.0,15.152,0.676,10.243
3.566,0.0,15.152,0.683,10.349
3.574,0.0,15.152,0.685,10.379
3.582,0.0,15.152,0.699,10.591
3.59,0.0,15.152,0.676,10.243
3.599,0.0,15.148,0.704,10.664
3.608,0.0,15.152,0.681,10.319
3.616,0.0,15.156,0.682,10.336
3.625,0.0,15.152,0.663,10.046
3.634,0.0,15.152,0.684,10.364
3.642,0.0,15.152,0.681,10.319
3.651,0.0,15.152,0.681,10.319
3.66,0.0,15.152,0.68,10.303
3.668,0.0,15.152,0.707,10.712
3.677,0.0,15.152,0.677,10.258
3.685,0.0,15.152,0.679,10.288
3.694,0.0,15.152,0.683,10.349
3.702,0.0,15.148,0.678,10.27
3.711,0.0,15.152,0.691,10.47
3.719,0.0,15.152,0.686,10.394
3.728,0.0,15.152,0.683,10.349
3.736,0.0,15.152,0.677,10.258
3.745,0.0,15.152,0.678,10.273
3.754,0.0,15.152,0.677,10.258
3.762,0.0,15.152,0.679,10.288
3.771,0.0,15.152,0.679,10.288
3.779,0.0,15.152,0.678,10.273
3.788,0.0,15.152,0.677,10.258
3.796,0.0,15.152,0.678,10.273
3.805,0.0,15.148,0.676,10.24
3.813,0.0,15.152,0.676,10.243
3.822,0.0,15.152,0.677,10.258
3.83,0.0,15.152,0.678,10.273
3.839,0.0,15.152,0.676,10.243
3.847,0.0,15.152,0.678,10.273
3.856,0.0,15.152,0.676,10.243
3.864,0.0,15.152,0.678,10.273
3.873,0.0,15.152,0.678,10.273
3.881,0.0,15.152,0.677,10.258
3.89,0.0,15.152,0.683,10.349
3.898,0.0,15.152,0.679,10.288
3.906,0.0,15.152,0.683,10.349
3.915,0.0,15.152,0.676,10.243
3.923,0.0,15.152,0.678,10.273
3.934,0.0,15.152,0.716,10.849
3.945,0.0,15.152,0.68,10.303
3.956,0.0,15.152,0.682,10.334
3.967,0.0,15.156,0.707,10.715
3.978,0.0,15.152,0.683,10.349
3.989,0.0,15.152,0.68,10.303
4.0,0.0,15.152,0.702,10.637
4.011,0.0,15.152,0.681,10.319
4.022,0.0,15.156,0.679,10.291
4.034,0.0,15.152,0.69,10.455
4.045,0.0,15.152,0.681,10.319
4.057,0.0,15.152,0.677,10.258
4.069,0.0,15.152,0.687,10.409
4.08,0.0,15.152,0.676,10.243
4.092,0.0,15.152,0.68,10.303
4.103,0.0,15.148,0.677,10.255
4.115,0.0,15.152,0.676,10.243
4.127,0.0,15.148,0.706,10.694
4.138,0.0,15.152,0.677,10.258
4.15,0.0,15.152,0.696,10.546
4.161,0.0,15.152,0.676,10.243
4.173,0.0,15.152,0.675,10.228
4.184,0.0,15.152,0.686,10.394
4.195,0.0,15.148,0.677,10.255
4.206,0.0,15.156,0.677,10.261
4.217,0.0,15.152,0.683,10.349
4.228,0.0,15.152,0.678,10.273
4.239,0.0,15.152,0.681,10.319
4.251,0.0,15.152,0.696,10.546
4.262,0.0,15.148,0.68,10.301
4.274,0.0,15.152,0.677,10.258
4.287,0.0,15.152,0.681,10.319
4.299,0.0,15.152,0.68,10.303
4.31,0.0,15.152,0.672,10.182
4.322,0.0,15.156,0.676,10.245
4.333,0.0,15.152,0.685,10.379
4.343,0.0,15.152,0.662,10.031
4.354,0.0,15.148,0.676,10.24
4.365,0.0,15.152,0.679,10.288
4.375,0.0,15.152,0.695,10.531
4.386,0.0,15.152,0.677,10.258
4.396,0.0,15.152,0.691,10.47
4.407,0.0,15.152,0.678,10.273
4.418,0.0,15.152,0.682,10.334
4.428,0.0,15.152,0.677,10.258
4.44,0.0,15.156,0.677,10.261
4.452,0.0,15.152,0.684,10.364
4.463,0.0,15.152,0.677,10.258
4.475,0.0,15.152,0.68,10.303
4.486,0.0,15.152,0.677,10.258
4.498,0.0,15.152,0.687,10.409
4.51,0.0,15.152,0.691,10.47
4.522,0.0,15.152,0.675,10.228
4.533,0.0,15.152,0.68,10.303
4.544,0.0,15.152,0.68,10.303
4.555,0.0,15.152,0.678,10.273
4.566,0.0,15.156,0.698,10.579
4.578,0.0,15.152,0.676,10.243
4.589,0.0,15.152,0.678,10.273
4.601,0.0,15.152,0.698,10.576
4.612,0.0,15.152,0.678,10.273
4.624,0.0,15.152,0.684,10.364
4.635,0.0,15.152,0.676,10.243
4.646,0.0,15.152,0.675,10.228
4.658,0.0,15.152,0.678,10.273
4.669,0.0,15.148,0.684,10.361
4.68,0.0,15.152,0.678,10.273
4.692,0.0,15.152,0.721,10.925
4.703,0.0,15.148,0.721,10.922
4.715,0.0,15.152,0.716,10.849
4.726,0.0,15.152,0.693,10.5
4.738,0.0,15.152,0.677,10.258
4.752,0.0,15.148,0.686,10.392
4.766,0.0,15.152,0.678,10.273
4.777,0.0,15.152,0.677,10.258
4.789,0.0,15.152,0.677,10.258
4.8,0.0,15.152,0.707,10.712
4.812,0.0,15.152,0.678,10.273
4.824,0.0,15.152,0.676,10.243
4.836,0.0,15.152,0.694,10.515
4.847,0.0,15.152,0.684,10.364
4.859,0.0,15.152,0.688,10.425
4.87,0.0,15.152,0.687,10.409
4.882,0.0,15.152,0.681,10.319
