Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.121,0.0,0.116,0.0,0.0
0.133,0.0,0.12,0.0,0.0
0.145,0.0,0.12,0.0,0.0
0.156,0.0,0.12,0.0,0.0
0.168,0.0,0.12,0.0,0.0
0.18,0.0,0.12,0.0,0.0
0.192,0.0,0.12,0.0,0.0
0.253,0.0,5.076,0.0,0.0
0.265,0.0,5.076,0.0,0.0
0.278,0.0,5.072,0.0,0.0
0.29,0.0,5.076,0.012,0.061
0.302,0.0,5.076,0.015,0.076
0.314,0.0,5.072,0.011,0.056
0.326,0.0,5.076,0.0,0.0
0.339,0.0,5.076,0.01,0.051
0.351,0.0,5.076,0.0,0.0
0.363,0.0,5.076,0.01,0.051
0.373,0.0,5.076,0.011,0.056
0.384,0.0,5.076,0.01,0.051
0.394,0.0,5.072,0.11,0.558
0.405,0.0,5.076,0.0,0.0
0.417,0.0,5.076,0.0,0.0
0.428,0.0,5.072,0.0,0.0
0.538,0.0,5.076,0.0,0.0
0.55,0.0,5.076,0.0,0.0
0.564,0.0,5.076,0.01,0.051
0.577,0.0,5.076,0.01,0.051
0.59,0.0,5.076,0.01,0.051
0.603,0.0,5.072,0.01,0.051
0.616,0.0,5.072,0.0,0.0
0.629,0.0,15.172,0.026,0.394
0.702,0.0,15.164,0.322,4.883
0.713,0.0,15.172,0.028,0.425
0.724,0.0,15.168,0.027,0.41
0.736,0.0,15.172,0.028,0.425
0.747,0.0,15.168,0.029,0.44
0.758,0.0,15.164,0.226,3.427
0.771,0.0,15.16,0.225,3.411
0.782,0.0,15.16,0.324,4.912
0.794,0.0,15.16,0.324,4.912
0.806,0.0,15.172,0.029,0.44
0.818,0.0,15.172,0.029,0.44
0.83,0.0,15.164,0.13,1.971
0.843,0.0,15.164,0.227,3.442
0.855,0.0,15.16,0.323,4.897
0.867,0.0,15.16,0.422,6.398
0.877,0.0,15.164,0.42,6.369
0.887,0.0,15.156,0.527,7.987
0.896,0.0,15.156,0.645,9.776
0.906,0.0,15.152,0.741,11.228
0.916,0.0,15.148,0.837,12.679
0.926,0.0,15.144,0.937,14.19
0.937,0.0,15.144,0.912,13.811
0.947,0.0,15.148,0.898,13.603
0.956,0.0,15.148,0.906,13.724
0.966,0.0,15.144,0.896,13.569
0.977,0.0,15.144,0.939,14.22
0.986,0.0,15.144,0.915,13.857
0.997,0.0,15.148,0.894,13.542
1.007,0.0,15.148,0.894,13.542
1.017,0.0,15.148,0.896,13.573
1.027,0.0,15.144,0.895,13.554
1.037,0.0,15.148,0.905,13.709
1.047,0.0,15.148,0.894,13.542
1.057,0.0,15.144,0.899,13.614
1.069,0.0,15.144,0.873,13.221
1.08,0.0,15.144,0.893,13.524
1.091,0.0,15.144,0.894,13.539
1.102,0.0,15.148,0.892,13.512
1.112,0.0,15.144,0.892,13.508
1.123,0.0,15.144,0.895,13.554
1.134,0.0,15.144,0.881,13.342
1.145,0.0,15.144,0.884,13.387
1.156,0.0,15.172,0.029,0.44
1.167,0.0,15.168,0.197,2.988
1.178,0.0,15.16,0.322,4.882
1.189,0.0,15.16,0.422,6.398
1.2,0.0,15.156,0.528,8.002
1.211,0.0,15.156,0.644,9.76
1.222,0.0,15.148,0.739,11.194
1.234,0.0,15.148,0.837,12.679
1.244,0.0,15.144,0.926,14.023
1.255,0.0,15.144,0.932,14.114
1.266,0.0,15.144,0.907,13.736
1.277,0.0,15.144,0.91,13.781
1.288,0.0,15.144,0.902,13.66
1.299,0.0,15.148,0.896,13.573
1.31,0.0,15.144,0.902,13.66
1.321,0.0,15.144,0.898,13.599
1.332,0.0,15.148,0.895,13.557
1.343,0.0,15.144,0.905,13.705
1.354,0.0,15.144,0.899,13.614
1.365,0.0,15.148,0.897,13.588
1.376,0.0,15.144,0.904,13.69
1.387,0.0,15.148,0.898,13.603
1.399,0.0,15.144,0.897,13.584
1.41,0.0,15.148,0.91,13.785
1.421,0.0,15.144,0.96,14.538
1.432,0.0,15.144,0.932,14.114
1.443,0.0,15.14,0.941,14.247
1.454,146.0,15.144,0.945,14.311
1.465,141.0,15.148,0.936,14.179
1.476,135.0,15.148,0.934,14.148
1.487,130.0,15.144,0.897,13.584
1.499,124.0,15.148,0.901,13.648
1.51,119.0,15.148,0.938,14.209
1.521,113.0,15.148,0.889,13.467
1.532,106.0,15.148,0.892,13.512
1.543,103.0,15.148,0.932,14.118
1.555,100.0,15.144,0.893,13.524
1.566,96.0,15.144,0.896,13.569
1.576,92.0,15.148,0.919,13.921
1.586,89.0,15.148,0.894,13.542
1.597,85.0,15.144,0.886,13.418
1.607,81.0,15.148,0.889,13.467
1.618,76.0,15.144,0.924,13.993
1.628,72.0,15.144,0.887,13.433
1.638,68.0,15.148,0.892,13.512
1.648,63.0,15.148,0.948,14.36
1.66,59.0,15.144,0.946,14.326
1.671,54.0,15.148,0.917,13.891
1.682,49.0,15.148,0.897,13.588
1.693,44.0,15.144,0.934,14.144
1.704,39.0,15.148,0.905,13.709
1.716,33.0,15.148,0.896,13.573
1.726,28.0,15.148,0.927,14.042
1.738,23.0,15.148,0.901,13.648
1.749,17.0,15.148,0.898,13.603
1.76,11.0,15.148,0.906,13.724
1.771,5.0,15.148,0.902,13.663
1.782,0.0,15.148,0.904,13.694
1.793,0.0,15.144,0.939,14.22
1.804,0.0,15.148,0.905,13.709
1.815,0.0,15.144,0.897,13.584
1.826,0.0,15.148,0.919,13.921
1.838,0.0,15.144,0.906,13.72
1.849,0.0,15.144,0.907,13.736
1.86,0.0,15.144,0.92,13.932
1.871,0.0,15.148,0.901,13.648
1.883,0.0,15.144,0.887,13.433
1.894,0.0,15.144,0.918,13.902
1.905,0.0,15.148,0.892,13.512
1.916,0.0,15.152,0.885,13.41
1.927,0.0,15.144,0.89,13.478
1.938,0.0,15.148,0.888,13.451
1.949,0.0,15.148,0.885,13.406
1.96,0.0,15.148,0.893,13.527
1.971,0.0,15.148,0.886,13.421
1.982,0.0,15.148,0.887,13.436
1.993,0.0,15.148,0.896,13.573
2.005,0.0,15.144,0.888,13.448
2.016,0.0,15.148,0.884,13.391
2.028,0.0,15.148,0.896,13.573
2.039,0.0,15.148,0.889,13.467
2.05,0.0,15.144,0.883,13.372
2.061,0.0,15.144,0.887,13.433
2.072,0.0,15.148,0.888,13.451
2.084,0.0,15.148,0.887,13.436
2.095,0.0,15.144,0.885,13.402
2.106,0.0,15.148,0.889,13.467
2.118,0.0,15.148,0.889,13.467
2.129,0.0,15.144,0.887,13.433
2.14,0.0,15.148,0.897,13.588
2.151,0.0,15.132,1.356,20.519
2.162,0.0,15.132,1.315,19.899
2.174,0.0,15.132,1.317,19.929
2.185,0.0,15.132,1.312,19.853
2.197,0.0,15.136,1.324,20.04
2.208,0.0,15.132,1.327,20.08
2.22,0.0,15.136,1.322,20.01
2.231,0.0,15.132,1.313,19.868
2.242,0.0,15.136,1.322,20.01
2.253,0.0,15.132,1.317,19.929
2.264,0.0,15.132,1.312,19.853
2.276,0.0,15.136,1.318,19.949
2.287,0.0,15.136,1.319,19.964
2.299,0.0,15.132,1.315,19.899
2.31,0.0,15.132,1.349,20.413
2.322,0.0,15.136,1.316,19.919
2.333,0.0,15.132,1.315,19.899
2.348,0.0,15.132,1.314,19.883
2.362,0.0,15.136,1.314,19.889
2.373,0.0,15.136,1.316,19.919
2.384,0.0,15.132,1.324,20.035
2.395,0.0,15.136,1.313,19.874
2.407,0.0,15.132,1.316,19.914
2.418,0.0,15.132,1.352,20.458
2.428,0.0,15.132,1.317,19.929
2.439,0.0,15.132,1.326,20.065
2.451,0.0,15.132,1.324,20.035
2.462,0.0,15.132,1.32,19.974
2.473,0.0,15.132,1.317,19.929
2.484,0.0,15.132,1.315,19.899
2.495,0.0,15.132,1.316,19.914
2.506,0.0,15.132,1.317,19.929
2.517,0.0,15.136,1.315,19.904
2.528,0.0,15.136,1.313,19.874
2.539,0.0,15.132,1.316,19.914
2.55,0.0,15.132,1.314,19.883
2.561,0.0,15.132,1.315,19.899
2.573,0.0,15.136,1.318,19.949
2.584,0.0,15.136,1.321,19.995
2.595,0.0,15.136,1.314,19.889
2.607,0.0,15.132,1.333,20.171
2.618,0.0,15.132,1.32,19.974
2.629,0.0,15.136,1.315,19.904
2.64,0.0,15.132,1.317,19.929
2.651,0.0,15.132,1.328,20.095
2.662,0.0,15.136,1.317,19.934
2.674,0.0,15.132,1.318,19.944
2.685,0.0,15.132,1.351,20.443
2.696,0.0,15.132,1.313,19.868
2.708,0.0,15.132,1.318,19.944
2.719,0.0,15.132,1.305,19.747
2.731,0.0,15.128,1.317,19.924
2.742,0.0,15.132,1.32,19.974
2.753,0.0,15.132,1.322,20.005
2.764,0.0,15.132,1.314,19.883
2.775,0.0,15.132,1.317,19.929
2.785,0.0,15.132,1.29,19.52
2.795,0.0,15.132,1.322,20.005
2.805,0.0,15.132,1.318,19.944
2.815,0.0,15.128,1.315,19.893
2.826,0.0,15.132,1.347,20.383
2.836,0.0,15.132,1.317,19.929
2.846,0.0,15.132,1.313,19.868
2.856,0.0,15.136,1.318,19.949
2.866,0.0,15.132,1.314,19.883
2.878,0.0,15.132,1.318,19.944
2.889,0.0,15.132,1.318,19.944
2.9,0.0,15.132,1.316,19.914
2.911,0.0,15.132,1.321,19.989
2.922,0.0,15.132,1.316,19.914
2.933,0.0,15.136,1.315,19.904
2.944,0.0,15.132,1.317,19.929
2.955,0.0,15.132,1.317,19.929
