Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.107,0.0,0.1,0.0,0.0
0.117,0.0,0.1,0.0,0.0
0.127,0.0,0.1,0.0,0.0
0.137,0.0,0.1,0.0,0.0
0.149,0.0,0.096,0.0,0.0
0.161,0.0,0.096,0.0,0.0
0.172,0.0,0.096,0.0,0.0
0.184,0.0,0.1,0.0,0.0
0.196,0.0,0.1,0.0,0.0
0.257,0.0,5.076,0.0,0.0
0.267,0.0,5.076,0.0,0.0
0.278,0.0,5.076,0.0,0.0
0.289,0.0,5.072,0.0,0.0
0.299,0.0,5.076,0.012,0.061
0.31,0.0,5.072,0.012,0.061
0.321,0.0,5.076,0.0,0.0
0.331,0.0,5.072,0.01,0.051
0.342,0.0,5.076,0.01,0.051
0.353,0.0,5.076,0.0,0.0
0.364,0.0,5.072,0.0,0.0
0.374,0.0,5.076,0.01,0.051
0.386,0.0,5.076,0.0,0.0
0.396,0.0,5.076,0.01,0.051
0.407,0.0,5.072,0.01,0.051
0.418,0.0,5.076,0.0,0.0
0.523,0.0,5.076,0.01,0.051
0.534,0.0,5.076,0.0,0.0
0.545,0.0,5.076,0.0,0.0
0.557,0.0,5.072,0.0,0.0
0.569,0.0,5.076,0.0,0.0
0.582,0.0,5.072,0.0,0.0
0.593,0.0,5.076,0.0,0.0
0.605,0.0,5.072,0.0,0.0
0.617,0.0,5.076,0.0,0.0
0.628,0.0,15.172,0.027,0.41
0.64,0.0,15.172,0.028,0.425
0.65,0.0,15.172,0.028,0.425
0.66,0.0,15.168,0.028,0.425
0.67,0.0,15.168,0.028,0.425
0.732,0.0,15.16,0.414,6.276
0.743,0.0,15.16,0.507,7.686
0.753,0.0,15.156,0.627,9.503
0.763,0.0,15.172,0.029,0.44
0.775,0.0,15.172,0.026,0.394
0.785,0.0,15.164,0.219,3.321
0.795,0.0,15.156,0.412,6.244
0.806,0.0,15.156,0.51,7.73
0.817,0.0,15.156,0.62,9.397
0.827,0.0,15.152,0.724,10.97
0.838,0.0,15.148,0.766,11.603
0.849,0.0,15.148,0.818,12.391
0.859,0.0,15.148,0.924,13.997
0.87,0.0,15.148,0.902,13.663
0.881,0.0,15.144,0.888,13.448
0.891,0.0,15.148,0.899,13.618
0.902,0.0,15.148,0.889,13.467
0.913,0.0,15.144,0.931,14.099
0.923,0.0,15.144,0.908,13.751
0.934,0.0,15.144,0.89,13.478
0.945,0.0,15.144,0.881,13.342
0.955,0.0,15.144,0.9,13.63
0.967,0.0,15.14,0.878,13.293
0.977,0.0,15.144,0.889,13.463
0.987,0.0,15.144,0.925,14.008
0.999,0.0,15.148,0.885,13.406
1.009,0.0,15.144,0.889,13.463
1.02,0.0,15.144,0.889,13.463
1.03,0.0,15.144,0.887,13.433
1.042,0.0,15.144,0.89,13.478
1.052,0.0,15.148,0.885,13.406
1.063,0.0,15.144,0.939,14.22
1.074,0.0,15.144,0.894,13.539
1.084,0.0,15.144,0.893,13.524
1.094,0.0,15.148,0.887,13.436
1.106,0.0,15.148,0.873,13.224
1.116,0.0,15.144,0.889,13.463
1.126,0.0,15.148,0.892,13.512
1.137,0.0,15.144,0.939,14.22
1.148,0.0,15.172,0.028,0.425
1.159,0.0,15.168,0.027,0.41
1.172,0.0,15.164,0.219,3.321
1.183,0.0,15.16,0.413,6.261
1.193,0.0,15.156,0.414,6.275
1.204,0.0,15.16,0.414,6.276
1.215,0.0,15.156,0.51,7.73
1.225,0.0,15.152,0.62,9.394
1.236,0.0,15.152,0.723,10.955
1.247,0.0,15.152,0.816,12.364
1.256,0.0,15.148,0.872,13.209
1.267,0.0,15.144,0.86,13.024
1.277,0.0,15.148,0.848,12.846
1.287,0.0,15.144,0.859,13.009
1.297,0.0,15.148,0.873,13.224
1.308,0.0,15.148,0.849,12.861
1.317,0.0,15.144,0.849,12.857
1.327,0.0,15.144,0.845,12.797
1.338,0.0,15.144,0.88,13.327
1.349,0.0,15.148,0.841,12.739
1.359,0.0,15.144,0.9,13.63
1.371,0.0,15.148,0.868,13.148
1.382,160.0,15.144,0.865,13.1
1.392,155.0,15.144,0.906,13.72
1.404,150.0,15.144,0.87,13.175
1.415,146.0,15.148,0.867,13.133
1.426,141.0,15.144,0.864,13.084
1.437,135.0,15.144,0.859,13.009
1.448,130.0,15.144,0.852,12.903
1.458,124.0,15.144,0.864,13.084
1.469,119.0,15.148,0.861,13.042
1.48,113.0,15.148,0.87,13.179
1.49,110.0,15.144,0.862,13.054
1.501,106.0,15.148,0.858,12.997
1.512,103.0,15.144,0.857,12.978
1.522,100.0,15.144,0.833,12.615
1.533,96.0,15.144,0.86,13.024
1.544,92.0,15.144,0.861,13.039
1.554,89.0,15.144,0.858,12.994
1.565,85.0,15.148,0.851,12.891
1.576,81.0,15.144,0.852,12.903
1.586,76.0,15.14,0.861,13.036
1.597,72.0,15.148,0.888,13.451
1.608,68.0,15.144,0.885,13.402
1.618,63.0,15.148,0.857,12.982
1.629,59.0,15.148,0.84,12.724
1.64,54.0,15.148,0.837,12.679
1.65,49.0,15.148,0.839,12.709
1.661,44.0,15.148,0.848,12.846
1.672,39.0,15.144,0.841,12.736
1.682,33.0,15.148,0.837,12.679
1.692,28.0,15.148,0.873,13.224
1.704,23.0,15.148,0.845,12.8
1.714,17.0,15.148,0.837,12.679
1.724,11.0,15.144,0.859,13.009
1.736,5.0,15.148,0.841,12.739
1.746,0.0,15.148,0.876,13.27
1.756,0.0,15.144,0.865,13.1
1.768,0.0,15.148,0.855,12.952
1.778,0.0,15.144,0.851,12.888
1.788,0.0,15.144,0.86,13.024
1.8,0.0,15.144,0.851,12.888
1.81,0.0,15.148,0.853,12.921
1.82,0.0,15.148,0.855,12.952
1.832,0.0,15.144,0.857,12.978
1.842,0.0,15.148,0.849,12.861
1.852,0.0,15.144,0.85,12.872
1.864,0.0,15.148,0.891,13.497
1.874,0.0,15.148,0.866,13.118
1.884,0.0,15.144,0.86,13.024
1.895,0.0,15.148,0.855,12.952
1.906,0.0,15.144,0.863,13.069
1.916,0.0,15.144,0.848,12.842
1.927,0.0,15.148,0.885,13.406
1.938,0.0,15.148,0.841,12.739
1.949,0.0,15.144,0.85,12.872
1.959,0.0,15.148,0.872,13.209
1.97,0.0,15.148,0.894,13.542
1.981,0.0,15.148,0.84,12.724
1.991,0.0,15.152,0.863,13.076
2.003,0.0,15.148,0.836,12.664
2.013,0.0,15.148,0.842,12.755
2.024,0.0,15.148,0.85,12.876
2.036,0.0,15.148,0.836,12.664
2.046,0.0,15.148,0.864,13.088
2.057,0.0,15.144,0.856,12.963
2.069,0.0,15.144,0.84,12.721
2.079,0.0,15.148,0.845,12.8
2.09,0.0,15.144,0.862,13.054
2.102,0.0,15.144,0.877,13.281
2.112,0.0,15.148,0.898,13.603
2.123,0.0,15.14,0.878,13.293
2.134,0.0,15.148,0.895,13.557
2.145,0.0,15.144,0.876,13.266
2.156,0.0,15.144,0.907,13.736
2.167,0.0,15.148,0.904,13.694
2.178,0.0,15.144,0.863,13.069
2.189,0.0,15.144,0.851,12.888
2.2,0.0,15.148,0.854,12.936
2.212,0.0,15.148,0.865,13.103
2.223,0.0,15.144,0.853,12.918
2.234,0.0,15.148,0.863,13.073
2.244,0.0,15.148,0.861,13.042
2.255,0.0,15.144,0.896,13.569
2.266,0.0,15.148,0.854,12.936
2.276,0.0,15.148,0.856,12.967
2.287,0.0,15.144,0.85,12.872
2.298,0.0,15.148,0.851,12.891
2.308,0.0,15.148,0.848,12.846
2.319,0.0,15.144,0.86,13.024
2.33,0.0,15.144,0.866,13.115
2.34,0.0,15.148,0.859,13.012
2.351,0.0,15.144,0.853,12.918
2.362,0.0,15.144,0.883,13.372
2.372,0.0,15.148,0.847,12.83
2.383,0.0,15.148,0.851,12.891
2.394,0.0,15.144,0.853,12.918
2.404,0.0,15.148,0.835,12.649
2.415,0.0,15.148,0.836,12.664
2.427,0.0,15.144,0.856,12.963
2.437,0.0,15.144,0.87,13.175
2.448,0.0,15.148,0.84,12.724
2.46,0.0,15.148,0.847,12.83
2.47,0.0,15.144,0.847,12.827
2.482,0.0,15.148,0.836,12.664
2.494,0.0,15.144,0.852,12.903
2.504,0.0,15.148,0.832,12.603
2.516,0.0,15.148,0.835,12.649
2.527,0.0,15.148,0.87,13.179
2.538,0.0,15.144,0.849,12.857
2.549,0.0,15.144,0.83,12.57
2.56,0.0,15.148,0.869,13.164
2.571,0.0,15.148,0.872,13.209
2.582,0.0,15.144,0.838,12.691
2.593,0.0,15.144,0.846,12.812
2.603,0.0,15.144,0.833,12.615
2.614,0.0,15.14,1.033,15.64
2.625,0.0,15.148,0.857,12.982
2.635,0.0,15.148,0.887,13.436
2.646,0.0,15.148,0.888,13.451
2.657,0.0,15.148,0.861,13.042
2.666,0.0,15.144,0.86,13.024
2.676,0.0,15.148,0.847,12.83
2.686,0.0,15.148,0.85,12.876
2.696,0.0,15.144,0.88,13.327
2.706,0.0,15.144,0.848,12.842
2.716,0.0,15.144,0.853,12.918
2.726,0.0,15.148,0.864,13.088
2.736,0.0,15.144,0.854,12.933
2.746,0.0,15.148,0.863,13.073
2.757,0.0,15.144,0.865,13.1
2.767,0.0,15.144,0.864,13.084
2.779,0.0,15.148,0.865,13.103
2.789,0.0,15.14,0.862,13.051
2.8,0.0,15.144,0.855,12.948
2.811,0.0,15.148,0.86,13.027
2.822,0.0,15.148,0.856,12.967
2.833,0.0,15.148,0.834,12.633
2.844,0.0,15.148,0.844,12.785
2.855,0.0,15.148,0.844,12.785
2.866,0.0,15.148,0.84,12.724
2.877,0.0,15.144,0.838,12.691
2.888,0.0,15.144,0.83,12.57
2.899,0.0,15.148,0.847,12.83
2.91,0.0,15.144,0.841,12.736
2.921,0.0,15.144,0.894,13.539
2.931,0.0,15.144,0.846,12.812
2.943,0.0,15.148,0.831,12.588
2.954,0.0,15.144,0.859,13.009
2.964,0.0,15.144,0.832,12.6
2.976,0.0,15.148,0.831,12.588
2.987,0.0,15.148,0.85,12.876
2.997,0.0,15.144,0.846,12.812
3.009,0.0,15.148,0.841,12.739
3.019,0.0,15.144,0.837,12.676
3.03,0.0,15.144,0.841,12.736
3.041,0.0,15.148,0.837,12.679
3.052,0.0,15.148,0.835,12.649
3.063,0.0,15.148,0.851,12.891
3.074,0.0,15.148,0.83,12.573
3.085,0.0,15.148,0.846,12.815
3.096,0.0,15.148,0.842,12.755
3.107,0.0,15.148,0.843,12.77
3.118,0.0,15.148,0.838,12.694
3.128,0.0,15.144,0.84,12.721
3.14,0.0,15.144,0.87,13.175
3.151,0.0,15.144,0.894,13.539
3.161,0.0,15.14,0.897,13.581
3.173,0.0,15.144,0.876,13.266
3.183,0.0,15.144,0.88,13.327
3.194,0.0,15.148,0.851,12.891
3.206,0.0,15.148,0.838,12.694
3.216,0.0,15.148,0.831,12.588
3.227,0.0,15.144,0.88,13.327
3.239,0.0,15.148,0.821,12.437
3.249,0.0,15.148,0.829,12.558
3.26,0.0,15.148,0.845,12.8
3.271,0.0,15.148,0.859,13.012
3.282,0.0,15.148,0.831,12.588
3.293,0.0,15.148,0.844,12.785
3.304,0.0,15.144,0.851,12.888
3.315,0.0,15.14,0.843,12.763
3.325,0.0,15.144,0.841,12.736
3.336,0.0,15.148,0.834,12.633
3.348,0.0,15.144,0.853,12.918
3.358,0.0,15.144,0.85,12.872
3.368,0.0,15.148,0.836,12.664
3.379,0.0,15.144,0.839,12.706
3.389,0.0,15.148,0.851,12.891
3.398,0.0,15.148,0.834,12.633
3.409,0.0,15.148,0.834,12.633
3.419,0.0,15.144,0.832,12.6
3.428,0.0,15.144,0.868,13.145
3.438,0.0,15.148,0.828,12.543
3.449,0.0,15.148,0.839,12.709
3.459,0.0,15.144,0.86,13.024
3.47,0.0,15.148,0.837,12.679
3.481,0.0,15.148,0.83,12.573
3.492,0.0,15.148,0.849,12.861
3.503,0.0,15.144,0.833,12.615
3.514,0.0,15.144,0.844,12.782
3.525,0.0,15.144,0.841,12.736
3.536,0.0,15.144,0.846,12.812
3.547,0.0,15.144,0.845,12.797
3.558,0.0,15.148,0.855,12.952
3.569,0.0,15.148,0.836,12.664
3.58,0.0,15.148,0.841,12.739
3.591,0.0,15.148,0.844,12.785
3.601,0.0,15.144,0.836,12.66
3.613,0.0,15.148,0.836,12.664
3.624,0.0,15.144,0.853,12.918
