Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.248,0.0,5.076,0.0,0.0
0.257,0.0,5.076,0.0,0.0
0.265,0.0,5.072,0.0,0.0
0.274,0.0,5.076,0.0,0.0
0.282,0.0,5.072,0.0,0.0
0.29,0.0,5.076,0.0,0.0
0.298,0.0,5.076,0.0,0.0
0.307,0.0,5.072,0.0,0.0
0.315,0.0,5.072,0.0,0.0
0.322,0.0,5.076,0.0,0.0
0.331,0.0,5.076,0.0,0.0
0.34,0.0,5.076,0.0,0.0
0.348,0.0,5.076,0.0,0.0
0.356,0.0,5.08,0.0,0.0
0.365,0.0,5.076,0.0,0.0
0.373,0.0,5.08,0.0,0.0
0.381,0.0,5.076,0.0,0.0
0.388,0.0,5.076,0.0,0.0
0.398,0.0,5.072,0.0,0.0
0.406,0.0,5.076,0.0,0.0
0.414,0.0,5.076,0.0,0.0
0.421,0.0,5.076,0.0,0.0
0.43,0.0,5.076,0.0,0.0
0.439,0.0,5.076,0.0,0.0
0.446,0.0,5.076,0.0,0.0
0.454,0.0,5.076,0.0,0.0
0.463,0.0,5.076,0.0,0.0
0.471,0.0,5.076,0.0,0.0
0.479,0.0,5.076,0.0,0.0
0.487,0.0,5.076,0.0,0.0
0.495,0.0,5.072,0.0,0.0
0.504,0.0,5.076,0.0,0.0
0.512,0.0,5.076,0.01,0.051
0.519,0.0,5.076,0.0,0.0
0.528,0.0,5.076,0.0,0.0
0.537,0.0,5.076,0.0,0.0
0.544,0.0,5.076,0.0,0.0
0.552,0.0,5.076,0.0,0.0
0.561,0.0,5.072,0.0,0.0
0.57,0.0,5.076,0.0,0.0
0.577,0.0,5.076,0.0,0.0
0.585,0.0,5.076,0.0,0.0
0.594,0.0,5.076,0.0,0.0
0.602,0.0,5.076,0.0,0.0
0.61,0.0,5.076,0.0,0.0
0.618,0.0,5.072,0.0,0.0
0.628,0.0,5.072,0.0,0.0
0.636,0.0,5.076,0.0,0.0
0.643,0.0,5.076,0.0,0.0
0.651,0.0,5.072,0.0,0.0
0.66,0.0,5.076,0.0,0.0
0.668,0.0,5.076,0.0,0.0
0.676,0.0,5.076,0.0,0.0
0.684,0.0,5.072,0.0,0.0
0.693,0.0,5.072,0.0,0.0
0.702,0.0,5.076,0.0,0.0
0.709,0.0,5.076,0.0,0.0
0.717,0.0,5.08,0.0,0.0
0.726,0.0,5.076,0.0,0.0
0.734,0.0,5.076,0.0,0.0
0.742,0.0,5.076,0.01,0.051
0.75,0.0,5.076,0.0,0.0
0.758,0.0,5.076,0.0,0.0
0.767,0.0,5.076,0.0,0.0
0.775,0.0,5.072,0.0,0.0
0.782,0.0,5.076,0.0,0.0
0.793,0.0,5.076,0.0,0.0
0.802,0.0,5.076,0.0,0.0
0.81,0.0,5.076,0.0,0.0
0.819,0.0,5.076,0.0,0.0
0.828,0.0,5.076,0.0,0.0
0.837,0.0,5.076,0.0,0.0
0.845,0.0,5.076,0.0,0.0
0.854,0.0,5.072,0.0,0.0
0.863,0.0,5.072,0.0,0.0
0.871,0.0,5.076,0.0,0.0
0.879,0.0,5.076,0.0,0.0
0.888,0.0,5.076,0.0,0.0
0.897,0.0,5.076,0.0,0.0
0.905,0.0,5.076,0.0,0.0
0.913,0.0,5.08,0.0,0.0
0.922,0.0,5.08,0.0,0.0
0.931,0.0,5.076,0.0,0.0
0.939,0.0,5.076,0.0,0.0
0.947,0.0,5.076,0.0,0.0
0.956,0.0,5.072,0.0,0.0
0.967,0.0,5.076,0.0,0.0
0.977,0.0,5.076,0.0,0.0
0.988,0.0,5.076,0.0,0.0
1.005,0.0,5.072,0.099,0.502
1.016,0.0,5.072,0.1,0.507
1.029,21.0,5.072,0.099,0.502
1.042,19.0,5.072,0.1,0.507
1.054,16.0,5.068,0.1,0.507
1.064,14.0,5.072,0.101,0.512
1.074,11.0,5.076,0.1,0.508
1.083,8.0,5.072,0.099,0.502
1.094,5.0,5.072,0.099,0.502
1.104,2.0,5.076,0.098,0.497
1.113,0.0,5.072,0.099,0.502
1.124,0.0,5.072,0.099,0.502
1.134,0.0,5.072,0.099,0.502
1.144,0.0,5.072,0.099,0.502
1.152,0.0,5.076,0.054,0.274
1.162,0.0,5.068,0.077,0.39
1.171,0.0,5.072,0.099,0.502
1.179,0.0,5.072,0.101,0.512
1.187,0.0,5.072,0.101,0.512
1.196,0.0,5.072,0.1,0.507
1.204,0.0,5.072,0.1,0.507
1.212,0.0,5.072,0.1,0.507
1.219,0.0,5.072,0.1,0.507
1.228,0.0,5.072,0.099,0.502
1.236,0.0,5.072,0.099,0.502
1.244,0.0,5.072,0.1,0.507
1.253,0.0,5.068,0.099,0.502
1.261,0.0,5.072,0.099,0.502
1.27,0.0,5.076,0.1,0.508
1.278,0.0,5.072,0.098,0.497
1.286,0.0,5.068,0.1,0.507
1.294,0.0,5.072,0.101,0.512
1.303,0.0,5.072,0.1,0.507
1.312,0.0,5.072,0.099,0.502
1.321,0.0,5.072,0.1,0.507
1.33,0.0,5.072,0.099,0.502
1.339,0.0,5.072,0.099,0.502
1.348,0.0,5.072,0.1,0.507
1.357,0.0,5.076,0.1,0.508
1.366,0.0,5.072,0.101,0.512
1.374,0.0,5.072,0.1,0.507
1.382,0.0,5.076,0.101,0.513
1.39,0.0,5.072,0.1,0.507
1.4,0.0,5.072,0.099,0.502
1.407,0.0,5.072,0.099,0.502
1.416,0.0,5.072,0.1,0.507
1.424,0.0,5.072,0.098,0.497
1.434,0.0,5.072,0.099,0.502
1.442,0.0,5.076,0.099,0.503
1.451,0.0,5.072,0.1,0.507
1.46,0.0,5.072,0.1,0.507
1.469,0.0,5.072,0.1,0.507
1.476,0.0,5.072,0.101,0.512
1.485,0.0,5.072,0.099,0.502
1.494,0.0,5.072,0.051,0.259
1.502,0.0,5.072,0.074,0.375
1.511,0.0,5.072,0.077,0.391
1.519,0.0,9.104,0.111,1.011
1.528,2.0,9.1,0.134,1.219
1.536,4.0,9.1,0.039,0.355
1.544,6.0,9.1,0.16,1.456
1.553,9.0,9.1,0.159,1.447
1.613,11.0,9.096,0.252,2.292
1.622,13.0,9.096,0.274,2.492
1.63,15.0,9.1,0.273,2.484
1.638,17.0,9.1,0.194,1.765
1.646,19.0,9.1,0.245,2.23
1.655,21.0,9.096,0.235,2.138
1.663,23.0,9.096,0.3,2.729
1.67,25.0,9.096,0.324,2.947
1.678,27.0,9.096,0.301,2.738
1.687,29.0,9.096,0.224,2.038
1.696,30.0,9.096,0.284,2.583
1.703,32.0,9.1,0.185,1.684
1.711,34.0,9.096,0.266,2.42
1.72,35.0,9.1,0.237,2.157
1.728,37.0,9.096,0.301,2.738
1.736,38.0,9.1,0.179,1.629
1.744,40.0,9.1,0.242,2.202
1.753,41.0,9.1,0.177,1.611
1.763,42.0,9.1,0.248,2.257
1.774,44.0,9.096,0.246,2.238
1.785,45.0,9.1,0.216,1.966
1.796,46.0,9.096,0.246,2.238
1.807,47.0,9.1,0.234,2.129
1.818,48.0,9.096,0.232,2.11
1.828,49.0,9.1,0.241,2.193
1.841,50.0,9.1,0.236,2.148
1.853,51.0,9.096,0.167,1.519
1.864,52.0,9.096,0.271,2.465
1.875,53.0,9.096,0.291,2.647
1.884,54.0,9.096,0.258,2.347
1.894,54.0,9.096,0.243,2.21
1.903,55.0,9.1,0.184,1.674
1.913,56.0,9.096,0.279,2.538
1.923,56.0,9.1,0.224,2.038
1.934,57.0,9.096,0.268,2.438
1.943,57.0,9.096,0.264,2.401
1.954,58.0,9.1,0.183,1.665
1.964,58.0,9.096,0.264,2.401
1.973,59.0,9.096,0.275,2.501
1.984,59.0,9.1,0.264,2.402
1.993,59.0,9.1,0.27,2.457
2.003,60.0,9.1,0.182,1.656
2.012,60.0,9.1,0.259,2.357
2.02,60.0,9.1,0.209,1.902
2.029,60.0,9.096,0.264,2.401
2.037,60.0,9.1,0.167,1.52
2.045,60.0,9.096,0.246,2.238
2.053,60.0,9.1,0.174,1.583
2.062,60.0,9.1,0.241,2.193
2.07,60.0,9.1,0.175,1.592
2.078,59.0,9.096,0.243,2.21
2.086,59.0,9.1,0.194,1.765
2.095,59.0,9.096,0.243,2.21
2.103,58.0,9.1,0.181,1.647
2.111,58.0,9.1,0.235,2.138
2.12,57.0,9.1,0.175,1.592
2.129,57.0,9.1,0.265,2.412
2.137,56.0,9.1,0.2,1.82
2.145,56.0,9.1,0.256,2.33
2.154,55.0,9.1,0.179,1.629
2.163,54.0,9.096,0.245,2.229
2.171,54.0,9.096,0.194,1.765
2.179,53.0,9.096,0.322,2.929
2.188,52.0,9.092,0.347,3.155
2.197,51.0,9.096,0.345,3.138
2.204,50.0,9.096,0.368,3.347
2.213,49.0,9.096,0.391,3.557
2.221,48.0,9.092,0.412,3.746
2.23,47.0,9.092,0.416,3.782
2.238,46.0,9.096,0.428,3.893
2.247,45.0,9.092,0.438,3.982
2.255,44.0,9.092,0.4,3.637
2.263,42.0,9.092,0.438,3.982
2.271,41.0,9.096,0.403,3.666
2.279,40.0,9.092,0.433,3.937
2.288,38.0,9.096,0.41,3.729
2.296,37.0,9.092,0.439,3.991
2.304,35.0,9.092,0.387,3.519
