Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.475,0.0,5.076,0.0,0.0
0.485,0.0,5.076,0.01,0.051
0.495,0.0,5.072,0.0,0.0
0.505,0.0,5.076,0.0,0.0
0.515,0.0,5.072,0.0,0.0
0.526,0.0,5.076,0.0,0.0
0.538,0.0,5.072,0.01,0.051
0.549,0.0,5.072,0.0,0.0
0.56,0.0,5.076,0.011,0.056
0.572,0.0,5.072,0.01,0.051
0.582,0.0,5.076,0.01,0.051
0.594,0.0,5.072,0.01,0.051
0.606,0.0,5.076,0.01,0.051
0.617,0.0,5.076,0.01,0.051
0.628,0.0,5.072,0.01,0.051
0.64,0.0,5.072,0.011,0.056
0.651,0.0,5.072,0.0,0.0
0.662,0.0,5.076,0.01,0.051
0.674,0.0,5.076,0.0,0.0
0.684,0.0,5.072,0.0,0.0
0.696,0.0,5.076,0.01,0.051
0.707,0.0,5.072,0.011,0.056
0.719,0.0,5.076,0.011,0.056
0.73,0.0,5.076,0.01,0.051
0.742,0.0,5.076,0.011,0.056
0.753,0.0,5.076,0.011,0.056
0.764,0.0,5.072,0.011,0.056
0.776,0.0,5.072,0.01,0.051
0.787,0.0,5.076,0.0,0.0
0.798,0.0,5.076,0.011,0.056
0.81,0.0,5.076,0.01,0.051
0.822,0.0,5.076,0.011,0.056
0.833,0.0,5.076,0.0,0.0
0.845,0.0,5.072,0.01,0.051
0.856,0.0,5.076,0.011,0.056
0.867,0.0,5.076,0.01,0.051
0.879,0.0,5.072,0.011,0.056
0.891,0.0,5.076,0.0,0.0
0.902,0.0,5.072,0.01,0.051
0.914,0.0,5.072,0.01,0.051
0.926,0.0,5.072,0.011,0.056
0.936,0.0,5.076,0.01,0.051
0.947,0.0,5.072,0.01,0.051
0.959,0.0,5.076,0.011,0.056
0.969,0.0,5.072,0.0,0.0
0.98,0.0,5.076,0.011,0.056
0.991,0.0,5.076,0.01,0.051
1.003,0.0,5.076,0.0,0.0
1.013,0.0,5.076,0.01,0.051
1.024,0.0,5.076,0.01,0.051
1.036,0.0,5.076,0.01,0.051
1.046,0.0,5.076,0.01,0.051
1.066,0.0,5.072,0.011,0.056
1.078,0.0,5.076,0.01,0.051
1.089,0.0,5.072,0.0,0.0
1.102,0.0,5.076,0.013,0.066
1.113,0.0,5.076,0.013,0.066
1.124,0.0,5.076,0.013,0.066
1.133,0.0,5.072,0.01,0.051
1.144,0.0,5.072,0.01,0.051
1.155,70.0,5.076,0.012,0.061
1.165,70.0,5.076,0.01,0.051
1.176,69.0,5.076,0.01,0.051
1.186,68.0,5.076,0.01,0.051
1.196,67.0,5.076,0.01,0.051
1.206,66.0,5.076,0.01,0.051
1.217,65.0,5.076,0.0,0.0
1.227,64.0,5.076,0.086,0.437
1.237,63.0,5.072,0.101,0.512
1.247,62.0,5.072,0.1,0.507
1.258,61.0,5.072,0.1,0.507
1.268,60.0,5.072,0.099,0.502
1.278,58.0,5.072,0.101,0.512
1.288,57.0,5.068,0.101,0.512
1.299,55.0,5.072,0.099,0.502
1.308,54.0,5.076,0.099,0.503
1.319,52.0,5.072,0.1,0.507
1.33,51.0,5.072,0.1,0.507
1.341,49.0,5.068,0.101,0.512
1.352,47.0,5.072,0.099,0.502
1.365,45.0,5.076,0.101,0.513
1.376,44.0,5.072,0.101,0.512
1.386,42.0,5.072,0.102,0.517
1.398,40.0,5.072,0.076,0.385
1.409,38.0,5.072,0.101,0.512
1.42,35.0,5.072,0.099,0.502
1.43,33.0,5.072,0.101,0.512
1.441,31.0,5.072,0.101,0.512
1.45,29.0,5.072,0.1,0.507
1.461,26.0,5.072,0.102,0.517
1.471,24.0,5.072,0.101,0.512
1.481,21.0,5.072,0.103,0.522
1.491,19.0,5.076,0.102,0.518
1.502,16.0,5.068,0.102,0.517
1.514,14.0,5.068,0.101,0.512
1.53,11.0,5.072,0.101,0.512
1.541,8.0,5.072,0.103,0.522
1.551,5.0,5.072,0.102,0.517
1.561,2.0,5.072,0.057,0.289
1.572,0.0,5.072,0.061,0.309
1.583,0.0,5.072,0.1,0.507
1.593,0.0,9.1,0.132,1.201
1.603,2.0,9.104,0.134,1.22
1.666,4.0,9.096,0.188,1.71
1.677,7.0,9.1,0.199,1.811
1.687,9.0,9.096,0.205,1.865
1.697,11.0,9.1,0.174,1.583
1.707,13.0,9.1,0.206,1.875
1.718,15.0,9.1,0.198,1.802
1.729,17.0,9.096,0.206,1.874
1.74,19.0,9.1,0.205,1.866
1.751,21.0,9.096,0.195,1.774
1.762,23.0,9.1,0.225,2.047
1.773,25.0,9.096,0.229,2.083
1.784,27.0,9.1,0.227,2.066
1.796,29.0,9.096,0.223,2.028
1.806,30.0,9.096,0.214,1.947
1.817,32.0,9.1,0.188,1.711
1.829,34.0,9.096,0.2,1.819
1.84,35.0,9.1,0.172,1.565
1.851,37.0,9.1,0.2,1.82
1.862,38.0,9.1,0.22,2.002
1.873,40.0,9.1,0.213,1.938
1.884,41.0,9.096,0.184,1.674
1.895,42.0,9.1,0.233,2.12
1.907,44.0,9.1,0.203,1.847
1.918,45.0,9.096,0.174,1.583
1.928,46.0,9.096,0.205,1.865
1.939,47.0,9.096,0.215,1.956
1.949,48.0,9.096,0.178,1.619
1.959,49.0,9.1,0.242,2.202
1.969,50.0,9.1,0.216,1.966
1.98,51.0,9.096,0.236,2.147
1.99,52.0,9.096,0.243,2.21
2.0,53.0,9.096,0.186,1.692
2.01,54.0,9.096,0.236,2.147
2.021,54.0,9.096,0.214,1.947
2.032,55.0,9.096,0.185,1.683
2.043,56.0,9.1,0.239,2.175
2.055,56.0,9.096,0.218,1.983
2.065,57.0,9.096,0.186,1.692
2.076,57.0,9.096,0.229,2.083
2.088,58.0,9.096,0.251,2.283
2.099,58.0,9.096,0.209,1.901
2.11,59.0,9.096,0.252,2.292
2.121,59.0,9.096,0.233,2.119
2.132,59.0,9.1,0.228,2.075
2.143,59.0,9.096,0.25,2.274
2.155,60.0,9.096,0.239,2.174
2.166,60.0,9.096,0.226,2.056
2.176,60.0,9.096,0.253,2.301
2.188,60.0,9.096,0.252,2.292
2.199,60.0,9.096,0.226,2.056
2.21,60.0,9.096,0.25,2.274
2.221,60.0,9.096,0.229,2.083
2.232,59.0,9.1,0.206,1.875
2.243,59.0,9.096,0.253,2.301
2.254,59.0,9.096,0.25,2.274
2.266,59.0,9.092,0.296,2.691
2.277,58.0,9.096,0.318,2.893
2.288,58.0,9.092,0.346,3.146
2.3,57.0,9.096,0.37,3.366
2.312,57.0,9.092,0.389,3.537
2.322,56.0,9.092,0.413,3.755
2.333,56.0,9.092,0.438,3.982
2.344,55.0,9.092,0.463,4.21
2.355,54.0,9.088,0.487,4.426
2.365,54.0,9.088,0.512,4.653
2.376,53.0,9.092,0.538,4.891
2.386,52.0,9.088,0.56,5.089
2.397,51.0,9.084,0.583,5.296
2.408,50.0,9.084,0.609,5.532
2.418,49.0,9.084,0.632,5.741
2.429,48.0,9.084,0.657,5.968
2.441,47.0,9.084,0.683,6.204
2.453,46.0,9.084,0.706,6.413
2.464,45.0,9.084,0.732,6.649
2.476,43.0,9.084,0.755,6.858
2.488,42.0,9.08,0.778,7.064
2.499,41.0,9.08,0.805,7.309
2.51,39.0,9.08,0.83,7.536
2.523,38.0,9.08,0.854,7.754
2.534,37.0,9.076,0.879,7.978
2.545,35.0,9.076,0.904,8.205
2.557,33.0,9.08,0.929,8.435
2.568,32.0,9.076,0.955,8.668
2.579,30.0,9.072,0.979,8.881
2.592,28.0,9.076,1.017,9.23
2.603,27.0,9.072,1.056,9.58
2.614,25.0,9.076,1.079,9.793
2.626,23.0,9.072,1.106,10.034
2.638,21.0,9.068,1.131,10.256
2.649,19.0,9.072,1.157,10.496
2.661,17.0,9.068,1.184,10.737
2.673,15.0,9.068,1.209,10.963
2.684,13.0,9.064,1.233,11.176
2.695,11.0,9.064,1.259,11.412
2.707,8.0,9.064,1.285,11.647
2.718,6.0,9.068,1.31,11.879
2.729,4.0,9.064,1.335,12.1
2.741,2.0,9.064,1.361,12.336
