Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.427,0.0,5.076,0.011,0.056
0.437,0.0,5.076,0.0,0.0
0.448,0.0,5.072,0.011,0.056
0.459,0.0,5.076,0.01,0.051
0.469,0.0,5.076,0.01,0.051
0.48,0.0,5.076,0.01,0.051
0.491,0.0,5.072,0.01,0.051
0.502,0.0,5.076,0.01,0.051
0.513,0.0,5.072,0.011,0.056
0.524,0.0,5.076,0.0,0.0
0.535,0.0,5.076,0.011,0.056
0.546,0.0,5.076,0.011,0.056
0.556,0.0,5.076,0.01,0.051
0.565,0.0,5.076,0.01,0.051
0.576,0.0,5.072,0.0,0.0
0.586,0.0,5.072,0.011,0.056
0.596,0.0,5.072,0.011,0.056
0.607,0.0,5.072,0.01,0.051
0.617,0.0,5.076,0.011,0.056
0.627,0.0,5.076,0.011,0.056
0.637,0.0,5.072,0.012,0.061
0.647,0.0,5.076,0.01,0.051
0.658,0.0,5.072,0.011,0.056
0.668,0.0,5.076,0.012,0.061
0.679,0.0,5.072,0.01,0.051
0.691,0.0,5.076,0.011,0.056
0.702,0.0,5.076,0.011,0.056
0.713,0.0,5.076,0.0,0.0
0.724,0.0,5.076,0.01,0.051
0.735,0.0,5.076,0.01,0.051
0.746,0.0,5.072,0.01,0.051
0.757,0.0,5.076,0.01,0.051
0.768,0.0,5.076,0.0,0.0
0.779,0.0,5.072,0.01,0.051
0.79,0.0,5.076,0.011,0.056
0.801,0.0,5.076,0.012,0.061
0.812,0.0,5.076,0.01,0.051
0.823,0.0,5.076,0.0,0.0
0.834,0.0,5.076,0.01,0.051
0.845,0.0,5.076,0.0,0.0
0.856,0.0,5.072,0.01,0.051
0.867,0.0,5.076,0.0,0.0
0.878,0.0,5.076,0.011,0.056
0.889,0.0,5.072,0.01,0.051
0.9,0.0,5.076,0.011,0.056
0.911,0.0,5.072,0.01,0.051
0.926,0.0,5.076,0.011,0.056
0.937,0.0,5.072,0.011,0.056
0.948,0.0,5.072,0.01,0.051
0.959,0.0,5.076,0.01,0.051
0.97,0.0,5.072,0.01,0.051
0.98,0.0,5.076,0.011,0.056
0.992,0.0,5.072,0.01,0.051
1.004,0.0,5.076,0.0,0.0
1.015,0.0,5.072,0.0,0.0
1.026,0.0,5.076,0.01,0.051
1.037,0.0,5.072,0.015,0.076
1.048,0.0,5.072,0.013,0.066
1.059,0.0,5.076,0.013,0.066
1.071,0.0,5.072,0.015,0.076
1.082,0.0,5.076,0.01,0.051
1.093,0.0,5.072,0.0,0.0
1.106,0.0,5.076,0.011,0.056
1.117,0.0,5.076,0.011,0.056
1.129,0.0,5.072,0.01,0.051
1.14,0.0,5.072,0.011,0.056
1.151,0.0,5.076,0.012,0.061
1.159,64.0,5.076,0.011,0.056
1.167,63.0,5.072,0.102,0.517
1.175,62.0,5.072,0.1,0.507
1.184,61.0,5.072,0.101,0.512
1.192,59.0,5.072,0.1,0.507
1.201,58.0,5.072,0.1,0.507
1.21,57.0,5.072,0.101,0.512
1.218,55.0,5.072,0.101,0.512
1.227,54.0,5.072,0.101,0.512
1.235,52.0,5.072,0.101,0.512
1.244,51.0,5.068,0.101,0.512
1.252,49.0,5.072,0.101,0.512
1.26,47.0,5.072,0.101,0.512
1.268,45.0,5.072,0.1,0.507
1.277,43.0,5.072,0.102,0.517
1.285,41.0,5.072,0.102,0.517
1.293,39.0,5.068,0.102,0.517
1.302,37.0,5.072,0.102,0.517
1.311,35.0,5.072,0.102,0.517
1.319,33.0,5.068,0.104,0.527
1.328,31.0,5.072,0.056,0.284
1.336,29.0,5.072,0.08,0.406
1.344,26.0,5.076,0.1,0.508
1.353,24.0,5.072,0.103,0.522
1.361,21.0,5.072,0.103,0.522
1.369,19.0,5.072,0.103,0.522
1.377,16.0,5.072,0.103,0.522
1.386,14.0,5.072,0.104,0.527
1.394,11.0,5.072,0.104,0.527
1.402,8.0,5.072,0.103,0.522
1.41,5.0,5.072,0.101,0.512
