Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.553,0.0,5.076,0.0,0.0
0.564,0.0,5.076,0.012,0.061
0.621,0.0,5.072,0.011,0.056
0.632,0.0,5.076,0.01,0.051
0.64,0.0,5.076,0.01,0.051
0.648,0.0,5.076,0.01,0.051
0.656,0.0,5.076,0.012,0.061
0.665,0.0,5.072,0.01,0.051
0.673,0.0,5.072,0.0,0.0
0.681,0.0,5.076,0.011,0.056
0.689,0.0,5.072,0.01,0.051
0.698,0.0,5.072,0.011,0.056
0.706,0.0,5.072,0.0,0.0
0.714,0.0,5.076,0.011,0.056
0.722,0.0,5.072,0.0,0.0
0.73,0.0,5.076,0.011,0.056
0.738,0.0,5.076,0.011,0.056
0.747,0.0,5.072,0.011,0.056
0.755,0.0,5.076,0.011,0.056
0.764,0.0,5.072,0.011,0.056
0.772,0.0,5.076,0.01,0.051
0.781,0.0,5.076,0.012,0.061
0.789,0.0,5.076,0.01,0.051
0.797,0.0,5.076,0.01,0.051
0.806,0.0,5.072,0.0,0.0
0.814,0.0,5.072,0.01,0.051
0.823,0.0,5.072,0.012,0.061
0.831,0.0,5.076,0.01,0.051
0.839,0.0,5.072,0.011,0.056
0.847,0.0,5.072,0.01,0.051
0.855,0.0,5.076,0.01,0.051
0.864,0.0,5.072,0.011,0.056
0.873,0.0,5.072,0.0,0.0
0.881,0.0,5.076,0.01,0.051
0.889,0.0,5.072,0.011,0.056
0.897,0.0,5.076,0.01,0.051
0.905,0.0,5.072,0.011,0.056
0.913,0.0,5.076,0.01,0.051
0.922,0.0,5.076,0.011,0.056
0.93,0.0,5.076,0.01,0.051
0.939,0.0,5.072,0.011,0.056
0.947,0.0,5.076,0.011,0.056
0.956,0.0,5.076,0.01,0.051
0.964,0.0,5.076,0.01,0.051
0.973,0.0,5.08,0.013,0.066
0.981,0.0,5.076,0.01,0.051
0.989,0.0,5.076,0.011,0.056
0.998,0.0,5.076,0.0,0.0
1.007,0.0,5.076,0.011,0.056
1.015,0.0,5.072,0.011,0.056
1.025,74.0,5.076,0.011,0.056
1.033,74.0,5.072,0.0,0.0
1.041,74.0,5.072,0.01,0.051
1.049,73.0,5.072,0.011,0.056
1.057,73.0,5.076,0.01,0.051
1.066,73.0,5.076,0.011,0.056
1.074,72.0,5.076,0.011,0.056
1.082,72.0,5.076,0.0,0.0
1.091,71.0,5.072,0.01,0.051
1.099,71.0,5.076,0.01,0.051
1.107,70.0,5.072,0.011,0.056
1.115,70.0,5.076,0.01,0.051
1.124,69.0,5.072,0.01,0.051
1.132,68.0,5.076,0.012,0.061
1.141,67.0,5.076,0.0,0.0
1.149,66.0,5.076,0.0,0.0
1.157,65.0,5.076,0.011,0.056
1.166,64.0,5.072,0.011,0.056
1.174,63.0,5.076,0.01,0.051
1.183,62.0,5.076,0.01,0.051
1.191,61.0,5.076,0.011,0.056
1.199,59.0,5.076,0.011,0.056
1.208,58.0,5.076,0.014,0.071
1.217,57.0,5.076,0.013,0.066
1.226,55.0,5.072,0.013,0.066
1.234,54.0,5.076,0.013,0.066
1.242,52.0,5.076,0.013,0.066
1.251,51.0,5.076,0.0,0.0
1.259,49.0,5.076,0.01,0.051
1.267,47.0,5.076,0.01,0.051
1.276,45.0,5.076,0.01,0.051
1.284,43.0,5.076,0.0,0.0
1.292,41.0,5.072,0.01,0.051
1.301,39.0,5.076,0.011,0.056
1.31,37.0,5.076,0.01,0.051
1.318,35.0,5.076,0.011,0.056
1.327,33.0,5.072,0.01,0.051
1.335,31.0,5.072,0.011,0.056
1.347,29.0,5.072,0.101,0.512
1.358,26.0,5.072,0.102,0.517
1.369,24.0,5.072,0.102,0.517
1.38,21.0,5.068,0.101,0.512
1.392,19.0,5.072,0.102,0.517
1.403,16.0,5.072,0.101,0.512
1.414,14.0,5.072,0.101,0.512
1.425,11.0,5.072,0.103,0.522
1.436,8.0,5.072,0.102,0.517
1.446,5.0,5.072,0.102,0.517
1.456,2.0,5.072,0.104,0.527
1.466,0.0,5.072,0.1,0.507
1.477,0.0,5.072,0.102,0.517
1.487,0.0,5.072,0.101,0.512
1.497,0.0,5.068,0.101,0.512
1.507,0.0,5.072,0.058,0.294
1.518,0.0,5.072,0.081,0.411
1.528,0.0,5.072,0.101,0.512
1.539,0.0,5.068,0.101,0.512
1.551,0.0,5.072,0.102,0.517
1.562,0.0,5.072,0.102,0.517
1.574,0.0,5.072,0.102,0.517
1.585,0.0,5.072,0.103,0.522
1.596,0.0,5.068,0.101,0.512
1.608,0.0,5.072,0.103,0.522
1.62,0.0,5.072,0.101,0.512
1.632,0.0,5.072,0.101,0.512
1.643,0.0,5.072,0.101,0.512
1.654,0.0,5.072,0.102,0.517
1.665,0.0,5.068,0.101,0.512
1.677,0.0,5.072,0.102,0.517
1.689,0.0,5.072,0.071,0.36
1.701,0.0,5.076,0.079,0.401
1.712,0.0,5.072,0.1,0.507
1.724,0.0,9.1,0.134,1.219
1.736,2.0,9.1,0.038,0.346
1.744,4.0,9.1,0.161,1.465
1.799,6.0,9.096,0.251,2.283
1.808,9.0,9.096,0.251,2.283
1.816,11.0,9.096,0.249,2.265
1.825,13.0,9.096,0.218,1.983
1.833,15.0,9.1,0.252,2.293
1.842,17.0,9.096,0.229,2.083
1.85,19.0,9.096,0.252,2.292
1.859,21.0,9.096,0.199,1.81
1.867,23.0,9.1,0.224,2.038
1.876,25.0,9.096,0.23,2.092
1.885,27.0,9.096,0.231,2.101
1.893,29.0,9.096,0.222,2.019
1.902,30.0,9.096,0.25,2.274
1.91,32.0,9.096,0.2,1.819
1.919,34.0,9.096,0.233,2.119
1.928,35.0,9.096,0.217,1.974
1.936,37.0,9.1,0.243,2.211
1.945,38.0,9.096,0.25,2.274
1.954,40.0,9.096,0.249,2.265
1.962,41.0,9.096,0.228,2.074
1.971,42.0,9.096,0.228,2.074
1.981,44.0,9.096,0.252,2.292
1.989,45.0,9.096,0.171,1.555
1.998,46.0,9.096,0.234,2.128
2.006,47.0,9.096,0.19,1.728
