Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.395,0.0,5.076,0.034,0.173
0.405,0.0,5.076,0.034,0.173
0.414,0.0,5.076,0.033,0.168
0.423,0.0,5.076,0.035,0.178
0.432,0.0,5.072,0.033,0.167
0.44,0.0,5.076,0.034,0.173
0.449,0.0,5.076,0.034,0.173
0.457,0.0,5.076,0.033,0.168
0.466,0.0,5.076,0.033,0.168
0.475,0.0,5.076,0.032,0.162
0.484,0.0,5.08,0.033,0.168
0.492,0.0,5.072,0.033,0.167
0.5,0.0,5.072,0.034,0.172
0.508,0.0,5.072,0.035,0.178
0.516,0.0,5.076,0.034,0.173
0.525,0.0,5.076,0.033,0.168
0.534,0.0,20.252,0.149,3.018
0.543,0.0,20.252,0.151,3.058
0.599,0.0,20.252,0.147,2.977
0.608,0.0,20.256,0.147,2.978
0.616,0.0,20.252,0.146,2.957
0.624,0.0,20.252,0.146,2.957
0.632,0.0,20.252,0.145,2.937
0.641,0.0,20.252,0.145,2.937
0.649,0.0,20.252,0.146,2.957
0.658,0.0,20.252,0.145,2.937
0.667,0.0,20.248,0.143,2.895
0.676,0.0,20.252,0.146,2.957
0.685,0.0,20.252,0.144,2.916
0.693,0.0,20.248,0.143,2.895
0.701,0.0,20.252,0.143,2.896
0.71,0.0,20.252,0.143,2.896
0.718,0.0,20.252,0.143,2.896
0.728,0.0,20.252,0.143,2.896
0.737,0.0,20.252,0.142,2.876
0.745,0.0,20.248,0.142,2.875
0.753,0.0,20.252,0.142,2.876
0.761,0.0,20.252,0.143,2.896
0.77,0.0,20.252,0.142,2.876
0.777,0.0,20.252,0.143,2.896
0.787,0.0,20.252,0.143,2.896
0.796,0.0,20.252,0.141,2.856
0.805,0.0,20.252,0.142,2.876
0.814,0.0,20.252,0.142,2.876
0.822,0.0,20.252,0.143,2.896
0.83,0.0,20.248,0.141,2.855
0.839,0.0,20.252,0.141,2.856
0.848,0.0,20.252,0.14,2.835
0.857,0.0,20.252,0.141,2.856
0.866,0.0,20.248,0.141,2.855
0.874,0.0,20.248,0.14,2.835
0.882,0.0,20.252,0.14,2.835
0.891,0.0,20.252,0.139,2.815
0.899,0.0,20.252,0.141,2.856
0.907,0.0,20.252,0.14,2.835
0.916,0.0,20.252,0.14,2.835
0.925,0.0,20.248,0.141,2.855
0.934,0.0,20.248,0.139,2.814
0.943,0.0,20.252,0.138,2.795
0.951,0.0,20.248,0.14,2.835
0.959,0.0,20.248,0.14,2.835
0.968,0.0,20.248,0.141,2.855
0.976,0.0,20.244,0.087,1.761
0.986,0.0,20.244,0.062,1.255
0.994,0.0,20.24,0.059,1.194
1.002,0.0,20.24,0.057,1.154
1.011,0.0,20.24,0.057,1.154
1.02,0.0,20.24,0.057,1.154
1.028,0.0,20.24,0.057,1.154
1.036,289.0,20.24,0.057,1.154
1.044,287.0,20.24,0.057,1.154
1.054,285.0,20.24,0.055,1.113
1.063,282.0,20.24,0.056,1.133
1.072,280.0,20.24,0.055,1.113
1.08,277.0,20.244,0.056,1.134
1.088,274.0,20.24,0.056,1.133
1.097,271.0,20.24,0.055,1.113
1.106,267.0,20.24,0.057,1.154
1.115,263.0,20.24,0.056,1.133
1.124,259.0,20.24,0.055,1.113
1.133,255.0,20.24,0.056,1.133
1.142,250.0,20.24,0.055,1.113
1.15,246.0,20.244,0.055,1.113
1.159,241.0,20.24,0.056,1.133
1.167,235.0,20.24,0.055,1.113
1.176,230.0,20.244,0.055,1.113
1.185,224.0,20.24,0.056,1.133
1.194,218.0,20.24,0.056,1.133
1.203,212.0,20.24,0.056,1.133
1.212,206.0,20.24,0.055,1.113
1.221,199.0,20.24,0.054,1.093
1.229,192.0,20.24,0.057,1.154
1.237,185.0,20.24,0.057,1.154
1.247,177.0,20.24,0.054,1.093
1.256,170.0,20.244,0.056,1.134
1.265,162.0,20.24,0.057,1.154
1.273,154.0,20.24,0.056,1.133
1.282,145.0,20.24,0.056,1.133
1.29,137.0,20.248,0.054,1.093
1.299,128.0,20.24,0.056,1.133
1.308,122.0,20.24,0.055,1.113
1.317,115.0,20.244,0.056,1.134
1.326,109.0,20.24,0.057,1.154
1.335,102.0,20.244,0.055,1.113
1.344,96.0,20.244,0.054,1.093
1.352,88.0,20.24,0.056,1.133
1.361,81.0,20.244,0.055,1.113
1.369,74.0,20.244,0.055,1.113
1.379,66.0,20.244,0.056,1.134
1.388,59.0,20.244,0.056,1.134
1.396,51.0,20.18,2.25,45.405
1.405,43.0,20.176,2.256,45.517
1.414,34.0,20.176,2.255,45.497
1.422,26.0,20.176,2.255,45.497
1.43,17.0,20.176,2.256,45.517
1.44,8.0,20.18,2.255,45.506
