Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.251,0.0,5.072,0.01,0.051
0.263,0.0,5.076,0.011,0.056
0.274,0.0,5.076,0.01,0.051
0.286,0.0,5.076,0.01,0.051
0.298,0.0,5.076,0.01,0.051
0.31,0.0,5.076,0.01,0.051
0.322,0.0,5.076,0.01,0.051
0.334,0.0,5.076,0.01,0.051
0.345,0.0,5.076,0.01,0.051
0.357,0.0,5.072,0.0,0.0
0.369,0.0,5.072,0.011,0.056
0.381,0.0,5.076,0.011,0.056
0.393,0.0,5.072,0.01,0.051
0.405,0.0,5.072,0.0,0.0
0.417,0.0,5.076,0.0,0.0
0.428,0.0,5.076,0.01,0.051
0.44,0.0,5.076,0.0,0.0
0.451,0.0,5.076,0.0,0.0
0.463,0.0,5.076,0.0,0.0
0.474,0.0,5.076,0.01,0.051
0.486,0.0,5.076,0.0,0.0
0.498,0.0,5.072,0.011,0.056
0.51,0.0,5.076,0.01,0.051
0.522,0.0,5.072,0.011,0.056
0.534,0.0,5.072,0.0,0.0
0.545,0.0,5.076,0.011,0.056
0.557,0.0,5.076,0.0,0.0
0.569,0.0,5.076,0.0,0.0
0.581,0.0,5.072,0.01,0.051
0.593,0.0,5.076,0.0,0.0
0.605,0.0,5.076,0.01,0.051
0.617,0.0,5.072,0.0,0.0
0.629,0.0,5.076,0.011,0.056
0.641,0.0,5.076,0.0,0.0
0.652,0.0,5.08,0.011,0.056
0.663,0.0,5.072,0.01,0.051
0.674,0.0,5.076,0.01,0.051
0.684,0.0,5.076,0.01,0.051
0.695,0.0,5.072,0.0,0.0
0.706,0.0,5.076,0.0,0.0
0.717,0.0,5.072,0.01,0.051
0.728,0.0,5.072,0.0,0.0
0.739,0.0,5.076,0.01,0.051
0.75,0.0,5.076,0.0,0.0
0.761,0.0,5.072,0.0,0.0
0.772,0.0,5.072,0.011,0.056
0.783,0.0,5.076,0.01,0.051
0.793,0.0,5.076,0.011,0.056
0.804,0.0,5.072,0.0,0.0
0.815,0.0,5.072,0.011,0.056
0.826,0.0,5.076,0.011,0.056
0.837,0.0,5.076,0.011,0.056
0.848,0.0,5.072,0.011,0.056
0.858,0.0,5.072,0.01,0.051
0.869,0.0,5.072,0.01,0.051
0.879,0.0,5.072,0.01,0.051
0.89,0.0,5.076,0.01,0.051
0.901,0.0,5.076,0.01,0.051
0.912,0.0,5.076,0.011,0.056
0.923,0.0,5.076,0.011,0.056
0.934,0.0,5.08,0.01,0.051
0.945,0.0,5.076,0.01,0.051
0.956,0.0,5.076,0.0,0.0
0.966,0.0,5.076,0.0,0.0
0.977,0.0,5.076,0.01,0.051
0.988,0.0,5.076,0.01,0.051
0.998,0.0,5.072,0.0,0.0
1.009,0.0,5.076,0.0,0.0
1.019,0.0,5.072,0.069,0.35
1.03,0.0,5.072,0.069,0.35
1.04,0.0,5.072,0.069,0.35
1.05,0.0,5.072,0.09,0.456
1.061,0.0,5.072,0.09,0.456
1.128,0.0,5.068,0.136,0.689
1.138,0.0,5.068,0.136,0.689
1.15,0.0,5.072,0.161,0.817
1.161,0.0,5.068,0.161,0.816
1.172,0.0,5.068,0.16,0.811
1.184,0.0,5.068,0.183,0.927
1.196,0.0,5.068,0.185,0.938
1.207,0.0,5.068,0.185,0.938
1.219,0.0,5.064,0.208,1.053
1.23,0.0,5.068,0.208,1.054
1.242,0.0,5.064,0.207,1.048
1.252,0.0,5.068,0.23,1.166
1.263,0.0,5.064,0.23,1.165
1.273,0.0,5.068,0.23,1.166
1.284,0.0,5.064,0.252,1.276
1.295,0.0,5.068,0.254,1.287
1.306,0.0,5.064,0.253,1.281
1.317,0.0,5.068,0.278,1.409
1.328,0.0,5.068,0.275,1.394
1.338,0.0,5.064,0.276,1.398
1.349,16.0,5.064,0.3,1.519
1.36,14.0,5.068,0.3,1.52
1.37,11.0,5.068,0.3,1.52
1.381,8.0,5.068,0.326,1.652
1.391,5.0,5.064,0.324,1.641
1.401,2.0,5.064,0.325,1.646
