Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.243,0.0,5.072,0.0,0.0
0.251,0.0,5.076,0.01,0.051
0.259,0.0,5.076,0.01,0.051
0.267,0.0,5.076,0.01,0.051
0.275,0.0,5.076,0.0,0.0
0.283,0.0,5.072,0.01,0.051
0.291,0.0,5.076,0.0,0.0
0.298,0.0,5.076,0.0,0.0
0.306,0.0,5.072,0.0,0.0
0.315,0.0,5.072,0.01,0.051
0.322,0.0,5.072,0.0,0.0
0.33,0.0,5.076,0.0,0.0
0.343,0.0,5.076,0.01,0.051
0.352,0.0,5.076,0.011,0.056
0.361,0.0,5.072,0.01,0.051
0.374,0.0,5.076,0.0,0.0
0.383,0.0,5.072,0.011,0.056
0.39,0.0,5.076,0.01,0.051
0.398,0.0,5.076,0.0,0.0
0.406,0.0,5.072,0.0,0.0
0.414,0.0,5.076,0.0,0.0
0.422,0.0,5.072,0.01,0.051
0.43,0.0,5.076,0.0,0.0
0.438,0.0,5.072,0.0,0.0
0.446,0.0,5.072,0.011,0.056
0.454,0.0,5.076,0.011,0.056
0.461,0.0,5.076,0.0,0.0
0.469,0.0,5.072,0.0,0.0
0.478,0.0,5.076,0.0,0.0
0.485,0.0,5.072,0.0,0.0
0.493,0.0,5.072,0.011,0.056
0.501,0.0,5.072,0.01,0.051
0.509,0.0,5.076,0.01,0.051
0.517,0.0,5.072,0.0,0.0
0.524,0.0,5.072,0.01,0.051
0.532,0.0,5.076,0.01,0.051
0.541,0.0,5.076,0.0,0.0
0.549,0.0,5.076,0.01,0.051
0.556,0.0,5.076,0.011,0.056
0.564,0.0,5.072,0.0,0.0
0.572,0.0,5.072,0.0,0.0
0.58,0.0,5.076,0.0,0.0
0.588,0.0,5.076,0.011,0.056
0.595,0.0,5.076,0.01,0.051
0.604,0.0,5.072,0.0,0.0
0.612,0.0,5.072,0.01,0.051
0.619,0.0,5.076,0.01,0.051
0.627,0.0,5.072,0.01,0.051
0.636,0.0,5.072,0.011,0.056
0.644,0.0,5.076,0.01,0.051
0.651,0.0,5.076,0.01,0.051
0.659,0.0,5.072,0.01,0.051
0.667,0.0,5.076,0.0,0.0
0.676,0.0,5.072,0.01,0.051
0.683,0.0,5.076,0.01,0.051
0.691,0.0,5.076,0.0,0.0
0.699,0.0,5.072,0.0,0.0
0.707,0.0,5.076,0.0,0.0
0.715,0.0,5.076,0.01,0.051
0.723,0.0,5.076,0.01,0.051
0.731,0.0,5.076,0.01,0.051
0.739,0.0,5.076,0.01,0.051
0.747,0.0,5.072,0.0,0.0
0.754,0.0,5.072,0.01,0.051
0.763,0.0,5.076,0.01,0.051
0.771,0.0,5.076,0.01,0.051
0.779,0.0,5.076,0.0,0.0
0.786,0.0,5.076,0.01,0.051
0.794,0.0,5.072,0.01,0.051
0.803,0.0,5.072,0.0,0.0
0.81,0.0,5.072,0.01,0.051
0.818,0.0,5.076,0.011,0.056
0.826,0.0,5.076,0.0,0.0
0.834,0.0,5.076,0.01,0.051
0.842,0.0,5.072,0.011,0.056
0.85,0.0,5.072,0.011,0.056
0.857,0.0,5.076,0.011,0.056
0.866,0.0,5.076,0.01,0.051
0.874,0.0,5.076,0.01,0.051
0.881,0.0,5.076,0.01,0.051
0.889,0.0,5.076,0.0,0.0
0.897,0.0,5.076,0.01,0.051
0.905,0.0,5.076,0.01,0.051
0.913,0.0,5.072,0.0,0.0
0.921,0.0,5.076,0.01,0.051
0.929,0.0,5.076,0.01,0.051
0.94,0.0,5.076,0.01,0.051
0.95,0.0,5.076,0.011,0.056
0.96,0.0,5.076,0.01,0.051
0.971,0.0,5.076,0.0,0.0
0.982,0.0,5.076,0.0,0.0
0.992,22.0,5.076,0.0,0.0
1.003,19.0,5.076,0.0,0.0
1.014,16.0,5.072,0.0,0.0
1.024,14.0,5.072,0.067,0.34
1.035,11.0,5.076,0.067,0.34
1.046,8.0,5.072,0.068,0.345
1.056,5.0,5.076,0.092,0.467
1.067,2.0,5.072,0.091,0.462
