Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.189,0.0,5.076,0.0,0.0
0.199,0.0,5.076,0.0,0.0
0.21,0.0,5.08,0.0,0.0
0.221,0.0,5.076,0.01,0.051
0.23,0.0,5.076,0.01,0.051
0.238,0.0,5.076,0.0,0.0
0.247,0.0,5.076,0.0,0.0
0.255,0.0,5.076,0.011,0.056
0.262,0.0,5.076,0.0,0.0
0.271,0.0,5.076,0.01,0.051
0.284,0.0,5.08,0.01,0.051
0.305,0.0,5.076,0.0,0.0
0.323,0.0,5.076,0.0,0.0
0.335,0.0,5.076,0.0,0.0
0.344,0.0,5.076,0.0,0.0
0.352,0.0,5.08,0.0,0.0
0.36,0.0,5.08,0.0,0.0
0.368,0.0,5.076,0.0,0.0
0.376,0.0,5.076,0.0,0.0
0.384,0.0,5.076,0.0,0.0
0.392,0.0,5.076,0.0,0.0
0.4,0.0,5.052,1.502,7.588
0.408,0.0,20.216,1.046,21.146
0.416,0.0,20.216,1.04,21.025
0.424,0.0,20.216,1.039,21.004
0.432,0.0,20.216,1.039,21.004
0.441,0.0,20.216,1.063,21.49
0.449,0.0,20.22,1.064,21.514
0.506,0.0,20.216,1.063,21.49
0.513,0.0,20.216,1.063,21.49
0.521,0.0,20.216,1.066,21.55
0.529,0.0,20.216,1.065,21.53
0.538,0.0,20.216,1.064,21.51
0.546,0.0,20.216,1.064,21.51
0.553,0.0,20.216,1.06,21.429
0.561,0.0,20.216,1.065,21.53
0.57,0.0,20.216,1.064,21.51
0.578,0.0,20.216,1.064,21.51
0.585,0.0,20.216,1.064,21.51
0.593,0.0,20.216,1.061,21.449
0.602,0.0,20.216,1.063,21.49
0.61,0.0,20.216,1.063,21.49
0.618,0.0,20.216,1.063,21.49
0.626,0.0,20.212,1.065,21.526
0.634,0.0,20.216,1.088,21.995
0.642,0.0,20.212,1.086,21.95
0.65,0.0,20.212,1.086,21.95
0.658,0.0,20.216,1.089,22.015
0.666,0.0,20.212,1.088,21.991
0.674,0.0,20.216,1.089,22.015
0.682,0.0,20.216,1.09,22.035
0.69,0.0,20.216,1.089,22.015
0.699,0.0,20.216,1.088,21.995
0.706,0.0,20.212,1.089,22.011
0.714,0.0,20.216,1.089,22.015
0.722,0.0,20.216,1.087,21.975
0.73,0.0,20.216,1.089,22.015
0.738,0.0,20.216,1.088,21.995
0.746,0.0,20.212,1.089,22.011
0.754,0.0,20.216,1.086,21.955
0.763,0.0,20.212,1.091,22.051
0.771,0.0,20.216,1.088,21.995
0.778,0.0,20.212,1.089,22.011
0.786,0.0,20.216,1.09,22.035
0.795,0.0,20.212,1.088,21.991
0.803,0.0,20.22,1.089,22.02
0.81,0.0,20.216,1.089,22.015
0.818,0.0,20.216,1.088,21.995
0.827,0.0,20.216,1.111,22.46
0.835,0.0,20.216,1.113,22.5
0.842,0.0,20.212,1.112,22.476
0.85,0.0,20.212,1.11,22.435
0.859,0.0,20.216,1.113,22.5
0.867,0.0,20.216,1.113,22.5
0.875,0.0,20.216,1.111,22.46
0.883,0.0,20.212,1.113,22.496
0.892,0.0,20.216,1.113,22.5
0.899,0.0,20.216,1.109,22.42
0.907,0.0,20.216,1.112,22.48
0.915,0.0,20.216,1.112,22.48
0.924,0.0,20.216,1.112,22.48
0.932,0.0,20.212,1.111,22.456
0.943,0.0,20.216,1.111,22.46
0.954,0.0,20.212,1.112,22.476
0.965,0.0,20.212,1.114,22.516
0.975,0.0,20.216,1.112,22.48
0.986,0.0,20.216,1.113,22.5
0.997,0.0,20.212,1.111,22.456
1.008,0.0,20.216,1.111,22.46
1.018,0.0,20.216,1.114,22.521
1.029,0.0,20.216,1.135,22.945
1.04,0.0,20.212,1.136,22.961
1.05,210.0,20.212,1.135,22.941
1.062,203.0,20.216,1.134,22.925
1.073,197.0,20.216,1.134,22.925
1.083,190.0,20.212,1.134,22.92
1.095,183.0,20.212,1.137,22.981
1.105,176.0,20.216,1.134,22.925
1.116,168.0,20.216,1.136,22.965
1.127,160.0,20.216,1.133,22.905
1.137,155.0,20.216,1.136,22.965
1.147,150.0,20.216,1.135,22.945
1.157,145.0,20.212,1.133,22.9
1.167,139.0,20.216,1.136,22.965
1.177,134.0,20.212,1.132,22.88
1.187,128.0,20.216,1.132,22.885
1.197,122.0,20.212,1.135,22.941
1.207,115.0,20.216,1.132,22.885
1.217,109.0,20.216,1.158,23.41
1.227,102.0,20.212,1.157,23.385
1.237,95.0,20.216,1.156,23.37
1.248,88.0,20.216,1.157,23.39
1.259,81.0,20.216,1.156,23.37
1.27,74.0,20.216,1.158,23.41
1.28,66.0,20.212,1.157,23.385
1.292,59.0,20.216,1.157,23.39
1.302,51.0,20.212,1.159,23.426
1.313,43.0,20.216,1.157,23.39
1.324,34.0,20.216,1.158,23.41
1.334,26.0,20.212,1.158,23.405
1.345,17.0,20.212,1.157,23.385
1.357,8.0,20.212,1.158,23.405
