Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
4.153,-21.0,5.072,0.01,0.051
4.165,-20.0,5.072,0.0,0.0
4.176,-18.0,5.072,0.01,0.051
4.187,-16.0,5.076,0.01,0.051
4.245,-15.0,0.112,0.0,0.0
4.256,-15.0,0.112,0.0,0.0
4.268,-15.0,0.112,0.0,0.0
4.279,-15.0,0.112,0.0,0.0
4.29,-15.0,0.112,0.0,0.0
4.302,-15.0,0.112,0.0,0.0
4.314,-15.0,0.112,0.0,0.0
4.324,-15.0,0.112,0.0,0.0
4.336,-15.0,0.112,0.0,0.0
4.348,-15.0,0.112,0.0,0.0
4.359,-15.0,0.116,0.0,0.0
4.371,-15.0,0.112,0.0,0.0
4.383,-15.0,0.112,0.0,0.0
4.394,-15.0,0.116,0.0,0.0
4.405,-15.0,0.112,0.0,0.0
4.417,-15.0,0.112,0.0,0.0
4.428,-15.0,0.108,0.0,0.0
4.439,-15.0,0.112,0.0,0.0
4.451,-15.0,0.112,0.0,0.0
4.466,-15.0,0.116,0.0,0.0
4.477,-15.0,0.112,0.0,0.0
4.489,-15.0,0.112,0.0,0.0
4.5,-15.0,0.112,0.0,0.0
4.512,-15.0,0.116,0.0,0.0
4.524,-15.0,0.112,0.0,0.0
4.537,-15.0,0.112,0.0,0.0
4.548,-15.0,0.112,0.0,0.0
4.56,-15.0,0.116,0.0,0.0
4.571,-15.0,0.112,0.0,0.0
4.582,-15.0,0.116,0.0,0.0
4.594,-15.0,0.112,0.0,0.0
4.606,-15.0,0.224,0.287,0.064
4.658,-15.0,5.076,0.01,0.051
4.67,-34.0,5.076,0.01,0.051
4.68,-31.0,5.072,0.0,0.0
4.69,-29.0,5.04,1.027,5.176
4.701,-26.0,5.04,1.026,5.171
4.713,-23.0,5.04,1.026,5.171
4.724,-20.0,5.04,1.026,5.171
4.736,-18.0,5.04,1.028,5.181
4.748,-15.0,5.04,1.027,5.176
4.759,-12.0,5.04,1.028,5.181
4.77,-10.0,5.076,0.018,0.091
4.782,-7.0,5.076,0.017,0.086
4.793,-5.0,5.076,0.016,0.081
4.804,-2.0,5.072,0.015,0.076
4.817,0.0,5.076,0.017,0.086
4.828,2.0,5.072,0.016,0.081
4.839,4.0,9.104,0.032,0.291
4.851,9.0,9.104,0.031,0.282
4.92,14.0,9.104,0.03,0.273
4.931,19.0,9.104,0.031,0.282
4.943,23.0,9.1,0.031,0.282
4.955,28.0,9.1,0.03,0.273
4.966,33.0,9.1,0.03,0.273
4.977,37.0,9.104,0.033,0.3
