Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.375,0.0,5.076,0.0,0.0
0.383,0.0,5.076,0.011,0.056
0.391,0.0,5.072,0.01,0.051
0.399,0.0,5.076,0.0,0.0
0.407,0.0,5.076,0.0,0.0
0.416,0.0,5.072,0.0,0.0
0.424,0.0,5.076,0.01,0.051
0.432,0.0,5.076,0.01,0.051
0.506,0.0,0.116,0.0,0.0
0.514,0.0,0.116,0.0,0.0
0.522,0.0,0.116,0.0,0.0
0.531,0.0,0.12,0.0,0.0
0.539,0.0,0.116,0.0,0.0
0.547,0.0,0.12,0.0,0.0
0.556,0.0,0.116,0.0,0.0
0.564,0.0,0.116,0.0,0.0
0.572,0.0,0.116,0.0,0.0
0.58,0.0,0.116,0.0,0.0
0.589,0.0,0.116,0.0,0.0
0.597,0.0,0.116,0.0,0.0
0.605,0.0,0.116,0.0,0.0
0.614,0.0,0.116,0.0,0.0
0.622,0.0,0.116,0.0,0.0
0.63,0.0,0.116,0.0,0.0
0.638,0.0,0.12,0.0,0.0
0.646,0.0,0.116,0.0,0.0
0.655,0.0,0.116,0.0,0.0
0.663,0.0,0.116,0.0,0.0
0.672,0.0,0.12,0.0,0.0
0.68,0.0,0.116,0.0,0.0
0.688,0.0,0.116,0.0,0.0
0.696,0.0,0.12,0.0,0.0
0.704,0.0,0.116,0.0,0.0
0.714,0.0,0.116,0.0,0.0
0.725,0.0,0.116,0.0,0.0
0.736,0.0,0.116,0.0,0.0
0.747,0.0,0.116,0.0,0.0
0.758,0.0,0.116,0.0,0.0
0.769,0.0,0.116,0.0,0.0
0.78,0.0,0.116,0.0,0.0
0.791,0.0,0.116,0.0,0.0
0.802,0.0,0.112,0.0,0.0
0.813,0.0,0.116,0.0,0.0
0.823,0.0,0.116,0.0,0.0
0.833,0.0,0.116,0.0,0.0
0.843,0.0,0.116,0.0,0.0
0.853,0.0,0.116,0.0,0.0
0.864,0.0,0.116,0.0,0.0
0.874,0.0,0.12,0.0,0.0
0.927,0.0,5.072,0.0,0.0
0.938,0.0,5.076,0.0,0.0
0.948,0.0,5.072,0.01,0.051
0.958,0.0,5.072,0.0,0.0
0.968,0.0,5.04,1.023,5.156
0.978,0.0,5.04,1.023,5.156
0.988,0.0,5.04,1.023,5.156
0.999,0.0,5.036,1.025,5.162
1.01,0.0,5.04,1.023,5.156
1.021,0.0,5.04,1.024,5.161
1.032,0.0,5.04,1.022,5.151
1.043,0.0,5.076,0.017,0.086
1.054,0.0,5.076,0.018,0.091
1.066,0.0,5.076,0.017,0.086
1.077,0.0,5.076,0.017,0.086
1.088,5.0,5.076,0.018,0.091
1.099,8.0,5.076,0.016,0.081
1.109,11.0,9.1,0.04,0.364
1.118,16.0,9.104,0.036,0.328
1.126,22.0,9.104,0.034,0.31
1.135,27.0,9.104,0.031,0.282
1.189,32.0,9.104,0.03,0.273
1.198,37.0,9.104,0.031,0.282
1.206,42.0,9.104,0.029,0.264
1.215,46.0,9.104,0.031,0.282
1.224,51.0,9.1,0.031,0.282
1.232,56.0,9.104,0.029,0.264
1.24,60.0,9.1,0.03,0.273
1.248,65.0,9.104,0.03,0.273
1.257,69.0,9.104,0.03,0.273
1.265,74.0,9.1,0.031,0.282
1.274,78.0,9.1,0.031,0.282
1.282,80.0,9.104,0.03,0.273
1.291,82.0,9.076,0.977,8.867
1.299,84.0,9.076,0.977,8.867
1.308,86.0,9.076,0.979,8.885
1.316,88.0,9.076,0.978,8.876
1.324,90.0,9.076,0.978,8.876
1.333,92.0,9.072,0.977,8.863
1.341,93.0,9.076,0.978,8.876
1.35,95.0,9.076,0.957,8.686
1.358,96.0,9.076,0.957,8.686
1.367,97.0,9.076,0.957,8.686
1.375,98.0,9.08,0.957,8.69
1.384,99.0,9.076,0.957,8.686
1.392,100.0,9.08,0.957,8.69
1.402,101.0,9.076,0.958,8.695
1.411,101.0,9.076,0.956,8.677
1.42,102.0,9.076,0.957,8.686
1.428,102.0,9.076,0.957,8.686
1.437,103.0,9.076,0.957,8.686
1.445,106.0,9.08,0.934,8.481
1.453,109.0,9.076,0.935,8.486
1.462,112.0,9.08,0.935,8.49
1.47,115.0,9.076,0.936,8.495
1.479,118.0,9.076,0.937,8.504
1.487,121.0,9.076,0.935,8.486
1.496,124.0,9.076,0.936,8.495
1.505,127.0,9.076,0.935,8.486
1.513,130.0,9.076,0.936,8.495
1.522,130.0,9.08,0.934,8.481
1.53,130.0,9.076,0.936,8.495
1.539,129.0,9.08,0.932,8.463
1.548,129.0,9.08,0.914,8.299
1.556,128.0,9.08,0.913,8.29
1.565,127.0,9.08,0.914,8.299
1.573,126.0,9.076,0.914,8.295
1.581,125.0,9.08,0.914,8.299
1.59,124.0,9.08,0.914,8.299
1.598,123.0,9.076,0.912,8.277
1.606,122.0,9.076,0.914,8.295
1.615,120.0,9.076,0.914,8.295
1.624,119.0,9.076,0.914,8.295
1.632,117.0,9.076,0.914,8.295
1.641,116.0,9.08,0.891,8.09
1.651,114.0,9.08,0.893,8.108
1.659,112.0,9.076,0.892,8.096
1.668,110.0,9.076,0.893,8.105
1.677,108.0,9.08,0.892,8.099
1.686,105.0,9.076,0.895,8.123
1.694,103.0,9.08,0.891,8.09
1.703,101.0,9.076,0.895,8.123
1.712,98.0,9.08,0.894,8.118
1.721,95.0,9.08,0.891,8.09
1.73,93.0,9.08,0.893,8.108
1.739,90.0,9.08,0.871,7.909
1.747,87.0,9.084,0.872,7.921
1.755,84.0,9.08,0.872,7.918
1.763,80.0,9.08,0.871,7.909
1.772,77.0,9.08,0.871,7.909
1.78,74.0,9.08,0.87,7.9
1.789,70.0,9.08,0.872,7.918
1.797,66.0,9.08,0.871,7.909
1.806,63.0,9.084,0.872,7.921
1.815,59.0,9.08,0.873,7.927
1.826,55.0,9.08,0.87,7.9
1.838,51.0,9.08,0.851,7.727
1.849,47.0,9.08,0.852,7.736
1.861,42.0,9.08,0.85,7.718
1.873,38.0,9.08,0.85,7.718
1.884,33.0,9.08,0.85,7.718
1.895,32.0,9.08,0.848,7.7
1.906,30.0,9.08,0.852,7.736
1.917,28.0,9.08,0.851,7.727
1.927,27.0,9.08,0.827,7.509
1.938,25.0,9.08,0.829,7.527
1.948,23.0,9.084,0.829,7.531
1.959,21.0,9.08,0.826,7.5
1.969,19.0,9.08,0.831,7.545
1.979,17.0,9.08,0.83,7.536
1.99,15.0,9.08,0.828,7.518
2.0,13.0,9.08,0.83,7.536
2.011,11.0,9.08,0.827,7.509
2.022,9.0,9.08,0.83,7.536
2.032,6.0,9.08,0.807,7.328
2.042,4.0,9.084,0.806,7.322
2.053,2.0,9.08,0.809,7.346
