Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.249,0.0,5.072,0.0,0.0
0.259,0.0,5.072,0.0,0.0
0.267,0.0,5.076,0.0,0.0
0.275,0.0,5.076,0.0,0.0
0.285,0.0,5.072,0.015,0.076
0.293,0.0,5.076,0.015,0.076
0.301,0.0,5.076,0.01,0.051
0.31,0.0,5.072,0.0,0.0
0.319,0.0,5.076,0.0,0.0
0.328,0.0,5.072,0.0,0.0
0.336,0.0,5.076,0.0,0.0
0.346,0.0,5.076,0.0,0.0
0.355,0.0,5.076,0.0,0.0
0.363,0.0,5.072,0.0,0.0
0.371,0.0,5.072,0.01,0.051
0.381,0.0,5.072,0.094,0.477
0.389,0.0,5.072,0.102,0.517
0.398,0.0,5.076,0.01,0.051
0.406,0.0,5.076,0.0,0.0
0.416,0.0,5.076,0.0,0.0
0.504,0.0,5.076,0.01,0.051
0.512,0.0,5.076,0.01,0.051
0.52,0.0,5.076,0.01,0.051
0.528,0.0,5.076,0.0,0.0
0.537,0.0,5.076,0.01,0.051
0.546,0.0,5.072,0.01,0.051
0.556,0.0,5.076,0.01,0.051
0.566,0.0,5.072,0.0,0.0
0.575,0.0,5.072,0.103,0.522
0.584,0.0,5.068,0.198,1.003
0.593,0.0,5.068,0.197,0.998
0.603,0.0,5.064,0.297,1.504
0.612,0.0,5.068,0.295,1.495
0.621,0.0,5.064,0.395,2.0
0.63,0.0,5.064,0.395,2.0
0.64,0.0,5.06,0.491,2.484
0.65,0.0,5.06,0.48,2.429
0.658,0.0,5.08,0.01,0.051
0.666,0.0,5.076,0.0,0.0
0.676,0.0,5.076,0.0,0.0
0.685,0.0,5.068,0.198,1.003
0.694,0.0,5.068,0.199,1.009
0.703,0.0,5.064,0.296,1.499
0.712,0.0,5.06,0.394,1.994
0.72,0.0,5.06,0.491,2.484
0.728,0.0,5.076,0.0,0.0
0.736,0.0,5.076,0.011,0.056
0.745,0.0,5.076,0.103,0.523
0.754,0.0,5.068,0.195,0.988
0.761,0.0,5.068,0.198,1.003
0.769,0.0,5.064,0.295,1.494
0.779,0.0,5.06,0.395,1.999
0.786,0.0,5.06,0.49,2.479
0.795,0.0,5.06,0.492,2.49
0.803,0.0,5.052,0.6,3.031
0.813,0.0,5.052,0.696,3.516
0.822,0.0,5.048,0.804,4.059
0.829,0.0,5.048,0.803,4.054
0.838,0.0,5.044,0.898,4.53
0.848,0.0,5.044,1.0,5.044
0.855,0.0,5.04,1.099,5.539
0.863,0.0,5.04,1.098,5.534
0.872,0.0,5.036,1.199,6.038
0.881,0.0,5.036,1.23,6.194
0.889,0.0,5.032,1.23,6.189
0.897,0.0,5.036,1.269,6.391
0.906,0.0,5.032,1.231,6.194
0.914,0.0,5.032,1.248,6.28
0.922,0.0,5.036,1.226,6.174
0.931,0.0,5.036,1.222,6.154
0.94,0.0,5.032,1.235,6.215
0.948,0.0,5.032,1.228,6.179
0.957,0.0,5.036,1.261,6.35
0.966,0.0,5.032,1.213,6.104
0.974,0.0,5.032,1.231,6.194
0.984,0.0,5.036,1.245,6.27
0.994,0.0,5.032,1.22,6.139
1.004,0.0,5.032,1.259,6.335
1.015,0.0,5.036,1.224,6.164
1.026,0.0,5.028,1.216,6.114
1.037,0.0,5.036,1.216,6.124
1.048,0.0,5.032,1.212,6.099
1.06,0.0,5.032,1.221,6.144
1.07,0.0,5.036,1.213,6.109
1.079,0.0,5.032,1.23,6.189
1.089,0.0,5.032,1.222,6.149
1.097,0.0,5.032,1.23,6.189
1.106,0.0,5.032,1.26,6.34
1.114,0.0,5.076,0.0,0.0
1.122,26.0,5.076,0.0,0.0
1.131,23.0,5.072,0.103,0.522
1.14,21.0,5.068,0.196,0.993
1.149,18.0,5.068,0.298,1.51
1.157,16.0,5.064,0.394,1.995
1.165,13.0,5.064,0.393,1.99
1.175,11.0,5.06,0.49,2.479
1.183,8.0,5.056,0.6,3.034
1.191,5.0,5.052,0.698,3.526
1.199,2.0,5.052,0.696,3.516
