Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.361,0.0,5.072,0.0,0.0
0.372,0.0,5.072,0.0,0.0
0.383,0.0,5.072,0.0,0.0
0.393,0.0,5.076,0.014,0.071
0.414,0.0,5.076,0.017,0.086
0.424,0.0,5.08,0.0,0.0
0.439,0.0,5.076,0.0,0.0
0.451,0.0,5.072,0.0,0.0
0.461,0.0,5.072,0.0,0.0
0.472,0.0,5.076,0.0,0.0
0.483,0.0,5.068,0.109,0.552
0.492,0.0,5.072,0.107,0.543
0.502,0.0,5.072,0.108,0.548
0.513,0.0,5.076,0.0,0.0
0.522,0.0,5.076,0.0,0.0
0.532,0.0,5.072,0.0,0.0
0.543,0.0,5.072,0.0,0.0
0.635,0.0,5.076,0.0,0.0
0.646,0.0,5.076,0.01,0.051
0.656,0.0,5.076,0.0,0.0
0.669,0.0,5.076,0.01,0.051
0.68,0.0,5.072,0.109,0.553
0.692,0.0,5.076,0.01,0.051
0.702,0.0,5.076,0.01,0.051
0.721,0.0,5.076,0.01,0.051
0.732,0.0,5.076,0.01,0.051
0.742,0.0,5.076,0.01,0.051
0.754,0.0,5.076,0.0,0.0
0.765,0.0,5.076,0.0,0.0
0.775,0.0,15.172,0.027,0.41
0.786,0.0,15.168,0.026,0.394
0.798,0.0,15.168,0.029,0.44
0.866,0.0,15.168,0.027,0.41
0.876,0.0,15.168,0.027,0.41
0.886,0.0,15.16,0.225,3.411
0.897,0.0,15.16,0.422,6.398
0.907,0.0,15.156,0.517,7.836
0.916,0.0,15.152,0.636,9.637
0.927,0.0,15.152,0.637,9.652
0.937,0.0,15.148,0.738,11.179
0.947,0.0,15.148,0.841,12.739
0.957,0.0,15.144,0.892,13.508
0.968,0.0,15.144,0.893,13.524
0.978,0.0,15.144,0.897,13.584
0.989,0.0,15.144,0.894,13.539
1.0,0.0,15.144,0.896,13.569
1.011,0.0,15.144,0.884,13.387
1.022,0.0,15.144,0.906,13.72
1.034,0.0,15.144,0.88,13.327
1.045,0.0,15.144,0.891,13.493
1.055,0.0,15.144,0.891,13.493
1.066,0.0,15.148,0.884,13.391
1.078,0.0,15.144,0.89,13.478
1.089,0.0,15.144,0.909,13.766
1.1,0.0,15.144,0.881,13.342
1.111,0.0,15.148,0.886,13.421
1.122,0.0,15.144,0.88,13.327
1.132,0.0,15.144,0.885,13.402
1.144,0.0,15.144,0.879,13.312
1.155,0.0,15.144,0.882,13.357
1.166,0.0,15.144,0.886,13.418
1.177,0.0,15.148,0.869,13.164
1.189,0.0,15.144,0.904,13.69
1.199,0.0,15.144,0.868,13.145
1.211,0.0,15.144,0.867,13.13
1.222,0.0,15.144,0.879,13.312
1.233,0.0,15.144,0.868,13.145
1.244,0.0,15.144,0.871,13.19
1.256,0.0,15.168,0.027,0.41
1.267,0.0,15.168,0.029,0.44
1.277,0.0,15.16,0.324,4.912
1.288,0.0,15.16,0.422,6.398
1.298,206.0,15.156,0.529,8.018
1.308,206.0,15.152,0.636,9.637
1.318,205.0,15.148,0.746,11.3
1.329,204.0,15.148,0.843,12.77
1.34,203.0,15.144,0.852,12.903
1.35,201.0,15.144,0.87,13.175
1.36,200.0,15.144,0.888,13.448
1.371,198.0,15.148,0.873,13.224
1.381,196.0,15.144,0.878,13.296
1.392,194.0,15.144,0.883,13.372
1.404,192.0,15.144,0.87,13.175
1.415,190.0,15.144,0.899,13.614
1.426,187.0,15.148,0.875,13.254
1.437,184.0,15.144,0.87,13.175
1.449,181.0,15.148,0.896,13.573
1.459,178.0,15.144,0.902,13.66
1.471,175.0,15.148,0.864,13.088
1.482,171.0,15.144,0.863,13.069
1.493,168.0,15.144,0.864,13.084
1.504,164.0,15.148,0.767,11.619
1.516,160.0,15.148,0.771,11.679
1.527,156.0,15.148,0.768,11.634
1.537,151.0,15.148,0.763,11.558
1.549,147.0,15.148,0.769,11.649
1.56,142.0,15.152,0.765,11.591
1.571,137.0,15.148,0.781,11.831
1.583,132.0,15.148,0.776,11.755
1.594,126.0,15.148,0.765,11.588
1.605,124.0,15.148,0.765,11.588
1.616,121.0,15.148,0.774,11.725
1.628,119.0,15.148,0.765,11.588
1.638,116.0,15.148,0.771,11.679
1.649,113.0,15.148,0.77,11.664
1.661,110.0,15.144,0.766,11.6
1.672,107.0,15.148,0.769,11.649
1.683,103.0,15.148,0.773,11.709
1.693,100.0,15.144,0.764,11.57
1.704,96.0,15.144,0.777,11.767
1.713,92.0,15.148,0.771,11.679
1.723,89.0,15.148,0.736,11.149
1.734,85.0,15.148,0.764,11.573
1.744,81.0,15.148,0.762,11.543
1.754,77.0,15.148,0.763,11.558
1.765,72.0,15.152,0.788,11.94
1.775,68.0,15.148,0.766,11.603
1.786,63.0,15.152,0.764,11.576
1.797,59.0,15.152,0.765,11.591
1.809,54.0,15.148,0.771,11.679
1.82,49.0,15.148,0.765,11.588
1.831,44.0,15.148,0.773,11.709
1.842,39.0,15.148,0.764,11.573
1.853,34.0,15.152,0.765,11.591
1.864,28.0,15.152,0.791,11.985
1.876,23.0,15.148,0.77,11.664
1.887,17.0,15.148,0.769,11.649
1.898,11.0,15.148,0.796,12.058
1.909,5.0,15.144,0.776,11.752
