Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.259,0.0,5.072,0.0,0.0
0.271,0.0,5.072,0.013,0.066
0.282,0.0,5.076,0.015,0.076
0.294,0.0,5.076,0.011,0.056
0.305,0.0,5.076,0.01,0.051
0.317,0.0,5.08,0.01,0.051
0.329,0.0,5.076,0.011,0.056
0.34,0.0,5.076,0.01,0.051
0.352,0.0,5.076,0.0,0.0
0.363,0.0,5.072,0.057,0.289
0.375,0.0,5.076,0.01,0.051
0.387,0.0,5.076,0.01,0.051
0.398,0.0,5.076,0.0,0.0
0.409,0.0,5.072,0.0,0.0
0.518,0.0,5.076,0.011,0.056
0.529,0.0,5.076,0.01,0.051
0.541,0.0,5.076,0.0,0.0
0.553,0.0,5.076,0.0,0.0
0.564,0.0,5.076,0.01,0.051
0.576,0.0,5.076,0.01,0.051
0.588,0.0,5.072,0.0,0.0
0.599,0.0,5.076,0.0,0.0
0.61,0.0,5.072,0.011,0.056
0.62,0.0,15.172,0.026,0.394
0.631,0.0,15.172,0.029,0.44
0.642,0.0,15.172,0.028,0.425
0.653,0.0,15.168,0.028,0.425
0.664,0.0,15.172,0.029,0.44
0.675,0.0,15.164,0.228,3.457
0.743,0.0,15.168,0.226,3.428
0.754,0.0,15.16,0.422,6.398
0.765,0.0,15.16,0.528,8.004
0.776,0.0,15.152,0.641,9.712
0.787,0.0,15.152,0.737,11.167
0.799,0.0,15.144,0.84,12.721
0.811,0.0,15.144,0.921,13.948
0.822,0.0,15.148,0.947,14.345
0.834,0.0,15.148,0.922,13.966
0.846,0.0,15.144,0.934,14.144
0.858,0.0,15.144,0.924,13.993
0.87,0.0,15.148,0.922,13.966
0.882,0.0,15.144,0.935,14.16
0.894,0.0,15.144,0.923,13.978
0.905,0.0,15.144,0.955,14.463
0.916,0.0,15.144,0.927,14.038
0.927,0.0,15.144,0.922,13.963
0.938,0.0,15.148,0.93,14.088
0.949,0.0,15.144,0.924,13.993
0.961,0.0,15.148,0.907,13.739
0.972,0.0,15.144,0.919,13.917
0.983,0.0,15.144,0.911,13.796
0.995,0.0,15.148,0.909,13.77
1.006,0.0,15.144,0.907,13.736
1.017,0.0,15.144,0.909,13.766
1.028,0.0,15.148,0.921,13.951
1.039,0.0,15.144,0.911,13.796
1.05,0.0,15.148,0.909,13.77
1.061,0.0,15.152,0.907,13.743
1.073,0.0,15.144,0.908,13.751
1.084,0.0,15.148,0.912,13.815
1.095,0.0,15.172,0.028,0.425
1.106,0.0,15.172,0.028,0.425
1.117,0.0,15.164,0.226,3.427
1.128,0.0,15.16,0.422,6.398
1.139,0.0,15.16,0.526,7.974
1.15,0.0,15.152,0.646,9.788
1.161,0.0,15.152,0.743,11.258
1.172,0.0,15.152,0.839,12.713
1.183,0.0,15.144,0.945,14.311
1.194,0.0,15.144,0.948,14.357
1.205,0.0,15.14,0.959,14.519
1.216,0.0,15.144,0.98,14.841
1.227,0.0,15.148,0.924,13.997
1.237,0.0,15.144,0.944,14.296
1.248,0.0,15.144,0.955,14.463
1.259,0.0,15.144,0.941,14.251
1.27,0.0,15.148,0.929,14.072
1.282,0.0,15.148,0.925,14.012
1.293,0.0,15.148,0.924,13.997
1.304,0.0,15.144,0.944,14.296
1.315,0.0,15.148,0.929,14.072
1.326,0.0,15.144,0.922,13.963
1.337,0.0,15.144,0.945,14.311
1.348,0.0,15.148,0.918,13.906
1.359,0.0,15.148,0.913,13.83
1.37,0.0,15.144,0.955,14.463
1.381,0.0,15.144,0.914,13.842
1.392,0.0,15.148,0.912,13.815
1.403,0.0,15.148,0.952,14.421
1.414,0.0,15.148,0.915,13.86
1.425,0.0,15.144,0.912,13.811
1.436,0.0,15.148,0.916,13.876
1.447,0.0,15.148,0.916,13.876
1.459,143.0,15.144,0.913,13.826
1.47,138.0,15.148,0.917,13.891
1.481,133.0,15.148,0.914,13.845
1.493,127.0,15.144,0.913,13.826
1.504,122.0,15.148,0.931,14.103
1.516,116.0,15.144,0.93,14.084
1.527,110.0,15.148,0.912,13.815
1.538,106.0,15.14,0.933,14.126
1.549,103.0,15.148,0.921,13.951
1.56,100.0,15.144,0.918,13.902
1.572,96.0,15.144,0.922,13.963
1.583,92.0,15.148,0.924,13.997
1.594,89.0,15.144,0.92,13.932
1.605,85.0,15.148,0.922,13.966
1.615,81.0,15.148,0.926,14.027
1.625,76.0,15.148,0.919,13.921
1.635,72.0,15.144,0.926,14.023
1.645,68.0,15.144,0.932,14.114
1.656,63.0,15.148,0.919,13.921
1.666,59.0,15.144,0.921,13.948
1.676,54.0,15.144,0.919,13.917
1.686,49.0,15.144,0.927,14.038
1.697,44.0,15.144,0.941,14.251
1.708,39.0,15.144,0.919,13.917
1.719,33.0,15.144,0.926,14.023
1.73,28.0,15.148,0.939,14.224
1.741,23.0,15.144,0.919,13.917
1.752,17.0,15.144,0.921,13.948
1.764,11.0,15.144,0.937,14.19
1.775,5.0,15.144,0.927,14.038
