time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV]
0.008444,0.000000,0,116,0,136,-292,19908,0,112,0,132,0,104,0,112
0.016859,0.010000,0,116,0,136,-285,19908,0,112,0,136,0,100,0,112
0.025574,0.020000,0,116,0,136,-306,19908,0,112,0,132,0,100,0,108
0.034347,0.030000,0,116,0,136,-306,19904,0,112,0,132,0,104,0,112
0.043100,0.040000,0,112,0,132,-306,19904,0,108,0,132,0,100,0,112
0.051487,0.050000,0,116,0,136,-293,19908,0,112,0,136,0,104,0,112
0.060380,0.060000,0,116,0,136,-306,19908,0,112,0,132,0,100,0,112
0.068850,0.070000,0,116,0,136,-293,19912,0,112,0,136,0,104,0,112
0.078050,0.080000,0,116,0,136,-294,19908,0,112,0,136,0,104,0,112
0.086812,0.090000,0,120,0,136,-294,19912,0,112,0,136,0,104,0,112
0.095737,0.100000,0,116,0,132,-299,19904,0,112,0,132,0,104,0,112
0.104627,0.110000,0,116,0,136,-295,19908,0,112,0,132,0,104,0,112
0.113738,0.120000,0,112,0,140,-292,19908,0,112,0,136,0,100,0,112
0.122532,0.130000,0,116,0,136,-296,19908,0,108,0,132,0,104,0,112
0.131379,0.140000,0,120,0,136,-307,19908,0,108,0,132,0,104,0,116
0.140260,0.150000,0,116,0,136,-294,19904,0,108,0,132,0,104,0,112
0.149079,0.160000,0,116,0,136,-292,19908,0,108,0,132,0,104,0,112
0.158083,0.170000,0,116,0,136,-300,19904,0,112,0,136,0,100,0,112
0.166897,0.180000,0,116,0,136,-306,19904,0,112,0,132,0,100,0,112
0.175662,0.190000,0,116,0,136,-288,19904,0,112,0,132,0,104,0,112
0.184402,0.200000,0,116,0,136,-299,19908,0,112,0,136,0,100,0,112
0.192974,0.210000,0,120,0,136,-267,19908,0,112,0,132,0,104,0,112
0.202584,0.220000,0,116,0,136,-279,19904,0,108,0,132,0,100,0,112
0.212814,0.230000,0,116,0,136,-293,19904,0,112,0,132,0,104,0,112
0.221953,0.240000,0,116,0,136,-299,19904,0,112,0,136,0,100,0,112
0.231047,0.250000,0,116,0,136,-296,19912,0,112,0,136,0,100,0,112
0.240973,0.260000,0,116,0,136,-286,19908,0,112,0,136,0,104,0,112
0.252568,0.270000,0,116,0,132,-288,19908,0,108,0,136,0,104,0,112
0.261445,0.280000,0,112,0,140,-297,19908,0,112,0,132,0,104,0,112
0.270388,0.290000,0,116,0,132,-305,19908,0,112,0,136,0,104,0,112
0.279216,0.300000,0,116,0,136,-311,19904,0,112,0,132,0,100,0,112
0.288114,0.310000,0,112,0,132,-317,19908,0,108,0,132,0,104,0,112
0.297929,0.320000,0,116,0,136,-303,19908,0,112,0,132,0,104,0,112
0.307208,0.330000,0,116,0,136,-284,19916,0,112,0,132,0,104,0,112
0.316373,0.340000,0,116,0,136,-288,19908,0,112,0,140,0,104,0,112
0.325001,0.350000,0,116,0,136,-279,19912,0,112,0,132,0,104,0,108
0.333694,0.360000,0,116,0,136,-306,19908,0,112,0,132,0,104,0,112
0.342692,0.370000,0,116,0,136,-278,19908,0,112,0,132,0,100,0,112
0.351471,0.380000,0,116,0,136,-298,19908,0,112,0,136,0,100,0,112
0.359975,0.390000,0,116,0,136,-288,19908,0,112,0,132,0,100,0,112
0.368069,0.400000,0,116,0,136,-293,19904,0,112,0,132,0,104,0,112
0.376339,0.410000,0,120,0,140,-261,19912,0,108,0,136,0,104,0,112
0.384702,0.420000,0,116,0,136,-287,19908,0,112,0,132,0,100,0,108
0.392800,0.430000,0,116,0,136,-304,19904,0,112,0,132,0,104,0,112
0.400788,0.440000,0,120,0,140,-292,19908,0,112,0,136,0,104,0,112
0.409174,0.450000,0,116,0,136,-320,19908,0,112,0,132,0,104,0,112
0.417295,0.460000,0,116,0,140,-325,19908,0,112,0,132,0,100,0,112
0.425744,0.470000,0,116,0,136,-350,19900,0,112,0,132,0,100,0,108
0.433952,0.480000,0,116,0,136,-330,19908,0,112,0,132,0,104,0,112
0.442434,0.490000,0,116,0,136,-327,19904,0,112,0,132,0,104,0,108
0.450515,0.500000,0,116,0,136,-327,19904,0,108,0,132,0,104,0,112
0.458460,0.510000,0,116,0,136,-285,19904,0,112,0,136,0,104,0,112
0.466905,0.520000,0,120,0,136,-313,19904,0,112,0,132,0,104,0,112
0.475423,0.530000,0,116,0,136,-307,19912,0,112,0,132,0,100,0,112
0.483553,0.540000,0,116,0,136,-260,19908,0,116,0,132,0,104,0,112
0.491629,0.550000,0,116,0,136,-294,19908,0,108,0,136,0,104,0,112
0.499627,0.560000,0,116,0,136,-271,19908,0,108,0,132,0,104,0,112
0.508170,0.570000,0,116,0,136,-295,19904,0,108,0,136,0,104,0,112
0.516660,0.580000,0,112,0,136,-309,19908,0,112,0,132,0,104,0,112
0.524896,0.590000,0,116,0,132,-292,19908,0,112,0,132,0,100,0,112
0.533989,0.600000,0,116,0,136,-330,19904,0,112,0,136,0,100,0,112
0.543305,0.610000,0,116,0,140,-324,19904,0,112,0,132,0,104,0,112
0.552234,0.620000,0,116,0,136,-312,19904,0,108,0,132,0,104,0,108
0.561360,0.630000,0,116,0,140,-311,19908,0,112,0,136,0,100,0,112
0.570010,0.640000,0,116,0,136,-291,19908,0,112,0,132,0,100,0,108
0.578678,0.650000,0,116,0,136,-290,19908,0,112,0,132,0,104,0,112
0.587109,0.660000,0,112,0,140,-295,19908,0,112,0,132,0,104,0,112
0.595567,0.670000,0,116,0,136,-274,19912,0,112,0,132,0,100,0,112
0.604059,0.680000,0,116,0,136,-284,19908,0,112,0,136,0,100,0,112
0.612636,0.690000,0,116,0,136,-295,19908,0,112,0,132,0,104,0,112
0.621085,0.700000,0,116,0,136,-317,19908,0,112,0,132,0,104,0,112
0.630348,0.710000,0,112,0,136,-293,19908,0,108,0,132,0,100,0,112
0.640128,0.720000,0,116,0,140,-291,19908,0,108,0,132,0,100,0,112
0.649700,0.730000,0,116,0,132,-304,19904,0,112,0,132,0,100,0,112
0.659264,0.740000,0,112,0,136,-300,19904,0,112,0,132,0,100,0,112
0.668067,0.750000,0,116,0,136,-307,19908,0,112,0,136,0,100,0,112
0.684362,0.760000,0,112,0,136,-300,19908,0,108,0,128,0,104,0,112
0.693192,0.770000,0,116,0,136,-289,19912,0,108,0,132,0,104,0,112
0.702038,0.780000,0,116,0,136,-301,19908,0,112,0,132,0,104,0,108
0.711107,0.790000,0,112,0,136,-303,19908,0,112,0,132,0,104,0,112
0.719666,0.800000,0,116,0,136,-291,19908,0,108,0,132,0,104,0,112
0.728371,0.810000,0,116,0,136,-321,19908,0,108,0,132,0,104,0,112
0.736568,0.820000,0,116,0,132,-300,19908,0,108,0,136,0,100,0,112
0.745045,0.830000,0,116,0,136,-292,19904,0,112,0,132,0,104,0,112
0.753353,0.839999,0,116,0,136,-334,19900,0,112,0,136,0,100,0,112
0.761914,0.849999,0,116,0,136,-349,19900,0,112,0,132,0,104,0,112
