time[sec],count,Voltage[V],Ampare[A],Wattage[W]
0.007764,0.0,0.132,0.0,0.0
0.015658000000000002,0.01,0.128,0.0,0.0
0.023530000000000002,0.02,0.132,0.0,0.0
0.031404,0.03,0.128,0.0,0.0
0.039281,0.04,0.128,0.0,0.0
0.047149,0.05,0.132,0.0,0.0
0.055019000000000005,0.06,0.132,0.0,0.0
0.062961,0.07,0.128,0.0,0.0
0.07085599999999999,0.08,0.132,0.0,0.0
0.07899400000000001,0.09,0.132,0.0,0.0
0.087028,0.1,0.132,0.0,0.0
0.094911,0.11,0.132,0.0,0.0
0.102798,0.12,0.132,0.0,0.0
0.11073699999999999,0.13,0.128,0.0,0.0
0.11864000000000001,0.14,0.132,0.0,0.0
0.126398,0.15,0.132,0.0,0.0
0.134171,0.16,0.132,0.0,0.0
0.141848,0.17,0.128,0.0,0.0
0.149514,0.18,0.132,0.0,0.0
0.15731900000000001,0.19,0.132,0.0,0.0
0.165098,0.2,0.132,0.0,0.0
0.17291099999999998,0.21,0.128,0.0,0.0
0.18071600000000002,0.22,0.132,0.0,0.0
0.188684,0.23,0.128,0.0,0.0
0.196659,0.24,0.132,0.0,0.0
0.20444500000000002,0.25,0.132,0.0,0.0
0.212256,0.26,0.132,0.0,0.0
0.219994,0.27,0.132,0.0,0.0
0.227665,0.28,0.128,0.0,0.0
0.235352,0.29,0.128,0.0,0.0
0.243023,0.3,0.128,0.0,0.0
0.250639,0.31,0.132,0.0,0.0
0.258371,0.32,0.128,0.0,0.0
0.26614699999999997,0.33,0.132,0.0,0.0
0.273777,0.34,0.132,0.0,0.0
0.281474,0.35,0.132,0.0,0.0
0.289094,0.36,0.128,0.0,0.0
0.29685500000000004,0.37,0.132,0.0,0.0
0.30446,0.38,0.132,0.0,0.0
0.31214699999999995,0.39,0.128,0.0,0.0
0.319822,0.4,0.128,0.0,0.0
0.327488,0.41,0.128,0.0,0.0
0.335099,0.42,0.128,0.0,0.0
0.34277399999999997,0.43,0.128,0.0,0.0
0.35045,0.44,0.128,0.0,0.0
0.35820799999999997,0.45,0.132,0.0,0.0
0.365832,0.46,0.132,0.0,0.0
0.37350700000000003,0.47,0.132,0.0,0.0
0.38111799999999996,0.48,0.132,0.0,0.0
0.388811,0.49,0.128,0.0,0.0
0.396504,0.5,0.132,0.0,0.0
0.40419499999999997,0.51,0.132,0.0,0.0
0.411875,0.52,0.132,0.0,0.0
0.419496,0.53,0.132,0.0,0.0
0.42721400000000004,0.54,0.128,0.0,0.0
0.435882,0.55,0.128,0.0,0.0
0.443626,0.56,0.136,0.0,0.0
0.45123199999999997,0.57,0.132,0.0,0.0
0.45885699999999996,0.58,0.132,0.0,0.0
0.466562,0.59,0.132,0.0,0.0
0.474534,0.6,0.128,0.0,0.0
0.48211000000000004,0.61,0.128,0.0,0.0
0.489716,0.62,0.128,0.0,0.0
0.497299,0.63,0.132,0.0,0.0
0.504876,0.64,0.132,0.0,0.0
0.5124449999999999,0.65,0.132,0.0,0.0
0.520154,0.66,0.132,0.0,0.0
0.527758,0.67,0.132,0.0,0.0
0.5354720000000001,0.68,0.132,0.0,0.0
0.543132,0.69,0.128,0.0,0.0
0.5507340000000001,0.7,0.132,0.0,0.0
0.558361,0.71,0.132,0.0,0.0
0.566387,0.72,0.132,0.0,0.0
0.5743020000000001,0.73,0.132,0.0,0.0
0.58225,0.74,0.132,0.0,0.0
0.5900770000000001,0.75,0.132,0.0,0.0
0.597958,0.76,0.128,0.0,0.0
0.6058140000000001,0.77,0.128,0.0,0.0
0.613635,0.78,0.128,0.0,0.0
0.621555,0.79,0.128,0.0,0.0
0.6294069999999999,0.8,0.132,0.0,0.0
0.6372260000000001,0.81,0.132,0.0,0.0
0.645087,0.82,0.128,0.0,0.0
0.652931,0.83,0.132,0.0,0.0
0.660954,0.8399989999999999,0.128,0.0,0.0
0.668941,0.849999,0.132,0.0,0.0
0.677251,0.859999,0.128,0.0,0.0
0.685336,0.869999,0.132,0.0,0.0
0.6934670000000001,0.879999,0.132,0.0,0.0
0.701491,0.889999,0.128,0.0,0.0
0.709531,0.899999,0.132,0.0,0.0
0.717546,0.909999,0.132,0.0,0.0
0.725621,0.919999,0.132,0.0,0.0
0.7336229999999999,0.929999,0.132,0.0,0.0
0.74163,0.939999,0.132,0.0,0.0
0.749746,0.9499989999999999,0.132,0.0,0.0
0.7580520000000001,0.9599989999999999,0.132,0.0,0.0
0.766328,0.969999,0.128,0.0,0.0
0.774695,0.979999,0.132,0.0,0.0
0.782671,0.989999,0.128,0.0,0.0
0.790898,0.999999,0.132,0.0,0.0
0.798904,1.0099989999999999,0.132,0.0,0.0
0.806968,1.0199989999999999,0.132,0.0,0.0
0.8150270000000001,1.0299989999999999,0.132,0.0,0.0
0.8231040000000001,1.039999,0.128,0.0,0.0
0.831166,1.049999,0.132,0.0,0.0
0.839325,1.059999,0.132,0.0,0.0
0.8475809999999999,1.069999,0.132,0.0,0.0
0.8554809999999999,1.079999,0.132,0.0,0.0
0.863368,1.089999,0.132,0.0,0.0
0.8716860000000001,1.099999,0.128,0.0,0.0
0.879862,1.109999,0.132,0.0,0.0
0.8880549999999999,1.119999,0.132,0.0,0.0
0.89665,1.129999,0.132,0.0,0.0
0.904624,1.139999,0.132,0.0,0.0
0.912441,1.149999,0.132,0.0,0.0
0.920077,1.159999,0.132,0.0,0.0
0.9277479999999999,1.169999,0.132,0.0,0.0
0.935372,1.179999,0.128,0.0,0.0
0.9430430000000001,1.189999,0.132,0.0,0.0
0.950678,1.199999,0.132,0.0,0.0
0.9583879999999999,1.209999,0.128,0.0,0.0
0.96624,1.219999,0.132,0.0,0.0
0.973938,1.229999,0.132,0.0,0.0
0.9818040000000001,1.239999,0.128,0.0,0.0
0.9895729999999999,1.249999,0.132,0.0,0.0
0.997201,1.2599989999999999,0.128,0.0,0.0
1.004899,1.2699989999999999,0.132,0.0,0.0
1.012616,1.2799989999999999,0.136,0.0,0.0
1.020253,1.289999,0.132,0.0,0.0
1.0278969999999998,1.299999,0.132,0.0,0.0
1.03558,1.309999,0.132,0.0,0.0
1.043247,1.319999,0.132,0.0,0.0
1.050867,1.329999,0.128,0.0,0.0
1.0585719999999998,1.339999,0.132,0.0,0.0
1.06619,1.349999,0.132,0.0,0.0
1.073883,1.359999,0.128,0.0,0.0
1.0816219999999999,1.369999,0.132,0.0,0.0
1.0893620000000002,1.379999,0.132,0.0,0.0
1.097062,1.389999,0.132,0.0,0.0
1.1048069999999999,1.399999,0.132,0.0,0.0
1.112482,1.409999,0.132,0.0,0.0
1.120157,1.419999,0.128,0.0,0.0
1.128136,1.429999,0.128,0.0,0.0
1.1358469999999998,1.439999,0.132,0.0,0.0
1.1434440000000001,1.449999,0.132,0.0,0.0
1.151157,1.459999,0.132,0.0,0.0
1.158835,1.469999,0.132,0.0,0.0
1.166448,1.479999,0.128,0.0,0.0
1.174241,1.489999,0.132,0.0,0.0
1.181946,1.499999,0.132,0.0,0.0
