time[sec],count, PORT[0]C[mA], PORT[0]V[mV], PORT[1]C[mA], PORT[1]V[mV], PORT[2]C[mA], PORT[2]V[mV], PORT[3]C[mA], PORT[3]V[mV], PORT[4]C[mA], PORT[4]V[mV], PORT[5]C[mA], PORT[5]V[mV], PORT[6]C[mA], PORT[6]V[mV], slope
0.158601,0.050000,-677,9160,0,88,0,88,0,5204,0,88,0,84,0,80,0.000000
0.169135,0.060000,-704,9176,0,84,0,88,0,5248,0,92,0,80,0,80,0.000000
0.180046,0.070000,-620,9152,0,88,0,88,0,5248,0,92,0,84,0,80,0.000000
0.223488,0.080000,-670,9148,0,88,0,88,0,5248,0,92,0,84,0,80,0.000000
0.247560,0.090000,-631,9176,0,88,0,88,0,5248,0,92,0,84,0,80,0.000000
0.257658,0.100000,-623,9132,0,88,0,92,0,5248,0,92,0,84,0,80,0.000000
0.266944,0.110000,-641,9176,0,88,0,92,0,5248,0,92,0,80,0,80,0.000000
0.276697,0.120000,-618,9144,0,88,0,88,-481,5248,0,96,0,80,0,80,0.000000
0.286973,0.130000,-681,9148,0,92,0,88,14,9256,0,88,0,84,0,80,0.000000
0.296851,0.140000,-623,9156,0,88,0,92,14,9252,0,92,0,84,0,80,0.000000
0.305690,0.150000,-651,9148,0,88,0,92,14,9252,0,92,0,80,0,80,0.000000
0.313170,0.160000,-671,9176,0,88,0,92,12,9252,0,92,0,84,0,80,0.000000
0.320743,0.170000,-654,9176,0,88,0,92,14,9252,0,92,0,84,0,80,0.000000
0.329282,0.180000,-696,9176,0,88,0,88,14,9256,0,92,0,84,0,80,0.000000
0.337122,0.190000,-771,9168,0,88,0,88,13,9252,0,92,0,84,0,80,0.000000
0.345416,0.200000,-664,9164,0,88,0,88,14,9252,0,92,0,84,0,84,0.000000
0.353386,0.210000,-730,9156,0,88,0,88,12,9256,0,92,0,84,0,80,0.000000
0.361026,0.220000,-614,9156,0,88,0,88,13,9256,0,92,0,84,0,80,0.000000
0.369424,0.230000,-717,9172,0,88,0,88,14,9256,0,92,0,80,0,80,0.000000
0.377289,0.240000,-749,9148,0,88,0,88,14,9256,0,92,0,84,0,80,0.000000
0.384764,0.250000,-656,9176,0,88,0,88,0,9256,0,88,0,84,0,80,0.000000
0.392356,0.260000,-660,9180,0,88,0,92,13,9256,0,92,0,84,0,80,0.000000
0.400525,0.270000,13,9256,0,88,0,88,-692,9164,0,92,0,80,0,76,0.000000
0.408573,0.280000,14,9256,0,88,0,88,-711,9160,0,92,0,80,0,80,0.000000
0.416027,0.290000,13,9252,0,88,0,88,-609,9172,0,92,0,80,0,80,0.000000
0.423570,0.300000,14,9256,0,88,0,88,-607,9176,0,88,0,84,0,84,0.000000
0.431638,0.310000,13,9256,0,88,0,88,-681,9164,0,92,0,84,0,80,0.000000
0.488734,0.320000,14,9256,0,88,0,88,-600,9172,0,92,0,80,0,80,0.000000
0.497104,0.330000,13,9256,0,88,0,88,-689,9168,0,88,0,84,0,84,0.000000
0.504885,0.340000,14,9256,0,84,0,88,-669,9168,0,92,0,84,0,80,0.000000
0.512352,0.350000,13,9256,0,88,0,92,-605,9164,0,92,0,84,0,80,0.000000
0.519956,0.360000,14,9256,0,88,0,88,-607,9172,0,92,0,88,0,80,0.000000
0.528170,0.370000,12,9256,0,92,0,88,-685,9168,0,88,0,80,0,80,0.000000
0.536224,0.380000,12,9256,0,88,0,88,-707,9164,0,92,0,84,0,80,0.000000
0.543681,0.390000,15,9256,0,84,0,88,-602,9172,0,92,0,80,0,80,0.000000
0.551208,0.400000,15,9252,0,84,0,92,-601,9172,0,92,0,80,0,80,0.000000
0.559258,0.410000,15,9256,0,88,0,88,-683,9164,0,88,0,84,0,84,0.000000
0.567558,0.420000,14,9256,0,88,0,92,-725,9160,0,92,0,84,0,80,0.000000
0.575071,0.430000,13,9256,0,88,0,88,-600,9168,0,92,0,84,0,80,0.000000
0.582538,0.440000,14,9256,0,88,0,88,-614,9168,0,92,0,84,0,80,0.000000
0.590322,0.450000,14,9256,0,88,0,88,-687,9172,0,88,0,80,0,84,0.000000
0.598718,0.460000,13,9256,0,88,0,88,-709,9164,0,88,0,84,0,80,0.000000
0.606198,0.470000,15,9252,0,88,0,88,-605,9172,0,92,0,84,0,80,0.000000
0.613637,0.480000,14,9256,0,88,0,92,-604,9176,0,92,0,84,0,76,0.000000
0.621310,0.490000,14,9256,0,88,0,88,-678,9168,0,92,0,84,0,80,0.000000
0.629703,0.500000,13,9256,0,88,0,92,-742,9152,0,92,0,84,0,80,0.000000
0.637476,0.510000,13,9256,0,88,0,92,-609,9176,0,88,0,84,0,80,0.000000
0.645796,0.520000,14,9260,0,88,0,88,-693,9168,0,88,0,84,0,80,0.000000
0.653737,0.530000,13,9256,0,88,0,92,-678,9184,0,92,0,84,0,80,0.000000
0.661203,0.540000,13,9256,0,88,0,92,-603,9172,0,92,0,80,0,80,0.000000
0.668733,0.550000,13,9256,0,84,0,92,-604,9172,0,92,0,84,0,80,0.000000
0.726017,0.560000,14,9256,0,88,0,88,-725,9148,0,92,0,80,0,80,0.000000
0.734634,0.570000,14,9256,0,88,0,88,-706,9152,0,92,0,88,0,80,0.000000
0.742106,0.580000,14,9256,0,88,0,88,-608,9172,0,92,0,84,0,80,0.000000
0.749549,0.590000,13,9256,0,88,0,92,-601,9172,0,92,0,84,0,84,0.000000
0.757354,0.600000,12,9256,0,88,0,88,-682,9160,0,92,0,84,0,80,0.000000
0.765791,0.610000,13,9256,0,88,0,88,-683,9160,0,92,0,84,0,80,0.000000
0.773774,0.620000,14,9256,0,88,0,92,-680,9172,0,92,0,84,0,80,0.000000
0.782177,0.630000,14,9260,0,88,0,88,-686,9164,0,92,0,80,0,80,0.000000
0.789875,0.640000,14,9260,0,88,0,88,-678,9164,0,92,0,84,0,80,0.000000
0.798391,0.650000,15,9256,0,88,0,88,-689,9136,0,92,0,84,0,80,0.000000
0.806127,0.660000,14,9256,0,92,0,88,-600,9172,0,88,0,84,0,80,0.000000
0.813589,0.670000,14,9256,0,88,0,88,-601,9172,0,92,0,84,0,80,0.000000
0.821201,0.680000,14,9252,0,88,0,88,-677,9164,0,92,0,84,0,80,0.000000
0.829743,0.690000,13,9256,0,88,0,88,-750,9156,0,92,0,84,0,80,0.000000
0.837653,0.700000,15,9256,0,88,0,92,-670,9160,0,92,0,84,0,80,0.000000
0.846094,0.710000,13,9256,0,88,0,88,-682,9160,0,92,0,84,0,80,0.000000
