Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.077,0.0,3.6,0.0,0.0
0.085,0.0,3.496,0.0,0.0
0.093,0.0,3.416,0.0,0.0
0.101,0.0,3.372,0.0,0.0
0.109,0.0,3.372,0.0,0.0
0.117,0.0,3.368,0.0,0.0
0.125,0.0,3.372,0.0,0.0
0.134,0.0,3.372,0.0,0.0
0.142,0.0,3.372,0.0,0.0
0.15,0.0,3.372,0.0,0.0
0.158,0.0,3.372,0.0,0.0
0.167,0.0,3.372,0.0,0.0
0.175,0.0,3.372,0.0,0.0
0.183,0.0,3.372,0.0,0.0
0.191,0.0,3.368,0.0,0.0
0.199,0.0,3.368,0.0,0.0
0.208,0.0,3.372,0.0,0.0
0.216,0.0,0.116,0.0,0.0
0.224,0.0,0.116,0.0,0.0
0.232,0.0,0.116,0.0,0.0
0.24,0.0,0.116,0.0,0.0
0.248,0.0,0.116,0.0,0.0
0.256,0.0,0.12,0.0,0.0
0.264,0.0,0.12,0.0,0.0
0.272,0.0,0.116,0.0,0.0
0.281,0.0,0.116,0.0,0.0
0.289,0.0,0.116,0.0,0.0
0.297,0.0,0.116,0.0,0.0
0.305,0.0,0.116,0.0,0.0
0.313,0.0,0.116,0.0,0.0
0.321,0.0,0.12,0.0,0.0
0.33,0.0,0.116,0.0,0.0
0.338,0.0,0.116,0.0,0.0
0.345,0.0,0.116,0.0,0.0
0.354,0.0,0.116,0.0,0.0
0.364,0.0,0.12,0.0,0.0
0.409,0.0,5.076,0.011,0.056
0.417,0.0,5.072,0.0,0.0
0.425,0.0,5.076,0.01,0.051
0.433,0.0,5.076,0.0,0.0
0.441,0.0,5.076,0.01,0.051
0.449,0.0,5.076,0.01,0.051
0.457,0.0,5.076,0.01,0.051
0.466,0.0,5.072,0.0,0.0
0.509,0.0,0.116,0.0,0.0
0.517,0.0,0.12,0.0,0.0
0.526,0.0,0.116,0.0,0.0
0.534,0.0,0.12,0.0,0.0
0.542,0.0,0.116,0.0,0.0
0.55,0.0,0.12,0.0,0.0
0.558,0.0,0.116,0.0,0.0
0.567,0.0,0.116,0.0,0.0
0.575,0.0,0.12,0.0,0.0
0.585,0.0,0.116,0.0,0.0
0.593,0.0,0.12,0.0,0.0
0.602,0.0,0.116,0.0,0.0
0.61,0.0,0.12,0.0,0.0
0.618,0.0,0.116,0.0,0.0
0.626,0.0,0.116,0.0,0.0
0.634,0.0,0.116,0.0,0.0
0.642,0.0,0.12,0.0,0.0
0.65,0.0,0.116,0.0,0.0
0.659,0.0,0.116,0.0,0.0
0.667,0.0,0.116,0.0,0.0
0.675,0.0,0.12,0.0,0.0
0.684,0.0,0.116,0.0,0.0
0.692,0.0,0.116,0.0,0.0
0.7,0.0,0.116,0.0,0.0
0.709,0.0,0.12,0.0,0.0
0.717,0.0,0.116,0.0,0.0
0.725,0.0,0.116,0.0,0.0
0.734,0.0,0.116,0.0,0.0
0.742,0.0,0.116,0.0,0.0
0.75,0.0,0.12,0.0,0.0
0.759,0.0,0.116,0.0,0.0
0.767,0.0,0.12,0.0,0.0
0.776,0.0,0.12,0.0,0.0
0.785,0.0,0.116,0.0,0.0
0.793,0.0,0.116,0.0,0.0
0.801,0.0,0.12,0.0,0.0
0.809,0.0,0.116,0.0,0.0
0.817,0.0,0.116,0.0,0.0
0.826,0.0,0.116,0.0,0.0
0.834,0.0,0.12,0.0,0.0
0.843,0.0,0.116,0.0,0.0
0.851,0.0,0.116,0.0,0.0
0.86,0.0,0.116,0.0,0.0
0.868,0.0,0.116,0.0,0.0
0.876,0.0,0.116,0.0,0.0
0.922,0.0,5.076,0.0,0.0
0.93,0.0,5.076,0.0,0.0
0.938,0.0,5.076,0.0,0.0
0.949,0.0,5.072,0.01,0.051
0.96,0.0,5.072,0.01,0.051
0.971,0.0,5.04,1.023,5.156
0.981,0.0,5.04,1.023,5.156
0.993,0.0,5.04,1.023,5.156
1.004,0.0,5.04,1.023,5.156
1.015,0.0,5.04,1.021,5.146
1.026,0.0,5.036,1.022,5.147
1.038,-3.0,5.04,1.023,5.156
1.049,0.0,5.076,0.016,0.081
1.06,2.0,5.072,0.017,0.086
1.071,5.0,5.072,0.017,0.086
1.082,9.0,5.076,0.016,0.081
1.093,12.0,5.072,0.017,0.086
1.104,15.0,5.072,0.016,0.081
1.115,18.0,9.104,0.033,0.3
1.126,23.0,9.108,0.031,0.282
1.137,28.0,9.104,0.032,0.291
1.205,34.0,9.104,0.033,0.3
1.216,39.0,9.104,0.03,0.273
1.227,44.0,9.1,0.032,0.291
1.238,49.0,9.104,0.03,0.273
1.25,54.0,9.104,0.032,0.291
1.263,59.0,9.104,0.031,0.282
1.275,64.0,9.1,0.032,0.291
1.287,68.0,9.104,0.301,2.74
